target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.9708333333333333,0.97119341563786,0.76,0.7391304347826089,0.77,0.7472527472527474
0.9625,0.9632653061224489,0.72,0.6818181818181819,0.69,0.686868686868687
0.9708333333333333,0.97119341563786,0.84,0.8222222222222222,0.75,0.7474747474747474
0.9666666666666667,0.9672131147540983,0.79,0.7640449438202247,0.77,0.7676767676767676
0.9875,0.9875518672199171,0.83,0.8282828282828283,0.82,0.82
0.9833333333333333,0.9833333333333333,0.73,0.7096774193548386,0.74,0.7450980392156863
0.975,0.9754098360655739,0.84,0.8333333333333333,0.8,0.7959183673469388
0.9875,0.9875518672199171,0.73,0.7157894736842104,0.74,0.7450980392156863
0.9958333333333333,0.995850622406639,0.87,0.8571428571428571,0.81,0.8
1.0,1.0,0.77,0.7628865979381443,0.74,0.7346938775510204
0.9833333333333333,0.9833333333333333,0.75,0.7422680412371133,0.76,0.76
0.9791666666666666,0.9794238683127573,0.84,0.8333333333333333,0.78,0.78
0.9666666666666667,0.9672131147540983,0.94,0.9387755102040817,0.82,0.816326530612245
0.9875,0.9875518672199171,0.81,0.8,0.73,0.7272727272727272
0.9791666666666666,0.9794238683127573,0.87,0.8686868686868686,0.84,0.8399999999999999
0.9791666666666666,0.9794238683127573,0.82,0.7999999999999999,0.77,0.7676767676767676
0.9791666666666666,0.979253112033195,0.78,0.7924528301886793,0.76,0.76
0.9666666666666667,0.9672131147540983,0.82,0.7954545454545453,0.83,0.8247422680412372
0.975,0.9752066115702478,0.84,0.8297872340425532,0.75,0.7311827956989247
0.9875,0.9875518672199171,0.83,0.8316831683168315,0.77,0.7628865979381443
0.9791666666666666,0.9795918367346939,0.94,0.9433962264150945,0.8,0.8000000000000002
0.9708333333333333,0.97119341563786,0.83,0.8045977011494254,0.8,0.8000000000000002
0.9708333333333333,0.970954356846473,0.87,0.8659793814432989,0.83,0.8210526315789474
0.9875,0.9875518672199171,0.85,0.8484848484848485,0.86,0.8571428571428572
0.9875,0.9875518672199171,0.86,0.8599999999999999,0.81,0.8080808080808082
0.9875,0.9876543209876543,0.86,0.8541666666666666,0.82,0.816326530612245
0.9958333333333333,0.995850622406639,0.81,0.8,0.85,0.8543689320388349
0.9791666666666666,0.979253112033195,0.84,0.8222222222222222,0.77,0.7676767676767676
0.9916666666666667,0.9917355371900827,0.88,0.8775510204081632,0.84,0.836734693877551
0.9916666666666667,0.9916666666666667,0.79,0.7789473684210526,0.74,0.74
0.9791666666666666,0.9794238683127573,0.81,0.8,0.8,0.8000000000000002
0.975,0.9752066115702478,0.8,0.7959183673469388,0.74,0.7346938775510204
0.975,0.9754098360655739,0.88,0.8749999999999999,0.85,0.8484848484848485
0.9916666666666667,0.9917355371900827,0.93,0.9278350515463918,0.79,0.7878787878787878
0.9916666666666667,0.9916666666666667,0.79,0.7789473684210526,0.82,0.816326530612245
