target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.8458333333333333,0.8672566371681416,0.8166666666666667,0.8412017167381974,0.565,0.5730337078651685,0.51,0.5396825396825395,0.625,0.6373626373626373,0.58,0.6073298429319371,14.248172038739483
0.875,0.875,0.875,0.875,0.33,0.3333333333333333,0.34,0.33663366336633666,0.385,0.3838383838383838,0.38,0.3819095477386935,14.556572089294042
0.875,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.59,0.5789473684210527,0.66,0.616822429906542,0.61,0.6078431372549019,0.62,0.6138613861386139,14.05021489061049
0.9166666666666666,0.9098360655737705,0.925,0.9173553719008265,0.625,0.6086956521739131,0.7,0.6511627906976744,0.59,0.5849056603773585,0.62,0.6019417475728155,14.403385662706585
0.8958333333333334,0.8925619834710744,0.9,0.8962655601659751,0.615,0.6095238095238096,0.64,0.624390243902439,0.69,0.69,0.69,0.69,13.72612668783815
0.8708333333333333,0.8345864661654135,0.925,0.8774703557312253,0.415,0.3950617283950617,0.32,0.35359116022099446,0.425,0.422680412371134,0.41,0.416243654822335,13.926601089481851
0.8958333333333334,0.8861788617886179,0.9083333333333333,0.897119341563786,0.485,0.48314606741573035,0.43,0.45502645502645506,0.42,0.4148936170212766,0.39,0.4020618556701031,11.360579253103726
0.8625,0.8717948717948718,0.85,0.8607594936708861,0.525,0.5294117647058824,0.45,0.48648648648648646,0.56,0.5625,0.54,0.5510204081632654,11.001496959026422
0.8208333333333333,0.808,0.8416666666666667,0.8244897959183675,0.63,0.6354166666666666,0.61,0.6224489795918368,0.61,0.6057692307692307,0.63,0.6176470588235293,14.120524977439384
0.8791666666666667,0.8760330578512396,0.8833333333333333,0.8796680497925311,0.495,0.49382716049382713,0.4,0.4419889502762431,0.545,0.5473684210526316,0.52,0.5333333333333334,16.979947684202063
0.8625,0.8717948717948718,0.85,0.8607594936708861,0.35,0.3333333333333333,0.3,0.3157894736842105,0.415,0.4105263157894737,0.39,0.4,13.822276344548612
0.8708333333333333,0.8503937007874016,0.9,0.874493927125506,0.46,0.4523809523809524,0.38,0.41304347826086957,0.54,0.5444444444444444,0.49,0.5157894736842104,13.158251899660787
0.8375,0.8347107438016529,0.8416666666666667,0.8381742738589212,0.365,0.3805309734513274,0.43,0.40375586854460094,0.395,0.39805825242718446,0.41,0.40394088669950734,14.961808342621795
0.8708333333333333,0.8449612403100775,0.9083333333333333,0.8755020080321284,0.485,0.48623853211009177,0.53,0.5071770334928231,0.51,0.5096153846153846,0.53,0.5196078431372548,12.424310526470167
