source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1,transfer_score,w_dist
0.89,0.9148936170212766,0.86,0.8865979381443299,0.5291666666666667,0.5294117647058824,0.525,0.5271966527196653,0.5416666666666666,0.5409836065573771,0.55,0.5454545454545455,127.66420319581968,9.596444866359362e-09
0.82,0.82,0.82,0.82,0.475,0.47540983606557374,0.48333333333333334,0.4793388429752066,0.49166666666666664,0.49107142857142855,0.4583333333333333,0.4741379310344827,158.83681323001312,6.901679786242936e-09
0.855,0.8514851485148515,0.86,0.8557213930348259,0.4666666666666667,0.46875,0.5,0.4838709677419355,0.5875,0.591304347826087,0.5666666666666667,0.5787234042553192,152.97478686642728,9.475310641233346e-09
0.865,0.8762886597938144,0.85,0.8629441624365483,0.6291666666666667,0.6302521008403361,0.625,0.6276150627615062,0.5875,0.6019417475728155,0.5166666666666667,0.5560538116591928,110.15180342234875,9.404378226918011e-09
0.845,0.8349514563106796,0.86,0.8472906403940887,0.5291666666666667,0.5309734513274337,0.5,0.5150214592274679,0.49583333333333335,0.4959349593495935,0.5083333333333333,0.5020576131687242,162.39332126230596,7.213219503142031e-09
0.805,0.8144329896907216,0.79,0.802030456852792,0.5208333333333334,0.5252525252525253,0.43333333333333335,0.4748858447488585,0.475,0.47368421052631576,0.45,0.46153846153846156,152.71951283012555,9.086351305226961e-09
0.845,0.8415841584158416,0.85,0.845771144278607,0.4708333333333333,0.4715447154471545,0.48333333333333334,0.47736625514403297,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,134.1580877123158,5.715388264023627e-09
0.79,0.7843137254901961,0.8,0.792079207920792,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678,0.5541666666666667,0.5555555555555556,0.5416666666666666,0.5485232067510548,122.0224367329874,7.779574299406113e-09
0.825,0.8421052631578947,0.8,0.8205128205128205,0.45416666666666666,0.45864661654135336,0.5083333333333333,0.4822134387351778,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,169.78835059059608,7.450787240653747e-09
0.8,0.8,0.8,0.8000000000000002,0.525,0.5263157894736842,0.5,0.5128205128205129,0.5083333333333333,0.5086206896551724,0.49166666666666664,0.4999999999999999,129.7151779727207,8.958914325368235e-09
0.805,0.801980198019802,0.81,0.8059701492537314,0.5416666666666666,0.5403225806451613,0.5583333333333333,0.5491803278688525,0.4666666666666667,0.46551724137931033,0.45,0.4576271186440678,140.0324412644068,9.491510721558184e-09
0.795,0.8172043010752689,0.76,0.7875647668393783,0.475,0.4772727272727273,0.525,0.5,0.5625,0.5663716814159292,0.5333333333333333,0.5493562231759658,159.01920755853712,9.205309287642052e-09
0.835,0.845360824742268,0.82,0.83248730964467,0.475,0.47540983606557374,0.48333333333333334,0.4793388429752066,0.5291666666666667,0.5309734513274337,0.5,0.5150214592274679,167.52328541154606,7.265457296093856e-09
0.825,0.8350515463917526,0.81,0.8223350253807107,0.5208333333333334,0.5210084033613446,0.5166666666666667,0.5188284518828452,0.4875,0.48717948717948717,0.475,0.4810126582278481,146.37428699918814,7.727338828486005e-09
0.835,0.8383838383838383,0.83,0.8341708542713568,0.475,0.47692307692307695,0.5166666666666667,0.4960000000000001,0.525,0.5254237288135594,0.5166666666666667,0.5210084033613446,156.6084418874737,7.879516001080397e-09
0.825,0.8217821782178217,0.83,0.8258706467661692,0.45416666666666666,0.452991452991453,0.44166666666666665,0.44725738396624476,0.5166666666666667,0.5175438596491229,0.49166666666666664,0.5042735042735043,150.4708903481456,9.234731436262857e-09
0.86,0.8673469387755102,0.85,0.8585858585858585,0.4083333333333333,0.4112903225806452,0.425,0.4180327868852459,0.5083333333333333,0.5081967213114754,0.5166666666666667,0.5123966942148761,177.40847419279908,8.619533440057426e-09
0.85,0.8571428571428571,0.84,0.8484848484848485,0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.5208333333333334,0.5210084033613446,0.5166666666666667,0.5188284518828452,146.75129357270936,8.416242502275415e-09
0.815,0.8247422680412371,0.8,0.8121827411167513,0.4791666666666667,0.4782608695652174,0.4583333333333333,0.4680851063829787,0.4791666666666667,0.4778761061946903,0.45,0.46351931330472107,159.148683059395,9.196079650406352e-09
0.815,0.8315789473684211,0.79,0.8102564102564104,0.44583333333333336,0.4462809917355372,0.45,0.44813278008298757,0.4666666666666667,0.4661016949152542,0.4583333333333333,0.4621848739495798,157.16013303679762,9.849594619561134e-09
0.825,0.8651685393258427,0.77,0.8148148148148148,0.4166666666666667,0.4230769230769231,0.4583333333333333,0.43999999999999995,0.48333333333333334,0.4807692307692308,0.4166666666666667,0.44642857142857145,174.06155044453277,9.066953812252071e-09
0.855,0.8585858585858586,0.85,0.8542713567839195,0.4875,0.4878048780487805,0.5,0.49382716049382713,0.5458333333333333,0.5478260869565217,0.525,0.5361702127659574,158.61402627651887,7.9055750717988e-09
0.885,0.8888888888888888,0.88,0.8844221105527638,0.475,0.4782608695652174,0.55,0.5116279069767442,0.55,0.5526315789473685,0.525,0.5384615384615385,146.33673644335636,7.560770455649956e-09
0.82,0.8137254901960784,0.83,0.8217821782178217,0.5375,0.5371900826446281,0.5416666666666666,0.5394190871369294,0.5791666666666667,0.5785123966942148,0.5833333333333334,0.5809128630705395,143.36338587058245,7.048885528292494e-09
0.865,0.8613861386138614,0.87,0.8656716417910448,0.5041666666666667,0.5042735042735043,0.49166666666666664,0.4978902953586497,0.55,0.5545454545454546,0.5083333333333333,0.5304347826086956,141.265416499149,8.753284732313925e-09
0.875,0.8865979381443299,0.86,0.8730964467005077,0.5166666666666667,0.5169491525423728,0.5083333333333333,0.5126050420168067,0.525,0.5267857142857143,0.49166666666666664,0.5086206896551725,123.0101276766215,9.19242902998991e-09
0.875,0.8865979381443299,0.86,0.8730964467005077,0.3875,0.392,0.4083333333333333,0.39999999999999997,0.4875,0.48717948717948717,0.475,0.4810126582278481,176.93621525580733,7.801892126210382e-09
0.77,0.8,0.72,0.7578947368421052,0.42916666666666664,0.4330708661417323,0.4583333333333333,0.44534412955465585,0.4666666666666667,0.4642857142857143,0.43333333333333335,0.4482758620689655,158.0521218928854,9.427025778834586e-09
0.825,0.8350515463917526,0.81,0.8223350253807107,0.5208333333333334,0.5190839694656488,0.5666666666666667,0.5418326693227091,0.5791666666666667,0.5811965811965812,0.5666666666666667,0.5738396624472575,139.19060593131707,8.308619981722165e-09
0.865,0.8686868686868687,0.86,0.864321608040201,0.5,0.5,0.5333333333333333,0.5161290322580646,0.5791666666666667,0.5798319327731093,0.575,0.5774058577405858,139.67146173406041,7.203736092400771e-09
0.805,0.8210526315789474,0.78,0.8,0.43333333333333335,0.4322033898305085,0.425,0.4285714285714286,0.425,0.423728813559322,0.4166666666666667,0.42016806722689076,164.63395580862402,8.413364679747524e-09
