target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.8625,0.8918918918918919,0.825,0.8571428571428571,0.7,0.7380952380952381,0.62,0.6739130434782609,0.605,0.6082474226804123,0.59,0.5989847715736041,12.823647631823347
0.9041666666666667,0.9217391304347826,0.8833333333333333,0.902127659574468,0.695,0.7142857142857143,0.65,0.680628272251309,0.71,0.723404255319149,0.68,0.7010309278350516,12.072364843587048
0.8833333333333333,0.9107142857142857,0.85,0.8793103448275861,0.725,0.7848101265822784,0.62,0.6927374301675978,0.715,0.7415730337078652,0.66,0.6984126984126984,14.281199416422565
0.8916666666666667,0.9122807017543859,0.8666666666666667,0.8888888888888888,0.775,0.8160919540229885,0.71,0.7593582887700535,0.735,0.7640449438202247,0.68,0.7195767195767195,11.764793169018136
0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.74,0.7727272727272727,0.68,0.7234042553191491,0.715,0.7263157894736842,0.69,0.7076923076923077,10.814843786409867
0.8708333333333333,0.8739495798319328,0.8666666666666667,0.8702928870292886,0.74,0.7727272727272727,0.68,0.7234042553191491,0.705,0.7204301075268817,0.67,0.6943005181347149,11.706180705119694
0.9208333333333333,0.9316239316239316,0.9083333333333333,0.919831223628692,0.695,0.7096774193548387,0.66,0.683937823834197,0.655,0.6781609195402298,0.59,0.6310160427807486,12.096113036130589
0.8958333333333334,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.66,0.6702127659574468,0.63,0.6494845360824743,0.655,0.6703296703296703,0.61,0.6387434554973822,13.86095244614944
0.8958333333333334,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.695,0.7096774193548387,0.66,0.683937823834197,0.675,0.6881720430107527,0.64,0.6632124352331608,13.963135800467612
0.9,0.9285714285714286,0.8666666666666667,0.896551724137931,0.7,0.7439024390243902,0.61,0.6703296703296703,0.75,0.7777777777777778,0.7,0.7368421052631577,9.415808640124139
0.9083333333333333,0.9152542372881356,0.9,0.9075630252100839,0.69,0.7209302325581395,0.62,0.6666666666666666,0.73,0.7613636363636364,0.67,0.7127659574468085,12.16728304417436
0.8958333333333334,0.9203539823008849,0.8666666666666667,0.8927038626609441,0.705,0.735632183908046,0.64,0.6844919786096256,0.68,0.7,0.63,0.663157894736842,10.925782382039056
0.875,0.8813559322033898,0.8666666666666667,0.8739495798319329,0.71,0.7560975609756098,0.62,0.6813186813186813,0.705,0.7029702970297029,0.71,0.7064676616915423,12.838668543299113
0.875,0.8813559322033898,0.8666666666666667,0.8739495798319329,0.7,0.7325581395348837,0.63,0.6774193548387097,0.69,0.7065217391304348,0.65,0.6770833333333333,11.01908227204334
0.8916666666666667,0.9196428571428571,0.8583333333333333,0.8879310344827586,0.71,0.7441860465116279,0.64,0.6881720430107526,0.69,0.7065217391304348,0.65,0.6770833333333333,12.26369622592699
0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207,0.71,0.7333333333333333,0.66,0.6947368421052631,0.695,0.7096774193548387,0.66,0.683937823834197,10.05735520521668
0.8791666666666667,0.8888888888888888,0.8666666666666667,0.8776371308016878,0.705,0.7469879518072289,0.62,0.6775956284153004,0.71,0.723404255319149,0.68,0.7010309278350516,11.611392512990042
0.8708333333333333,0.8739495798319328,0.8666666666666667,0.8702928870292886,0.69,0.7261904761904762,0.61,0.6630434782608696,0.635,0.6451612903225806,0.6,0.6217616580310881,10.809024375486223
0.8833333333333333,0.9035087719298246,0.8583333333333333,0.8803418803418803,0.695,0.7052631578947368,0.67,0.6871794871794872,0.65,0.6595744680851063,0.62,0.6391752577319586,12.551423356838395
0.9,0.9137931034482759,0.8833333333333333,0.8983050847457628,0.775,0.8089887640449438,0.72,0.761904761904762,0.77,0.8068181818181818,0.71,0.7553191489361702,10.083799255537397
0.8625,0.8918918918918919,0.825,0.8571428571428571,0.65,0.6595744680851063,0.62,0.6391752577319586,0.655,0.6597938144329897,0.64,0.6497461928934011,14.989918719973874
