target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.8375,0.8311688311688312,0.66,0.6530612244897959,0.66,0.6421052631578946
0.7833333333333333,0.7777777777777778,0.615,0.5792349726775956,0.615,0.6169154228855721
0.75,0.75,0.58,0.5757575757575758,0.635,0.6507177033492824
0.8166666666666667,0.811965811965812,0.58,0.5625000000000001,0.64,0.6326530612244898
0.7875,0.7866108786610879,0.665,0.6564102564102564,0.615,0.6091370558375634
0.8166666666666667,0.8151260504201682,0.635,0.6217616580310881,0.565,0.5714285714285715
0.8916666666666667,0.8888888888888888,0.61,0.6020408163265306,0.615,0.6169154228855721
0.7791666666666667,0.7763713080168777,0.63,0.6063829787234042,0.66,0.6494845360824743
0.7666666666666667,0.7543859649122806,0.59,0.5684210526315789,0.57,0.5567010309278351
0.8666666666666667,0.8666666666666667,0.63,0.6262626262626263,0.595,0.6124401913875598
0.8,0.7913043478260869,0.635,0.6294416243654821,0.6,0.5959595959595959
0.7958333333333333,0.7966804979253113,0.615,0.5882352941176471,0.645,0.6467661691542289
0.7958333333333333,0.7932489451476793,0.625,0.6113989637305699,0.58,0.58
0.8166666666666667,0.811965811965812,0.535,0.523076923076923,0.605,0.5906735751295337
0.7791666666666667,0.7818930041152262,0.625,0.6073298429319371,0.605,0.5948717948717949
0.7333333333333333,0.7333333333333333,0.545,0.5235602094240838,0.585,0.5911330049261084
0.8333333333333334,0.8305084745762712,0.525,0.5177664974619289,0.51,0.49484536082474223
0.7541666666666667,0.7467811158798284,0.525,0.5454545454545454,0.435,0.4145077720207254
0.7916666666666666,0.7916666666666666,0.62,0.6,0.645,0.6432160804020101
0.8375,0.8395061728395061,0.6,0.6153846153846153,0.59,0.5980392156862745
0.7958333333333333,0.7841409691629956,0.575,0.5641025641025641,0.59,0.5816326530612245
0.8416666666666667,0.8376068376068376,0.62,0.6,0.55,0.5312500000000001
0.8625,0.8583690987124464,0.605,0.6069651741293532,0.595,0.5929648241206029
0.8375,0.8395061728395061,0.595,0.5621621621621622,0.675,0.6766169154228856
0.825,0.8264462809917356,0.55,0.5263157894736842,0.575,0.5771144278606964
0.8,0.7983193277310924,0.615,0.6051282051282052,0.595,0.6048780487804878
0.775,0.7672413793103449,0.57,0.5520833333333334,0.57,0.5612244897959183
0.7916666666666666,0.7863247863247863,0.59,0.5729166666666666,0.57,0.57
0.7708333333333334,0.7698744769874478,0.545,0.508108108108108,0.6,0.5876288659793814
0.8166666666666667,0.8151260504201682,0.57,0.532608695652174,0.57,0.5656565656565656
0.7875,0.7866108786610879,0.58,0.5578947368421053,0.61,0.61
0.85,0.8487394957983194,0.58,0.5922330097087378,0.555,0.5435897435897435
0.8208333333333333,0.8230452674897119,0.535,0.5079365079365079,0.545,0.542713567839196
0.7666666666666667,0.7723577235772358,0.715,0.6885245901639344,0.675,0.6889952153110047
0.8041666666666667,0.8049792531120331,0.57,0.5567010309278351,0.585,0.5870646766169154
0.8,0.7983193277310924,0.58,0.58,0.585,0.5829145728643216
0.7875,0.7848101265822786,0.61,0.6020408163265306,0.665,0.6699507389162562
0.7958333333333333,0.7914893617021276,0.53,0.5104166666666666,0.585,0.5786802030456853
0.8,0.7948717948717949,0.545,0.4972375690607735,0.575,0.5502645502645502
0.775,0.775,0.54,0.5208333333333334,0.6,0.5698924731182796
0.7791666666666667,0.7800829875518671,0.555,0.5082872928176795,0.545,0.5472636815920399
0.8083333333333333,0.8099173553719008,0.53,0.505263157894737,0.515,0.5025641025641027
0.7666666666666667,0.7627118644067795,0.565,0.5347593582887701,0.61,0.6020408163265306
