target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,w_dist
0.75,0.7727272727272727,0.7083333333333334,0.7391304347826088,0.555,0.5617977528089888,0.5,0.5291005291005291,0.545,0.5483870967741935,0.51,0.5284974093264249,119.84229882453847,9.51586422929323e-09
0.8083333333333333,0.8363636363636363,0.7666666666666667,0.8,0.59,0.59375,0.57,0.5816326530612245,0.515,0.5161290322580645,0.48,0.4974093264248704,120.27419112066582,7.9518246258626e-09
0.725,0.7410714285714286,0.6916666666666667,0.7155172413793103,0.5,0.5,0.47,0.4845360824742268,0.605,0.6129032258064516,0.57,0.5906735751295337,127.61094346330995,9.549648032328418e-09
0.8291666666666667,0.883495145631068,0.7583333333333333,0.8161434977578474,0.58,0.5784313725490197,0.59,0.5841584158415842,0.6,0.6219512195121951,0.51,0.5604395604395604,110.63596717880205,8.098092943861049e-09
0.7916666666666666,0.7966101694915254,0.7833333333333333,0.7899159663865546,0.55,0.5641025641025641,0.44,0.49438202247191015,0.59,0.5978260869565217,0.55,0.5729166666666666,129.55703909871517,8.598790883119465e-09
0.8416666666666667,0.8660714285714286,0.8083333333333333,0.8362068965517241,0.575,0.5789473684210527,0.55,0.5641025641025641,0.555,0.5567010309278351,0.54,0.5482233502538071,132.3885973898508,7.626952746560988e-09
0.7916666666666666,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.53,0.5306122448979592,0.52,0.5252525252525252,0.55,0.5543478260869565,0.51,0.5312500000000001,142.15500786630258,9.552204379599568e-09
0.7833333333333333,0.788135593220339,0.775,0.7815126050420169,0.635,0.6363636363636364,0.63,0.6331658291457286,0.57,0.5729166666666666,0.55,0.5612244897959183,106.10554864042118,8.10169804693202e-09
0.8458333333333333,0.8608695652173913,0.825,0.8425531914893616,0.575,0.5773195876288659,0.56,0.5685279187817258,0.575,0.5789473684210527,0.55,0.5641025641025641,143.40873387249272,1.974684852851467e-07
0.8083333333333333,0.8557692307692307,0.7416666666666667,0.7946428571428571,0.515,0.5148514851485149,0.52,0.5174129353233831,0.54,0.5444444444444444,0.49,0.5157894736842104,128.68670591950846,9.92815554935218e-09
0.7708333333333334,0.7981651376146789,0.725,0.759825327510917,0.57,0.5636363636363636,0.62,0.5904761904761904,0.58,0.5869565217391305,0.54,0.5625000000000001,124.72023148349714,9.98081213756698e-09
0.7916666666666666,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.53,0.5306122448979592,0.52,0.5252525252525252,0.565,0.5643564356435643,0.57,0.5671641791044776,124.82852509035125,8.059519554089936e-09
0.7625,0.8,0.7,0.7466666666666666,0.585,0.5934065934065934,0.54,0.5654450261780104,0.58,0.5952380952380952,0.5,0.5434782608695652,111.56308674734905,6.486976373665874e-07
0.8208333333333333,0.8532110091743119,0.775,0.812227074235808,0.615,0.632183908045977,0.55,0.5882352941176471,0.59,0.6,0.54,0.5684210526315789,126.07153008535857,9.14005134812105e-09
0.8,0.8333333333333334,0.75,0.7894736842105262,0.615,0.6116504854368932,0.63,0.6206896551724137,0.625,0.6436781609195402,0.56,0.5989304812834224,106.70601477315859,8.871433156425571e-09
0.7916666666666666,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.56,0.56,0.56,0.56,0.56,0.5638297872340425,0.53,0.5463917525773196,111.16608483052315,1.1071834803516155e-08
0.7791666666666667,0.7913043478260869,0.7583333333333333,0.7744680851063831,0.635,0.651685393258427,0.58,0.6137566137566138,0.615,0.6185567010309279,0.6,0.6091370558375634,100.5484388649699,4.298911700590549e-08
0.7791666666666667,0.8018018018018018,0.7416666666666667,0.7705627705627706,0.605,0.6235294117647059,0.53,0.572972972972973,0.58,0.5888888888888889,0.53,0.5578947368421053,107.35148807982236,9.809189361797452e-09
0.8208333333333333,0.8407079646017699,0.7916666666666666,0.815450643776824,0.645,0.6526315789473685,0.62,0.635897435897436,0.605,0.6153846153846154,0.56,0.5863874345549739,103.02574262016334,8.327615920576111e-09
0.825,0.8482142857142857,0.7916666666666666,0.8189655172413793,0.655,0.6631578947368421,0.63,0.6461538461538461,0.66,0.6666666666666666,0.64,0.6530612244897959,115.46961559769107,7.983821733625133e-09
0.8208333333333333,0.8407079646017699,0.7916666666666666,0.815450643776824,0.65,0.6630434782608695,0.61,0.6354166666666666,0.66,0.6632653061224489,0.65,0.6565656565656566,111.6027177215685,9.910022167088488e-09
