source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.89,0.9148936170212766,0.86,0.8865979381443299,0.7333333333333333,0.7413793103448276,0.7166666666666667,0.728813559322034,0.7375,0.7355371900826446,0.7416666666666667,0.7385892116182573
0.89,0.9148936170212766,0.86,0.8865979381443299,0.6875,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.6833333333333333,0.6896551724137931,0.6666666666666666,0.6779661016949153
0.885,0.8969072164948454,0.87,0.883248730964467,0.75,0.7777777777777778,0.7,0.7368421052631577,0.7541666666666667,0.7699115044247787,0.725,0.7467811158798284
0.895,0.9072164948453608,0.88,0.8934010152284264,0.7625,0.7739130434782608,0.7416666666666667,0.7574468085106384,0.7541666666666667,0.7606837606837606,0.7416666666666667,0.751054852320675
0.92,0.9285714285714286,0.91,0.9191919191919193,0.7208333333333333,0.7572815533980582,0.65,0.6995515695067265,0.725,0.7596153846153846,0.6583333333333333,0.7053571428571429
0.87,0.8854166666666666,0.85,0.8673469387755102,0.6333333333333333,0.6538461538461539,0.5666666666666667,0.6071428571428571,0.65,0.6666666666666666,0.6,0.631578947368421
0.895,0.9072164948453608,0.88,0.8934010152284264,0.625,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.625,0.6363636363636364,0.5833333333333334,0.6086956521739131
0.875,0.8947368421052632,0.85,0.8717948717948718,0.6708333333333333,0.6814159292035398,0.6416666666666667,0.6609442060085837,0.6833333333333333,0.6896551724137931,0.6666666666666666,0.6779661016949153
0.895,0.898989898989899,0.89,0.8944723618090452,0.7625,0.7692307692307693,0.75,0.7594936708860761,0.7625,0.7647058823529411,0.7583333333333333,0.7615062761506276
0.91,0.9361702127659575,0.88,0.9072164948453608,0.7,0.7068965517241379,0.6833333333333333,0.6949152542372882,0.7,0.7033898305084746,0.6916666666666667,0.6974789915966386
0.92,0.9468085106382979,0.89,0.9175257731958764,0.5583333333333333,0.5603448275862069,0.5416666666666666,0.5508474576271186,0.5666666666666667,0.5655737704918032,0.575,0.5702479338842975
0.905,0.9354838709677419,0.87,0.9015544041450777,0.6791666666666667,0.672,0.7,0.6857142857142857,0.6833333333333333,0.6666666666666666,0.7333333333333333,0.6984126984126984
0.875,0.8865979381443299,0.86,0.8730964467005077,0.4375,0.4369747899159664,0.43333333333333335,0.4351464435146443,0.44583333333333336,0.4462809917355372,0.45,0.44813278008298757
0.89,0.90625,0.87,0.8877551020408163,0.7041666666666667,0.7168141592920354,0.675,0.6952789699570816,0.7208333333333333,0.7264957264957265,0.7083333333333334,0.7172995780590717
0.86,0.875,0.84,0.8571428571428572,0.7083333333333334,0.75,0.625,0.6818181818181818,0.7083333333333334,0.75,0.625,0.6818181818181818
0.885,0.8969072164948454,0.87,0.883248730964467,0.7791666666666667,0.8130841121495327,0.725,0.7665198237885462,0.775,0.7946428571428571,0.7416666666666667,0.7672413793103449
0.91,0.9361702127659575,0.88,0.9072164948453608,0.6166666666666667,0.6186440677966102,0.6083333333333333,0.6134453781512604,0.6166666666666667,0.6129032258064516,0.6333333333333333,0.6229508196721313
0.865,0.8842105263157894,0.84,0.8615384615384616,0.5958333333333333,0.6210526315789474,0.49166666666666664,0.5488372093023256,0.6041666666666666,0.6262626262626263,0.5166666666666667,0.5662100456621005
0.9,0.9347826086956522,0.86,0.8958333333333334,0.7291666666666666,0.7433628318584071,0.7,0.7210300429184548,0.7291666666666666,0.7350427350427351,0.7166666666666667,0.7257383966244726
0.885,0.9139784946236559,0.85,0.8808290155440415,0.75,0.8061224489795918,0.6583333333333333,0.7247706422018348,0.7583333333333333,0.803921568627451,0.6833333333333333,0.7387387387387387
0.92,0.9375,0.9,0.9183673469387755,0.5916666666666667,0.5964912280701754,0.5666666666666667,0.5811965811965812,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678
0.925,0.9381443298969072,0.91,0.9238578680203046,0.7375,0.7478260869565218,0.7166666666666667,0.7319148936170212,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667
0.895,0.9247311827956989,0.86,0.8911917098445595,0.7208333333333333,0.7476635514018691,0.6666666666666666,0.7048458149779735,0.725,0.75,0.675,0.7105263157894738
0.88,0.8958333333333334,0.86,0.8775510204081632,0.65,0.6730769230769231,0.5833333333333334,0.6250000000000001,0.6458333333333334,0.6666666666666666,0.5833333333333334,0.6222222222222222
0.88,0.9042553191489362,0.85,0.8762886597938143,0.7333333333333333,0.7641509433962265,0.675,0.7168141592920354,0.7333333333333333,0.7545454545454545,0.6916666666666667,0.7217391304347825
0.925,0.967032967032967,0.88,0.9214659685863875,0.7333333333333333,0.7413793103448276,0.7166666666666667,0.728813559322034,0.7458333333333333,0.7478991596638656,0.7416666666666667,0.7447698744769875
0.89,0.89,0.89,0.89,0.7083333333333334,0.7192982456140351,0.6833333333333333,0.7008547008547009,0.7083333333333334,0.711864406779661,0.7,0.7058823529411764
0.875,0.9032258064516129,0.84,0.8704663212435233,0.6708333333333333,0.6814159292035398,0.6416666666666667,0.6609442060085837,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424
0.93,0.9387755102040817,0.92,0.9292929292929293,0.475,0.47413793103448276,0.4583333333333333,0.4661016949152542,0.48333333333333334,0.4830508474576271,0.475,0.4789915966386555
0.925,0.9292929292929293,0.92,0.9246231155778895,0.7041666666666667,0.7474747474747475,0.6166666666666667,0.6757990867579909,0.7125,0.7524752475247525,0.6333333333333333,0.6877828054298643
0.875,0.8787878787878788,0.87,0.8743718592964824,0.7,0.7264150943396226,0.6416666666666667,0.6814159292035399,0.7041666666666667,0.7289719626168224,0.65,0.6872246696035242
0.855,0.8585858585858586,0.85,0.8542713567839195,0.7041666666666667,0.7378640776699029,0.6333333333333333,0.6816143497757847,0.7083333333333334,0.7403846153846154,0.6416666666666667,0.6875000000000001
0.89,0.9333333333333333,0.84,0.8842105263157894,0.5333333333333333,0.5377358490566038,0.475,0.5044247787610618,0.55,0.5526315789473685,0.525,0.5384615384615385
0.875,0.8947368421052632,0.85,0.8717948717948718,0.5583333333333333,0.5660377358490566,0.5,0.5309734513274337,0.5583333333333333,0.5614035087719298,0.5333333333333333,0.5470085470085471
0.9,0.9347826086956522,0.86,0.8958333333333334,0.5708333333333333,0.5894736842105263,0.4666666666666667,0.5209302325581395,0.5625,0.5757575757575758,0.475,0.5205479452054794
0.92,0.9285714285714286,0.91,0.9191919191919193,0.6958333333333333,0.6910569105691057,0.7083333333333334,0.6995884773662552,0.6916666666666667,0.6854838709677419,0.7083333333333334,0.6967213114754098
0.85,0.8645833333333334,0.83,0.8469387755102041,0.6916666666666667,0.73,0.6083333333333333,0.6636363636363636,0.6875,0.7227722772277227,0.6083333333333333,0.6606334841628959
0.875,0.9120879120879121,0.83,0.869109947643979,0.6875,0.7184466019417476,0.6166666666666667,0.663677130044843,0.6833333333333333,0.7075471698113207,0.625,0.663716814159292
0.885,0.8969072164948454,0.87,0.883248730964467,0.7083333333333334,0.7155172413793104,0.6916666666666667,0.7033898305084747,0.7125,0.7142857142857143,0.7083333333333334,0.7112970711297072
0.865,0.8762886597938144,0.85,0.8629441624365483,0.6708333333333333,0.7029702970297029,0.5916666666666667,0.6425339366515838,0.6875,0.7142857142857143,0.625,0.6666666666666666
0.9,0.9,0.9,0.9,0.725,0.77,0.6416666666666667,0.7000000000000001,0.7166666666666667,0.7549019607843137,0.6416666666666667,0.6936936936936938
0.895,0.9072164948453608,0.88,0.8934010152284264,0.5666666666666667,0.5740740740740741,0.5166666666666667,0.543859649122807,0.5625,0.5663716814159292,0.5333333333333333,0.5493562231759658
0.88,0.8958333333333334,0.86,0.8775510204081632,0.65,0.6636363636363637,0.6083333333333333,0.6347826086956522,0.6541666666666667,0.6637168141592921,0.625,0.6437768240343348
0.865,0.8762886597938144,0.85,0.8629441624365483,0.7333333333333333,0.7456140350877193,0.7083333333333334,0.7264957264957265,0.7291666666666666,0.7350427350427351,0.7166666666666667,0.7257383966244726
0.895,0.9157894736842105,0.87,0.8923076923076922,0.5625,0.5630252100840336,0.5583333333333333,0.5606694560669456,0.5708333333333333,0.5691056910569106,0.5833333333333334,0.5761316872427984
0.9,0.9081632653061225,0.89,0.8989898989898989,0.625,0.631578947368421,0.6,0.6153846153846154,0.6208333333333333,0.6260869565217392,0.6,0.6127659574468085
0.9,0.9166666666666666,0.88,0.8979591836734694,0.6708333333333333,0.6846846846846847,0.6333333333333333,0.6580086580086579,0.6666666666666666,0.6754385964912281,0.6416666666666667,0.6581196581196581
0.885,0.9230769230769231,0.84,0.8795811518324608,0.7291666666666666,0.7669902912621359,0.6583333333333333,0.7085201793721974,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435
0.91,0.9456521739130435,0.87,0.90625,0.6833333333333333,0.7115384615384616,0.6166666666666667,0.6607142857142857,0.6833333333333333,0.7,0.6416666666666667,0.6695652173913043
0.92,0.9375,0.9,0.9183673469387755,0.6958333333333333,0.6910569105691057,0.7083333333333334,0.6995884773662552,0.6916666666666667,0.6825396825396826,0.7166666666666667,0.6991869918699187
0.885,0.8969072164948454,0.87,0.883248730964467,0.7458333333333333,0.7565217391304347,0.725,0.7404255319148936,0.7458333333333333,0.7478991596638656,0.7416666666666667,0.7447698744769875
0.88,0.8958333333333334,0.86,0.8775510204081632,0.6458333333333334,0.6666666666666666,0.5833333333333334,0.6222222222222222,0.6458333333333334,0.6666666666666666,0.5833333333333334,0.6222222222222222
0.895,0.9247311827956989,0.86,0.8911917098445595,0.6666666666666666,0.6886792452830188,0.6083333333333333,0.6460176991150441,0.675,0.6909090909090909,0.6333333333333333,0.6608695652173913
0.94,0.94,0.94,0.94,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7125,0.7107438016528925,0.7166666666666667,0.7136929460580912
0.91,0.9183673469387755,0.9,0.9090909090909091,0.6541666666666667,0.6868686868686869,0.5666666666666667,0.6210045662100456,0.6583333333333333,0.69,0.575,0.6272727272727272
0.88,0.88,0.88,0.88,0.6625,0.672566371681416,0.6333333333333333,0.6523605150214592,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424
0.88,0.8958333333333334,0.86,0.8775510204081632,0.6708333333333333,0.6846846846846847,0.6333333333333333,0.6580086580086579,0.675,0.6875,0.6416666666666667,0.6637931034482759
0.94,0.9583333333333334,0.92,0.9387755102040817,0.7291666666666666,0.7433628318584071,0.7,0.7210300429184548,0.725,0.7327586206896551,0.7083333333333334,0.7203389830508475
0.87,0.8854166666666666,0.85,0.8673469387755102,0.625,0.6415094339622641,0.5666666666666667,0.6017699115044247,0.6375,0.6513761467889908,0.5916666666666667,0.6200873362445415
0.89,0.9148936170212766,0.86,0.8865979381443299,0.5041666666666667,0.5047619047619047,0.44166666666666665,0.4711111111111111,0.5041666666666667,0.504424778761062,0.475,0.4892703862660944
0.87,0.9111111111111111,0.82,0.8631578947368421,0.5833333333333334,0.5847457627118644,0.575,0.5798319327731092,0.5916666666666667,0.5887096774193549,0.6083333333333333,0.5983606557377049
0.91,0.9270833333333334,0.89,0.9081632653061226,0.725,0.7410714285714286,0.6916666666666667,0.7155172413793103,0.7333333333333333,0.7456140350877193,0.7083333333333334,0.7264957264957265
0.88,0.8877551020408163,0.87,0.8787878787878789,0.7416666666666667,0.7589285714285714,0.7083333333333334,0.7327586206896552,0.7333333333333333,0.7413793103448276,0.7166666666666667,0.728813559322034
0.915,0.9368421052631579,0.89,0.9128205128205129,0.6291666666666667,0.6396396396396397,0.5916666666666667,0.6147186147186148,0.6333333333333333,0.6379310344827587,0.6166666666666667,0.6271186440677966
0.87,0.9021739130434783,0.83,0.8645833333333334,0.7166666666666667,0.7280701754385965,0.6916666666666667,0.7094017094017094,0.725,0.725,0.725,0.7250000000000001
0.895,0.8910891089108911,0.9,0.8955223880597015,0.6666666666666666,0.6886792452830188,0.6083333333333333,0.6460176991150441,0.6666666666666666,0.6886792452830188,0.6083333333333333,0.6460176991150441
0.875,0.8947368421052632,0.85,0.8717948717948718,0.6875,0.6991150442477876,0.6583333333333333,0.6781115879828327,0.6916666666666667,0.6982758620689655,0.675,0.6864406779661018
0.875,0.8947368421052632,0.85,0.8717948717948718,0.5875,0.5897435897435898,0.575,0.5822784810126582,0.575,0.5737704918032787,0.5833333333333334,0.5785123966942148
0.915,0.9108910891089109,0.92,0.9154228855721394,0.6416666666666667,0.6440677966101694,0.6333333333333333,0.6386554621848739,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
0.91,0.9270833333333334,0.89,0.9081632653061226,0.7625,0.7787610619469026,0.7333333333333333,0.7553648068669528,0.7625,0.7647058823529411,0.7583333333333333,0.7615062761506276
0.89,0.90625,0.87,0.8877551020408163,0.65,0.6666666666666666,0.6,0.631578947368421,0.6458333333333334,0.6576576576576577,0.6083333333333333,0.6320346320346321
0.9,0.925531914893617,0.87,0.8969072164948454,0.7,0.7105263157894737,0.675,0.6923076923076923,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
0.905,0.9263157894736842,0.88,0.9025641025641025,0.7666666666666667,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.775,0.7894736842105263,0.75,0.7692307692307692
0.91,0.91,0.91,0.91,0.5375,0.5420560747663551,0.48333333333333334,0.5110132158590309,0.55,0.5526315789473685,0.525,0.5384615384615385
0.85,0.8804347826086957,0.81,0.84375,0.7,0.7222222222222222,0.65,0.6842105263157895,0.7,0.7222222222222222,0.65,0.6842105263157895
0.9,0.9166666666666666,0.88,0.8979591836734694,0.6583333333333333,0.6696428571428571,0.625,0.6465517241379309,0.675,0.6810344827586207,0.6583333333333333,0.6694915254237288
0.865,0.8686868686868687,0.86,0.864321608040201,0.5625,0.5641025641025641,0.55,0.5569620253164557,0.5458333333333333,0.5454545454545454,0.55,0.5477178423236514
0.915,0.9108910891089109,0.92,0.9154228855721394,0.7541666666666667,0.801980198019802,0.675,0.7330316742081447,0.7583333333333333,0.803921568627451,0.6833333333333333,0.7387387387387387
0.88,0.8958333333333334,0.86,0.8775510204081632,0.6291666666666667,0.6302521008403361,0.625,0.6276150627615062,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
0.91,0.9270833333333334,0.89,0.9081632653061226,0.6125,0.6285714285714286,0.55,0.5866666666666667,0.6291666666666667,0.6422018348623854,0.5833333333333334,0.6113537117903931
0.925,0.967032967032967,0.88,0.9214659685863875,0.49583333333333335,0.4957983193277311,0.49166666666666664,0.4937238493723849,0.5083333333333333,0.5075757575757576,0.5583333333333333,0.5317460317460317
0.86,0.8913043478260869,0.82,0.8541666666666666,0.5041666666666667,0.5042016806722689,0.5,0.502092050209205,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333
0.885,0.9139784946236559,0.85,0.8808290155440415,0.6083333333333333,0.625,0.5416666666666666,0.5803571428571429,0.6041666666666666,0.6190476190476191,0.5416666666666666,0.5777777777777778
0.915,0.9191919191919192,0.91,0.9145728643216081,0.5166666666666667,0.52,0.43333333333333335,0.4727272727272728,0.5166666666666667,0.5196078431372549,0.44166666666666665,0.4774774774774775
0.89,0.90625,0.87,0.8877551020408163,0.6375,0.6434782608695652,0.6166666666666667,0.6297872340425532,0.6375,0.6434782608695652,0.6166666666666667,0.6297872340425532
0.885,0.9139784946236559,0.85,0.8808290155440415,0.6458333333333334,0.6446280991735537,0.65,0.6473029045643154,0.65,0.6428571428571429,0.675,0.6585365853658537
