target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.7833333333333333,0.7741935483870968,0.8,0.7868852459016393,0.545,0.5473684210526316,0.52,0.5333333333333334,0.56,0.5545454545454546,0.61,0.580952380952381,0.06838219866318837,0.07403308556410346
0.7291666666666666,0.7272727272727273,0.7333333333333333,0.7302904564315353,0.615,0.6263736263736264,0.57,0.5968586387434556,0.665,0.6813186813186813,0.62,0.6492146596858639,0.058307023401777125,0.06285387966492839
0.8041666666666667,0.8067226890756303,0.8,0.803347280334728,0.625,0.6404494382022472,0.57,0.6031746031746033,0.57,0.5714285714285714,0.56,0.5656565656565656,0.07443124704053303,0.05261538064693337
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.605,0.6129032258064516,0.57,0.5906735751295337,0.615,0.6161616161616161,0.61,0.6130653266331657,0.07507255353453901,0.06913831237560229
0.7541666666666667,0.7479674796747967,0.7666666666666667,0.757201646090535,0.62,0.6363636363636364,0.56,0.5957446808510639,0.62,0.6111111111111112,0.66,0.6346153846153846,0.03877269308084732,0.052620599163810886
0.8083333333333333,0.7983870967741935,0.825,0.8114754098360655,0.595,0.6091954022988506,0.53,0.5668449197860963,0.615,0.6161616161616161,0.61,0.6130653266331657,0.062160246951320886,0.07413915162432373
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.585,0.6,0.51,0.5513513513513514,0.585,0.5876288659793815,0.57,0.5786802030456853,0.05446369404559862,0.06405620742090716
0.775,0.775,0.775,0.775,0.64,0.6521739130434783,0.6,0.6250000000000001,0.6,0.6,0.6,0.6,0.06399595719015762,0.06276687511863115
0.7916666666666666,0.7966101694915254,0.7833333333333333,0.7899159663865546,0.535,0.5393258426966292,0.48,0.5079365079365079,0.61,0.61,0.61,0.61,0.04366992424262592,0.06983414180059415
0.7375,0.7209302325581395,0.775,0.7469879518072289,0.635,0.651685393258427,0.58,0.6137566137566138,0.635,0.6310679611650486,0.65,0.6403940886699507,0.04408210650406577,0.04825083582893854
0.7833333333333333,0.7786885245901639,0.7916666666666666,0.7851239669421487,0.59,0.5978260869565217,0.55,0.5729166666666666,0.58,0.58,0.58,0.58,0.09029917805206447,0.07087364263664203
0.825,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.64,0.64,0.64,0.64,0.635,0.6363636363636364,0.63,0.6331658291457286,0.04849440245237313,0.08292379611921478
0.7958333333333333,0.7886178861788617,0.8083333333333333,0.7983539094650206,0.65,0.6630434782608695,0.61,0.6354166666666666,0.65,0.65,0.65,0.65,0.05461948124960356,0.05010573125678176
0.7833333333333333,0.7786885245901639,0.7916666666666666,0.7851239669421487,0.575,0.5882352941176471,0.5,0.5405405405405405,0.555,0.5555555555555556,0.55,0.5527638190954774,0.06364059894515187,0.08492483255957002
0.7375,0.7355371900826446,0.7416666666666667,0.7385892116182573,0.56,0.5681818181818182,0.5,0.5319148936170213,0.635,0.6310679611650486,0.65,0.6403940886699507,0.04630943905118658,0.06115195916555417
0.7583333333333333,0.7540983606557377,0.7666666666666667,0.7603305785123967,0.55,0.5568181818181818,0.49,0.5212765957446808,0.61,0.6122448979591837,0.6,0.6060606060606062,0.06383699609925902,0.0828587080918821
