source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.815,0.8247422680412371,0.8,0.8121827411167513,0.65,0.6636363636363637,0.6083333333333333,0.6347826086956522,0.625,0.6388888888888888,0.575,0.6052631578947367
0.795,0.8041237113402062,0.78,0.7918781725888325,0.6125,0.6194690265486725,0.5833333333333334,0.6008583690987124,0.6208333333333333,0.616,0.6416666666666667,0.6285714285714287
0.82,0.8478260869565217,0.78,0.8125,0.6,0.6071428571428571,0.5666666666666667,0.5862068965517241,0.6208333333333333,0.6260869565217392,0.6,0.6127659574468085
0.84,0.8863636363636364,0.78,0.8297872340425532,0.6666666666666666,0.6515151515151515,0.7166666666666667,0.6825396825396826,0.6625,0.648854961832061,0.7083333333333334,0.6772908366533865
0.83,0.851063829787234,0.8,0.8247422680412372,0.6416666666666667,0.6440677966101694,0.6333333333333333,0.6386554621848739,0.6416666666666667,0.6440677966101694,0.6333333333333333,0.6386554621848739
0.795,0.8172043010752689,0.76,0.7875647668393783,0.625,0.625,0.625,0.625,0.6375,0.6410256410256411,0.625,0.6329113924050633
0.81,0.8229166666666666,0.79,0.806122448979592,0.65,0.6451612903225806,0.6666666666666666,0.6557377049180327,0.6625,0.648854961832061,0.7083333333333334,0.6772908366533865
0.81,0.8229166666666666,0.79,0.806122448979592,0.6708333333333333,0.6846846846846847,0.6333333333333333,0.6580086580086579,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.84,0.8617021276595744,0.81,0.8350515463917526,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6375,0.6363636363636364,0.6416666666666667,0.6390041493775934
0.785,0.8064516129032258,0.75,0.77720207253886,0.625,0.6209677419354839,0.6416666666666667,0.6311475409836066,0.6458333333333334,0.6377952755905512,0.675,0.6558704453441295
0.815,0.8539325842696629,0.76,0.8042328042328041,0.6208333333333333,0.6106870229007634,0.6666666666666666,0.6374501992031872,0.6458333333333334,0.6377952755905512,0.675,0.6558704453441295
0.805,0.801980198019802,0.81,0.8059701492537314,0.5875,0.5867768595041323,0.5916666666666667,0.5892116182572613,0.6041666666666666,0.6086956521739131,0.5833333333333334,0.5957446808510638
0.8,0.8191489361702128,0.77,0.7938144329896908,0.6208333333333333,0.6218487394957983,0.6166666666666667,0.6192468619246863,0.6125,0.6173913043478261,0.5916666666666667,0.604255319148936
0.785,0.7766990291262136,0.8,0.788177339901478,0.65,0.6384615384615384,0.6916666666666667,0.6639999999999999,0.65,0.6363636363636364,0.7,0.6666666666666666
0.835,0.8383838383838383,0.83,0.8341708542713568,0.6375,0.627906976744186,0.675,0.6506024096385542,0.6583333333333333,0.6484375,0.6916666666666667,0.6693548387096774
0.805,0.8210526315789474,0.78,0.8,0.6208333333333333,0.616,0.6416666666666667,0.6285714285714287,0.6208333333333333,0.6178861788617886,0.6333333333333333,0.6255144032921811
0.735,0.7582417582417582,0.69,0.7225130890052356,0.6125,0.6216216216216216,0.575,0.5974025974025973,0.625,0.631578947368421,0.6,0.6153846153846154
0.85,0.85,0.85,0.85,0.6833333333333333,0.6864406779661016,0.675,0.680672268907563,0.6791666666666667,0.6776859504132231,0.6833333333333333,0.6804979253112033
0.81,0.8444444444444444,0.76,0.8,0.6375,0.6386554621848739,0.6333333333333333,0.6359832635983264,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667
0.815,0.8058252427184466,0.83,0.8177339901477833,0.5666666666666667,0.5655737704918032,0.575,0.5702479338842975,0.575,0.5737704918032787,0.5833333333333334,0.5785123966942148
0.77,0.78125,0.75,0.7653061224489796,0.6458333333333334,0.6446280991735537,0.65,0.6473029045643154,0.6625,0.6535433070866141,0.6916666666666667,0.6720647773279352
0.775,0.8021978021978022,0.73,0.7643979057591622,0.65,0.6551724137931034,0.6333333333333333,0.6440677966101694,0.65,0.6551724137931034,0.6333333333333333,0.6440677966101694
0.855,0.8514851485148515,0.86,0.8557213930348259,0.5708333333333333,0.5714285714285714,0.5666666666666667,0.5690376569037656,0.5875,0.5882352941176471,0.5833333333333334,0.5857740585774059
0.815,0.8315789473684211,0.79,0.8102564102564104,0.5875,0.5867768595041323,0.5916666666666667,0.5892116182572613,0.6041666666666666,0.6033057851239669,0.6083333333333333,0.6058091286307054
0.84,0.8333333333333334,0.85,0.8415841584158417,0.6708333333333333,0.6846846846846847,0.6333333333333333,0.6580086580086579,0.6625,0.6638655462184874,0.6583333333333333,0.6610878661087867
0.795,0.8241758241758241,0.75,0.7853403141361257,0.675,0.6810344827586207,0.6583333333333333,0.6694915254237288,0.6708333333333333,0.6722689075630253,0.6666666666666666,0.6694560669456067
0.8,0.8333333333333334,0.75,0.7894736842105262,0.5666666666666667,0.5740740740740741,0.5166666666666667,0.543859649122807,0.6041666666666666,0.6086956521739131,0.5833333333333334,0.5957446808510638
0.775,0.7894736842105263,0.75,0.7692307692307692,0.6458333333333334,0.6605504587155964,0.6,0.62882096069869,0.6375,0.6513761467889908,0.5916666666666667,0.6200873362445415
0.795,0.8041237113402062,0.78,0.7918781725888325,0.6833333333333333,0.6929824561403509,0.6583333333333333,0.6752136752136753,0.675,0.6842105263157895,0.65,0.6666666666666667
0.805,0.8351648351648352,0.76,0.7958115183246074,0.6333333333333333,0.635593220338983,0.625,0.6302521008403361,0.6416666666666667,0.6517857142857143,0.6083333333333333,0.6293103448275862
0.8,0.8260869565217391,0.76,0.7916666666666667,0.6916666666666667,0.6982758620689655,0.675,0.6864406779661018,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
0.78,0.7978723404255319,0.75,0.7731958762886597,0.6625,0.6638655462184874,0.6583333333333333,0.6610878661087867,0.6791666666666667,0.6747967479674797,0.6916666666666667,0.6831275720164609
0.805,0.8080808080808081,0.8,0.8040201005025126,0.5958333333333333,0.592,0.6166666666666667,0.6040816326530611,0.6,0.5967741935483871,0.6166666666666667,0.6065573770491804
0.815,0.8118811881188119,0.82,0.8159203980099502,0.6291666666666667,0.6201550387596899,0.6666666666666666,0.6425702811244979,0.6166666666666667,0.6147540983606558,0.625,0.6198347107438017
