source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.965,0.9603960396039604,0.97,0.9651741293532338,0.9416666666666667,0.9491525423728814,0.9333333333333333,0.9411764705882353,0.9416666666666667,0.9491525423728814,0.9333333333333333,0.9411764705882353
0.98,0.9705882352941176,0.99,0.9801980198019802,0.9458333333333333,0.9908256880733946,0.9,0.9432314410480349,0.95,0.990909090909091,0.9083333333333333,0.9478260869565217
0.98,0.98,0.98,0.98,0.9291666666666667,0.9478260869565217,0.9083333333333333,0.9276595744680851,0.9291666666666667,0.9557522123893806,0.9,0.9270386266094421
0.97,0.9519230769230769,0.99,0.9705882352941176,0.9166666666666666,0.9464285714285714,0.8833333333333333,0.9137931034482758,0.925,0.9396551724137931,0.9083333333333333,0.9237288135593221
0.99,0.99,0.99,0.99,0.9125,0.9024390243902439,0.925,0.9135802469135802,0.925,0.925,0.925,0.925
0.985,0.9801980198019802,0.99,0.9850746268656716,0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207,0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207
0.995,0.9900990099009901,1.0,0.9950248756218906,0.9333333333333333,0.9482758620689655,0.9166666666666666,0.9322033898305084,0.9333333333333333,0.956140350877193,0.9083333333333333,0.9316239316239316
0.98,0.9705882352941176,0.99,0.9801980198019802,0.9458333333333333,0.9572649572649573,0.9333333333333333,0.9451476793248945,0.9416666666666667,0.9568965517241379,0.925,0.9406779661016949
1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9625,0.9663865546218487,0.9583333333333334,0.9623430962343097
0.965,0.9603960396039604,0.97,0.9651741293532338,0.925,0.9322033898305084,0.9166666666666666,0.9243697478991596,0.9375,0.9487179487179487,0.925,0.9367088607594937
0.96,0.9509803921568627,0.97,0.9603960396039604,0.9333333333333333,0.9642857142857143,0.9,0.9310344827586207,0.9291666666666667,0.963963963963964,0.8916666666666667,0.9264069264069265
0.965,0.9603960396039604,0.97,0.9651741293532338,0.9291666666666667,0.9724770642201835,0.8833333333333333,0.925764192139738,0.9375,0.972972972972973,0.9,0.935064935064935
0.985,0.9801980198019802,0.99,0.9850746268656716,0.95,0.9655172413793104,0.9333333333333333,0.9491525423728815,0.9416666666666667,0.9649122807017544,0.9166666666666666,0.9401709401709402
0.96,0.9423076923076923,0.98,0.9607843137254902,0.9166666666666666,0.923728813559322,0.9083333333333333,0.9159663865546218,0.9125,0.9230769230769231,0.9,0.9113924050632911
0.99,0.9803921568627451,1.0,0.99009900990099,0.95,0.9736842105263158,0.925,0.9487179487179489,0.9458333333333333,0.9734513274336283,0.9166666666666666,0.944206008583691
0.975,0.9896907216494846,0.96,0.9746192893401014,0.9333333333333333,0.956140350877193,0.9083333333333333,0.9316239316239316,0.9291666666666667,0.9557522123893806,0.9,0.9270386266094421
0.94,0.9230769230769231,0.96,0.9411764705882353,0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.9125,0.9304347826086956,0.8916666666666667,0.9106382978723404
0.965,0.9514563106796117,0.98,0.9655172413793104,0.925,0.9322033898305084,0.9166666666666666,0.9243697478991596,0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128
0.97,0.9433962264150944,1.0,0.970873786407767,0.9333333333333333,0.9262295081967213,0.9416666666666667,0.9338842975206612,0.925,0.9047619047619048,0.95,0.9268292682926829
0.985,0.9801980198019802,0.99,0.9850746268656716,0.9666666666666667,0.9827586206896551,0.95,0.9661016949152542,0.9625,0.9826086956521739,0.9416666666666667,0.9617021276595745
0.97,0.9433962264150944,1.0,0.970873786407767,0.9583333333333334,0.9435483870967742,0.975,0.9590163934426231,0.9541666666666667,0.943089430894309,0.9666666666666667,0.9547325102880659
0.96,0.9423076923076923,0.98,0.9607843137254902,0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.9,0.9285714285714286,0.8666666666666667,0.896551724137931
0.975,0.9702970297029703,0.98,0.9751243781094527,0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.9166666666666666,0.9385964912280702,0.8916666666666667,0.9145299145299146
0.97,0.9607843137254902,0.98,0.9702970297029702,0.9083333333333333,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.9,0.9210526315789473,0.875,0.8974358974358975
0.97,0.97,0.97,0.97,0.9458333333333333,0.9572649572649573,0.9333333333333333,0.9451476793248945,0.9541666666666667,0.957983193277311,0.95,0.9539748953974896
0.99,0.9803921568627451,1.0,0.99009900990099,0.9291666666666667,0.9327731092436975,0.925,0.9288702928870293,0.9291666666666667,0.9327731092436975,0.925,0.9288702928870293
0.975,0.9611650485436893,0.99,0.9753694581280788,0.95,0.9655172413793104,0.9333333333333333,0.9491525423728815,0.9458333333333333,0.9652173913043478,0.925,0.9446808510638298
0.99,0.99,0.99,0.99,0.95,0.9576271186440678,0.9416666666666667,0.9495798319327732,0.95,0.9576271186440678,0.9416666666666667,0.9495798319327732
0.95,0.9326923076923077,0.97,0.9509803921568627,0.9375,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9416666666666667,0.9649122807017544,0.9166666666666666,0.9401709401709402
0.965,0.9696969696969697,0.96,0.964824120603015,0.9458333333333333,0.9349593495934959,0.9583333333333334,0.9465020576131687,0.9416666666666667,0.9344262295081968,0.95,0.9421487603305784
0.99,0.9803921568627451,1.0,0.99009900990099,0.9541666666666667,0.957983193277311,0.95,0.9539748953974896,0.95,0.9655172413793104,0.9333333333333333,0.9491525423728815
0.935,0.9142857142857143,0.96,0.9365853658536586,0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.925,0.9396551724137931,0.9083333333333333,0.9237288135593221
