target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.8833333333333333,0.896551724137931,0.8666666666666667,0.8813559322033899,0.765,0.797752808988764,0.71,0.7513227513227513,0.74,0.7608695652173914,0.7,0.7291666666666667
0.9083333333333333,0.9016393442622951,0.9166666666666666,0.9090909090909091,0.775,0.8160919540229885,0.71,0.7593582887700535,0.765,0.797752808988764,0.71,0.7513227513227513
0.8916666666666667,0.8790322580645161,0.9083333333333333,0.8934426229508197,0.805,0.8426966292134831,0.75,0.7936507936507935,0.87,0.8363636363636363,0.92,0.8761904761904761
0.9,0.9,0.9,0.9,0.745,0.7525773195876289,0.73,0.7411167512690355,0.88,0.8275862068965517,0.96,0.888888888888889
0.9125,0.9024390243902439,0.925,0.9135802469135802,0.75,0.7551020408163265,0.74,0.7474747474747474,0.755,0.7741935483870968,0.72,0.7461139896373057
0.9083333333333333,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.83,0.83,0.83,0.83,0.795,0.8105263157894737,0.77,0.7897435897435898
0.9,0.8934426229508197,0.9083333333333333,0.9008264462809917,0.77,0.7872340425531915,0.74,0.7628865979381443,0.85,0.8125,0.91,0.8584905660377358
0.9208333333333333,0.8633093525179856,1.0,0.9266409266409266,0.765,0.8271604938271605,0.67,0.7403314917127072,0.885,0.8468468468468469,0.94,0.8909952606635071
0.8791666666666667,0.8527131782945736,0.9166666666666666,0.8835341365461846,0.82,0.8478260869565217,0.78,0.8125,0.88,0.8454545454545455,0.93,0.8857142857142858
0.8916666666666667,0.8916666666666667,0.8916666666666667,0.8916666666666667,0.77,0.7934782608695652,0.73,0.7604166666666666,0.76,0.776595744680851,0.73,0.7525773195876287
0.9375,0.8888888888888888,1.0,0.9411764705882353,0.75,0.7976190476190477,0.67,0.7282608695652173,0.73,0.7613636363636364,0.67,0.7127659574468085
0.8916666666666667,0.8357142857142857,0.975,0.9,0.805,0.8351648351648352,0.76,0.7958115183246074,0.87,0.8083333333333333,0.97,0.8818181818181818
0.9208333333333333,0.8686131386861314,0.9916666666666667,0.926070038910506,0.8,0.8846153846153846,0.69,0.7752808988764044,0.915,0.8608695652173913,0.99,0.9209302325581394
0.9083333333333333,0.8450704225352113,1.0,0.916030534351145,0.815,0.8387096774193549,0.78,0.8082901554404146,0.875,0.8205128205128205,0.96,0.8847926267281105
0.8916666666666667,0.9122807017543859,0.8666666666666667,0.8888888888888888,0.81,0.8604651162790697,0.74,0.7956989247311828,0.865,0.8230088495575221,0.93,0.8732394366197184
0.9166666666666666,0.9098360655737705,0.925,0.9173553719008265,0.79,0.8452380952380952,0.71,0.7717391304347825,0.92,0.8888888888888888,0.96,0.923076923076923
0.8791666666666667,0.8760330578512396,0.8833333333333333,0.8796680497925311,0.215,0.21782178217821782,0.22,0.21890547263681592,0.29,0.28125,0.27,0.2755102040816327
0.8833333333333333,0.8770491803278688,0.8916666666666667,0.884297520661157,0.83,0.851063829787234,0.8,0.8247422680412372,0.81,0.8369565217391305,0.77,0.8020833333333334
0.8875,0.8974358974358975,0.875,0.8860759493670887,0.8,0.8488372093023255,0.73,0.7849462365591398,0.77,0.8068181818181818,0.71,0.7553191489361702
0.9458333333333333,0.9083969465648855,0.9916666666666667,0.9482071713147411,0.8,0.8409090909090909,0.74,0.7872340425531915,0.785,0.8352941176470589,0.71,0.7675675675675675
0.9083333333333333,0.8951612903225806,0.925,0.9098360655737704,0.765,0.8192771084337349,0.68,0.7431693989071038,0.765,0.7849462365591398,0.73,0.7564766839378239
0.8875,0.9043478260869565,0.8666666666666667,0.8851063829787233,0.815,0.8315789473684211,0.79,0.8102564102564104,0.8,0.8191489361702128,0.77,0.7938144329896908
0.9083333333333333,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.775,0.7894736842105263,0.75,0.7692307692307692,0.88,0.8333333333333334,0.95,0.8878504672897196
