source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.83,0.8,0.88,0.8380952380952381,0.5541666666666667,0.5555555555555556,0.5416666666666666,0.5485232067510548,0.55,0.5517241379310345,0.5333333333333333,0.5423728813559322
0.79,0.7685185185185185,0.83,0.798076923076923,0.4625,0.464,0.48333333333333334,0.47346938775510206,0.4583333333333333,0.4596774193548387,0.475,0.4672131147540984
0.78,0.7745098039215687,0.79,0.7821782178217823,0.4625,0.46017699115044247,0.43333333333333335,0.4463519313304721,0.4583333333333333,0.45535714285714285,0.425,0.43965517241379304
0.775,0.7477477477477478,0.83,0.7867298578199052,0.48333333333333334,0.48214285714285715,0.45,0.46551724137931033,0.49166666666666664,0.49074074074074076,0.44166666666666665,0.4649122807017544
0.765,0.7431192660550459,0.81,0.7751196172248804,0.5125,0.5112781954887218,0.5666666666666667,0.5375494071146245,0.525,0.5230769230769231,0.5666666666666667,0.5439999999999999
0.775,0.7777777777777778,0.77,0.7738693467336684,0.4875,0.48598130841121495,0.43333333333333335,0.4581497797356828,0.4791666666666667,0.47706422018348627,0.43333333333333335,0.4541484716157206
0.79,0.7685185185185185,0.83,0.798076923076923,0.43333333333333335,0.43548387096774194,0.45,0.4426229508196722,0.4375,0.43902439024390244,0.45,0.4444444444444445
0.84,0.8090909090909091,0.89,0.8476190476190476,0.5166666666666667,0.5169491525423728,0.5083333333333333,0.5126050420168067,0.5125,0.5128205128205128,0.5,0.5063291139240506
0.9,0.9,0.9,0.9,0.3958333333333333,0.40875912408759124,0.4666666666666667,0.43579766536964976,0.3875,0.39849624060150374,0.44166666666666665,0.4189723320158102
0.84,0.7931034482758621,0.92,0.851851851851852,0.5208333333333334,0.5213675213675214,0.5083333333333333,0.5147679324894515,0.5166666666666667,0.5175438596491229,0.49166666666666664,0.5042735042735043
0.83,0.8,0.88,0.8380952380952381,0.49583333333333335,0.49586776859504134,0.5,0.4979253112033195,0.5083333333333333,0.5084745762711864,0.5,0.5042016806722689
0.775,0.7619047619047619,0.8,0.7804878048780488,0.44583333333333336,0.44144144144144143,0.4083333333333333,0.4242424242424242,0.44166666666666665,0.43636363636363634,0.4,0.41739130434782606
0.785,0.7766990291262136,0.8,0.788177339901478,0.4625,0.46616541353383456,0.5166666666666667,0.4901185770750988,0.4625,0.46616541353383456,0.5166666666666667,0.4901185770750988
0.815,0.794392523364486,0.85,0.8212560386473431,0.5,0.5,0.5166666666666667,0.5081967213114755,0.49583333333333335,0.4959349593495935,0.5083333333333333,0.5020576131687242
0.8,0.7830188679245284,0.83,0.8058252427184467,0.475,0.47580645161290325,0.49166666666666664,0.48360655737704916,0.475,0.47580645161290325,0.49166666666666664,0.48360655737704916
0.87,0.8557692307692307,0.89,0.8725490196078431,0.475,0.47368421052631576,0.45,0.46153846153846156,0.4791666666666667,0.4778761061946903,0.45,0.46351931330472107
0.83,0.8,0.88,0.8380952380952381,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
0.795,0.7864077669902912,0.81,0.7980295566502462,0.5458333333333333,0.5495495495495496,0.5083333333333333,0.528138528138528,0.5416666666666666,0.5454545454545454,0.5,0.5217391304347826
0.79,0.7735849056603774,0.82,0.796116504854369,0.43333333333333335,0.43846153846153846,0.475,0.456,0.43333333333333335,0.43846153846153846,0.475,0.456
0.81,0.7924528301886793,0.84,0.8155339805825242,0.525,0.5241935483870968,0.5416666666666666,0.5327868852459015,0.525,0.5241935483870968,0.5416666666666666,0.5327868852459015
0.83,0.7894736842105263,0.9,0.8411214953271027,0.5416666666666666,0.5384615384615384,0.5833333333333334,0.5599999999999999,0.5458333333333333,0.5426356589147286,0.5833333333333334,0.5622489959839357
0.785,0.7821782178217822,0.79,0.7860696517412936,0.4666666666666667,0.4701492537313433,0.525,0.49606299212598426,0.4666666666666667,0.4701492537313433,0.525,0.49606299212598426
0.81,0.7818181818181819,0.86,0.819047619047619,0.5833333333333334,0.5925925925925926,0.5333333333333333,0.5614035087719299,0.5875,0.5981308411214953,0.5333333333333333,0.5638766519823788
0.81,0.7924528301886793,0.84,0.8155339805825242,0.4791666666666667,0.4796747967479675,0.49166666666666664,0.48559670781893,0.48333333333333334,0.48360655737704916,0.49166666666666664,0.4876033057851239
