source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1,transfer_score,w_dist
0.875,0.9213483146067416,0.82,0.8677248677248677,0.6125,0.608,0.6333333333333333,0.620408163265306,0.5833333333333334,0.5877192982456141,0.5583333333333333,0.5726495726495726,109.43111582068065,7.566199888341778e-09
0.825,0.8571428571428571,0.78,0.8167539267015708,0.6291666666666667,0.6396396396396397,0.5916666666666667,0.6147186147186148,0.625,0.6339285714285714,0.5916666666666667,0.6120689655172414,127.11149058764914,8.449489871947122e-09
0.83,0.851063829787234,0.8,0.8247422680412372,0.5625,0.5663716814159292,0.5333333333333333,0.5493562231759658,0.6416666666666667,0.6545454545454545,0.6,0.6260869565217392,134.9217737718805,8.657872430278201e-09
0.85,0.8804347826086957,0.81,0.84375,0.5708333333333333,0.5658914728682171,0.6083333333333333,0.5863453815261044,0.5666666666666667,0.5754716981132075,0.5083333333333333,0.5398230088495575,146.50484118730546,8.062676625260076e-09
0.8,0.8260869565217391,0.76,0.7916666666666667,0.49583333333333335,0.49557522123893805,0.4666666666666667,0.48068669527896996,0.5166666666666667,0.5163934426229508,0.525,0.5206611570247933,145.30210035958316,7.1856983687813e-09
0.885,0.9052631578947369,0.86,0.8820512820512821,0.5625,0.5630252100840336,0.5583333333333333,0.5606694560669456,0.5416666666666666,0.5462962962962963,0.49166666666666664,0.5175438596491228,145.0636198589351,8.90735109874056e-09
0.845,0.8556701030927835,0.83,0.8426395939086294,0.5625,0.5728155339805825,0.49166666666666664,0.5291479820627802,0.5875,0.5867768595041323,0.5916666666666667,0.5892116182572613,126.76735966527792,8.264677027268634e-09
0.86,0.8829787234042553,0.83,0.8556701030927835,0.49166666666666664,0.4915254237288136,0.48333333333333334,0.48739495798319327,0.6083333333333333,0.6140350877192983,0.5833333333333334,0.5982905982905983,158.73361801146694,8.698631049891712e-09
0.845,0.8791208791208791,0.8,0.837696335078534,0.525,0.5254237288135594,0.5166666666666667,0.5210084033613446,0.5041666666666667,0.5045045045045045,0.4666666666666667,0.4848484848484848,143.28072532136153,7.458500585836322e-09
0.845,0.8484848484848485,0.84,0.8442211055276383,0.5,0.5,0.525,0.5121951219512195,0.5666666666666667,0.5689655172413793,0.55,0.5593220338983051,160.94204099991344,8.923415523758263e-09
0.83,0.8586956521739131,0.79,0.8229166666666666,0.6083333333333333,0.6160714285714286,0.575,0.5948275862068966,0.5583333333333333,0.559322033898305,0.55,0.5546218487394957,110.58197543726192,8.49158232856744e-09
0.85,0.8804347826086957,0.81,0.84375,0.55,0.5491803278688525,0.5583333333333333,0.5537190082644629,0.5791666666666667,0.5855855855855856,0.5416666666666666,0.5627705627705627,151.42857145208737,8.360354572540226e-09
0.85,0.8723404255319149,0.82,0.8453608247422681,0.5375,0.5384615384615384,0.525,0.5316455696202531,0.5958333333333333,0.6074766355140186,0.5416666666666666,0.5726872246696034,159.00394682956795,9.345988521821888e-09
0.84,0.8541666666666666,0.82,0.836734693877551,0.5625,0.5609756097560976,0.575,0.5679012345679012,0.5875,0.591304347826087,0.5666666666666667,0.5787234042553192,133.5119700541282,9.605513599115048e-09
0.845,0.8791208791208791,0.8,0.837696335078534,0.4375,0.4409448818897638,0.4666666666666667,0.4534412955465587,0.5041666666666667,0.5045045045045045,0.4666666666666667,0.4848484848484848,158.4138522479132,9.728126761141853e-09
0.855,0.8817204301075269,0.82,0.849740932642487,0.49583333333333335,0.49606299212598426,0.525,0.5101214574898786,0.5041666666666667,0.504424778761062,0.475,0.4892703862660944,171.79156370122172,8.333258266485766e-09
0.84,0.8617021276595744,0.81,0.8350515463917526,0.6166666666666667,0.6228070175438597,0.5916666666666667,0.6068376068376069,0.6,0.5983606557377049,0.6083333333333333,0.6033057851239669,121.39596247781208,7.564708868459299e-09
0.85,0.8977272727272727,0.79,0.8404255319148937,0.5208333333333334,0.5213675213675214,0.5083333333333333,0.5147679324894515,0.5166666666666667,0.5181818181818182,0.475,0.49565217391304345,146.6892756625497,9.714960282777597e-09
