source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.89,0.8979591836734694,0.88,0.888888888888889,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.6875,0.6923076923076923,0.675,0.6835443037974683
0.845,0.8631578947368421,0.82,0.8410256410256411,0.6625,0.6666666666666666,0.65,0.6582278481012659,0.6625,0.6695652173913044,0.6416666666666667,0.6553191489361703
0.845,0.8631578947368421,0.82,0.8410256410256411,0.6833333333333333,0.6929824561403509,0.6583333333333333,0.6752136752136753,0.6666666666666666,0.6694915254237288,0.6583333333333333,0.6638655462184875
0.78,0.7857142857142857,0.77,0.7777777777777778,0.5791666666666667,0.5826086956521739,0.5583333333333333,0.5702127659574469,0.6,0.6,0.6,0.6
0.845,0.8349514563106796,0.86,0.8472906403940887,0.7,0.7142857142857143,0.6666666666666666,0.689655172413793,0.7083333333333334,0.7232142857142857,0.675,0.6982758620689654
0.855,0.8514851485148515,0.86,0.8557213930348259,0.6333333333333333,0.635593220338983,0.625,0.6302521008403361,0.65,0.6636363636363637,0.6083333333333333,0.6347826086956522
0.795,0.8105263157894737,0.77,0.7897435897435898,0.65,0.6551724137931034,0.6333333333333333,0.6440677966101694,0.6583333333333333,0.6637931034482759,0.6416666666666667,0.652542372881356
0.84,0.8333333333333334,0.85,0.8415841584158417,0.6541666666666667,0.6581196581196581,0.6416666666666667,0.649789029535865,0.6541666666666667,0.6637168141592921,0.625,0.6437768240343348
0.825,0.8494623655913979,0.79,0.8186528497409327,0.65,0.6578947368421053,0.625,0.6410256410256411,0.6375,0.6386554621848739,0.6333333333333333,0.6359832635983264
0.845,0.8631578947368421,0.82,0.8410256410256411,0.6541666666666667,0.6554621848739496,0.65,0.6527196652719666,0.6708333333333333,0.6752136752136753,0.6583333333333333,0.6666666666666666
0.845,0.8631578947368421,0.82,0.8410256410256411,0.7541666666666667,0.7563025210084033,0.75,0.7531380753138075,0.7375,0.7244094488188977,0.7666666666666667,0.7449392712550608
0.845,0.8484848484848485,0.84,0.8442211055276383,0.7291666666666666,0.7310924369747899,0.725,0.7280334728033473,0.7125,0.7217391304347827,0.6916666666666667,0.7063829787234043
0.845,0.8631578947368421,0.82,0.8410256410256411,0.7125,0.7256637168141593,0.6833333333333333,0.703862660944206,0.7125,0.7217391304347827,0.6916666666666667,0.7063829787234043
0.825,0.8217821782178217,0.83,0.8258706467661692,0.6541666666666667,0.6504065040650406,0.6666666666666666,0.6584362139917695,0.6625,0.656,0.6833333333333333,0.6693877551020408
0.81,0.81,0.81,0.81,0.6791666666666667,0.6747967479674797,0.6916666666666667,0.6831275720164609,0.6875,0.6829268292682927,0.7,0.6913580246913581
0.84,0.8617021276595744,0.81,0.8350515463917526,0.6916666666666667,0.6982758620689655,0.675,0.6864406779661018,0.6875,0.6923076923076923,0.675,0.6835443037974683
0.835,0.8764044943820225,0.78,0.8253968253968254,0.675,0.6721311475409836,0.6833333333333333,0.6776859504132232,0.6791666666666667,0.6747967479674797,0.6916666666666667,0.6831275720164609
0.84,0.8541666666666666,0.82,0.836734693877551,0.675,0.6779661016949152,0.6666666666666666,0.6722689075630253,0.7125,0.7007874015748031,0.7416666666666667,0.7206477732793521
0.785,0.8064516129032258,0.75,0.77720207253886,0.6958333333333333,0.6793893129770993,0.7416666666666667,0.7091633466135457,0.7041666666666667,0.6929133858267716,0.7333333333333333,0.7125506072874495
0.845,0.8556701030927835,0.83,0.8426395939086294,0.6791666666666667,0.6837606837606838,0.6666666666666666,0.6751054852320675,0.7041666666666667,0.7130434782608696,0.6833333333333333,0.6978723404255319
0.825,0.8282828282828283,0.82,0.8241206030150754,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6875,0.6829268292682927,0.7,0.6913580246913581
0.78,0.7978723404255319,0.75,0.7731958762886597,0.6583333333333333,0.6461538461538462,0.7,0.6719999999999999,0.6708333333333333,0.6589147286821705,0.7083333333333334,0.6827309236947792
0.865,0.8924731182795699,0.83,0.8601036269430051,0.725,0.7288135593220338,0.7166666666666667,0.7226890756302521,0.725,0.7288135593220338,0.7166666666666667,0.7226890756302521
0.85,0.8888888888888888,0.8,0.8421052631578948,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424,0.6791666666666667,0.6776859504132231,0.6833333333333333,0.6804979253112033
0.87,0.8775510204081632,0.86,0.8686868686868686,0.6958333333333333,0.7043478260869566,0.675,0.6893617021276596,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.835,0.8681318681318682,0.79,0.8272251308900523,0.6583333333333333,0.6557377049180327,0.6666666666666666,0.6611570247933883,0.6416666666666667,0.6370967741935484,0.6583333333333333,0.6475409836065574
