source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.905,0.8932038834951457,0.92,0.9064039408866995,0.375,0.3897058823529412,0.44166666666666665,0.41406250000000006,0.6208333333333333,0.6178861788617886,0.6333333333333333,0.6255144032921811
0.84,0.84,0.84,0.8399999999999999,0.4625,0.46853146853146854,0.5583333333333333,0.5095057034220533,0.5958333333333333,0.6074766355140186,0.5416666666666666,0.5726872246696034
0.9,0.8921568627450981,0.91,0.900990099009901,0.4708333333333333,0.4768211920529801,0.6,0.5313653136531367,0.5875,0.5945945945945946,0.55,0.5714285714285715
0.895,0.8910891089108911,0.9,0.8955223880597015,0.6083333333333333,0.6,0.65,0.624,0.6333333333333333,0.6538461538461539,0.5666666666666667,0.6071428571428571
0.885,0.8969072164948454,0.87,0.883248730964467,0.38333333333333336,0.4,0.4666666666666667,0.4307692307692308,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678
0.9,0.9,0.9,0.9,0.5041666666666667,0.5040650406504065,0.5166666666666667,0.5102880658436214,0.5875,0.5929203539823009,0.5583333333333333,0.5751072961373391
0.885,0.8888888888888888,0.88,0.8844221105527638,0.43333333333333335,0.4444444444444444,0.5333333333333333,0.4848484848484848,0.6333333333333333,0.6379310344827587,0.6166666666666667,0.6271186440677966
0.875,0.8787878787878788,0.87,0.8743718592964824,0.45416666666666666,0.4573643410852713,0.49166666666666664,0.4738955823293173,0.6166666666666667,0.6228070175438597,0.5916666666666667,0.6068376068376069
0.85,0.85,0.85,0.85,0.6041666666666666,0.616822429906542,0.55,0.5814977973568282,0.6,0.6132075471698113,0.5416666666666666,0.5752212389380531
0.91,0.9270833333333334,0.89,0.9081632653061226,0.5416666666666666,0.5328947368421053,0.675,0.5955882352941176,0.6083333333333333,0.6120689655172413,0.5916666666666667,0.6016949152542374
0.92,0.9375,0.9,0.9183673469387755,0.49166666666666664,0.49390243902439024,0.675,0.5704225352112676,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
0.9,0.8846153846153846,0.92,0.9019607843137256,0.5333333333333333,0.5266666666666666,0.6583333333333333,0.5851851851851851,0.6291666666666667,0.628099173553719,0.6333333333333333,0.6307053941908712
0.925,0.9381443298969072,0.91,0.9238578680203046,0.4791666666666667,0.4827586206896552,0.5833333333333334,0.5283018867924529,0.6,0.603448275862069,0.5833333333333334,0.5932203389830508
0.87,0.8775510204081632,0.86,0.8686868686868686,0.5916666666666667,0.5859375,0.625,0.6048387096774194,0.6541666666666667,0.6581196581196581,0.6416666666666667,0.649789029535865
0.89,0.90625,0.87,0.8877551020408163,0.5958333333333333,0.5934959349593496,0.6083333333333333,0.6008230452674898,0.625,0.6415094339622641,0.5666666666666667,0.6017699115044247
0.91,0.9019607843137255,0.92,0.9108910891089109,0.5,0.5,0.5333333333333333,0.5161290322580646,0.5791666666666667,0.5922330097087378,0.5083333333333333,0.5470852017937219
0.875,0.8787878787878788,0.87,0.8743718592964824,0.4875,0.4900662251655629,0.6166666666666667,0.5461254612546125,0.5541666666666667,0.5565217391304348,0.5333333333333333,0.5446808510638298
0.925,0.9207920792079208,0.93,0.9253731343283582,0.4375,0.44966442953020136,0.5583333333333333,0.49814126394052055,0.5708333333333333,0.5726495726495726,0.5583333333333333,0.5654008438818565
0.97,0.97,0.97,0.97,0.43333333333333335,0.44029850746268656,0.49166666666666664,0.4645669291338583,0.5958333333333333,0.6095238095238096,0.5333333333333333,0.5688888888888889
0.9,0.9347826086956522,0.86,0.8958333333333334,0.3875,0.4117647058823529,0.525,0.46153846153846156,0.6791666666666667,0.6747967479674797,0.6916666666666667,0.6831275720164609
0.93,0.9056603773584906,0.96,0.9320388349514563,0.5625,0.5630252100840336,0.5583333333333333,0.5606694560669456,0.5833333333333334,0.5925925925925926,0.5333333333333333,0.5614035087719299
0.935,0.9393939393939394,0.93,0.9346733668341709,0.5041666666666667,0.5034013605442177,0.6166666666666667,0.5543071161048688,0.6208333333333333,0.6218487394957983,0.6166666666666667,0.6192468619246863
0.87,0.8627450980392157,0.88,0.8712871287128714,0.5583333333333333,0.5603448275862069,0.5416666666666666,0.5508474576271186,0.6125,0.6194690265486725,0.5833333333333334,0.6008583690987124
0.915,0.9191919191919192,0.91,0.9145728643216081,0.5333333333333333,0.5303030303030303,0.5833333333333334,0.5555555555555556,0.6541666666666667,0.6666666666666666,0.6166666666666667,0.6406926406926408
0.845,0.8709677419354839,0.81,0.8393782383419689,0.45,0.4594594594594595,0.5666666666666667,0.5074626865671642,0.5583333333333333,0.5564516129032258,0.575,0.5655737704918032
0.905,0.8932038834951457,0.92,0.9064039408866995,0.4166666666666667,0.4305555555555556,0.5166666666666667,0.4696969696969697,0.5625,0.5675675675675675,0.525,0.5454545454545455
0.89,0.8979591836734694,0.88,0.888888888888889,0.5958333333333333,0.5864661654135338,0.65,0.616600790513834,0.6083333333333333,0.625,0.5416666666666666,0.5803571428571429
0.895,0.898989898989899,0.89,0.8944723618090452,0.575,0.5775862068965517,0.5583333333333333,0.5677966101694915,0.5875,0.5897435897435898,0.575,0.5822784810126582
0.945,0.9405940594059405,0.95,0.9452736318407959,0.5166666666666667,0.5135135135135135,0.6333333333333333,0.5671641791044775,0.5083333333333333,0.5087719298245614,0.48333333333333334,0.4957264957264957
0.825,0.8421052631578947,0.8,0.8205128205128205,0.49583333333333335,0.49635036496350365,0.5666666666666667,0.5291828793774318,0.6541666666666667,0.6528925619834711,0.6583333333333333,0.6556016597510372
0.92,0.9375,0.9,0.9183673469387755,0.44166666666666665,0.4551282051282051,0.5916666666666667,0.5144927536231884,0.575,0.5737704918032787,0.5833333333333334,0.5785123966942148
0.895,0.898989898989899,0.89,0.8944723618090452,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5833333333333334,0.5892857142857143,0.55,0.5689655172413793
0.94,0.9230769230769231,0.96,0.9411764705882353,0.5166666666666667,0.5172413793103449,0.5,0.5084745762711865,0.5541666666666667,0.5511811023622047,0.5833333333333334,0.5668016194331984
0.91,0.8942307692307693,0.93,0.911764705882353,0.4583333333333333,0.4695121951219512,0.6416666666666667,0.5422535211267605,0.5375,0.5371900826446281,0.5416666666666666,0.5394190871369294
0.88,0.8958333333333334,0.86,0.8775510204081632,0.5166666666666667,0.5136986301369864,0.625,0.5639097744360902,0.6708333333333333,0.6694214876033058,0.675,0.6721991701244813
0.89,0.8823529411764706,0.9,0.8910891089108911,0.5166666666666667,0.5140845070422535,0.6083333333333333,0.5572519083969465,0.6291666666666667,0.6422018348623854,0.5833333333333334,0.6113537117903931
0.915,0.9191919191919192,0.91,0.9145728643216081,0.5166666666666667,0.512987012987013,0.6583333333333333,0.5766423357664233,0.5708333333333333,0.5752212389380531,0.5416666666666666,0.5579399141630901
0.885,0.8969072164948454,0.87,0.883248730964467,0.5541666666666667,0.5511811023622047,0.5833333333333334,0.5668016194331984,0.6208333333333333,0.6239316239316239,0.6083333333333333,0.6160337552742615
0.935,0.9306930693069307,0.94,0.9353233830845772,0.5791666666666667,0.5798319327731093,0.575,0.5774058577405858,0.5916666666666667,0.5887096774193549,0.6083333333333333,0.5983606557377049
0.91,0.8942307692307693,0.93,0.911764705882353,0.5125,0.5130434782608696,0.49166666666666664,0.5021276595744681,0.6625,0.6893203883495146,0.5916666666666667,0.6367713004484306
0.885,0.8969072164948454,0.87,0.883248730964467,0.625,0.6190476190476191,0.65,0.6341463414634146,0.65,0.6607142857142857,0.6166666666666667,0.6379310344827587
0.915,0.9108910891089109,0.92,0.9154228855721394,0.3458333333333333,0.37748344370860926,0.475,0.4206642066420664,0.5958333333333333,0.6055045871559633,0.55,0.5764192139737991
0.905,0.9090909090909091,0.9,0.9045226130653266,0.575,0.5652173913043478,0.65,0.6046511627906976,0.5666666666666667,0.5714285714285714,0.5333333333333333,0.5517241379310344
0.895,0.898989898989899,0.89,0.8944723618090452,0.45,0.45774647887323944,0.5416666666666666,0.4961832061068702,0.5375,0.5384615384615384,0.525,0.5316455696202531
0.845,0.8484848484848485,0.84,0.8442211055276383,0.55,0.546875,0.5833333333333334,0.564516129032258,0.6333333333333333,0.6403508771929824,0.6083333333333333,0.6239316239316238
0.89,0.89,0.89,0.89,0.3541666666666667,0.391304347826087,0.525,0.44839857651245546,0.6458333333333334,0.6470588235294118,0.6416666666666667,0.6443514644351466
0.925,0.9473684210526315,0.9,0.9230769230769231,0.4625,0.47058823529411764,0.6,0.5274725274725275,0.6416666666666667,0.6370967741935484,0.6583333333333333,0.6475409836065574
0.895,0.883495145631068,0.91,0.896551724137931,0.5,0.5,0.5,0.5,0.5666666666666667,0.5816326530612245,0.475,0.5229357798165137
