target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,w_dist
0.875,0.8879310344827587,0.8583333333333333,0.8728813559322035,0.54,0.5434782608695652,0.5,0.5208333333333334,0.55,0.5543478260869565,0.51,0.5312500000000001,166.0628662448123,1.0376976827067658e-08
0.8708333333333333,0.8739495798319328,0.8666666666666667,0.8702928870292886,0.47,0.4722222222222222,0.51,0.4903846153846154,0.535,0.5346534653465347,0.54,0.5373134328358209,175.72856460414488,9.888922383589112e-09
0.8583333333333333,0.8706896551724138,0.8416666666666667,0.8559322033898306,0.53,0.53,0.53,0.53,0.54,0.5416666666666666,0.52,0.5306122448979592,149.2777828900646,6.944919432479232e-09
0.8625,0.8782608695652174,0.8416666666666667,0.8595744680851064,0.58,0.58,0.58,0.58,0.6,0.5980392156862745,0.61,0.6039603960396039,123.77254688726522,8.112936782798654e-09
0.825,0.8305084745762712,0.8166666666666667,0.8235294117647058,0.66,0.6818181818181818,0.6,0.6382978723404256,0.59,0.59,0.59,0.59,117.62916284791143,8.860849678960333e-09
0.8583333333333333,0.9056603773584906,0.8,0.8495575221238938,0.465,0.46464646464646464,0.46,0.4623115577889447,0.505,0.5057471264367817,0.44,0.4705882352941177,203.78041406124728,8.4773356529815e-09
0.8666666666666667,0.9,0.825,0.8608695652173912,0.595,0.5959595959595959,0.59,0.5929648241206029,0.58,0.5784313725490197,0.59,0.5841584158415842,147.47898429708675,7.315731750025791e-09
0.8583333333333333,0.8909090909090909,0.8166666666666667,0.8521739130434782,0.535,0.5421686746987951,0.45,0.4918032786885245,0.53,0.53125,0.51,0.5204081632653061,141.42151438963148,9.472607293925009e-09
0.8875,0.926605504587156,0.8416666666666667,0.8820960698689956,0.465,0.4666666666666667,0.49,0.47804878048780486,0.55,0.5510204081632653,0.54,0.5454545454545455,164.54375453108588,9.807488432053808e-09
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.485,0.4823529411764706,0.41,0.4432432432432432,0.51,0.5108695652173914,0.47,0.4895833333333333,173.09501763744098,7.359030419983159e-09
0.8708333333333333,0.8938053097345132,0.8416666666666667,0.8669527896995708,0.46,0.46078431372549017,0.47,0.46534653465346537,0.52,0.5204081632653061,0.51,0.5151515151515151,176.7089221062161,8.738490316744746e-09
0.8791666666666667,0.9099099099099099,0.8416666666666667,0.8744588744588745,0.445,0.4421052631578947,0.42,0.4307692307692308,0.535,0.5368421052631579,0.51,0.523076923076923,187.60833347624032,7.025508454477454e-09
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.55,0.5531914893617021,0.52,0.536082474226804,0.565,0.5643564356435643,0.57,0.5671641791044776,149.3551918017713,6.986724060384594e-09
0.85,0.8818181818181818,0.8083333333333333,0.8434782608695653,0.605,0.6129032258064516,0.57,0.5906735751295337,0.6,0.6136363636363636,0.54,0.574468085106383,123.0279924803438,8.043738399308095e-09
