target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.8708333333333333,0.9009009009009009,0.8333333333333334,0.8658008658008659,0.49,0.49056603773584906,0.52,0.5048543689320388,0.545,0.550561797752809,0.49,0.5185185185185186,0.0802831872847476,0.12215657546226817
0.8375,0.8648648648648649,0.8,0.8311688311688312,0.515,0.5157894736842106,0.49,0.5025641025641027,0.585,0.5894736842105263,0.56,0.5743589743589743,0.06755384097772929,0.09866925067934328
0.8583333333333333,0.864406779661017,0.85,0.8571428571428572,0.52,0.524390243902439,0.43,0.47252747252747257,0.565,0.5656565656565656,0.56,0.5628140703517588,0.07165367326332767,0.09026745015577917
0.8625,0.8782608695652174,0.8416666666666667,0.8595744680851064,0.605,0.6153846153846154,0.56,0.5863874345549739,0.605,0.6179775280898876,0.55,0.582010582010582,0.06800614645856594,0.0706373189258225
0.85,0.8620689655172413,0.8333333333333334,0.847457627118644,0.555,0.5604395604395604,0.51,0.5340314136125655,0.57,0.5729166666666666,0.55,0.5612244897959183,0.09730976952981998,0.11000271789939407
0.8666666666666667,0.8728813559322034,0.8583333333333333,0.865546218487395,0.615,0.6055045871559633,0.66,0.6315789473684211,0.595,0.594059405940594,0.6,0.5970149253731343,0.06871829039851184,0.0848351204051482
0.8458333333333333,0.9029126213592233,0.775,0.8340807174887893,0.57,0.5795454545454546,0.51,0.5425531914893618,0.6,0.6063829787234043,0.57,0.5876288659793814,0.051821556035717246,0.10942974703840071
0.8541666666666666,0.8899082568807339,0.8083333333333333,0.8471615720524018,0.54,0.5454545454545454,0.48,0.5106382978723404,0.59,0.5957446808510638,0.56,0.577319587628866,0.06983797568451387,0.0782353538256822
0.8208333333333333,0.8407079646017699,0.7916666666666666,0.815450643776824,0.635,0.651685393258427,0.58,0.6137566137566138,0.625,0.6213592233009708,0.64,0.6305418719211823,0.07575514036645764,0.08314701967748966
0.8791666666666667,0.8823529411764706,0.875,0.8786610878661087,0.53,0.5306122448979592,0.52,0.5252525252525252,0.585,0.5876288659793815,0.57,0.5786802030456853,0.07610728480907503,0.08641663391988089
0.825,0.8145161290322581,0.8416666666666667,0.8278688524590163,0.525,0.5252525252525253,0.52,0.5226130653266332,0.505,0.5051546391752577,0.49,0.4974619289340101,0.08938232267212305,0.09174179181631699
0.875,0.875,0.875,0.875,0.65,0.6630434782608695,0.61,0.6354166666666666,0.625,0.6262626262626263,0.62,0.6231155778894472,0.06300160910363463,0.06748488959022904
0.8625,0.8782608695652174,0.8416666666666667,0.8595744680851064,0.62,0.6333333333333333,0.57,0.6,0.61,0.61,0.61,0.61,0.0684112930817602,0.07548803791672452
0.8583333333333333,0.864406779661017,0.85,0.8571428571428572,0.515,0.5154639175257731,0.5,0.5076142131979695,0.58,0.58,0.58,0.58,0.07058494739699218,0.10248076658196868
0.8333333333333334,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.535,0.5360824742268041,0.52,0.5279187817258884,0.56,0.5588235294117647,0.57,0.5643564356435642,0.06571602497935139,0.10221248942477534
0.8458333333333333,0.8672566371681416,0.8166666666666667,0.8412017167381974,0.59,0.6022727272727273,0.53,0.5638297872340425,0.615,0.6236559139784946,0.58,0.6010362694300518,0.07142689935609528,0.07737426291351474
0.8666666666666667,0.8859649122807017,0.8416666666666667,0.8632478632478633,0.585,0.6,0.51,0.5513513513513514,0.585,0.6,0.51,0.5513513513513514,0.05967336691520564,0.08130363128839596
0.8916666666666667,0.9122807017543859,0.8666666666666667,0.8888888888888888,0.51,0.5102040816326531,0.5,0.5050505050505051,0.565,0.5684210526315789,0.54,0.5538461538461539,0.07677625036591498,0.11204049698383656
0.8708333333333333,0.8869565217391304,0.85,0.8680851063829788,0.55,0.5625,0.45,0.5,0.585,0.5913978494623656,0.55,0.5699481865284974,0.06807084003201985,0.07282451244749423
0.8833333333333333,0.9181818181818182,0.8416666666666667,0.8782608695652174,0.595,0.6091954022988506,0.53,0.5668449197860963,0.645,0.6559139784946236,0.61,0.6321243523316062,0.061575950384685996,0.10663586012773076
0.8125,0.8205128205128205,0.8,0.810126582278481,0.605,0.6082474226804123,0.59,0.5989847715736041,0.6,0.6063829787234043,0.57,0.5876288659793814,0.061164038727164534,0.07888376801063478
0.8375,0.8785046728971962,0.7833333333333333,0.8281938325991189,0.595,0.5959595959595959,0.59,0.5929648241206029,0.57,0.574468085106383,0.54,0.5567010309278351,0.06168791499675521,0.05757016642710302
0.8666666666666667,0.9,0.825,0.8608695652173912,0.45,0.45454545454545453,0.5,0.47619047619047616,0.475,0.4742268041237113,0.46,0.46700507614213194,0.10717819606199211,0.10807925361776935
0.85,0.875,0.8166666666666667,0.8448275862068966,0.545,0.5454545454545454,0.54,0.542713567839196,0.54,0.5408163265306123,0.53,0.5353535353535354,0.05954897122867143,0.06860594275511964
0.9,0.9067796610169492,0.8916666666666667,0.8991596638655461,0.635,0.6391752577319587,0.62,0.6294416243654821,0.56,0.5612244897959183,0.55,0.5555555555555555,0.08326723251128555,0.07792603497139705
