target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.8125,0.8504672897196262,0.7583333333333333,0.801762114537445,0.565,0.5802469135802469,0.47,0.5193370165745855,0.575,0.5842696629213483,0.52,0.5502645502645502
0.8208333333333333,0.8598130841121495,0.7666666666666667,0.8105726872246696,0.53,0.5306122448979592,0.52,0.5252525252525252,0.58,0.5909090909090909,0.52,0.5531914893617023
0.825,0.8362068965517241,0.8083333333333333,0.8220338983050848,0.585,0.5913978494623656,0.55,0.5699481865284974,0.665,0.6701030927835051,0.65,0.6598984771573604
0.8416666666666667,0.8727272727272727,0.8,0.8347826086956521,0.68,0.6914893617021277,0.65,0.6701030927835052,0.61,0.6170212765957447,0.58,0.5979381443298969
0.8375,0.8785046728971962,0.7833333333333333,0.8281938325991189,0.48,0.4791666666666667,0.46,0.46938775510204084,0.645,0.6526315789473685,0.62,0.635897435897436
0.8541666666666666,0.8828828828828829,0.8166666666666667,0.8484848484848484,0.54,0.5384615384615384,0.56,0.5490196078431373,0.62,0.625,0.6,0.6122448979591836
0.7958333333333333,0.8141592920353983,0.7666666666666667,0.7896995708154507,0.625,0.6436781609195402,0.56,0.5989304812834224,0.635,0.6551724137931034,0.57,0.6096256684491977
0.8125,0.8440366972477065,0.7666666666666667,0.8034934497816594,0.63,0.6511627906976745,0.56,0.6021505376344087,0.645,0.6559139784946236,0.61,0.6321243523316062
0.7666666666666667,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.62,0.625,0.6,0.6122448979591836,0.65,0.6630434782608695,0.61,0.6354166666666666
0.8125,0.8378378378378378,0.775,0.8051948051948051,0.595,0.6067415730337079,0.54,0.5714285714285714,0.605,0.6082474226804123,0.59,0.5989847715736041
0.8208333333333333,0.8598130841121495,0.7666666666666667,0.8105726872246696,0.6,0.6020408163265306,0.59,0.5959595959595959,0.65,0.6666666666666666,0.6,0.631578947368421
0.8083333333333333,0.8557692307692307,0.7416666666666667,0.7946428571428571,0.61,0.6341463414634146,0.52,0.5714285714285714,0.665,0.6813186813186813,0.62,0.6492146596858639
0.8166666666666667,0.8584905660377359,0.7583333333333333,0.8053097345132743,0.55,0.5471698113207547,0.58,0.5631067961165048,0.63,0.6444444444444445,0.58,0.6105263157894737
0.825,0.8679245283018868,0.7666666666666667,0.8141592920353983,0.53,0.53125,0.51,0.5204081632653061,0.575,0.5824175824175825,0.53,0.5549738219895288
0.825,0.825,0.825,0.825,0.53,0.53125,0.51,0.5204081632653061,0.61,0.6170212765957447,0.58,0.5979381443298969
0.875,0.8879310344827587,0.8583333333333333,0.8728813559322035,0.54,0.5434782608695652,0.5,0.5208333333333334,0.59,0.59375,0.57,0.5816326530612245
0.85,0.875,0.8166666666666667,0.8448275862068966,0.56,0.5638297872340425,0.53,0.5463917525773196,0.64,0.6555555555555556,0.59,0.6210526315789474
0.8583333333333333,0.8981481481481481,0.8083333333333333,0.8508771929824561,0.535,0.5368421052631579,0.51,0.523076923076923,0.585,0.5876288659793815,0.57,0.5786802030456853
0.8375,0.8785046728971962,0.7833333333333333,0.8281938325991189,0.62,0.6304347826086957,0.58,0.6041666666666666,0.67,0.6931818181818182,0.61,0.648936170212766
0.8375,0.8785046728971962,0.7833333333333333,0.8281938325991189,0.565,0.5670103092783505,0.55,0.5583756345177665,0.585,0.5934065934065934,0.54,0.5654450261780104
0.85,0.8620689655172413,0.8333333333333334,0.847457627118644,0.585,0.5934065934065934,0.54,0.5654450261780104,0.6,0.6,0.6,0.6
0.7958333333333333,0.8034188034188035,0.7833333333333333,0.7932489451476793,0.54,0.54,0.54,0.54,0.54,0.5408163265306123,0.53,0.5353535353535354
0.8291666666666667,0.8558558558558559,0.7916666666666666,0.8225108225108225,0.625,0.6436781609195402,0.56,0.5989304812834224,0.67,0.6770833333333334,0.65,0.6632653061224489
0.8375,0.8648648648648649,0.8,0.8311688311688312,0.62,0.6276595744680851,0.59,0.6082474226804124,0.595,0.6067415730337079,0.54,0.5714285714285714
0.8708333333333333,0.8938053097345132,0.8416666666666667,0.8669527896995708,0.495,0.4946236559139785,0.46,0.4766839378238342,0.545,0.5454545454545454,0.54,0.542713567839196
0.8208333333333333,0.8598130841121495,0.7666666666666667,0.8105726872246696,0.55,0.5555555555555556,0.5,0.5263157894736842,0.575,0.5862068965517241,0.51,0.5454545454545454
0.85,0.8818181818181818,0.8083333333333333,0.8434782608695653,0.61,0.61,0.61,0.61,0.605,0.6179775280898876,0.55,0.582010582010582
0.825,0.8545454545454545,0.7833333333333333,0.817391304347826,0.6,0.6063829787234043,0.57,0.5876288659793814,0.605,0.6153846153846154,0.56,0.5863874345549739
0.8625,0.8918918918918919,0.825,0.8571428571428571,0.56,0.5638297872340425,0.53,0.5463917525773196,0.64,0.6428571428571429,0.63,0.6363636363636364
0.8291666666666667,0.8761904761904762,0.7666666666666667,0.8177777777777778,0.51,0.5102040816326531,0.5,0.5050505050505051,0.64,0.6458333333333334,0.62,0.6326530612244898
0.8666666666666667,0.8859649122807017,0.8416666666666667,0.8632478632478633,0.615,0.6263736263736264,0.57,0.5968586387434556,0.7,0.7083333333333334,0.68,0.6938775510204083
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.61,0.6170212765957447,0.58,0.5979381443298969,0.62,0.6304347826086957,0.58,0.6041666666666666
0.825,0.8545454545454545,0.7833333333333333,0.817391304347826,0.545,0.5473684210526316,0.52,0.5333333333333334,0.615,0.6236559139784946,0.58,0.6010362694300518
0.8583333333333333,0.8771929824561403,0.8333333333333334,0.8547008547008548,0.52,0.5222222222222223,0.47,0.49473684210526314,0.62,0.6276595744680851,0.59,0.6082474226804124
0.8416666666666667,0.8796296296296297,0.7916666666666666,0.8333333333333333,0.61,0.625,0.55,0.5851063829787234,0.64,0.6590909090909091,0.58,0.6170212765957446
0.7708333333333334,0.8095238095238095,0.7083333333333334,0.7555555555555556,0.545,0.5494505494505495,0.5,0.5235602094240838,0.64,0.6590909090909091,0.58,0.6170212765957446
0.8708333333333333,0.908256880733945,0.825,0.8646288209606987,0.56,0.56,0.56,0.56,0.63,0.6547619047619048,0.55,0.5978260869565217
0.8583333333333333,0.8909090909090909,0.8166666666666667,0.8521739130434782,0.565,0.5670103092783505,0.55,0.5583756345177665,0.635,0.6451612903225806,0.6,0.6217616580310881
0.8583333333333333,0.8839285714285714,0.825,0.8534482758620688,0.44,0.4318181818181818,0.38,0.4042553191489362,0.49,0.4888888888888889,0.44,0.4631578947368421
0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.545,0.5494505494505495,0.5,0.5235602094240838,0.61,0.6122448979591837,0.6,0.6060606060606062
0.8291666666666667,0.8558558558558559,0.7916666666666666,0.8225108225108225,0.585,0.5894736842105263,0.56,0.5743589743589743,0.65,0.6630434782608695,0.61,0.6354166666666666
0.8333333333333334,0.8703703703703703,0.7833333333333333,0.8245614035087719,0.575,0.5903614457831325,0.49,0.5355191256830601,0.625,0.6373626373626373,0.58,0.6073298429319371
0.8083333333333333,0.8557692307692307,0.7416666666666667,0.7946428571428571,0.625,0.6436781609195402,0.56,0.5989304812834224,0.665,0.6774193548387096,0.63,0.6528497409326425
0.8625,0.8990825688073395,0.8166666666666667,0.8558951965065502,0.4,0.41228070175438597,0.47,0.4392523364485982,0.585,0.5955056179775281,0.53,0.5608465608465608
0.8541666666666666,0.897196261682243,0.8,0.8458149779735684,0.525,0.5242718446601942,0.54,0.5320197044334976,0.585,0.5934065934065934,0.54,0.5654450261780104
0.825,0.8421052631578947,0.8,0.8205128205128205,0.54,0.5425531914893617,0.51,0.5257731958762887,0.595,0.6021505376344086,0.56,0.5803108808290157
0.8333333333333334,0.8508771929824561,0.8083333333333333,0.829059829059829,0.625,0.6344086021505376,0.59,0.6113989637305699,0.705,0.6990291262135923,0.72,0.7093596059113302
0.8,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.56,0.5535714285714286,0.62,0.5849056603773586,0.57,0.5760869565217391,0.53,0.5520833333333334
0.825,0.875,0.7583333333333333,0.8125,0.65,0.6595744680851063,0.62,0.6391752577319586,0.655,0.6741573033707865,0.6,0.6349206349206349
0.8625,0.8918918918918919,0.825,0.8571428571428571,0.62,0.6363636363636364,0.56,0.5957446808510639,0.655,0.6666666666666666,0.62,0.6424870466321244
0.825,0.8545454545454545,0.7833333333333333,0.817391304347826,0.58,0.5869565217391305,0.54,0.5625000000000001,0.675,0.6923076923076923,0.63,0.6596858638743456
0.85,0.9038461538461539,0.7833333333333333,0.8392857142857143,0.445,0.44954128440366975,0.49,0.4688995215311005,0.64,0.6555555555555556,0.59,0.6210526315789474
0.9041666666666667,0.9292035398230089,0.875,0.9012875536480688,0.56,0.5566037735849056,0.59,0.5728155339805824,0.59,0.59,0.59,0.59
0.8458333333333333,0.8807339449541285,0.8,0.8384279475982532,0.57,0.5714285714285714,0.56,0.5656565656565656,0.65,0.6666666666666666,0.6,0.631578947368421
0.8583333333333333,0.9056603773584906,0.8,0.8495575221238938,0.595,0.5922330097087378,0.61,0.6009852216748768,0.625,0.6404494382022472,0.57,0.6031746031746033
0.85,0.9117647058823529,0.775,0.8378378378378379,0.52,0.5212765957446809,0.49,0.5051546391752578,0.595,0.6067415730337079,0.54,0.5714285714285714
0.7625,0.8,0.7,0.7466666666666666,0.525,0.5252525252525253,0.52,0.5226130653266332,0.615,0.6236559139784946,0.58,0.6010362694300518
0.8333333333333334,0.8703703703703703,0.7833333333333333,0.8245614035087719,0.545,0.5463917525773195,0.53,0.5380710659898477,0.59,0.6097560975609756,0.5,0.5494505494505494
0.8416666666666667,0.8660714285714286,0.8083333333333333,0.8362068965517241,0.565,0.5783132530120482,0.48,0.5245901639344261,0.63,0.6413043478260869,0.59,0.6145833333333333
0.875,0.8879310344827587,0.8583333333333333,0.8728813559322035,0.63,0.6625,0.53,0.588888888888889,0.61,0.6170212765957447,0.58,0.5979381443298969
0.8208333333333333,0.8598130841121495,0.7666666666666667,0.8105726872246696,0.59,0.6046511627906976,0.52,0.5591397849462365,0.635,0.651685393258427,0.58,0.6137566137566138
0.825,0.8679245283018868,0.7666666666666667,0.8141592920353983,0.565,0.5698924731182796,0.53,0.5492227979274611,0.665,0.6774193548387096,0.63,0.6528497409326425
0.85,0.875,0.8166666666666667,0.8448275862068966,0.565,0.5714285714285714,0.52,0.5445026178010471,0.64,0.648936170212766,0.61,0.6288659793814433
0.825,0.8421052631578947,0.8,0.8205128205128205,0.53,0.5348837209302325,0.46,0.4946236559139785,0.605,0.6129032258064516,0.57,0.5906735751295337
0.8458333333333333,0.9108910891089109,0.7666666666666667,0.832579185520362,0.645,0.6629213483146067,0.59,0.6243386243386243,0.64,0.6590909090909091,0.58,0.6170212765957446
0.8125,0.8440366972477065,0.7666666666666667,0.8034934497816594,0.585,0.5913978494623656,0.55,0.5699481865284974,0.64,0.6707317073170732,0.55,0.6043956043956045
0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.52,0.5217391304347826,0.48,0.4999999999999999,0.57,0.5813953488372093,0.5,0.5376344086021505
0.8083333333333333,0.8557692307692307,0.7416666666666667,0.7946428571428571,0.585,0.5894736842105263,0.56,0.5743589743589743,0.64,0.6555555555555556,0.59,0.6210526315789474
0.8458333333333333,0.8672566371681416,0.8166666666666667,0.8412017167381974,0.615,0.6185567010309279,0.6,0.6091370558375634,0.67,0.6808510638297872,0.64,0.6597938144329897
0.8333333333333334,0.8508771929824561,0.8083333333333333,0.829059829059829,0.585,0.5894736842105263,0.56,0.5743589743589743,0.605,0.6105263157894737,0.58,0.5948717948717949
0.825,0.8611111111111112,0.775,0.8157894736842106,0.595,0.5959595959595959,0.59,0.5929648241206029,0.635,0.6451612903225806,0.6,0.6217616580310881
0.8625,0.8849557522123894,0.8333333333333334,0.8583690987124464,0.505,0.5050505050505051,0.5,0.5025125628140703,0.655,0.6597938144329897,0.64,0.6497461928934011
