source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1,transfer_score,w_dist
0.805,0.7850467289719626,0.84,0.8115942028985507,0.5708333333333333,0.5639097744360902,0.625,0.5928853754940712,0.5916666666666667,0.5846153846153846,0.6333333333333333,0.608,110.11250705755666,7.278086480223064e-09
0.855,0.808695652173913,0.93,0.8651162790697675,0.5,0.5,0.475,0.48717948717948717,0.525,0.5238095238095238,0.55,0.5365853658536585,161.0427302020925,6.683373980382666e-09
0.86,0.8157894736842105,0.93,0.869158878504673,0.5916666666666667,0.5932203389830508,0.5833333333333334,0.5882352941176471,0.525,0.5217391304347826,0.6,0.5581395348837209,119.04160529431819,8.91686306339182e-09
0.845,0.822429906542056,0.88,0.8502415458937198,0.5708333333333333,0.5765765765765766,0.5333333333333333,0.5541125541125541,0.6416666666666667,0.6307692307692307,0.6833333333333333,0.6559999999999999,112.18136321304155,9.341654748177256e-09
0.905,0.8715596330275229,0.95,0.9090909090909091,0.6041666666666666,0.5912408759124088,0.675,0.6303501945525292,0.625,0.6102941176470589,0.6916666666666667,0.6484375000000001,103.72250430711881,9.90030896267434e-09
0.84,0.8148148148148148,0.88,0.8461538461538461,0.5958333333333333,0.583941605839416,0.6666666666666666,0.6225680933852139,0.5958333333333333,0.5891472868217055,0.6333333333333333,0.610441767068273,122.85065625028537,8.329415404277589e-09
0.84,0.8035714285714286,0.9,0.8490566037735849,0.5333333333333333,0.53125,0.5666666666666667,0.5483870967741935,0.5583333333333333,0.5507246376811594,0.6333333333333333,0.5891472868217054,139.01435230406884,8.112332608283446e-09
0.86,0.8333333333333334,0.9,0.8653846153846153,0.6208333333333333,0.6074074074074074,0.6833333333333333,0.6431372549019608,0.6041666666666666,0.5912408759124088,0.675,0.6303501945525292,123.78359694099264,8.063031619522813e-09
0.815,0.8,0.84,0.8195121951219512,0.49166666666666664,0.4927536231884058,0.5666666666666667,0.5271317829457365,0.5208333333333334,0.5185185185185185,0.5833333333333334,0.5490196078431373,156.67028734170543,7.547160029745916e-09
0.845,0.8,0.92,0.8558139534883721,0.45,0.4594594594594595,0.5666666666666667,0.5074626865671642,0.5,0.5,0.5666666666666667,0.53125,149.62714492648783,7.845555258360434e-09
0.895,0.8376068376068376,0.98,0.9032258064516129,0.5791666666666667,0.5798319327731093,0.575,0.5774058577405858,0.525,0.5205479452054794,0.6333333333333333,0.5714285714285714,117.76946333140748,7.829601662420735e-09
0.875,0.8571428571428571,0.9,0.8780487804878048,0.49583333333333335,0.4961832061068702,0.5416666666666666,0.5179282868525896,0.5625,0.5581395348837209,0.6,0.5783132530120482,130.62212911540536,8.05168633380225e-09
0.885,0.8407079646017699,0.95,0.892018779342723,0.5291666666666667,0.5299145299145299,0.5166666666666667,0.5232067510548524,0.5333333333333333,0.5303030303030303,0.5833333333333334,0.5555555555555556,131.233420367349,7.601183145925695e-09
0.85,0.8181818181818182,0.9,0.8571428571428572,0.4625,0.464,0.48333333333333334,0.47346938775510206,0.5458333333333333,0.539568345323741,0.625,0.5791505791505792,144.62469252937348,8.242826203474715e-09
0.88,0.88,0.88,0.88,0.6125,0.6046511627906976,0.65,0.6265060240963854,0.6083333333333333,0.5984848484848485,0.6583333333333333,0.626984126984127,125.99750837265529,8.914818073878284e-09
0.855,0.8141592920353983,0.92,0.863849765258216,0.4583333333333333,0.45901639344262296,0.4666666666666667,0.46280991735537197,0.49166666666666664,0.4925373134328358,0.55,0.5196850393700787,155.35983222112333,7.950049357031307e-09
