target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.435,0.43434343434343436,0.43,0.4321608040201005,0.52,0.52,0.52,0.52,13.54558689482589
0.9208333333333333,0.9391304347826087,0.9,0.9191489361702128,0.475,0.4766355140186916,0.51,0.4927536231884058,0.53,0.53125,0.51,0.5204081632653061,13.669809207616996
0.9041666666666667,0.9217391304347826,0.8833333333333333,0.902127659574468,0.59,0.6,0.54,0.5684210526315789,0.595,0.6,0.57,0.5846153846153846,17.00967240899536
0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.36,0.3813559322033898,0.45,0.4128440366972477,0.51,0.5102040816326531,0.5,0.5050505050505051,17.605072812575983
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.58,0.5754716981132075,0.61,0.5922330097087378,0.61,0.6057692307692307,0.63,0.6176470588235293,14.309950332553006
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.59,0.59,0.59,0.59,0.615,0.6210526315789474,0.59,0.6051282051282052,15.31298774520031
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.505,0.5050505050505051,0.5,0.5025125628140703,0.495,0.4948453608247423,0.48,0.4873096446700507,16.66461114129273
0.9208333333333333,0.963302752293578,0.875,0.9170305676855894,0.62,0.6176470588235294,0.63,0.6237623762376239,0.595,0.6,0.57,0.5846153846153846,16.08360319146216
0.9083333333333333,0.9152542372881356,0.9,0.9075630252100839,0.555,0.5567010309278351,0.54,0.5482233502538071,0.575,0.5742574257425742,0.58,0.5771144278606964,16.467141329233353
0.9,0.9,0.9,0.9,0.45,0.43902439024390244,0.36,0.3956043956043956,0.525,0.5242718446601942,0.54,0.5320197044334976,16.176980347791147
0.9166666666666666,0.9464285714285714,0.8833333333333333,0.9137931034482758,0.475,0.47619047619047616,0.5,0.4878048780487805,0.535,0.5376344086021505,0.5,0.5181347150259067,15.743864074387956
