target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.9,0.8947368421052632,0.625,0.6192893401015229,0.66,0.6530612244897959
0.8791666666666667,0.8786610878661087,0.7,0.6842105263157895,0.67,0.6666666666666666
0.925,0.9243697478991596,0.71,0.7010309278350516,0.665,0.6699507389162562
0.9083333333333333,0.9035087719298245,0.605,0.5948717948717949,0.615,0.6051282051282052
0.8875,0.8841201716738197,0.625,0.6231155778894472,0.64,0.6435643564356436
0.925,0.9243697478991596,0.59,0.5591397849462365,0.685,0.6834170854271356
0.9333333333333333,0.9333333333333333,0.62,0.6237623762376239,0.645,0.6467661691542289
0.9333333333333333,0.9310344827586207,0.605,0.582010582010582,0.615,0.6051282051282052
0.9041666666666667,0.9029535864978904,0.72,0.7142857142857142,0.705,0.7035175879396985
0.9458333333333333,0.944206008583691,0.615,0.6010362694300518,0.645,0.6432160804020101
0.9041666666666667,0.9037656903765691,0.645,0.6282722513089005,0.69,0.686868686868687
0.9208333333333333,0.9191489361702128,0.605,0.6030150753768845,0.63,0.6336633663366336
0.9458333333333333,0.944206008583691,0.6,0.5959595959595959,0.635,0.6473429951690821
0.9041666666666667,0.9029535864978904,0.68,0.6666666666666666,0.65,0.6428571428571429
0.9333333333333333,0.9333333333333333,0.72,0.7083333333333334,0.675,0.6859903381642511
0.9208333333333333,0.9205020920502092,0.625,0.6031746031746033,0.65,0.6464646464646464
0.9166666666666666,0.9137931034482758,0.635,0.6178010471204188,0.635,0.6294416243654821
0.9458333333333333,0.9451476793248945,0.785,0.77720207253886,0.725,0.7236180904522613
0.9166666666666666,0.9159663865546218,0.6,0.607843137254902,0.66,0.6565656565656566
0.9083333333333333,0.9067796610169492,0.73,0.71875,0.61,0.5979381443298969
0.95,0.9491525423728815,0.64,0.6250000000000001,0.575,0.5771144278606964
0.8916666666666667,0.8879310344827586,0.665,0.6564102564102564,0.675,0.6798029556650246
0.9291666666666667,0.9270386266094421,0.725,0.7150259067357512,0.695,0.6934673366834171
0.95,0.9495798319327732,0.705,0.6878306878306878,0.675,0.6666666666666667
0.9333333333333333,0.9327731092436976,0.675,0.6632124352331608,0.665,0.6699507389162562
0.9083333333333333,0.9035087719298245,0.695,0.6903553299492386,0.665,0.6598984771573604
0.8708333333333333,0.8669527896995708,0.68,0.6666666666666666,0.67,0.6732673267326733
0.8916666666666667,0.8888888888888888,0.625,0.6231155778894472,0.61,0.59375
0.8708333333333333,0.8669527896995708,0.655,0.6461538461538461,0.68,0.673469387755102
0.9125,0.9098712446351931,0.65,0.631578947368421,0.66,0.6633663366336634
0.8875,0.8820960698689956,0.73,0.7216494845360825,0.67,0.67
0.9125,0.9090909090909091,0.73,0.7299999999999999,0.665,0.6666666666666667
0.9333333333333333,0.9333333333333333,0.64,0.6504854368932038,0.7,0.7
0.8875,0.8841201716738197,0.715,0.7164179104477613,0.68,0.6701030927835052
0.9208333333333333,0.9191489361702128,0.685,0.6802030456852791,0.68,0.68
0.9166666666666666,0.9145299145299146,0.705,0.6974358974358974,0.645,0.6432160804020101
0.9291666666666667,0.9282700421940928,0.59,0.59,0.685,0.6834170854271356
0.8833333333333333,0.8813559322033899,0.655,0.6567164179104478,0.62,0.62
