source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.98,0.98,0.98,0.98,0.32083333333333336,0.30275229357798167,0.275,0.28820960698689957,0.875,0.8260869565217391,0.95,0.8837209302325583
0.99,0.9803921568627451,1.0,0.99009900990099,0.49583333333333335,0.4957983193277311,0.49166666666666664,0.4937238493723849,0.8833333333333333,0.8538461538461538,0.925,0.888
0.98,0.9705882352941176,0.99,0.9801980198019802,0.6,0.577922077922078,0.7416666666666667,0.6496350364963505,0.9458333333333333,0.9022556390977443,1.0,0.9486166007905138
0.98,0.98,0.98,0.98,0.3875,0.37142857142857144,0.325,0.3466666666666667,0.8541666666666666,0.8512396694214877,0.8583333333333333,0.8547717842323651
0.975,0.9702970297029703,0.98,0.9751243781094527,0.3125,0.23529411764705882,0.16666666666666666,0.19512195121951217,0.8958333333333334,0.841726618705036,0.975,0.9034749034749034
0.995,0.9900990099009901,1.0,0.9950248756218906,0.675,0.63125,0.8416666666666667,0.7214285714285714,0.95,0.9153846153846154,0.9916666666666667,0.9520000000000001
0.995,0.9900990099009901,1.0,0.9950248756218906,0.55,0.5357142857142857,0.75,0.6250000000000001,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
0.975,0.9523809523809523,1.0,0.975609756097561,0.4166666666666667,0.2826086956521739,0.10833333333333334,0.1566265060240964,0.9,0.9210526315789473,0.875,0.8974358974358975
0.98,0.9705882352941176,0.99,0.9801980198019802,0.5416666666666666,0.5337837837837838,0.6583333333333333,0.5895522388059702,0.875,0.8125,0.975,0.8863636363636362
0.965,0.9428571428571428,0.99,0.9658536585365853,0.4375,0.42718446601941745,0.36666666666666664,0.39461883408071746,0.8625,0.8222222222222222,0.925,0.8705882352941177
0.985,0.970873786407767,1.0,0.9852216748768473,0.45416666666666666,0.4444444444444444,0.36666666666666664,0.4018264840182648,0.9041666666666667,0.9369369369369369,0.8666666666666667,0.9004329004329005
0.985,0.970873786407767,1.0,0.9852216748768473,0.49166666666666664,0.49166666666666664,0.49166666666666664,0.49166666666666664,0.9291666666666667,0.8872180451127819,0.9833333333333333,0.9328063241106719
0.985,0.9801980198019802,0.99,0.9850746268656716,0.4625,0.45794392523364486,0.4083333333333333,0.4317180616740088,0.9416666666666667,0.9140625,0.975,0.9435483870967741
0.985,0.9801980198019802,0.99,0.9850746268656716,0.5291666666666667,0.5231788079470199,0.6583333333333333,0.5830258302583026,0.8541666666666666,0.8148148148148148,0.9166666666666666,0.8627450980392156
0.98,0.98,0.98,0.98,0.5875,0.5734265734265734,0.6833333333333333,0.623574144486692,0.8708333333333333,0.8938053097345132,0.8416666666666667,0.8669527896995708
0.995,0.9900990099009901,1.0,0.9950248756218906,0.23333333333333334,0.029411764705882353,0.016666666666666666,0.02127659574468085,0.8875,0.918918918918919,0.85,0.8831168831168831
0.985,0.970873786407767,1.0,0.9852216748768473,0.7541666666666667,0.7699115044247787,0.725,0.7467811158798284,0.9416666666666667,0.9568965517241379,0.925,0.9406779661016949
0.985,0.970873786407767,1.0,0.9852216748768473,0.6791666666666667,0.6524822695035462,0.7666666666666667,0.7049808429118775,0.9,0.8870967741935484,0.9166666666666666,0.9016393442622951
0.995,0.9900990099009901,1.0,0.9950248756218906,0.3416666666666667,0.33620689655172414,0.325,0.3305084745762712,0.8375,0.813953488372093,0.875,0.8433734939759036
0.975,0.9702970297029703,0.98,0.9751243781094527,0.475,0.47368421052631576,0.45,0.46153846153846156,0.8958333333333334,0.8925619834710744,0.9,0.8962655601659751
0.975,0.9523809523809523,1.0,0.975609756097561,0.5,0.5,0.5833333333333334,0.5384615384615384,0.85,0.868421052631579,0.825,0.8461538461538461
0.98,0.98,0.98,0.98,0.4083333333333333,0.4098360655737705,0.4166666666666667,0.4132231404958678,0.8583333333333333,0.8839285714285714,0.825,0.8534482758620688
0.99,0.9803921568627451,1.0,0.99009900990099,0.26666666666666666,0.08823529411764706,0.05,0.06382978723404256,0.9166666666666666,0.8968253968253969,0.9416666666666667,0.9186991869918699
0.99,0.9803921568627451,1.0,0.99009900990099,0.43333333333333335,0.4090909090909091,0.3,0.34615384615384615,0.9416666666666667,0.9206349206349206,0.9666666666666667,0.943089430894309
0.975,0.9523809523809523,1.0,0.975609756097561,0.6291666666666667,0.6165413533834586,0.6833333333333333,0.6482213438735178,0.9291666666666667,0.9557522123893806,0.9,0.9270386266094421
0.99,0.99,0.99,0.99,0.5625,0.556390977443609,0.6166666666666667,0.5849802371541502,0.8958333333333334,0.8467153284671532,0.9666666666666667,0.9027237354085603
0.985,0.970873786407767,1.0,0.9852216748768473,0.6666666666666666,0.6351351351351351,0.7833333333333333,0.7014925373134329,0.9041666666666667,0.8592592592592593,0.9666666666666667,0.9098039215686274
0.98,0.9615384615384616,1.0,0.9803921568627451,0.5625,0.5688073394495413,0.5166666666666667,0.5414847161572053,0.9125,0.8613138686131386,0.9833333333333333,0.9182879377431906
0.98,0.9705882352941176,0.99,0.9801980198019802,0.44166666666666665,0.3333333333333333,0.11666666666666667,0.17283950617283952,0.875,0.8879310344827587,0.8583333333333333,0.8728813559322035
0.945,0.9158878504672897,0.98,0.9468599033816426,0.4125,0.21621621621621623,0.06666666666666667,0.10191082802547771,0.8375,0.8461538461538461,0.825,0.8354430379746836
0.99,0.9803921568627451,1.0,0.99009900990099,0.5708333333333333,0.5752212389380531,0.5416666666666666,0.5579399141630901,0.9083333333333333,0.8712121212121212,0.9583333333333334,0.9126984126984128
0.97,0.9433962264150944,1.0,0.970873786407767,0.49583333333333335,0.49411764705882355,0.35,0.40975609756097564,0.8541666666666666,0.8571428571428571,0.85,0.8535564853556485
1.0,1.0,1.0,1.0,0.6166666666666667,0.5813953488372093,0.8333333333333334,0.684931506849315,0.925,0.8984375,0.9583333333333334,0.9274193548387096
0.995,0.9900990099009901,1.0,0.9950248756218906,0.4041666666666667,0.4017094017094017,0.39166666666666666,0.39662447257383965,0.8541666666666666,0.8195488721804511,0.9083333333333333,0.8616600790513834
0.98,0.98,0.98,0.98,0.4,0.4117647058823529,0.4666666666666667,0.43749999999999994,0.925,0.8863636363636364,0.975,0.9285714285714285
1.0,1.0,1.0,1.0,0.5208333333333334,0.5179856115107914,0.6,0.555984555984556,0.9083333333333333,0.8769230769230769,0.95,0.912
0.965,0.9514563106796117,0.98,0.9655172413793104,0.3958333333333333,0.38317757009345793,0.3416666666666667,0.36123348017621143,0.875,0.8571428571428571,0.9,0.8780487804878048
0.98,0.9705882352941176,0.99,0.9801980198019802,0.5916666666666667,0.5670731707317073,0.775,0.6549295774647887,0.8833333333333333,0.859375,0.9166666666666666,0.8870967741935484
0.985,0.970873786407767,1.0,0.9852216748768473,0.44166666666666665,0.4222222222222222,0.31666666666666665,0.36190476190476184,0.9458333333333333,0.9212598425196851,0.975,0.9473684210526315
0.985,0.98989898989899,0.98,0.9849246231155778,0.6708333333333333,0.6227544910179641,0.8666666666666667,0.7247386759581882,0.8208333333333333,0.7894736842105263,0.875,0.8300395256916996
