target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.8,0.8,0.8,0.8000000000000002,0.53,0.5283018867924528,0.56,0.5436893203883495,0.585,0.5825242718446602,0.6,0.5911330049261084
0.7541666666666667,0.7563025210084033,0.75,0.7531380753138075,0.62,0.6176470588235294,0.63,0.6237623762376239,0.62,0.6224489795918368,0.61,0.6161616161616161
0.825,0.8421052631578947,0.8,0.8205128205128205,0.62,0.6333333333333333,0.57,0.6,0.605,0.6082474226804123,0.59,0.5989847715736041
0.825,0.8421052631578947,0.8,0.8205128205128205,0.64,0.648936170212766,0.61,0.6288659793814433,0.655,0.6504854368932039,0.67,0.6600985221674877
0.7916666666666666,0.8070175438596491,0.7666666666666667,0.7863247863247863,0.59,0.5918367346938775,0.58,0.5858585858585857,0.595,0.5979381443298969,0.58,0.5888324873096447
0.7875,0.7804878048780488,0.8,0.7901234567901235,0.675,0.6923076923076923,0.63,0.6596858638743456,0.645,0.6435643564356436,0.65,0.6467661691542289
0.7791666666666667,0.7913043478260869,0.7583333333333333,0.7744680851063831,0.61,0.627906976744186,0.54,0.5806451612903226,0.545,0.5473684210526316,0.52,0.5333333333333334
0.8041666666666667,0.811965811965812,0.7916666666666666,0.8016877637130801,0.61,0.6170212765957447,0.58,0.5979381443298969,0.57,0.5648148148148148,0.61,0.5865384615384615
0.7708333333333334,0.7927927927927928,0.7333333333333333,0.7619047619047619,0.55,0.5555555555555556,0.5,0.5263157894736842,0.535,0.5393258426966292,0.48,0.5079365079365079
0.8041666666666667,0.811965811965812,0.7916666666666666,0.8016877637130801,0.57,0.574468085106383,0.54,0.5567010309278351,0.59,0.5882352941176471,0.6,0.5940594059405941
0.7833333333333333,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.44,0.4444444444444444,0.48,0.4615384615384615,0.435,0.4368932038834951,0.45,0.4433497536945813
0.7958333333333333,0.8198198198198198,0.7583333333333333,0.7878787878787877,0.565,0.5607476635514018,0.6,0.5797101449275363,0.58,0.58,0.58,0.58
0.75,0.7542372881355932,0.7416666666666667,0.7478991596638657,0.56,0.5714285714285714,0.48,0.5217391304347826,0.565,0.5684210526315789,0.54,0.5538461538461539
