target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,original_score
0.975,0.9672131147540983,0.9833333333333333,0.9752066115702478,0.89,0.9148936170212766,0.86,0.8865979381443299,0.9,0.8921568627450981,0.91,0.900990099009901,0.04058245894990544,0.03590398500538085
0.9625,0.9512195121951219,0.975,0.9629629629629629,0.92,0.9285714285714286,0.91,0.9191919191919193,0.895,0.8910891089108911,0.9,0.8955223880597015,0.030747165560396836,0.03698359605848138
0.9708333333333333,0.9669421487603306,0.975,0.970954356846473,0.895,0.8623853211009175,0.94,0.8995215311004784,0.86,0.8529411764705882,0.87,0.8613861386138614,0.04647086230904742,0.04612966346133988
0.975,0.9596774193548387,0.9916666666666667,0.9754098360655739,0.91,0.9019607843137255,0.92,0.9108910891089109,0.895,0.883495145631068,0.91,0.896551724137931,0.022595401928644496,0.04061021484589173
0.9625,0.9586776859504132,0.9666666666666667,0.9626556016597511,0.94,0.9313725490196079,0.95,0.9405940594059405,0.905,0.8932038834951457,0.92,0.9064039408866995,0.022169794231415563,0.026985472507181953
0.9416666666666667,0.9274193548387096,0.9583333333333334,0.9426229508196722,0.925,0.9207920792079208,0.93,0.9253731343283582,0.895,0.8761904761904762,0.92,0.8975609756097561,0.05038713558128362,0.039833819210801105
0.95,0.95,0.95,0.9500000000000001,0.86,0.8673469387755102,0.85,0.8585858585858585,0.865,0.8613861386138614,0.87,0.8656716417910448,0.035883997812660745,0.045101943254133095
0.9666666666666667,0.9444444444444444,0.9916666666666667,0.967479674796748,0.925,0.912621359223301,0.94,0.9261083743842364,0.93,0.9134615384615384,0.95,0.9313725490196078,0.02776694517781373,0.03168890109419052
0.9541666666666667,0.957983193277311,0.95,0.9539748953974896,0.91,0.8942307692307693,0.93,0.911764705882353,0.87,0.87,0.87,0.87,0.033966346499813,0.04309282765270526
0.9625,0.9586776859504132,0.9666666666666667,0.9626556016597511,0.865,0.8476190476190476,0.89,0.8682926829268293,0.88,0.8518518518518519,0.92,0.8846153846153846,0.04938350854753666,0.07298659011639316
0.9458333333333333,0.9349593495934959,0.9583333333333334,0.9465020576131687,0.93,0.9056603773584906,0.96,0.9320388349514563,0.925,0.912621359223301,0.94,0.9261083743842364,0.02733507083152537,0.02850368997185898
0.9666666666666667,0.9745762711864406,0.9583333333333334,0.9663865546218487,0.905,0.9090909090909091,0.9,0.9045226130653266,0.925,0.9292929292929293,0.92,0.9246231155778895,0.017427312947642576,0.04427656645681986
