target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.85,0.8461538461538461,0.715,0.7046632124352332,0.655,0.6461538461538461
0.8541666666666666,0.8523206751054853,0.68,0.6595744680851063,0.645,0.6395939086294417
0.8208333333333333,0.8170212765957447,0.63,0.6224489795918368,0.565,0.5538461538461539
0.8416666666666667,0.8376068376068376,0.655,0.6666666666666666,0.695,0.6871794871794872
0.8375,0.8296943231441047,0.74,0.7291666666666667,0.725,0.717948717948718
0.8375,0.8311688311688312,0.665,0.641711229946524,0.685,0.6802030456852791
0.85,0.8421052631578948,0.605,0.5989847715736041,0.585,0.5654450261780104
0.8625,0.8571428571428571,0.705,0.6943005181347149,0.655,0.6461538461538461
0.8166666666666667,0.8135593220338982,0.645,0.6395939086294417,0.655,0.6461538461538461
0.825,0.8189655172413793,0.63,0.6063829787234042,0.625,0.6153846153846154
0.8208333333333333,0.8170212765957447,0.66,0.6530612244897959,0.625,0.6073298429319371
0.8416666666666667,0.8403361344537815,0.635,0.6217616580310881,0.6,0.5918367346938774
0.9083333333333333,0.9075630252100839,0.67,0.6632653061224489,0.65,0.6534653465346535
0.875,0.8695652173913043,0.575,0.5685279187817258,0.59,0.59
0.85,0.8421052631578948,0.655,0.6532663316582915,0.63,0.6145833333333333
0.8125,0.8068669527896997,0.67,0.6526315789473685,0.66,0.6494845360824743
0.8375,0.832618025751073,0.63,0.6185567010309279,0.625,0.6153846153846154
0.8291666666666667,0.8255319148936171,0.69,0.6630434782608696,0.675,0.6666666666666667
0.8291666666666667,0.8240343347639485,0.665,0.6633165829145728,0.63,0.63
0.8666666666666667,0.865546218487395,0.65,0.6428571428571429,0.61,0.6020408163265306
0.825,0.8235294117647058,0.565,0.5583756345177665,0.63,0.6224489795918368
0.8375,0.8354430379746836,0.685,0.6802030456852791,0.72,0.7142857142857142
0.8625,0.8571428571428571,0.685,0.6701570680628273,0.73,0.7216494845360825
0.8708333333333333,0.871369294605809,0.68,0.6701030927835052,0.66,0.6565656565656566
0.8708333333333333,0.8669527896995708,0.69,0.6836734693877551,0.73,0.7216494845360825
0.8291666666666667,0.8240343347639485,0.625,0.6113989637305699,0.645,0.635897435897436
0.8208333333333333,0.815450643776824,0.61,0.5894736842105264,0.645,0.6432160804020101
0.825,0.8220338983050848,0.545,0.5185185185185186,0.595,0.5888324873096447
0.8541666666666666,0.8559670781893004,0.63,0.6021505376344087,0.665,0.6564102564102564
0.825,0.8205128205128205,0.65,0.6534653465346535,0.66,0.6666666666666666
0.8625,0.8630705394190872,0.675,0.656084656084656,0.715,0.7106598984771574
0.8458333333333333,0.8425531914893616,0.665,0.6455026455026455,0.62,0.62
0.8625,0.8583690987124464,0.615,0.6169154228855721,0.615,0.6130653266331657
0.8375,0.8340425531914893,0.685,0.6631016042780749,0.66,0.6633663366336634
0.8541666666666666,0.849785407725322,0.675,0.6798029556650246,0.645,0.6432160804020101
0.8541666666666666,0.849785407725322,0.7,0.6938775510204083,0.69,0.686868686868687
0.8416666666666667,0.8347826086956521,0.555,0.5435897435897435,0.64,0.6250000000000001
0.7958333333333333,0.7983539094650206,0.705,0.6910994764397906,0.665,0.6633165829145728
0.8375,0.8354430379746836,0.71,0.6914893617021277,0.685,0.6926829268292682
0.8625,0.8583690987124464,0.365,0.36815920398009955,0.405,0.4079601990049751
0.8125,0.810126582278481,0.685,0.6666666666666666,0.675,0.6666666666666667
0.8125,0.8132780082987552,0.575,0.5728643216080402,0.6,0.6
0.7958333333333333,0.7914893617021276,0.65,0.6111111111111112,0.645,0.635897435897436
0.8125,0.810126582278481,0.6,0.5833333333333334,0.63,0.6336633663366336
0.8833333333333333,0.8803418803418803,0.69,0.6770833333333333,0.715,0.7076923076923077
0.8291666666666667,0.8240343347639485,0.6,0.5959595959595959,0.65,0.6391752577319586
0.8416666666666667,0.8362068965517241,0.68,0.6701030927835052,0.68,0.6559139784946236
0.8375,0.8354430379746836,0.62,0.5957446808510639,0.575,0.5549738219895288
0.8541666666666666,0.851063829787234,0.675,0.6632124352331608,0.635,0.6256410256410256
0.8375,0.8354430379746836,0.71,0.7156862745098039,0.63,0.6145833333333333
0.8583333333333333,0.8508771929824561,0.655,0.6634146341463415,0.715,0.7076923076923077
0.85,0.8448275862068966,0.64,0.6250000000000001,0.665,0.6598984771573604
0.8458333333333333,0.8398268398268398,0.64,0.6470588235294118,0.615,0.6051282051282052
0.8416666666666667,0.8403361344537815,0.645,0.6467661691542289,0.62,0.62
0.875,0.8717948717948718,0.645,0.6467661691542289,0.64,0.64
0.8083333333333333,0.8083333333333333,0.66,0.6421052631578946,0.68,0.673469387755102
0.8791666666666667,0.8755364806866952,0.69,0.6736842105263158,0.635,0.6294416243654821
0.825,0.8189655172413793,0.635,0.6178010471204188,0.67,0.6632653061224489
0.8708333333333333,0.8646288209606987,0.695,0.6903553299492386,0.7,0.6907216494845361
0.8208333333333333,0.8170212765957447,0.665,0.6338797814207651,0.625,0.6153846153846154
0.875,0.8717948717948718,0.695,0.6871794871794872,0.725,0.7236180904522613
0.8666666666666667,0.8608695652173912,0.7,0.6969696969696969,0.69,0.686868686868687
0.85,0.8461538461538461,0.665,0.641711229946524,0.66,0.6458333333333334
0.8791666666666667,0.8733624454148473,0.6,0.5918367346938774,0.565,0.5445026178010471
0.8541666666666666,0.849785407725322,0.735,0.7336683417085427,0.67,0.6597938144329897
0.8416666666666667,0.8403361344537815,0.715,0.7046632124352332,0.615,0.6130653266331657
0.8458333333333333,0.8398268398268398,0.735,0.7309644670050761,0.705,0.6910994764397906
0.8708333333333333,0.8658008658008659,0.63,0.6336633663366336,0.67,0.6764705882352942
0.8375,0.8340425531914893,0.635,0.6256410256410256,0.605,0.5989847715736041
0.8458333333333333,0.8425531914893616,0.645,0.6162162162162161,0.63,0.6407766990291262
0.8208333333333333,0.8215767634854773,0.56,0.5164835164835165,0.58,0.5670103092783506
0.85,0.8487394957983194,0.615,0.6051282051282052,0.635,0.6217616580310881
0.825,0.8205128205128205,0.625,0.5945945945945946,0.59,0.5729166666666666
0.875,0.8717948717948718,0.665,0.6492146596858639,0.645,0.6321243523316062
0.85,0.8448275862068966,0.67,0.6562500000000001,0.66,0.6565656565656566
0.8291666666666667,0.8284518828451883,0.655,0.6532663316582915,0.685,0.6834170854271356
0.8416666666666667,0.8347826086956521,0.655,0.6666666666666666,0.65,0.65
0.8625,0.8583690987124464,0.68,0.673469387755102,0.68,0.6701030927835052
0.8541666666666666,0.8484848484848484,0.59,0.5543478260869565,0.65,0.6391752577319586
0.8583333333333333,0.8559322033898306,0.65,0.6428571428571429,0.75,0.7395833333333333
0.875,0.8739495798319329,0.59,0.5940594059405941,0.61,0.6060606060606062
0.8458333333333333,0.8412017167381974,0.655,0.6634146341463415,0.61,0.6060606060606062
0.8208333333333333,0.818565400843882,0.565,0.5445026178010471,0.575,0.5502645502645502
0.8625,0.8571428571428571,0.655,0.6424870466321244,0.61,0.5851063829787234
0.8625,0.8571428571428571,0.72,0.7083333333333334,0.615,0.5968586387434556
0.825,0.825,0.67,0.6632653061224489,0.605,0.5948717948717949
0.8208333333333333,0.815450643776824,0.625,0.6073298429319371,0.645,0.6395939086294417
0.8583333333333333,0.8547008547008548,0.71,0.7040816326530612,0.675,0.6666666666666667
0.7958333333333333,0.7841409691629956,0.67,0.6826923076923077,0.675,0.656084656084656
0.8416666666666667,0.8362068965517241,0.69,0.6770833333333333,0.65,0.6428571428571429
0.9041666666666667,0.9004329004329005,0.585,0.5829145728643216,0.58,0.5670103092783506
0.8833333333333333,0.8813559322033899,0.715,0.7076923076923077,0.7,0.6842105263157895
0.8083333333333333,0.8083333333333333,0.655,0.6497461928934011,0.67,0.67
0.8291666666666667,0.8225108225108225,0.705,0.7121951219512195,0.645,0.6395939086294417
0.7916666666666666,0.7863247863247863,0.54,0.5208333333333334,0.555,0.5388601036269429
0.8583333333333333,0.8521739130434782,0.69,0.696078431372549,0.64,0.6363636363636364
0.8458333333333333,0.8425531914893616,0.575,0.5251396648044693,0.59,0.5816326530612245
0.8333333333333334,0.8319327731092436,0.635,0.6331658291457286,0.65,0.6464646464646464
0.8875,0.8860759493670887,0.68,0.6701030927835052,0.685,0.6802030456852791
0.8291666666666667,0.8240343347639485,0.615,0.6051282051282052,0.69,0.686868686868687
