source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1,transfer_score,w_dist
0.885,0.9139784946236559,0.85,0.8808290155440415,0.6166666666666667,0.6076923076923076,0.6583333333333333,0.632,0.5708333333333333,0.5714285714285714,0.5666666666666667,0.5690376569037656,133.0371658460195,7.863398841922869e-09
0.85,0.8723404255319149,0.82,0.8453608247422681,0.6125,0.6134453781512605,0.6083333333333333,0.610878661087866,0.625,0.6271186440677966,0.6166666666666667,0.6218487394957983,119.41026187928694,8.31886796810972e-09
0.88,0.8877551020408163,0.87,0.8787878787878789,0.7375,0.7478260869565218,0.7166666666666667,0.7319148936170212,0.7166666666666667,0.7241379310344828,0.7,0.711864406779661,78.54862853817055,9.047677908635257e-09
0.88,0.9130434782608695,0.84,0.8749999999999999,0.6125,0.6062992125984252,0.6416666666666667,0.6234817813765182,0.6583333333333333,0.6696428571428571,0.625,0.6465517241379309,128.54082544313738,8.204825157233174e-09
0.84,0.8695652173913043,0.8,0.8333333333333333,0.725,0.7288135593220338,0.7166666666666667,0.7226890756302521,0.65,0.6666666666666666,0.6,0.631578947368421,86.1946342979875,7.67051019497715e-09
0.895,0.9247311827956989,0.86,0.8911917098445595,0.6708333333333333,0.6694214876033058,0.675,0.6721991701244813,0.6583333333333333,0.6759259259259259,0.6083333333333333,0.6403508771929824,116.02514036053768,8.164307664815658e-09
0.885,0.9325842696629213,0.83,0.8783068783068783,0.6541666666666667,0.6528925619834711,0.6583333333333333,0.6556016597510372,0.6208333333333333,0.6260869565217392,0.6,0.6127659574468085,107.18920028189648,9.213344731856425e-09
0.9,0.925531914893617,0.87,0.8969072164948454,0.65,0.6363636363636364,0.7,0.6666666666666666,0.65,0.6578947368421053,0.625,0.6410256410256411,132.31285103047736,7.80487313945856e-09
0.85,0.8804347826086957,0.81,0.84375,0.6541666666666667,0.6666666666666666,0.6166666666666667,0.6406926406926408,0.625,0.631578947368421,0.6,0.6153846153846154,115.88731061775923,7.688492899671557e-09
0.87,0.8854166666666666,0.85,0.8673469387755102,0.6125,0.6194690265486725,0.5833333333333334,0.6008583690987124,0.6083333333333333,0.6181818181818182,0.5666666666666667,0.591304347826087,124.96687680660378,9.84993709409877e-09
0.86,0.86,0.86,0.8599999999999999,0.6958333333333333,0.7079646017699115,0.6666666666666666,0.6866952789699571,0.625,0.6339285714285714,0.5916666666666667,0.6120689655172414,103.63005899028676,9.52573479349192e-09
0.85,0.8645833333333334,0.83,0.8469387755102041,0.6583333333333333,0.6696428571428571,0.625,0.6465517241379309,0.6541666666666667,0.6666666666666666,0.6166666666666667,0.6406926406926408,111.65427248708885,7.971677909014944e-09
0.82,0.8404255319148937,0.79,0.8144329896907218,0.6083333333333333,0.6160714285714286,0.575,0.5948275862068966,0.7375,0.7355371900826446,0.7416666666666667,0.7385892116182573,112.84917037539304,8.814839658303632e-09
0.87,0.8854166666666666,0.85,0.8673469387755102,0.6291666666666667,0.6324786324786325,0.6166666666666667,0.6244725738396625,0.65,0.65,0.65,0.65,120.57956933431394,7.554325793673262e-09
0.865,0.8924731182795699,0.83,0.8601036269430051,0.7,0.7181818181818181,0.6583333333333333,0.6869565217391305,0.6833333333333333,0.6896551724137931,0.6666666666666666,0.6779661016949153,102.35566722510558,9.606553102267215e-09
0.86,0.8829787234042553,0.83,0.8556701030927835,0.6125,0.6194690265486725,0.5833333333333334,0.6008583690987124,0.625,0.6363636363636364,0.5833333333333334,0.6086956521739131,127.61031874927974,9.896637106820668e-09
0.84,0.8469387755102041,0.83,0.8383838383838385,0.6583333333333333,0.6759259259259259,0.6083333333333333,0.6403508771929824,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424,128.1653602863778,7.525014699131837e-09
0.915,0.946236559139785,0.88,0.911917098445596,0.6916666666666667,0.6949152542372882,0.6833333333333333,0.6890756302521008,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424,99.09868862338985,8.800427145223458e-09
0.875,0.8947368421052632,0.85,0.8717948717948718,0.6833333333333333,0.6929824561403509,0.6583333333333333,0.6752136752136753,0.6791666666666667,0.6902654867256637,0.65,0.6695278969957081,95.3502007407354,9.342758520899225e-09
0.905,0.900990099009901,0.91,0.9054726368159204,0.6625,0.6822429906542056,0.6083333333333333,0.6431718061674009,0.6333333333333333,0.635593220338983,0.625,0.6302521008403361,127.33741416742316,8.827929948252392e-09
0.875,0.9032258064516129,0.84,0.8704663212435233,0.6625,0.672566371681416,0.6333333333333333,0.6523605150214592,0.6875,0.6991150442477876,0.6583333333333333,0.6781115879828327,106.42884255102496,9.335419869306728e-09
0.885,0.8737864077669902,0.9,0.8866995073891626,0.6958333333333333,0.7155963302752294,0.65,0.6812227074235808,0.6666666666666666,0.6612903225806451,0.6833333333333333,0.6721311475409835,108.92249316665401,7.915389932369179e-09
0.865,0.8686868686868687,0.86,0.864321608040201,0.6125,0.6173913043478261,0.5916666666666667,0.604255319148936,0.5958333333333333,0.6055045871559633,0.55,0.5764192139737991,125.52440832654116,7.515589739965429e-09
0.835,0.845360824742268,0.82,0.83248730964467,0.6875,0.7184466019417476,0.6166666666666667,0.663677130044843,0.6666666666666666,0.6785714285714286,0.6333333333333333,0.6551724137931035,93.77176320764417,9.507870380767629e-09
0.84,0.8469387755102041,0.83,0.8383838383838385,0.65,0.65,0.65,0.65,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,125.37866530429692,8.171695361187148e-09
0.845,0.8791208791208791,0.8,0.837696335078534,0.6916666666666667,0.7053571428571429,0.6583333333333333,0.6810344827586208,0.6708333333333333,0.6915887850467289,0.6166666666666667,0.6519823788546256,93.39960349745817,9.503950697402776e-09
