source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.835,0.8316831683168316,0.84,0.835820895522388,0.5875,0.5981308411214953,0.5333333333333333,0.5638766519823788,0.5958333333333333,0.6055045871559633,0.55,0.5764192139737991
0.795,0.7920792079207921,0.8,0.7960199004975126,0.6041666666666666,0.6068376068376068,0.5916666666666667,0.5991561181434599,0.6041666666666666,0.6068376068376068,0.5916666666666667,0.5991561181434599
0.825,0.8421052631578947,0.8,0.8205128205128205,0.5208333333333334,0.5210084033613446,0.5166666666666667,0.5188284518828452,0.525,0.5245901639344263,0.5333333333333333,0.5289256198347108
0.8,0.7884615384615384,0.82,0.803921568627451,0.6166666666666667,0.6206896551724138,0.6,0.6101694915254238,0.6166666666666667,0.6206896551724138,0.6,0.6101694915254238
0.82,0.8137254901960784,0.83,0.8217821782178217,0.6416666666666667,0.6545454545454545,0.6,0.6260869565217392,0.65,0.6607142857142857,0.6166666666666667,0.6379310344827587
0.83,0.84375,0.81,0.826530612244898,0.5875,0.6,0.525,0.56,0.5958333333333333,0.6074766355140186,0.5416666666666666,0.5726872246696034
0.835,0.845360824742268,0.82,0.83248730964467,0.625,0.6339285714285714,0.5916666666666667,0.6120689655172414,0.6375,0.6434782608695652,0.6166666666666667,0.6297872340425532
0.875,0.8712871287128713,0.88,0.8756218905472637,0.4375,0.44525547445255476,0.5083333333333333,0.47470817120622566,0.4375,0.44525547445255476,0.5083333333333333,0.47470817120622566
0.83,0.84375,0.81,0.826530612244898,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678,0.5833333333333334,0.5862068965517241,0.5666666666666667,0.576271186440678
0.77,0.7647058823529411,0.78,0.7722772277227723,0.6708333333333333,0.6752136752136753,0.6583333333333333,0.6666666666666666,0.6708333333333333,0.6752136752136753,0.6583333333333333,0.6666666666666666
0.815,0.8118811881188119,0.82,0.8159203980099502,0.5541666666666667,0.5575221238938053,0.525,0.5407725321888411,0.5541666666666667,0.5575221238938053,0.525,0.5407725321888411
0.765,0.7676767676767676,0.76,0.763819095477387,0.36666666666666664,0.375,0.4,0.38709677419354843,0.3625,0.37209302325581395,0.4,0.38554216867469876
0.78,0.7857142857142857,0.77,0.7777777777777778,0.5166666666666667,0.5169491525423728,0.5083333333333333,0.5126050420168067,0.5166666666666667,0.5169491525423728,0.5083333333333333,0.5126050420168067
0.845,0.8791208791208791,0.8,0.837696335078534,0.5416666666666666,0.5431034482758621,0.525,0.5338983050847459,0.5458333333333333,0.5462184873949579,0.5416666666666666,0.5439330543933054
0.805,0.8279569892473119,0.77,0.7979274611398963,0.6041666666666666,0.6146788990825688,0.5583333333333333,0.5851528384279476,0.6,0.6071428571428571,0.5666666666666667,0.5862068965517241
0.805,0.8144329896907216,0.79,0.802030456852792,0.625,0.65,0.5416666666666666,0.5909090909090908,0.6291666666666667,0.6504854368932039,0.5583333333333333,0.6008968609865472
0.825,0.8282828282828283,0.82,0.8241206030150754,0.6166666666666667,0.64,0.5333333333333333,0.5818181818181818,0.6208333333333333,0.6435643564356436,0.5416666666666666,0.588235294117647
0.825,0.8217821782178217,0.83,0.8258706467661692,0.65,0.6636363636363637,0.6083333333333333,0.6347826086956522,0.65,0.6636363636363637,0.6083333333333333,0.6347826086956522
0.87,0.8775510204081632,0.86,0.8686868686868686,0.43333333333333335,0.4420289855072464,0.5083333333333333,0.47286821705426363,0.4375,0.4460431654676259,0.5166666666666667,0.4787644787644788
0.79,0.7959183673469388,0.78,0.7878787878787878,0.4041666666666667,0.4065040650406504,0.4166666666666667,0.4115226337448559,0.4041666666666667,0.408,0.425,0.41632653061224484
0.805,0.8144329896907216,0.79,0.802030456852792,0.6041666666666666,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.6083333333333333,0.6120689655172413,0.5916666666666667,0.6016949152542374
0.815,0.8118811881188119,0.82,0.8159203980099502,0.5875,0.5963302752293578,0.5416666666666666,0.5676855895196505,0.5875,0.5963302752293578,0.5416666666666666,0.5676855895196505
0.805,0.7904761904761904,0.83,0.8097560975609757,0.6375,0.6571428571428571,0.575,0.6133333333333333,0.6416666666666667,0.660377358490566,0.5833333333333334,0.6194690265486726
0.8,0.8061224489795918,0.79,0.7979797979797979,0.5541666666666667,0.5619047619047619,0.49166666666666664,0.5244444444444445,0.5541666666666667,0.5619047619047619,0.49166666666666664,0.5244444444444445
0.815,0.8461538461538461,0.77,0.8062827225130889,0.625,0.6119402985074627,0.6833333333333333,0.6456692913385826,0.625,0.6119402985074627,0.6833333333333333,0.6456692913385826
0.775,0.7956989247311828,0.74,0.7668393782383419,0.5625,0.5663716814159292,0.5333333333333333,0.5493562231759658,0.5625,0.5663716814159292,0.5333333333333333,0.5493562231759658
0.82,0.826530612244898,0.81,0.8181818181818183,0.5458333333333333,0.5470085470085471,0.5333333333333333,0.540084388185654,0.5458333333333333,0.5470085470085471,0.5333333333333333,0.540084388185654
0.835,0.8602150537634409,0.8,0.8290155440414508,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.81,0.8163265306122449,0.8,0.8080808080808082,0.5958333333333333,0.5934959349593496,0.6083333333333333,0.6008230452674898,0.5958333333333333,0.5934959349593496,0.6083333333333333,0.6008230452674898
0.775,0.7894736842105263,0.75,0.7692307692307692,0.6,0.6016949152542372,0.5916666666666667,0.596638655462185,0.5958333333333333,0.5982905982905983,0.5833333333333334,0.5907172995780591
0.785,0.8064516129032258,0.75,0.77720207253886,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667
0.835,0.845360824742268,0.82,0.83248730964467,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5041666666666667,0.5041322314049587,0.5083333333333333,0.5062240663900415
0.84,0.8541666666666666,0.82,0.836734693877551,0.5541666666666667,0.5546218487394958,0.55,0.5523012552301255,0.5541666666666667,0.5546218487394958,0.55,0.5523012552301255
0.815,0.8315789473684211,0.79,0.8102564102564104,0.4041666666666667,0.4122137404580153,0.45,0.43027888446215146,0.4041666666666667,0.4122137404580153,0.45,0.43027888446215146
0.81,0.803921568627451,0.82,0.8118811881188118,0.5958333333333333,0.6074766355140186,0.5416666666666666,0.5726872246696034,0.5916666666666667,0.6018518518518519,0.5416666666666666,0.5701754385964911
0.815,0.8118811881188119,0.82,0.8159203980099502,0.6166666666666667,0.6296296296296297,0.5666666666666667,0.5964912280701755,0.6125,0.6238532110091743,0.5666666666666667,0.5938864628820961
0.79,0.7843137254901961,0.8,0.792079207920792,0.6125,0.6285714285714286,0.55,0.5866666666666667,0.6083333333333333,0.6226415094339622,0.55,0.5840707964601771
0.85,0.8645833333333334,0.83,0.8469387755102041,0.575,0.5818181818181818,0.5333333333333333,0.5565217391304348,0.575,0.5818181818181818,0.5333333333333333,0.5565217391304348
0.85,0.8571428571428571,0.84,0.8484848484848485,0.625,0.6388888888888888,0.575,0.6052631578947367,0.6291666666666667,0.6422018348623854,0.5833333333333334,0.6113537117903931
0.83,0.83,0.83,0.83,0.6166666666666667,0.6346153846153846,0.55,0.5892857142857143,0.6125,0.6285714285714286,0.55,0.5866666666666667
0.815,0.8181818181818182,0.81,0.8140703517587939,0.5125,0.5142857142857142,0.45,0.48,0.5166666666666667,0.5188679245283019,0.4583333333333333,0.4867256637168142
0.81,0.7980769230769231,0.83,0.8137254901960785,0.6125,0.6261682242990654,0.5583333333333333,0.5903083700440529,0.6125,0.6261682242990654,0.5583333333333333,0.5903083700440529
0.855,0.865979381443299,0.84,0.8527918781725888,0.5708333333333333,0.5825242718446602,0.5,0.5381165919282511,0.5666666666666667,0.5769230769230769,0.5,0.5357142857142857
0.77,0.7647058823529411,0.78,0.7722772277227723,0.5208333333333334,0.5206611570247934,0.525,0.5228215767634854,0.5208333333333334,0.5206611570247934,0.525,0.5228215767634854
0.845,0.8556701030927835,0.83,0.8426395939086294,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5583333333333333
0.835,0.8316831683168316,0.84,0.835820895522388,0.6166666666666667,0.6228070175438597,0.5916666666666667,0.6068376068376069,0.6208333333333333,0.6260869565217392,0.6,0.6127659574468085
0.775,0.8021978021978022,0.73,0.7643979057591622,0.5791666666666667,0.5785123966942148,0.5833333333333334,0.5809128630705395,0.575,0.5725806451612904,0.5916666666666667,0.5819672131147541
0.83,0.8367346938775511,0.82,0.8282828282828283,0.5083333333333333,0.5096153846153846,0.44166666666666665,0.4732142857142857,0.5041666666666667,0.5046728971962616,0.45,0.4757709251101321
0.835,0.8252427184466019,0.85,0.8374384236453202,0.5625,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.5583333333333333,0.5603448275862069,0.5416666666666666,0.5508474576271186
0.78,0.78,0.78,0.78,0.6416666666666667,0.6349206349206349,0.6666666666666666,0.6504065040650407,0.65,0.640625,0.6833333333333333,0.6612903225806451
