source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.92,0.9375,0.9,0.9183673469387755,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.7,0.7068965517241379,0.6833333333333333,0.6949152542372882
0.89,0.90625,0.87,0.8877551020408163,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.7,0.7033898305084746,0.6916666666666667,0.6974789915966386
0.86,0.9090909090909091,0.8,0.8510638297872342,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.75,0.7542372881355932,0.7416666666666667,0.7478991596638657
0.91,0.9456521739130435,0.87,0.90625,0.7541666666666667,0.7606837606837606,0.7416666666666667,0.751054852320675,0.7625,0.7837837837837838,0.725,0.7532467532467533
0.915,0.946236559139785,0.88,0.911917098445596,0.7583333333333333,0.746031746031746,0.7833333333333333,0.7642276422764228,0.7625,0.7603305785123967,0.7666666666666667,0.7634854771784233
0.91,0.9555555555555556,0.86,0.9052631578947369,0.775,0.8113207547169812,0.7166666666666667,0.7610619469026548,0.7791666666666667,0.819047619047619,0.7166666666666667,0.7644444444444445
0.92,0.9565217391304348,0.88,0.9166666666666666,0.6916666666666667,0.6949152542372882,0.6833333333333333,0.6890756302521008,0.7041666666666667,0.7094017094017094,0.6916666666666667,0.70042194092827
0.885,0.9325842696629213,0.83,0.8783068783068783,0.75,0.7678571428571429,0.7166666666666667,0.7413793103448276,0.7666666666666667,0.7711864406779662,0.7583333333333333,0.7647058823529411
0.9,0.9444444444444444,0.85,0.8947368421052632,0.6958333333333333,0.6974789915966386,0.6916666666666667,0.6945606694560669,0.6916666666666667,0.7090909090909091,0.65,0.6782608695652174
0.925,0.956989247311828,0.89,0.922279792746114,0.725,0.75,0.675,0.7105263157894738,0.7166666666666667,0.7452830188679245,0.6583333333333333,0.6991150442477875
0.915,0.946236559139785,0.88,0.911917098445596,0.7333333333333333,0.7456140350877193,0.7083333333333334,0.7264957264957265,0.7291666666666666,0.7433628318584071,0.7,0.7210300429184548
0.9,0.9347826086956522,0.86,0.8958333333333334,0.7458333333333333,0.7757009345794392,0.6916666666666667,0.7312775330396476,0.7416666666666667,0.7788461538461539,0.675,0.7232142857142857
0.855,0.8736842105263158,0.83,0.8512820512820513,0.6708333333333333,0.6782608695652174,0.65,0.6638297872340425,0.6708333333333333,0.6814159292035398,0.6416666666666667,0.6609442060085837
0.91,0.9456521739130435,0.87,0.90625,0.7625,0.7837837837837838,0.725,0.7532467532467533,0.7458333333333333,0.7610619469026548,0.7166666666666667,0.7381974248927038
0.905,0.9550561797752809,0.85,0.8994708994708994,0.7125,0.704,0.7333333333333333,0.7183673469387756,0.7208333333333333,0.71900826446281,0.725,0.7219917012448133
0.87,0.8854166666666666,0.85,0.8673469387755102,0.7166666666666667,0.7241379310344828,0.7,0.711864406779661,0.725,0.7410714285714286,0.6916666666666667,0.7155172413793103
0.89,0.90625,0.87,0.8877551020408163,0.7291666666666666,0.7669902912621359,0.6583333333333333,0.7085201793721974,0.7333333333333333,0.7745098039215687,0.6583333333333333,0.7117117117117117
0.83,0.8666666666666667,0.78,0.8210526315789474,0.7,0.7105263157894737,0.675,0.6923076923076923,0.7083333333333334,0.7272727272727273,0.6666666666666666,0.6956521739130435
0.895,0.9540229885057471,0.83,0.8877005347593583,0.7208333333333333,0.7264957264957265,0.7083333333333334,0.7172995780590717,0.7166666666666667,0.7241379310344828,0.7,0.711864406779661
0.87,0.9204545454545454,0.81,0.8617021276595745,0.725,0.75,0.675,0.7105263157894738,0.7166666666666667,0.7407407407407407,0.6666666666666666,0.7017543859649122
0.87,0.9302325581395349,0.8,0.8602150537634408,0.7541666666666667,0.7850467289719626,0.7,0.7400881057268722,0.7666666666666667,0.8018867924528302,0.7083333333333334,0.7522123893805309
0.865,0.9101123595505618,0.81,0.8571428571428572,0.7041666666666667,0.7058823529411765,0.7,0.7029288702928871,0.7166666666666667,0.7280701754385965,0.6916666666666667,0.7094017094017094
0.9,0.9545454545454546,0.84,0.8936170212765958,0.7166666666666667,0.7321428571428571,0.6833333333333333,0.706896551724138,0.7333333333333333,0.7592592592592593,0.6833333333333333,0.7192982456140351
0.88,0.9042553191489362,0.85,0.8762886597938143,0.7125,0.7297297297297297,0.675,0.7012987012987014,0.7208333333333333,0.7387387387387387,0.6833333333333333,0.70995670995671
0.895,0.9247311827956989,0.86,0.8911917098445595,0.6791666666666667,0.6972477064220184,0.6333333333333333,0.6637554585152838,0.7166666666666667,0.7452830188679245,0.6583333333333333,0.6991150442477875
0.905,0.945054945054945,0.86,0.9005235602094239,0.6916666666666667,0.6982758620689655,0.675,0.6864406779661018,0.7166666666666667,0.7363636363636363,0.675,0.7043478260869566
0.895,0.9247311827956989,0.86,0.8911917098445595,0.6916666666666667,0.6982758620689655,0.675,0.6864406779661018,0.7,0.7068965517241379,0.6833333333333333,0.6949152542372882
0.88,0.9042553191489362,0.85,0.8762886597938143,0.6875,0.7027027027027027,0.65,0.6753246753246753,0.6833333333333333,0.6964285714285714,0.65,0.6724137931034482
0.925,0.956989247311828,0.89,0.922279792746114,0.7208333333333333,0.7345132743362832,0.6916666666666667,0.7124463519313304,0.7125,0.7217391304347827,0.6916666666666667,0.7063829787234043
0.91,0.9555555555555556,0.86,0.9052631578947369,0.7041666666666667,0.7289719626168224,0.65,0.6872246696035242,0.7166666666666667,0.75,0.65,0.6964285714285715
0.93,0.9574468085106383,0.9,0.9278350515463918,0.7,0.7068965517241379,0.6833333333333333,0.6949152542372882,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
0.94,0.9583333333333334,0.92,0.9387755102040817,0.7291666666666666,0.7433628318584071,0.7,0.7210300429184548,0.7166666666666667,0.7241379310344828,0.7,0.711864406779661
0.865,0.9010989010989011,0.82,0.8586387434554974,0.6791666666666667,0.7047619047619048,0.6166666666666667,0.6577777777777778,0.6833333333333333,0.7156862745098039,0.6083333333333333,0.6576576576576576
0.875,0.9310344827586207,0.81,0.8663101604278076,0.7541666666666667,0.7798165137614679,0.7083333333333334,0.7423580786026199,0.7333333333333333,0.7641509433962265,0.675,0.7168141592920354
0.88,0.9222222222222223,0.83,0.8736842105263158,0.7083333333333334,0.711864406779661,0.7,0.7058823529411764,0.7208333333333333,0.7431192660550459,0.675,0.7074235807860263
0.86,0.9,0.81,0.8526315789473685,0.7208333333333333,0.7387387387387387,0.6833333333333333,0.70995670995671,0.7166666666666667,0.7407407407407407,0.6666666666666666,0.7017543859649122
0.935,0.9484536082474226,0.92,0.9340101522842639,0.6375,0.6460176991150443,0.6083333333333333,0.6266094420600858,0.6375,0.6434782608695652,0.6166666666666667,0.6297872340425532
0.945,0.978494623655914,0.91,0.9430051813471503,0.7208333333333333,0.7154471544715447,0.7333333333333333,0.7242798353909464,0.75,0.7542372881355932,0.7416666666666667,0.7478991596638657
0.91,0.9270833333333334,0.89,0.9081632653061226,0.7333333333333333,0.7456140350877193,0.7083333333333334,0.7264957264957265,0.7458333333333333,0.7521367521367521,0.7333333333333333,0.7426160337552742
0.87,0.9111111111111111,0.82,0.8631578947368421,0.7583333333333333,0.7818181818181819,0.7166666666666667,0.7478260869565218,0.7666666666666667,0.7909090909090909,0.725,0.7565217391304347
0.92,0.9565217391304348,0.88,0.9166666666666666,0.7375,0.7766990291262136,0.6666666666666666,0.7174887892376681,0.7166666666666667,0.75,0.65,0.6964285714285715
0.895,0.9072164948453608,0.88,0.8934010152284264,0.6958333333333333,0.7043478260869566,0.675,0.6893617021276596,0.6958333333333333,0.7155963302752294,0.65,0.6812227074235808
