target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score,w_dist
0.8541666666666666,0.8695652173913043,0.8333333333333334,0.851063829787234,0.605,0.6129032258064516,0.57,0.5906735751295337,0.63,0.63,0.63,0.63,128.504239945195,9.531213998322757e-09
0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.53,0.5306122448979592,0.52,0.5252525252525252,0.605,0.6060606060606061,0.6,0.6030150753768845,162.97949607978833,9.132909208965714e-09
0.8375,0.8403361344537815,0.8333333333333334,0.8368200836820084,0.605,0.6153846153846154,0.56,0.5863874345549739,0.57,0.5714285714285714,0.56,0.5656565656565656,128.27481595149953,9.629551005010819e-09
0.8291666666666667,0.8434782608695652,0.8083333333333333,0.8255319148936171,0.57,0.574468085106383,0.54,0.5567010309278351,0.6,0.6136363636363636,0.54,0.574468085106383,132.77494085691987,9.423670771225252e-09
0.8458333333333333,0.8547008547008547,0.8333333333333334,0.8438818565400844,0.605,0.6179775280898876,0.55,0.582010582010582,0.64,0.64,0.64,0.64,134.03531257020512,7.791512420999073e-09
0.825,0.8482142857142857,0.7916666666666666,0.8189655172413793,0.64,0.648936170212766,0.61,0.6288659793814433,0.645,0.6494845360824743,0.63,0.6395939086294417,128.0265050951694,8.592754855953654e-09
0.9041666666666667,0.907563025210084,0.9,0.9037656903765691,0.645,0.6790123456790124,0.55,0.6077348066298343,0.685,0.6907216494845361,0.67,0.6802030456852791,121.11494448433973,8.907905975056828e-09
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.71,0.723404255319149,0.68,0.7010309278350516,0.665,0.6666666666666666,0.66,0.6633165829145728,110.38381493401022,8.986213621719993e-09
0.8666666666666667,0.8793103448275862,0.85,0.864406779661017,0.61,0.6375,0.51,0.5666666666666667,0.595,0.5979381443298969,0.58,0.5888324873096447,134.70987197225074,9.48773122199214e-09
0.8666666666666667,0.860655737704918,0.875,0.8677685950413223,0.67,0.6931818181818182,0.61,0.648936170212766,0.71,0.7142857142857143,0.7,0.7070707070707072,125.64584488329746,8.664639588436332e-09
0.8583333333333333,0.8524590163934426,0.8666666666666667,0.8595041322314049,0.625,0.6404494382022472,0.57,0.6031746031746033,0.7,0.696078431372549,0.71,0.7029702970297029,138.7637781684632,1.3582172645088994e-08
0.8791666666666667,0.8956521739130435,0.8583333333333333,0.8765957446808511,0.64,0.6555555555555556,0.59,0.6210526315789474,0.675,0.6767676767676768,0.67,0.6733668341708543,110.11839802952807,9.069960683454059e-09
0.8666666666666667,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.61,0.6527777777777778,0.47,0.5465116279069767,0.67,0.67,0.67,0.67,152.98126659169134,8.689182750529429e-09
0.825,0.8421052631578947,0.8,0.8205128205128205,0.61,0.6341463414634146,0.52,0.5714285714285714,0.675,0.6842105263157895,0.65,0.6666666666666667,130.08132872348443,9.682954740290335e-09
0.8541666666666666,0.8512396694214877,0.8583333333333333,0.8547717842323651,0.7,0.7,0.7,0.7,0.635,0.6336633663366337,0.64,0.6368159203980099,93.91979955178967,8.957656936026561e-09
0.8958333333333334,0.9130434782608695,0.875,0.8936170212765957,0.645,0.6559139784946236,0.61,0.6321243523316062,0.665,0.6701030927835051,0.65,0.6598984771573604,116.41933589186057,1.50271308867872e-06
