source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
307636.61294959974,174021064199.91483,417158.3203052707,893106.6230789997,1726135861690.3252,1313824.8976520142,734810.9416734934,1350082517665.4944,1161930.513268971
513082.08078356594,621341859976.1412,788252.4087981852,866958.0349116186,1117411314543.7065,1057076.7779795877,678728.3284478,874278648988.3892,935028.6888584698
293784.41420425,209885260031.3944,458132.36082096887,905089.6744048706,1499199621472.6375,1224418.0746267335,660776.9332124238,1109842291865.4116,1053490.527658133
331934.1736630944,203562783493.16464,451179.325205804,1051294.4219066573,2279607324180.819,1509836.8534980258,775949.9670060704,2038967896936.061,1427924.3316562895
316520.2149300513,374393075442.04285,611876.683198537,691092.4143069461,809060695460.6129,899478.0127721927,538633.4513538633,663417160506.6154,814504.242166126
448662.4939022886,446937689342.1087,668533.9851810891,1191944.7150014753,2558003136025.601,1599375.8582727204,721508.756259963,1536740609353.1826,1239653.4230796858
303891.1343916996,163227440873.24393,404014.15924846486,1169960.2628238986,2961510845890.965,1720904.0780621576,816847.830590643,2576083136450.693,1605018.1109416469
265562.0479672522,131029999646.19273,361980.66197822324,1378239.2862290903,4127310131904.726,2031578.2367176327,924169.5821914192,2592700199286.3506,1610186.3865050997
326098.4179606143,273374960877.40173,522852.71432536497,824066.1182318697,1124682502140.235,1060510.4912919225,711015.7676470372,1040963990400.6036,1020276.4284254555
247832.1472377263,102546445406.42535,320228.7391950094,711287.1194612865,980420880937.7563,990162.0478173037,616720.6718014557,788830360973.0223,888161.224650695
308791.9768457728,199384522821.8584,446524.94087324885,869630.8088122669,1585979560521.032,1259356.804293776,669793.9198589954,1420455815753.6196,1191828.7694772347
321980.40661209176,162955775943.3549,403677.8120523283,1074320.3120346076,4590912024629.343,2142641.3663115306,829793.7288911402,4085014555722.107,2021141.8940099447
450053.2855369637,534447454723.4439,731059.132166095,958594.1710173045,2319757135299.963,1523074.8948426545,718863.1908746201,1867808049866.6416,1366677.741776254
319359.8962471851,209047967345.55157,457217.6367393887,827531.3744439306,1222302419780.019,1105577.8669003912,682281.4927908404,1141376302548.7249,1068352.1435129547
357054.0353286393,254736679629.20474,504714.45355686493,1386303.5820556653,3718706981690.2974,1928394.92368402,886668.612301176,2717413872867.8945,1648458.02884632
330590.83307661844,205834331242.4179,453689.686065727,1015550.3409956709,1948847887648.9382,1396011.4210309808,816735.8330950813,1590639786748.319,1261205.687724377
304584.2696721041,169264430961.1308,411417.58708291844,772556.3670507292,1363022507084.5208,1167485.5489831644,572847.884148275,876569203169.1996,936252.7453466824
263332.38779815665,139482183238.00217,373473.1358986911,855900.7905148362,1697791553533.6404,1302993.305252809,698258.9362172633,1259922949361.7905,1122462.894425375
382792.2466521862,382055262922.42224,618106.1906520774,916465.655608543,1380330415541.8452,1174874.638223945,691409.023233036,816011501791.3367,903333.5495769747
341453.47668586933,250467896939.9799,500467.6782170652,826397.3553745237,1732181044227.493,1316123.4912528128,652990.2129177068,1234426145247.6113,1111047.3190857405
281183.7748391735,140749814163.04407,375166.38197344396,795249.001253528,1410197745301.145,1187517.4715772164,680525.4013468768,1469527965704.232,1212240.8860058433
468605.91534930194,450396250486.7611,671115.6759357966,1019348.9725695396,1527033372807.9438,1235731.9178559498,787297.7967292311,1130489117656.1426,1063244.61797657
356559.1186597929,247214590970.6471,497206.7889426361,1114355.7831284374,2232538842586.2373,1494168.2778677365,776886.8392209231,1585302906049.182,1259088.1248146144
331474.20467565913,231756194938.8261,481410.63027193956,1345937.7075985821,4413680698020.001,2100876.173890313,943220.206256901,3338718764984.1245,1827216.1243224964
431801.20571496605,410912200494.165,641024.3368969426,824224.0513933513,1477333888170.0715,1215456.2469172108,635100.3348159984,1019973232351.2284,1009937.2417884333
273895.03134289396,153486993201.3455,391774.16096693446,1198826.2807359581,2465822173397.8374,1570293.658332045,853396.3541141019,2174535720830.1448,1474630.7065940762
571088.9550851856,829367996952.1183,910696.4351265016,1388017.3477959754,3535967181946.9463,1880416.7575159892,892812.3226265898,2551698957205.203,1597403.8178260385
338905.5130409324,222124928769.8426,471301.31420339004,1101049.7662517587,2267741162881.931,1505902.1093291326,913427.6494208389,2237761278517.2227,1495914.863392039
