source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
316009.625735237,252252824000.11316,502247.77152329223,567243.950702211,876053310879.979,935977.1957050979,566034.2191782658,870660347983.1685,933091.8218391845
410552.1356854373,571584355749.6145,756031.9806394532,589087.2845520908,587094313492.9685,766220.7994390185,584931.5436745705,586985741173.3787,766149.9469251294
235315.49733021128,230667984129.8726,480279.0690107915,443178.1851629785,427958754884.32117,654185.5660929254,442229.05675563624,418969080982.09296,647278.2098774011
269460.04940435314,216350579977.38254,465135.01263330254,593846.1009555901,1091696930212.2198,1044843.0170184514,596773.6413779315,1099511435154.2985,1048575.9081508112
322757.4944297616,418780511157.62146,647132.5298249358,475973.73055293615,429371271335.886,655264.2759497011,475737.1312248938,427942389495.17633,654173.0577570252
408402.80443061417,401661991380.8897,633768.0895886836,694854.4030620971,1116288065222.9204,1056545.3446127716,694997.107484513,1112964472303.753,1054971.3134980272
244204.10251830716,137757289494.0347,371156.6912963239,641497.0839156178,1720031641218.6484,1311499.767906441,658855.0145533067,1738465099823.055,1318508.6650542177
216565.88079742118,105770331675.54851,325223.5103364277,697117.5763991406,1266391655105.2954,1125340.6840176424,684606.2348050685,1232998297108.518,1110404.564610808
264123.2184751249,138389775209.7424,372007.76229770045,517071.8436731986,605370564792.4866,778055.6309111108,505533.00243446365,575591528010.9916,758677.4861632521
195088.81414716374,74342155439.91403,272657.57909860864,459178.96640564443,532901057213.1604,730000.7241182439,454858.21367375075,523041930044.4112,723216.3784403746
252192.29625399355,146916188571.92136,383296.4760755326,444469.22252788633,408340986500.49646,639015.638697909,441764.9063656874,394073039817.19415,627752.3714150303
258716.80295005202,134265362259.21939,366422.3823120244,846201.6925973612,3782918641217.3564,1944972.6582184534,825419.5435715141,3798560407559.9326,1948989.5863138759
374456.4126296162,392879979024.6848,626801.3872230061,654959.6111712521,1465160141380.657,1210437.995677869,649780.9016109669,1460529512045.5544,1208523.6911395467
288318.59681831603,184608144355.8233,429660.4989475101,573976.6230473939,665975917858.8645,816073.4757721663,566846.8932641343,647244804148.7483,804515.2603579054
351723.1313551016,298524576380.17926,546374.02608486,627727.5649688173,804767817121.0559,897088.5224553127,602298.8489579497,746637392898.0603,864081.8207195776
310222.83578427933,235019045580.24902,484787.62935975275,572272.0099238574,617291171186.7831,785678.7964472397,557956.0678575295,588006840508.6438,766816.0408524615
