source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
346287.72790582274,213328957927.85046,461875.4788120392,1027191.6136159525,2146389287431.8372,1465056.0697228748,896723.9536062435,2485090771939.6816,1576417.067891515,99311760.80062053,1.4353912827952355
394733.1392290649,480491137725.4733,693174.680528273,898430.6141919302,2012754425960.5728,1418715.7664453345,687390.6167596924,1686378439285.1228,1298606.3450041828,91730412.8290523,1.3422182916924066
348773.568972446,326459152769.63165,571366.040966412,1179701.3281799094,4510094267049.511,2123698.252353547,968123.1714857215,3485460480933.497,1866938.7994611652,121482337.34392007,1.4292011400741693
378511.01077595266,255619730539.36435,505588.4992158785,1016228.8094950734,2053918964460.8372,1433150.0146393736,828898.9412741708,1396003918830.2566,1181526.0973970303,97401976.43011492,1.4514715641271478
386949.0764894591,356608302984.92377,597166.8970940401,765924.997134589,1153059530800.6375,1073806.095531515,625128.5379191284,739384357457.4938,859874.6172887613,72566678.90840042,1.3684012332799402
424030.28030188015,345104741815.59106,587456.1616117334,1269866.2925878903,2895233644000.227,1701538.6107873742,851107.303945954,1286152520718.007,1134086.646036363,121269271.4026031,1.4418157270416523
368361.78413865494,267682078130.05878,517380.0132688339,917432.0104676513,2468925688043.542,1571281.5432135458,894712.9054425055,2631704353633.7964,1622252.8636540594,92401975.9752689,1.3846346240157936
350432.2448735567,241841943144.50656,491774.2806862784,1106947.6513928624,2162533655858.961,1470555.5602761023,631704.3507668143,539915701591.95654,734789.5627946525,109125040.70301832,1.4284033363648643
437161.63345741975,480338067040.6004,693064.2589548248,609994.1099513195,690275215434.0206,830828.0300002045,554752.0885456012,586017543821.378,765517.8272394302,57620832.8853207,1.423439312003797
314404.2802787601,175781730028.80084,419263.318248569,714023.9104683036,1165156572508.9358,1079424.1856234905,590830.9893023751,963951500805.9929,981810.3181399108,69653885.95290355,1.341223127626364
312852.54936455545,209442462008.9116,457648.841371757,851443.6205051064,2225447528803.477,1491793.393470918,680317.6229005544,1781362337424.578,1334676.8662955756,85712044.67265207,1.4449148708014197
284603.7696376581,183160405238.25534,427972.43513835716,544285.151432196,596972815904.6283,772640.1593915684,496850.91006595327,463505019614.76843,680812.0295755418,52049758.504599586,1.4358335521959718
328933.3455131587,230741919392.44592,480356.0339919193,767389.0650904664,1595444287967.127,1263108.977074871,689313.4069915396,1330355329859.9187,1153410.3042109164,75436712.08031563,1.4727096386002978
488197.4574495324,496801610365.6496,704841.5498292149,1228911.8042532431,2569275668765.441,1602896.025562931,849557.2896323921,2138076996598.9187,1462216.4670796588,119143683.65902235,1.377159511747402
265586.45048942615,147808995307.50125,384459.3545584517,756467.1503523946,1153758895397.5674,1074131.693693826,608971.3754135031,945917411453.7026,972582.8558296217,74769142.33878244,1.413253602907845
357732.95734319376,249339656536.6494,499339.2199063172,1158709.3263139252,2148476221520.7637,1465768.133614851,741006.2256345346,1230857321183.8193,1109440.093553419,114805903.64002559,1.4415361120257244
279818.7708988501,152920247859.6392,391050.18585808034,522521.8556338573,617796027258.9044,786000.0173402698,501723.40303166845,521189494177.2205,721934.5497877356,50355543.04067976,1.4009923593730553
363163.31946355005,253807549597.93387,503793.1615235898,1297458.5456162617,3390020349088.082,1841200.7899976803,845946.6982097535,2125761163831.8574,1457999.0273768557,129291403.48213103,1.3878578494045422
356603.5649936026,325254399082.46564,570310.7916587811,1182680.2403661057,2383100898992.374,1543729.5420482093,738810.1322664495,1177871334673.515,1085297.8092088434,116095816.21086878,1.4059112303881838
429000.6407232379,400702334476.9823,633010.5326746012,1169466.864242866,2691477772911.1807,1640572.3918532764,788169.1970783931,1688404069376.0894,1299386.0355475924,116338333.91728556,1.4549845139511015
381171.82304627524,372322264626.42505,610182.1569223612,1024957.9622076272,3186786373355.255,1785157.2405127943,817594.1608148373,2517296460027.4067,1586599.0230765324,100624573.50274993,1.3447761907246392
371444.27626871056,419661984601.7919,647813.2328084939,1010526.7497374023,2857379490773.3457,1690378.5051796376,810887.1870416265,2448363823659.2544,1564724.8395993637,99369983.92205901,1.3935510890819232
292843.56050040346,203719820417.8301,451353.32104442315,727266.9945761359,1277654318017.603,1130333.719756074,567560.3926332967,922674378290.8522,960559.4090376983,72770221.6415032,1.3870347544578028
358053.415489281,257828841721.2972,507768.4922494672,800768.6493666188,1409180809799.83,1187089.2172873234,689501.7753394608,963078235790.0804,981365.4955163649,79437187.55575512,1.5413264512155405
276357.6654668488,164196612357.535,405211.81172016077,772930.4348717461,1449481474241.8882,1203944.1325252133,648987.2275453339,1262927745507.3467,1123800.5808449055,72414096.73027688,1.3005915099226217
240221.4862661283,105636387478.78773,325017.5187259723,514429.3297295576,642361261632.4482,801474.4298057476,450274.51656028273,501998339757.1004,708518.4117276702,51460183.87005308,1.3601946938256102
323986.64401083934,201688327746.63132,449097.23640502547,681247.597550685,1106245579928.6511,1051782.0971706312,601137.613733515,838170347827.43,915516.4377701965,68872118.27712202,1.4409588556678001
550539.3151357098,697927841209.8918,835420.7569900881,1127834.3636261728,2640425984908.535,1624938.763433421,864291.4668322862,1869395402334.9946,1367258.3524466013,110335198.637154,1.3729763423411487
413141.0786223739,409127238348.67914,639630.5483235453,811058.8354572144,2014963591762.9775,1419494.1323453852,651040.0023831923,1244280805657.258,1115473.3549741374,83548716.83502135,1.4577276061004745
250789.26929746306,115701252667.41171,340148.8683906088,908388.8781264318,1771677901653.7744,1331043.9142469247,633689.9686573193,1390257487392.8108,1179091.8061766059,89796851.05464467,1.4367837472670193
325914.5044087226,200186036970.8143,447421.54281037283,687719.7865560282,1007888733001.821,1003936.618020192,615206.2341575641,954222731658.8711,976843.248253716,67940938.51206036,1.4057291913751675
345366.0134532662,334359167366.1336,578237.9850599004,570351.3238206547,532031381807.8022,729404.813397747,491354.7899033696,425217773310.4629,652087.243634211,53231406.15691977,1.3781444696128722
283270.9208185447,158432880804.32367,398036.2807638566,1113010.6754393005,4022704810574.7505,2005668.170604188,837645.0948008492,3054361497377.1143,1747673.1666353163,111274308.16393372,1.469021921106683
398142.3808697756,343504200010.67706,586092.3135570685,989019.7227271311,2986300297608.5654,1728091.5188752492,838694.481117952,2447950901936.871,1564592.8869635293,100551204.51916017,1.4834137384189066
423031.99255248025,324200147913.92847,569385.7637085146,860879.1240057329,1667578206643.6943,1291347.4383928187,696057.1504587205,1193103407447.0974,1092292.7297419393,86542669.16132139,1.4067873573292906
268833.23474880256,135750616011.49358,368443.5045044132,1180587.1743214591,3532028603396.069,1879369.2035882862,872657.0586051164,2061239331037.1777,1435701.6859491311,119027605.04888758,1.4030022408814142
289031.68456149806,172442189866.02316,415261.5920910856,735093.1727001464,1207719101831.301,1098962.739055015,649782.2351245359,936081928909.0917,967513.2706630394,72806439.42926078,1.5256679310484886
341475.3289700816,238963462899.94983,488838.8925811344,698449.5208597393,1344490775822.6968,1159521.7875584299,656700.0193457108,1248264705240.6375,1117257.6718199959,68883459.79391152,1.3700237034759881
252523.83240490872,110531452849.37698,332462.70896053436,818352.3134902469,2298126154128.6377,1515957.174239641,808023.4169129207,2183046177396.462,1477513.5117475109,81427337.79572065,1.4032066220278994
292450.0158971016,159884305334.72937,399855.35551587824,864727.4329150086,1644799275920.6943,1282497.2810578174,672414.8915057157,1249532495362.1812,1117824.8947675934,83064729.88855225,1.317995461303914
318035.8670813589,171220091848.66342,413787.49600327876,886874.8027073683,1680544633946.8882,1296358.2197629204,661572.3175077601,731848127698.9465,855481.225801564,88786772.89079754,1.4224255948794902
307598.36991160834,207166367848.70715,455155.3227731245,807330.8921016966,1202336754186.65,1096511.1737627892,649908.2040869441,724882544121.2004,851400.343035637,79063687.34748355,1.4521466137286387
365085.1522467868,249233247783.29184,499232.65897103713,847808.200293458,1308565337484.7397,1143925.4073079852,632962.6187723472,907663145076.2343,952713.569272651,83036985.35386005,1.4011565714584595
388589.3189079435,278775884454.0546,527992.3147679847,1073335.7732037106,3062353283214.9927,1749958.0804164975,887664.7961300727,2242223153207.547,1497405.4738805876,106167764.52853529,1.371150030214724
429436.42597904144,467982809399.57544,684092.6906491367,806972.0675494433,1025474355096.8102,1012657.0767524465,674022.8152279322,747175913238.6075,864393.3787568063,77776479.68806137,1.4047655449923488
323419.1892877234,243961351971.86038,493924.4395369198,967128.144504719,2012766068299.7566,1418719.869565432,689936.0223739095,1076338303423.4124,1037467.2541451188,93565211.9683878,1.4359866476387753
242625.18776844087,101951492641.54192,319298.4382071762,870520.2677303868,2389143982524.6562,1545685.6027422447,781317.8802094768,1958420965400.9473,1399435.9454440733,88159173.96269658,1.4734405426978845
639348.3224752576,1228224823495.5369,1108253.050298323,915460.2256161756,1312352851035.993,1145579.7008658948,751061.9448612977,881451168501.0114,938856.3087613628,88864378.77982703,1.4128961662781618
459329.01323766005,348252525422.9274,590129.244676899,979974.6676005342,1523293833745.32,1234217.9036723296,633191.5082616776,578640372405.0007,760684.1475967544,97007035.6894952,1.3839019214442942
467050.1478851186,474437625252.4388,688794.3272504781,734651.842434045,1167656272113.9524,1080581.4509392397,660264.6056394312,995805077375.0132,997900.334389669,70303516.28982493,1.4215037216173148
507620.8921029117,406008426856.9335,637187.9054540611,1216411.4921108761,3885314084104.332,1971120.0075348867,863539.108407768,2348200413119.771,1532383.8987407074,125673748.10085398,1.4253597200321901
360266.7481304159,258619824675.69525,508546.7772739252,755527.4269977883,1062971740341.317,1031005.2086877724,668931.2307701112,829562708537.8248,910803.3314266175,75022833.27044313,1.469571864657154
240879.40664787448,104364753710.27737,323055.34155973553,613344.5860572417,878295160244.9464,937174.0287934501,533159.6153297947,672591836329.6729,820116.9650297894,59862683.87824889,1.4146515578331078
265792.6785438155,126779847138.32896,356061.57773386466,1031021.6485898898,2463519826913.9937,1569560.392885216,726929.205576232,1904242241912.9338,1379942.840089014,103201498.57477057,1.3958463061655206
397596.34185043216,502042862584.34766,708549.8306995406,748426.5385387251,1602897465360.6965,1266055.8697627434,778645.8011856237,1776538262353.9663,1332868.4340001328,76381801.17173424,1.4107912367835878
411662.07277523406,319120371191.18787,564907.4005456008,1689584.2136894397,5163238572542.98,2272276.07753613,921343.0111625365,2130225821954.2747,1459529.3152089391,169775657.23574746,1.4023455249777987
418487.66884739563,700983243960.6984,837247.4209937576,995024.9640115005,2009202241571.674,1417463.3122489182,858952.8464304297,1562012991248.8071,1249805.1813177953,96034546.28619598,1.421800117312784
374259.4966788734,338677655815.55396,581960.1840466012,809679.4632914611,1742204868764.317,1319926.084583647,596687.6407106271,1073017249086.2288,1035865.4589695656,80154529.08679977,1.4360306989842884
297857.3450939242,173869457279.56085,416976.566823078,1030940.0188274261,1919369480540.7522,1385413.1082607643,683772.588313364,690308344161.6006,830847.9669359495,101131190.992476,1.409650371011395
285449.67048290814,161464615082.48718,401826.5982765292,860269.1567638464,1289514996267.8525,1135568.138099979,683199.5918369266,986427199581.4973,993190.4145638425,82104064.57457101,1.4778177323406207
237764.40942444836,157882979541.8091,397344.91256565636,643575.4370707074,1028351577254.6821,1014076.7117209043,540010.8744033608,798684875545.0825,893691.7116909402,62935112.464798816,1.3860485501304272
335166.9429070721,196784920609.2851,443604.4641449014,873138.5798616075,2182877337005.127,1477456.3739769533,748154.1426551811,1746799427089.7102,1321665.3990665376,89333552.98265977,1.3700051824260449
445224.4959433357,634166702655.716,796345.8436230555,674389.9297454957,1049427179428.898,1024415.530646084,620350.5208673433,964849029257.0112,982267.2901288179,67437737.3506106,1.3960914976676535
404883.65535119025,380349601704.5026,616724.8995334165,888871.0725101167,1402462074135.6655,1184255.9158119776,746307.5694919027,1166634105485.9998,1080108.3767317054,86680927.64043273,1.4115733474565106
254059.8388343804,142598335643.0409,377621.94804200786,839593.1463444266,1676298216623.066,1294719.358248368,746732.4247438385,1622875387246.5042,1273921.264147241,81657353.60158409,1.377101874548355
359701.0392109755,273265031846.9091,522747.5794749404,845980.8037661436,1872294917321.7402,1368318.2807087465,830313.5974701956,1819843666722.6035,1349015.8141113853,80170196.29826944,1.399516282888274
332856.3757382671,255192544344.12704,505165.8582526407,720415.581290759,1218951531952.8328,1104061.3805186888,651420.2791104583,1363436217663.877,1167662.7157119804,73485878.47261989,1.392147064666913
336656.46749411646,212414633964.29395,460884.62109761697,594354.3992607541,761995953439.8655,872923.7958950744,564944.8206537525,717843942639.9213,847256.7159013384,58170931.012387246,1.4006708870870814
423498.9327683265,386801220727.0523,621933.453616263,700215.4173711457,1120157565895.7717,1058374.964696242,638863.9818224853,713496762616.0757,844687.3756698839,70496247.51335154,1.3705600116377055
431779.65778622066,334218496585.78674,578116.3348200661,872834.7026416541,1468198862709.2385,1211692.5611347288,638742.487035539,622547467693.4589,789016.772758006,86206589.66503972,1.3699834802968969
272029.8899706857,162393501496.89896,402980.77062919387,697891.6959461629,705603085792.7621,840001.8367793978,556412.6004040744,457052707656.50507,676056.7340515921,66940649.3190187,1.4317365604017518
264944.9797586737,145630828175.54285,381616.0743149361,897007.4336403027,1213849912522.2515,1101748.5704652634,612055.4972371367,597170830602.8663,772768.2903709664,87277213.04253179,1.4266278890658495
266852.47609944746,142580217454.72357,377597.957429226,839378.9534235481,1486759240467.886,1219327.3721474009,644258.7755231962,1114613719934.7488,1055752.6793405493,82391748.91492888,1.3732499716073716
265825.17522326193,132932915532.22418,364599.66474507924,768404.7857221803,1428540039273.471,1195215.478176831,721774.7953135498,1299864224420.4944,1140115.8820139708,75734816.76366906,1.4166937911743203
287681.4441270186,156991580115.84222,396221.6300454106,745391.1706974428,1419811706293.3281,1191558.519877781,626485.0642139862,1226760298941.5518,1107592.1175873147,72918512.5230354,1.3549365377618923
306300.16745664267,159525902015.79086,399406.93786637066,885053.8741560561,2247088049111.4263,1499029.0354464205,631416.1948871715,1323807369215.3796,1150568.2809878688,86761019.34107067,1.3875221816376309
411148.49636523664,349831186550.1813,591465.2876967348,1046868.770808645,2234997391386.0254,1494990.766321326,621685.3196261075,1145831699448.6653,1070435.2850353287,105403201.0669283,1.4225563613650634
367374.2314003136,298259951762.1314,546131.808048324,946443.938253662,1826199114054.497,1351369.3477560075,725480.9513967427,1322058837244.8105,1149808.1741076685,92075148.34765482,1.4101719422945742
319892.7649856372,318478417238.19324,564338.9205417195,787284.1499696058,2262506035930.486,1504162.9020589776,717712.8828485422,2269941342357.057,1506632.4509836687,78274471.82896848,1.4039524208793
312548.033162528,189548094034.04825,435371.2140622623,997310.7529268546,1816868685046.2805,1347912.7141793272,597079.3971223729,583337274813.0968,763765.1961258099,96336500.59516567,1.3971162652749283
299611.9602336719,198834326532.37552,445908.4284159423,801541.5051782951,1336439186098.2356,1156044.6298038133,678033.9312779622,850426509436.6222,922185.7239388507,78300174.77523425,1.4171913290299714
349223.49926003837,287637682730.42316,536318.6391786352,978950.7026807176,2739840032481.458,1655246.2150633235,812303.6436263401,1947954439772.8916,1395691.3841436766,101728168.2151187,1.4233762481636665
473932.27507472225,412932709883.38086,642598.4048248025,1432102.0372300565,3710158528909.1494,1926177.1800405977,938932.4518565837,1887166411231.6045,1373741.7556555544,142714706.85520753,1.4341548081403823
323093.1660492317,231799659124.91953,481455.7706839949,650825.1544287615,919415364869.9141,958861.4941011627,545338.2535643303,503104193965.5457,709298.3814767561,64004815.11401809,1.3989607265134876
328788.3016382666,262447199245.77133,512296.00744664343,839375.8241616642,1408197620797.9512,1186675.02746032,697191.867117479,1308163165789.0127,1143749.6079951297,81603509.25999588,1.413023314895916
401535.42200685974,404291654813.17554,635839.3309737733,976013.2061057362,1868737263142.917,1367017.6528278326,757546.1592098688,1385621438977.783,1177124.2241062678,95131889.91449457,1.4108989348726153
276358.0465920869,181041734951.26764,425489.99394964345,885035.0724221999,3111179130631.3506,1763853.488992595,835597.6262943229,3088333330346.7515,1757365.4515628647,87247539.94496465,1.3759130675171796
457749.7065107214,413873311724.37885,643329.8622980118,626008.5051667963,797669201300.607,893123.2844913445,596645.8144747006,661595664286.0176,813385.3110832636,58827972.30089339,1.4258545041858555
221302.2488863387,103611141161.34041,321886.8452753862,615681.5631819464,1342515688206.709,1158669.7925667644,637751.2978717181,1253774883495.264,1119720.8953552952,60382131.64531737,1.49217966639127
286085.9085742644,137070723778.05827,370230.6359258486,763683.3977049993,1157211051326.9885,1075737.4453494628,648339.7465329227,904897077787.4342,951260.7832699897,77524854.94130449,1.3597841345804071
264889.0493178479,147070116861.52975,383497.2188445827,761804.687111401,1187584219768.1619,1089763.377879878,518237.8113568154,467651313673.5859,683850.3591236798,70057231.48985904,1.3931837186938862
332694.4297259826,209627216657.76044,457850.648855891,985809.8033204075,1929648494624.4204,1389117.8836313426,748356.4344688304,1263398586721.594,1124010.0474291118,94655612.15274288,1.3574884281210824
497306.66685097426,808678505231.3748,899265.5365526774,1044856.8423521055,2538388037619.6553,1593231.9472128518,934755.0454976187,2345546444689.0317,1531517.6932340781,104064458.42923991,1.5007501490155035
299508.3959678162,162062343357.91913,402569.6751593681,1265121.355732146,2839632427781.2876,1685120.8941145106,858791.9970405347,2167882662621.453,1472373.1397378359,123153830.61521563,1.3951371513987478
327392.172105567,325533662843.61523,570555.5738432631,1075998.917848424,2695454419617.392,1641783.9138015064,801264.4860211964,1969139729725.972,1403260.392701929,106755307.78904285,1.4440290980750696
259296.34235671285,110194630113.94032,331955.7652970352,709702.4604634747,970421868300.1809,985099.9280784569,586817.7412914908,551884127224.6771,742889.0409911006,69355694.41346613,1.4090610099340144
395300.21556912956,316451848165.15326,562540.5302421802,1020916.5157735687,1569812744614.242,1252921.6833522525,591371.7001297015,482307074324.755,694483.3146482031,99957621.24598661,1.4656747867058284
351957.5635344892,243673427816.69742,493632.8876976264,805798.9979154142,1171537161548.453,1082375.702585961,648726.6820194658,1065953298239.6373,1032450.1432222466,80760522.0037095,1.3207239166502336
299363.39978981216,181384784405.28906,425892.9259864374,614506.8270873689,696811419821.205,834752.3104617351,595515.1611584972,551992038821.4376,742961.6671278792,61390219.95989031,1.4659178770325112
397747.95433488203,324764459496.0594,569881.0924184618,785443.5556159228,1276930064875.615,1130013.3029640028,669345.0301527508,785990543526.0348,886561.0771548877,77386455.67357412,1.419868433922329
