source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
345813.4596130915,210504717645.48035,458807.93110568647,1033775.2197817041,2120201544696.0762,1456091.1869440307,896710.243195547,2485083903584.3223,1576414.8894197627
382564.96536687517,466868744979.5577,683277.941235891,926029.2203731898,2120667151175.597,1456251.0604890892,687397.2183143682,1686391823412.1448,1298611.4982596391
337142.40945373726,310301029210.26056,557046.7028986533,1180006.6764101433,4571807666564.191,2138178.5862186984,968120.8399269202,3485496540245.203,1866948.4567724958
363822.825040932,238476222739.37482,488340.27351773356,1033050.1360145098,1982977746323.4866,1408182.426507122,828905.8605801731,1396032528764.7646,1181538.2045303336
394335.41756903863,364462113854.933,603706.9768148559,799044.6590408301,1246934987181.064,1116662.4320630939,625157.600982067,739427612423.2952,859899.768823841
430606.0544931478,349320170839.0728,591033.1385286893,1288994.7532361953,3020893504035.3423,1738071.7775843844,851091.3469138147,1286117903053.8157,1134071.3835794535
349623.39812033303,252481987640.10846,502475.857768419,929406.386311105,2546876799295.8735,1595893.7305772817,894659.8789674112,2631569346437.428,1622211.2520992537
374998.96104798786,319138223461.44025,564923.2013835511,1131064.322032547,2113452281960.3584,1453771.743417913,631743.8229953793,539976546865.13696,734830.9648246574
444383.35253788665,462066004795.62836,679754.3709279319,641808.8322772213,770544492859.7646,877806.6375117955,554756.748477526,586019256292.6487,765518.9457437671
307141.9877837835,169446251819.58212,411638.49652283755,749017.137497454,1125701355029.63,1060990.7421978903,590812.1632828261,963916409854.6511,981792.447442254
321219.0050194347,229688241334.6301,479258.0112367764,780675.7141070489,2080324725904.4434,1442333.0842438731,680330.0734841247,1781386644571.6428,1334685.9722689989
304289.1004714899,186662535803.054,432044.59932170657,541317.1767449415,589596221325.4558,767851.6922723136,496846.13868211315,463496588604.66345,680805.8376693486
341806.29956955876,241345480598.18845,491269.254684423,767547.4687887192,1594636908478.9902,1262789.3365399432,689331.3299027699,1330391023466.5889,1153425.7771814314
485080.32241312694,495333328683.66504,703799.2104880944,1260178.435721692,2600856831272.5645,1612717.2198722765,849567.4967484671,2138086889211.4395,1462219.849821305
265490.11228211777,141596658769.58957,376293.3148085275,761613.8671428494,1141973158290.593,1068631.4417471504,609016.24233636,945997741799.6,972624.1523834374
372243.1050755451,262702041172.86218,512544.6723680407,1159038.1721760659,2144656084729.4482,1464464.436143619,741029.2327818716,1230905810178.5906,1109461.9462507898
291139.9674039881,157742974856.98846,397168.69823412376,515794.58045011316,610545966611.8456,781374.4087259612,501717.0853866483,521182781750.84375,721929.9008566162
361810.2558974966,262832117458.33557,512671.54929675546,1298466.1770376572,3423872340232.4604,1850370.865592209,845916.4893476361,2125707995032.623,1457980.7937804335
350461.20675962453,313806684914.4885,560184.5097059436,1172604.8651971791,2377410249054.2393,1541885.2904980446,738813.6060265525,1177852097047.6438,1085288.946339934
427585.5790181231,397511690760.1154,630485.281953604,1158711.9439723701,2700963780521.7773,1643460.9154226265,788169.3723061781,1688393177308.7634,1299381.8443047307
403749.83458581346,381921720312.1056,617998.1555895661,1026342.8087438435,3085540442493.4536,1756570.6483069372,817666.1423659493,2517469688583.674,1586653.6132955025
365623.4371592797,427651688672.2334,653950.8304698706,1011243.7716550343,2876274343809.364,1695958.2376371664,810890.9655296535,2448373402934.8354,1564727.9006059922
