source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
317730.972195682,185529358077.52002,430731.19004492817,927956.6267944836,1870837458897.5654,1367785.604141806,698312.7413861492,1237165269149.3235,1112279.3125601697
277448.0185167682,164654626442.79654,405776.5720723617,966998.4280336988,1942615339037.1506,1393777.3635115298,602037.8371431044,1112380558214.0232,1054694.5331298646
408089.4508736681,369102568209.5656,607538.1207871368,946759.6241027811,1605599442809.9497,1267122.5050522739,724830.42159485,952301413890.5859,975859.3207479169
326940.1897744096,288079030960.0721,536729.9422987989,901840.4758830337,1999807117535.2341,1414145.3664794273,700359.930375793,1894725491047.502,1376490.280041055
298852.17327049,222254288448.42392,471438.5309331683,886744.1904949917,1995352514501.9128,1412569.4724515013,821728.1377514654,2200136958471.0186,1483285.8653917722
494896.7458765168,730676065425.1987,854795.9203372456,1149097.122442475,2968381660571.869,1722899.20209276,881467.6397328781,2399288186367.7544,1548963.584584142
347834.9185208533,263669939045.31876,513488.01256243436,823910.9376284645,1315334117509.597,1146880.1670225172,715437.2804319453,1252662068645.1626,1119223.8688685845
365656.61444240547,270780984853.0478,520366.20264295395,959881.5197356067,1605642117074.1863,1267139.343984783,691118.0461393627,1115864562809.3435,1056344.907125198
346297.4064552671,292507097022.4383,540839.252479365,902265.4571385245,1859471234132.077,1363624.3009465903,744473.1011855442,1854619353406.1887,1361844.1002575106
420503.1285906782,299873307264.8524,547606.8911772864,773122.6571995106,1019164668325.4119,1009536.8583293093,664359.0677308968,835286277220.8348,913939.9746267995
317121.14050247514,198965758498.72702,446055.779582248,1007070.5608903796,2475392489582.696,1573338.008688119,816488.0680137681,2161654089951.6672,1470256.4708076164
286178.24767451076,159523437286.73328,399403.8523684183,826498.4398382215,1256720738765.653,1121035.565343782,653800.173115486,911882452140.837,954925.364696549
277129.13927484595,160678784301.78543,400847.58238236315,963970.6851322693,2079224693347.6533,1441951.6959134426,744613.6317592189,1688806801634.503,1299540.996519349
570475.8964771765,1051603432897.9148,1025477.1732700416,1131183.3286032681,2722075917578.2036,1649871.4851703462,974309.5088759783,2272053273043.537,1507333.1659071054
409337.3100003343,436585106108.91833,660745.8710494665,737378.5300362405,1107626951503.863,1052438.5737437902,689721.9505252148,887888354289.1062,942278.278582875
310031.4019783542,216521879510.35468,465319.1157800791,887794.3275093233,1949773553987.367,1396342.9213439538,660006.9522061726,1519655484836.0762,1232743.0733271537
394184.6126947362,333615675223.3756,577594.7326831985,982976.8235713812,1773723860231.9597,1331812.246614349,718026.5930211011,1289100780407.8987,1135385.7407982093
301931.3936859506,175384857375.0912,418789.7531877913,895166.1402516426,1565596737317.7568,1251238.0817884968,558702.494171887,864399510568.7733,929730.8807223589
310805.053233361,188851944334.04193,434570.9888315624,947324.8516490913,1874260217828.992,1369036.2368575172,841880.3439414484,1743008170669.2002,1320230.3475792396
337308.6071127722,184841248064.56036,429931.67836827325,775310.0524688319,1075469368039.8845,1037048.3923327225,720681.0823022528,922273115717.8716,960350.517112305
280089.6356674154,146760808735.90204,383093.73361607216,978629.7046079962,2510217393897.2974,1584366.5591955977,791246.1982764824,2369245843526.7017,1539235.4737098224
272304.26469759847,137704647903.9225,371085.7689320927,1072842.18349689,3377095471689.55,1837687.5337471138,884007.2774360973,3294665494320.4194,1815121.3442413209
465734.46109005506,434463199055.42224,659138.2245443077,939696.8190086634,1863104926061.942,1364956.0161638695,832336.8535543956,1526229137286.9912,1235406.4664259255
448083.0686952541,404826102946.28815,636259.4619699484,1068243.6567723365,2957488279061.6226,1719734.9444206867,846205.5969270817,2847677660108.0254,1687506.3437237875
323435.8801500052,260289808749.6253,510186.05307243095,805752.7180377989,1643981535412.4778,1282178.4335311828,639605.8558807415,1172732014231.741,1082927.5203039865
239521.86588960158,103691449569.98894,322011.5674474893,1065894.330530747,2988387596840.494,1728695.3452938127,819694.4865092019,2550705243010.8276,1597092.747153661
314694.2189981387,162018357361.12625,402515.0399191641,772564.3848819715,1294778535475.2546,1137883.3575877866,770985.8711074874,1415274265818.972,1189653.0022737605
489965.89370644,576126836532.1488,759030.1947433638,911990.1121379577,1812733769881.257,1346378.0189386846,905465.6206623118,1833235400659.7664,1353970.2362532814
645253.6819462442,1304537306740.7942,1142163.432587821,1142128.4292659045,2171834322130.5952,1473714.4642469229,933949.0061743456,1581066989114.5908,1257404.8628483154
362750.1961767957,232393961941.53333,482072.5691651967,934880.7181149226,1583315853070.67,1258298.7932405681,734784.173314339,1188861897599.6326,1090349.4382993153
278355.05926574307,167720194506.04727,409536.560646357,822276.0489619783,1914253290918.6543,1383565.427046605,728574.9271338631,1604389326502.1187,1266644.9093973096
283155.4568908617,133809897913.5038,365800.3525333236,821328.1672469798,1155930591799.0393,1075142.1263251847,597108.7964868993,730560505561.2312,854728.3226623716
270986.1701684164,142256975130.56998,377169.6901005832,698272.3213640521,1189179046727.046,1090494.8632281795,612061.189836568,810948548741.9758,900526.8173363722
518645.4030290601,684484272766.5134,827335.6469816307,952540.4949708681,1683737617104.978,1297589.1557442124,809851.6278871044,1525651240759.8374,1235172.5550544902
287276.2102134731,172020610466.5495,414753.6744461096,919982.168618556,2406240917333.892,1551206.2781377246,781176.4803964549,2186332350281.0984,1478625.1554336206
442480.60323436285,360063280342.9568,600052.7313019722,920057.0080781543,1456640629555.901,1206913.679413694,752655.8307860313,1278906375819.8516,1130887.4284471693
236645.59204028052,122965052858.36443,350663.7318833592,693143.0206672505,1519037445675.1577,1232492.3714470437,632202.0068457678,1387824116477.0698,1178059.4706877365
562860.8134798544,1138023412177.2825,1066781.8015776621,1140369.4818329068,2797972184136.774,1672714.0174389565,984407.5557541936,2329076165138.049,1526131.1100747697
368090.4356177195,352761593994.4028,593937.3653798882,1131694.5111916622,3402198085628.623,1844504.8348076032,956117.5417790004,3044506799929.427,1744851.5122867695
441374.4412176303,347685438453.5316,589648.5719931251,1276706.9962659117,2618986509274.318,1618328.3070113796,851145.0773223195,1498496360308.2302,1224130.8591438376
327365.27838711836,185961431235.19852,431232.4561477238,859997.4529765497,2249216259220.406,1499738.73031952,765838.6307116257,2220396536529.802,1490099.5055800139
262631.3603519904,123830472617.08916,351895.54219553445,883939.8690844047,1328835962564.963,1152751.474761565,689848.4805607741,1148045250994.3945,1071468.7354255347
347291.62342433684,415979035867.47736,644964.3679052955,851468.2714608308,1975485347868.7285,1405519.600670417,727213.867963558,1796138646261.2776,1340200.9723400732
341263.7213321565,204892105567.63284,452650.09175701364,773505.155970034,1241806189022.4292,1114363.5802656282,680997.2530128038,1051674347566.9111,1025511.7491120768
293115.96902372723,209356375308.63705,457554.7784786397,1274306.4641803978,4691623449956.603,2166015.5701094586,989704.6293931523,3561351252082.7637,1887154.2735247598
316778.120290338,229474906940.17838,479035.3921582187,923476.3068647385,2229966633304.021,1493307.2802688738,757410.3335326195,1712463432168.7888,1308611.2609055405
376895.214620816,244821138529.2414,494794.03647299693,700926.6561720463,1178964249537.8718,1085801.2016653288,634417.6758406592,842826052252.4426,918055.5823328142
319467.6280321596,186830946419.36884,432239.4549545065,605280.911560668,755083063313.0739,868955.1561001717,539786.4998312943,745354285386.4117,863339.0327017606
363569.05151395325,232956123848.66223,482655.2846998179,933084.6134096443,2405325511701.0034,1550911.1875607201,793813.484161403,2029088822934.9944,1424460.8885241442
307970.10606539674,174135389680.48065,417295.32669379446,683627.4503078099,959419274217.685,979499.5018976197,559068.8326687592,721167976898.2905,849216.0955247437
326936.196177138,202065623090.5201,449517.0998866674,858270.8789153883,2079620076295.103,1442088.7893243963,796568.400184884,1913484334473.0461,1383287.509693139
327509.683940692,209535747767.275,457750.748516346,681490.3190392387,980401184403.7739,990152.1016509403,594561.0715496797,744498667613.9194,862843.362154406
304138.2656260858,188050689028.02786,433648.11659688764,941435.4123561983,1589994542555.702,1260949.857272565,705536.8935617714,1341477329896.713,1158221.6238253855
310376.681087893,181421127563.83267,425935.5908630232,848417.7478063181,2456788072709.8086,1567414.4546704323,741441.3551126837,2348259840050.6914,1532403.2889715068
369045.40542527114,317629092512.46497,563585.9229190035,960321.0446026245,2342006585260.6797,1530361.5864431125,806500.3527561859,1937842567647.0264,1392064.1392001398
333714.2890511088,220827522858.47577,469922.8903325265,651854.0659440687,958223663807.4468,978888.9946298542,652327.7910965653,938657556513.499,968843.4117614152
483581.321069806,490631540203.91797,700450.9548882905,871176.2972101587,1899106751990.9363,1378080.8220097022,789931.6798228585,1733523222681.995,1316633.2908908217
355823.3310783118,241173776346.97363,491094.46784399194,930082.2720480907,1609860126700.1174,1268802.6350461752,726578.1572329473,1071192051703.561,1034984.0828261859
334638.18468541285,273290448459.51193,522771.8895077584,893784.0546377525,1559443873049.8704,1248776.9508802884,726086.4388719195,1185359785119.5974,1088742.295090807
450781.05586130766,410644706793.14984,640815.6574188475,947524.4151324383,1513878713457.1292,1230397.7866759715,655547.1020755089,982446127492.0607,991184.2046219566
383443.1755962708,276444164943.4466,525779.5782868012,922530.7851602772,2275456510149.3857,1508461.6369498384,820775.2523857425,1938526330297.577,1392309.7106238888
447522.80397524056,434461419239.03424,659136.8744343122,1294508.8732270359,3099424255469.483,1760518.1781138992,904649.8551575433,2013403985163.6704,1418944.673045313
