source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
220203.4251129886,101394780368.4859,318425.4706654069,1505610.457872034,3885774562486.6987,1971236.810351993,595348.4552361056,961602776137.3046,980613.4692820125
266852.9115158132,132587632245.82326,364125.8467148731,1575188.5372612374,4614612812122.853,2148164.987174601,688550.9075887683,1875141686284.2622,1369358.129301558
265255.10554529954,184314016844.02216,429318.08352784556,1298343.7981611136,3206692135074.1646,1790723.9136936113,607750.0573281845,927799697128.6619,963223.5966423694
354708.6452048893,307621810692.7098,554636.647448318,1198207.872150566,2756473493166.3887,1660263.0795046876,639764.7367376928,1868012086304.3196,1366752.386610069
181865.77538771383,68760096965.14215,262221.4654927055,886942.3672657483,1803538351348.3757,1342958.8047845606,613750.5760858892,1481585759138.1555,1217204.0745652125
252766.971746286,149158981610.2809,386211.0583738908,1232948.1549507051,2724470523779.2114,1650597.0204078315,560651.6023829606,698009139992.5833,835469.4129605124
187595.7305615456,73716221431.69238,271507.31377200945,961556.1780647509,1637548457062.729,1279667.3228080526,501592.09094411606,616307211736.815,785052.3624171924
227682.57804987935,127268523235.08192,356747.14187373937,1484241.0870388015,4085916790974.937,2021365.0810714369,638260.4605580114,1051773450911.8593,1025560.0669448179
218185.05878433556,114259543100.93094,338022.9919708583,1160820.2175481496,2812301216245.1646,1676991.7162124459,663196.7484007112,1723860691526.1472,1312958.7546934395
170066.22706178433,60831261569.37648,246639.94317501877,916484.7073512478,2574054985852.36,1604386.171048716,588544.220582156,1724584506843.4355,1313234.3685890327
384191.37247642525,287507853994.07153,536197.5885753977,1360691.7826777827,3847242432286.908,1961438.867843428,661894.1621823793,1440797958617.3481,1200332.4367096592
367023.5063959054,328818702723.0106,573427.1555507383,1166676.5095740024,2683938957189.555,1638273.1631780933,598721.3862727947,701385414401.9491,837487.5607446054
146375.803353226,53754422650.149216,231850.0003238068,1025200.7235025485,3237166064959.4795,1799212.623610528,675818.9706519777,1863444424326.4753,1365080.3728449382
205817.30707496058,117736938012.42984,343128.1655772808,940343.0443036895,1648688312050.7832,1284012.5825126416,600457.0360825738,1200930744750.2915,1095869.8575790336
321591.47347712604,276011347549.2937,525367.8211970102,1234546.117633814,3223511564729.748,1795414.0371317554,593377.5390707057,1178243719445.9912,1085469.3544481075
311451.13630383444,243087356982.07205,493038.9000698343,911847.8616824038,1438002890252.6985,1199167.5822222256,461538.75954470923,347852613568.72363,589790.3132204899
331737.7947934219,231523714533.3759,481169.112197963,1319232.8213789486,3183969793035.353,1784368.1775450248,616189.4861607269,743332470626.5414,862167.3101124523
389891.95194512885,346363194660.757,588526.2905433852,1472099.29964747,3834543176303.628,1958198.96238958,581342.1767825519,949375964220.9392,974359.2582928225
235040.19901635675,140229087861.78732,374471.745078033,1223353.1768074052,2725624093190.313,1650946.423476641,545657.6805509421,704403112348.5541,839287.2644980109
