source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
353080.87906529225,296231476511.1484,544271.5099205069,1416272.6289238816,4674246209726.418,2162000.5110375015,1102990.9240096041,5331329532741.766,2308967.2004473703
155816.83174319624,59989679018.302956,244927.9057565776,946107.4972421392,2025831875539.906,1423317.2083340755,680665.5677029508,1773644284730.6697,1331782.3713845552
196697.93846002282,81371803202.1345,285257.4332110112,1149256.1020636263,2372904565868.9927,1540423.5021152438,650011.2149673814,1556741378737.6594,1247694.4252250467
178616.82537772227,77866018001.49641,279044.83152621984,1779167.412318879,5736900085459.683,2395182.683107842,961411.0854416862,4766269730386.122,2183178.813195594
308078.28899081575,188662249110.6732,434352.67825889273,1348271.4857710034,3196882191828.6836,1787982.71575222,1028476.0512834898,3455009426758.9814,1858765.5653037534
303741.7077085741,206290947294.6161,454192.6323649648,1228614.649593489,3806845852660.797,1951114.0029892658,937494.7963712343,3911324411139.022,1977706.8567254911
284903.5842180263,164708479334.6715,405842.92446052516,1628928.2570881518,5879952297987.611,2424861.294587303,1026042.5582332897,4448464665643.818,2109138.370435619
173401.94848490044,59350000016.32969,243618.55433511152,974818.1023769921,2397569647226.3184,1548408.7468192365,728799.179043829,1921348834399.9546,1386127.2792929062
221573.24823058737,112951251981.0407,336082.2101525767,1182255.700904872,2732347533635.5674,1652981.4075287015,869249.6065192743,3211848937825.118,1792163.200667037
315529.5351716132,226651438261.18524,476079.23527621455,1541066.0934278646,4992168690527.156,2234316.1572452444,1126970.4113936038,4536586894035.496,2129926.4996791547
213143.78408206315,88272386600.27122,297106.6922845583,781438.7182782885,1390184580703.9268,1179060.8893114582,679291.4913516102,1491198969486.194,1221146.5798528013
189017.71258388177,77059289899.84947,277595.55093669903,1024645.7782755548,2147096666772.2046,1465297.4669916702,959574.912506995,3192445006038.819,1786741.4491299011
404501.8714625282,306824661465.02185,553917.5583649807,1241971.299885619,3006169041237.3496,1733830.741807674,927134.0314233238,4501344668700.771,2121637.261338698
243992.12318546188,126887145480.96344,356212.2197243708,1176690.3734316125,2914302409356.413,1707132.803667135,806377.6222531333,2148903506902.406,1465913.8811343613
234091.93689985797,120347367753.67961,346911.18136156927,1137798.7304356312,2731621589497.8174,1652761.8066429952,764693.289861598,2062160091817.904,1436022.3159191865
150345.70829266627,51252859863.24256,226390.94474656568,1324903.7689156914,3940106815437.145,1984970.2303654696,975277.3633166392,3701808836238.5474,1924008.5333071025
391812.6015536213,392992247678.9032,626890.9376270351,921237.0845820734,3008118059549.8555,1734392.7062663333,837733.8560047728,3597448896244.087,1896694.2020905972
313210.11904376413,179469508582.80646,423638.41726501443,1278455.2118586702,3076524899385.564,1754002.5368811653,1043628.2807461886,3697634205627.2104,1922923.3488694266
176239.80501654532,71976551287.42828,268284.4596457802,1144511.1236445934,3336030701365.8936,1826480.4136277766,751936.9337207485,2315077304107.6714,1521537.8089642306
238324.2987779723,112077375524.11598,334779.59245467157,1576295.1621817655,5447996172432.81,2334094.293817799,1197596.9159408098,5648735092012.193,2376706.7745122015
269666.2525247045,150234881796.65466,387601.4471034063,1246038.5171252005,3437987222785.1636,1854181.0113322712,935963.8437738532,2570422779708.034,1603253.8101336402
254207.65562608658,156749592296.83917,395916.1430111674,1443880.9927137834,3888916080193.5405,1972033.4886085328,1010469.4664966096,3567246842426.9673,1888715.6594964121
311554.7683533029,201874858898.1273,449304.86186789395,1095042.068446627,2071220297096.3267,1439173.4770681146,872963.5699067169,2810457197260.4277,1676441.826387193
178539.8730611222,80673706818.35013,284031.1722652113,1222626.630378797,4371995861025.514,2090931.8164458433,932032.0316806205,4271570080162.2827,2066777.7045832197
175421.45176030378,73256071883.819,270658.5891558201,1334574.4090128047,4718173079066.068,2172135.60328679,964822.6955272348,4743207589875.534,2177890.628538434
220388.81367060778,103887627201.35635,322316.0362150111,1100142.9092269077,2380688555409.4146,1542948.0080059129,665856.6876127324,2010212264234.3545,1417819.5457230636
390131.45297811937,332483826934.0499,576614.10573628,1349566.9307118654,4050220855017.8545,2012516.0508721054,868082.052338008,2839203820168.534,1684993.7151718205
229707.2378222917,134636426891.05983,366928.36752022844,1210305.5828513345,2159982657896.7415,1469687.9457547243,750887.160488233,2162828331865.6697,1470655.7489316354
218421.6821699159,93431755420.40202,305666.0848383445,1365380.945433709,3832620681669.596,1957708.0174708373,824155.2658802719,2698121836797.056,1642596.066230848
247853.36202805812,127704451786.02007,357357.59651366033,1303709.3277801166,4263591309943.0015,2064846.5584500465,1109102.3562448719,4784415296481.393,2187330.6326391064
269684.1251597299,142917317242.67877,378044.0678580723,1276578.028073124,4138503023867.767,2034331.0998624996,819478.0665246062,3356628521945.5107,1832110.4011345797
167692.55483583006,54872643139.72257,234249.10488563788,911948.681489788,2410399203511.9385,1552546.0390957617,675565.0095337767,2031296163880.0679,1425235.4766423926
201819.58501357524,72840554156.70193,269889.89265384123,1134444.8102217675,3969933329129.3164,1992469.1538714762,998068.3259751579,5123731849645.977,2263566.1796479416
264833.39459477644,141142271086.95514,375689.0617078905,1397183.7107753821,3194101593535.995,1787204.9668507513,922370.8677298682,2672713502736.4863,1634843.5713353392
303999.1549506272,173024808241.545,415962.5082162394,1432065.2527989305,3490902120032.3726,1868395.600517292,1086034.1875783682,3492837960032.708,1868913.5774649153
326074.13278970396,200943144907.41446,448266.8233400889,1403049.5913719148,3626843013857.8867,1904427.2141139673,869644.9149703704,2838095615357.365,1684664.8376924607
266817.8679947359,138889736928.20267,372679.1340123601,1155399.6648755122,3787926060669.024,1946259.504965621,835562.7644684521,3424364630701.5664,1850503.8856218504
263837.15429845353,128561940551.82275,358555.3521449969,1224185.7909963885,3415597646587.029,1848133.5575620688,809843.0658794278,2535309424337.466,1592265.500580059
209402.13557407862,99786486708.11302,315889.9914655623,1080058.7411859955,2224827989358.236,1491585.7298051077,706719.8030992391,2285014288947.9434,1511626.372139605
196986.79411699096,88246383826.56267,297062.92906817346,867716.4101840727,2271801859195.737,1507249.7666928784,636992.9627289999,2580225309550.0527,1606307.974689179
177220.68817489862,56832629431.96639,238395.95095547743,1316104.8081704737,2906581584531.5986,1704869.9611793265,772318.8982803688,2299035685284.563,1516257.1303326369
183640.75265970267,75856586671.07373,275420.7448088719,1206014.998274599,3299328765106.9287,1816405.4517389361,754094.2599628045,2767749934400.6123,1663655.5936853674
282295.1492335758,181084465784.95697,425540.2046633866,1253456.4436128498,3208905870329.643,1791341.9188780356,944555.0631715426,3089430320842.085,1757677.5360805192
300442.79489308025,184616290460.6988,429669.97854248417,1008744.9756539604,2824506470801.576,1680626.8089024334,853500.8555194925,2881679427178.5825,1697551.008711839
222462.9815759503,109415409330.6023,330780.0014066786,1276976.36806525,4593800313389.771,2143315.2622490632,1034776.3393071697,4588694217321.732,2142123.763306344
213670.34162835852,94808084606.83063,307909.21487807186,1211861.6718157912,2617948918082.049,1618007.7002542506,865131.9651844488,2667560513755.0254,1633266.8225844256
172061.2176598141,66677217059.97712,258219.3196876971,697348.0939701233,1047915765662.2625,1023677.5691897632,465805.145035439,1053569443819.9031,1026435.3091256667
238055.01983149204,127462161630.91478,357018.43318085803,1119075.5014230136,2566341772772.8247,1601980.5781509415,801844.9005859841,3171821410124.4307,1780960.8109457183
567999.7202688507,652072904901.0405,807510.3125663724,1454405.357496866,4037018719651.51,2009233.3661502611,1087514.2308783007,3453390194696.248,1858329.947747775
296411.5470720626,207880377273.26492,455939.00608882424,1107761.4320649093,2281306786274.2417,1510399.5452443177,871872.1066717941,2607024628279.3545,1614628.325119857
175688.7672456883,69881055204.73709,264350.25100184244,966534.7688323612,1978109129011.3135,1406452.6757098206,857064.8389504135,2798463195875.1387,1672860.7819765334
315087.14291241765,201370021321.9035,448742.71172009414,1244840.2118475465,3726765866398.713,1930483.324558571,1005037.0985481808,3750355020294.8555,1936583.3367802314
281559.2926218378,170651750890.56485,413100.1705283657,1238302.2442063065,3258468454962.6177,1805122.8365301397,870670.247260884,2547849610375.0625,1596198.4871484693
203916.2048215362,84276253457.8653,290303.7262211171,1382762.7350158892,3719744778303.6714,1928663.987921087,918513.8407778643,3825012871018.3574,1955764.0120981769
223296.76236221162,118034582828.07857,343561.614311143,934401.9289445546,2817241261875.2715,1678463.9590635456,784951.1291116582,3040509636097.6113,1743705.7194657621
158139.61707845738,47073804696.051796,216964.98495391323,1018578.7686719692,2967592203871.088,1722670.0798095635,880975.873304409,3657400233869.295,1912433.066506981
329067.05147852935,286203346804.5164,534979.7629859623,1224597.0715305042,3871521636212.6274,1967618.2648604957,1044758.2840626724,4407650699409.715,2099440.5682013757
208109.70272857195,91142438762.09415,301898.06021585193,1153218.7943101788,3948526972634.437,1987090.076628243,1006416.5079095064,4222362025670.5264,2054838.6860458234
320700.2332708848,198711476838.9248,445770.65497733786,1541705.6547403983,4214596032725.4775,2052948.1320105186,844716.2212400925,2972767980234.444,1724171.679454933
257487.81032499654,136913968014.62169,370018.87521398376,1078373.9038785123,2954389674124.5483,1718833.8122472889,857527.200568475,2995781992100.476,1730832.7452704597
287556.8314024621,179334766287.3139,423479.3575693081,927236.1963133599,1726930007166.667,1314127.0894273,914449.2737962651,2353360519287.2637,1534066.6606400334
277915.2572231078,165493023051.49408,406808.336998511,1797627.8728669884,5115071068751.736,2261652.2873226414,1236363.9062107815,5909845670832.437,2431017.4147530156
222937.5760515349,91497976370.40263,302486.3242700447,926141.0440699616,2633719448373.3994,1622873.823922673,675027.9195174251,1783547807149.6504,1335495.3414930545
184232.90418959112,77610463205.37755,278586.5452698273,1240479.800153715,3272916429701.476,1809120.3469370068,870715.6612828816,3212370607626.312,1792308.736693071
301960.7185160599,180822523485.1733,425232.3170752351,1422139.0375607675,3617761203117.3774,1902041.3252916923,1062574.8409849491,3605145892740.4414,1898722.1736579686
210236.28195463662,90698808618.22243,301162.428961885,1023954.4458543728,1827319492358.0718,1351783.818647816,692254.3604189104,1461185565678.9172,1208795.088374749
290380.6163883137,160715832956.11407,400893.79261359747,1318076.7998841049,3610258948728.3174,1900068.143180217,961735.3290795549,3576025404571.824,1891038.181680059
187732.28326525533,76082082784.48315,275829.8076431972,879688.8018481084,2487679360507.24,1577237.8896372102,718430.4104358266,2270585314146.861,1506846.1481341952
244097.65693947423,100805295852.80983,317498.49740244413,1460946.504931022,3916460219588.9707,1979004.8558780674,1034493.6632756443,3701309033302.4927,1923878.643080819
216935.61113686228,106667876745.08376,326600.48491250555,1280075.4459238225,3224785882631.9424,1795768.8834123232,886326.0153627612,3305459693538.813,1818092.3226114819
214784.44155701052,122638351099.67513,350197.58865485515,1017158.3203920596,2085796082466.6138,1444228.5423251453,696551.7527353944,1575177318037.8018,1255060.6830101092
136950.6491267501,44109683695.01842,210023.0551511391,1104433.6250198416,2864295396714.5464,1692422.936713677,971773.4721114506,3870824527035.6265,1967441.1114530535
178078.60247438718,72006952582.32375,268341.1123594813,803360.4451109201,1498060391541.257,1223952.773411318,635828.6648223571,1440240362444.228,1200100.146839516
178630.29055545622,65363451824.94331,255662.7697279041,935045.0693509047,2090069377206.6655,1445707.2238896317,773665.1457508242,2216930761960.061,1488936.1174879402
156455.78775520335,61069743936.51899,247122.93284217673,974432.8348040528,1926863531585.8418,1388115.1002657674,642748.2251248839,2108134682568.1633,1451941.6939285693
315505.47223352705,203978668055.92807,451639.97614906507,1382610.4834046701,4105982178395.3257,2026322.328356307,818080.0047920218,2503443828150.9814,1582227.489380393
269708.2182982032,190545423305.82877,436515.0894365838,1229716.6138478818,3773598751506.6826,1942575.288504073,970529.580337973,4840872244573.283,2200198.2284724447
338317.7088168655,238857261002.27585,488730.25382339064,1544798.612331001,3476175677660.1875,1864450.5028721432,994100.5132919581,3864799542994.4155,1965909.3425166928
286052.3103335846,150606779726.82343,388080.8932771922,1081174.50998637,3212130574384.56,1792241.7734180174,747696.2731851302,2973410299849.149,1724357.93843655
227666.12085932418,110665307909.63991,332663.95643297443,1052659.8155593486,2290636882293.92,1513485.0122462132,855174.234227533,2461151999595.1934,1568805.915209142
311330.5773857339,178536138435.62973,422535.3694492684,1341957.8145867556,3843179647364.969,1960402.929850129,1085574.2044776168,4613022796212.616,2147794.868280632
234189.4410411281,115162712983.57642,339356.321561241,1341013.4695463576,3756234311504.315,1938100.6969464498,908766.870225462,3100766172574.12,1760899.2511140779
222999.14945211698,109386741643.72562,330736.66510341066,955446.0117654067,1946220009832.2556,1395069.8942462543,631860.9122151262,1452011958505.8289,1204994.5885794794
235611.32864407537,95304674920.85667,308714.5524928436,1152159.353331112,3002192993437.6265,1732683.7545950578,932489.6416372046,3380497572244.9624,1838612.947916163
