source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
321134.14407555584,198777499624.04977,445844.70348323055,819794.4289682737,1254718692428.958,1120142.2643704496,629890.7844702553,887061006235.5465,941839.1615533655,80042203.06213063,1.3814559074784296
285001.39410712797,174267895801.7246,417454.0643013607,1285999.4798832766,3400593854387.165,1844069.9158077398,637260.4569944852,1047545665486.7516,1023496.7833299486,128491851.11583963,1.369981493310992
562451.8011352037,771353370540.4299,878267.2546215246,1349420.928075084,2957336037935.183,1719690.680888625,656817.8862420297,680266892178.7742,824782.9364013141,129538576.2368924,1.3103516387871224
346830.73859123903,286179190452.27155,534957.1856254213,752841.5856607147,1823084041729.079,1350216.2944243709,633359.1303452578,1683677148967.3171,1297565.8553488979,68637064.61321376,1.4131596498499022
300988.991515319,245613060470.932,495593.6445021586,784072.8153148,1119697158519.1548,1058157.4356016947,528863.9624962481,561309693486.3892,749206.0420781383,74759539.78610368,1.357893821392836
216253.41968200635,86413647840.18399,293961.98366486776,743204.3886800474,1246865431986.4036,1116631.2873936514,593068.8743347347,1061099894562.1375,1030097.0316247579,65030907.98722396,1.4196830662404187
343389.85925443337,230057313844.0338,479642.9024222435,854117.1842023479,1432315215109.8752,1196793.7228736936,596088.4118770837,744045958651.2131,862580.9867202112,79685817.88136044,1.3644226527524865
504198.36239916075,517406628680.5453,719309.8280160958,1011836.6991269902,1727312082541.247,1314272.4536949128,633938.0628082011,817082399760.1226,903926.1030416826,96344950.42400497,1.3220418213641703
452983.8881376189,339563927296.62775,582721.1402520315,1515122.5278188628,3644674590787.3613,1909103.0854271231,684600.7192739247,736645203276.3394,858280.375679381,148513000.88474655,1.3964574709111912
452512.08660341153,581371113252.6254,762476.9591618001,1043069.7579473145,2865042829272.478,1692643.7396193205,845329.1080342213,2717868288886.643,1648595.853715107,104054327.78444277,1.3670714510615523
458806.63879914756,412478461393.87164,642244.8609322394,1009058.8675541857,1952793398337.644,1397423.8434840175,754483.5024342578,1263518859186.0234,1124063.5476635755,99500616.33035482,1.3321639141260384
329186.31487764284,220206794057.09036,469261.96740955935,1029734.5274247292,2011639132412.4014,1418322.6475003497,617145.3855675017,746647789232.6879,864087.8365262919,98737849.08935252,1.3739914047482933
408045.8653131317,326390350733.7022,571305.8294238754,1015745.0107754532,1797153853804.9263,1340579.670815922,588804.8387777974,694478400959.0758,833353.7069930605,96374793.20762497,1.3725881985068646
385637.71881729685,321316717288.8467,566848.0548514272,959662.9752696604,2168122952046.2107,1472454.7368412418,699320.0140492716,1336140075379.9937,1155915.254410977,84067382.94454771,1.4100645398845004
353860.07321732095,263595671988.77832,513415.69121792365,878181.0025531681,1406499448646.1655,1185959.2946834918,643475.5835201476,954522869294.6383,976996.8624794239,79594466.72330374,1.3358899997787863
352712.3965740678,242231187691.83286,492169.8768635001,1030878.9390855479,2953895351591.94,1718690.0103252884,729034.6404878272,2306133983098.1357,1518596.0565924486,101608930.76043606,1.3392950390535145
247419.81795113542,118992740695.0135,344953.24421581184,758937.7447637984,1924729169018.1165,1387346.0884069686,575847.1216158048,1616989718900.2969,1271609.1061722925,76812989.94961217,1.4573592563332336
324947.76497501804,322718461363.29,568083.1465228396,902141.817618508,2070782079465.7961,1439021.2227294622,728017.5720105969,1813453186374.7534,1346645.1597858856,81712488.47644201,1.346984132201836
290965.01368763956,178639533165.4325,422657.70212481933,790298.4872826551,3112288562708.1626,1764167.9519558682,700380.0057830913,2966173831556.4404,1722258.3521517438,84341224.67159612,1.3842505646818941
368154.56791317626,318065829933.45624,563973.252852878,807463.1529584336,1702667383767.662,1304862.9750926578,589124.953826524,1202081805897.8367,1096394.9132944008,78242950.08307052,1.3093712294310544
