source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
317373.79179022927,189819792768.59665,435683.1334451641,811915.4798965673,1239514378284.0093,1113334.800625584,694913.9288533904,1126015306033.16,1061138.6836946243
290299.33516453695,184732645687.7263,429805.357909515,1268296.64173112,3315404890494.6357,1820825.3322311384,867724.0711744265,2182425459372.099,1477303.441873774
549611.4117942429,717555560110.8196,847086.5127664468,1282629.2253671733,2752247829319.2905,1658990.0027785853,920065.9702539194,2259180928107.604,1503057.193891039
368907.0429633946,300749680400.9336,548406.491939085,770427.7504332624,1748420337759.3804,1322278.4645298359,722085.4567197975,1739465745801.3328,1318888.0717488246
317361.83022061066,248216595982.85526,498213.40405779454,767502.7532119812,1058563199697.8425,1028865.0055754848,611070.57408154,799758280606.3146,894292.0555424355
208681.79136092868,80314384919.5371,283397.92680881964,759907.3345468551,1270485454141.7822,1127158.1318261349,657231.393430635,1228449689278.9504,1108354.4962145237
318782.93510546203,207079043819.60342,455059.3849373985,892727.3678425902,1555013596663.5986,1247001.8430874906,640660.5208289952,818221628146.9075,904556.0392518019
528196.4918247494,538332014273.2489,733711.1245396576,1010797.1675772885,1640085916565.1626,1280658.391830219,722610.4186500208,1053390981700.1545,1026348.3724838046
485518.7908313759,356184711233.1991,596812.1238993048,1511475.6211882227,3592486395049.2573,1895385.553139323,950205.7541990452,2894327984471.947,1701272.4603872087
489044.1966405177,641333143528.4685,800832.7812524089,1077070.2810759398,2972191886507.058,1724004.6074494866,884773.4384213604,2551089189687.868,1597212.9443777583
449259.790425865,412860534895.0638,642542.2436657872,977425.1663973487,1904158266420.404,1379912.4125901628,818733.7246626541,1941437630141.6174,1393354.8112887891
316095.70947925997,202845747015.29593,450383.99951074633,1033839.6622831279,2017111710616.1294,1420250.5802203107,718990.7001205407,1236976826453.206,1112194.599183617
400561.2055736036,298277109173.9841,546147.5159459979,986121.3517656532,1728934127919.926,1314889.397599633,724124.3518187543,1237706729167.6577,1112522.6870350365
400399.69912490074,334743159263.66016,578569.9259930991,981208.2932756915,2212875760120.4146,1487573.783084528,787587.2396072713,1946863709153.9966,1395300.5802170357
372655.12863279384,262759513507.8153,512600.7349856371,875939.0694113931,1492828538480.0696,1221813.626736938,764152.929276417,1446515403426.6882,1202711.6875738292
355766.1885248488,318204950674.64636,564096.5792084245,974636.3999553942,2963061293139.7295,1721354.4937460527,824993.0905718022,2925481843662.174,1710404.0001304294
235725.84335919403,114847770498.14288,338891.9746735571,790295.3071049121,2229097368151.4546,1493016.1982213906,676848.5912532678,1862937402387.5537,1364894.6488236936
