source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
335999.6715976988,189326209906.3498,435116.31767419365,920778.8477434762,1888679722254.9219,1374292.4442253627,823076.3297737617,1587731027864.643,1260051.9941116092
493188.61255674384,574153409936.0469,757729.1138236981,925578.3586672014,1297713044698.7993,1139172.087394525,778631.526113474,939220579818.5981,969133.9328589203
322312.8532394814,230739641755.87744,480353.66320647276,889616.4145427351,1421289798028.4998,1192178.5931765842,724279.7038966528,962871719113.053,981260.2708318792
312018.58909694885,190223741235.22852,436146.46764043445,1072963.4041163232,2655269990754.034,1629499.9204522946,898491.3721928353,2041615799050.6477,1428851.2165549805
330000.054950702,400416694057.0388,632784.8718617085,645123.4506221992,735909198520.1647,857851.5014384277,530457.7982340071,527165091881.33,726061.3554523682
445089.9083680251,423496708015.9621,650766.2468321187,1192592.7983141514,2553939647932.8223,1598105.017804782,1003474.0101833957,1986181454912.2012,1409319.5006499419
300482.2710474471,157037621385.4918,396279.7261852943,1177733.6292069873,2910031755961.0444,1705881.5187348283,988222.5928048152,2432834083706.1157,1559754.494690147
260331.76298057588,126972884001.84206,356332.54693031067,1349799.7871507648,4089325296944.9883,2022208.0251410804,1139054.1379893955,3012063506875.5874,1735529.7481966673
342651.12574072817,279108048750.20483,528306.7752264822,817064.2666863023,1071955172167.2482,1035352.6800888904,732989.293308813,884358154831.5468,940403.1873784492
229766.62265856023,93997201235.16727,306589.6300189673,679824.612653373,808377653146.2421,899098.2444350795,610710.2305730052,723621941999.7094,850659.7098721141
306776.987146502,195843923873.2933,442542.5673009245,842127.86039267,1457798762152.1538,1207393.3750655393,695672.0590906554,1063711089392.2593,1031363.7037399849
315177.7011597416,157695741893.0635,397109.23168954847,1087091.4884612607,4589722626167.745,2142363.7940760073,959117.0786203336,4268755978329.0693,2066096.7979088177
444837.85323302384,504575341561.70416,710334.6687032136,891794.5864355288,2114039204552.4253,1453973.5914219436,821815.332313592,1908526322088.4521,1381494.2352715237
316383.91424768255,207709957790.39688,455752.0793045237,829306.035079297,1160486723326.394,1077258.893361477,746424.5515778434,957141758532.0403,978336.2195748659
342801.32701011683,234784641938.14655,484545.80994798266,1397032.4449317553,3738628225637.958,1933553.264236069,1122753.6839969673,2378593349812.7705,1542268.8967274062
300933.784427278,173802136608.87344,416895.834242648,1026201.5209917718,2019632706668.7698,1421137.8211379675,893447.767597431,1680087706333.2053,1296181.972692571
300356.5195176721,155286197461.48468,394063.69721338793,705575.3754277645,949751455850.602,974551.9256820552,652352.8006265518,867049152189.827,931154.7412701215
247554.74381712556,137674309700.3929,371044.88906383404,834791.0498936577,1699699197287.7593,1303725.1233629577,731596.1121444724,1354563334621.939,1163857.0937284091
386241.54265540803,361096484538.19165,600913.0424097913,901184.4020606368,1409264940242.7278,1187124.6523607906,799641.8237530786,1088038773161.457,1043090.9707026789
343340.3109654672,259168145448.51505,509085.5973689641,831187.59639773,1725678021098.5032,1313650.6465185115,753420.7202738076,1534209435609.3054,1238632.0824237138
269702.2452539664,128131032038.36832,357953.9523994229,841381.3937518739,1479671690190.5461,1216417.56407516,735146.2542528105,1236663125285.5957,1112053.562237717
502914.2418764591,521582066893.86523,722206.3880179026,960022.5207690616,1390568503167.1147,1179223.6866545358,820344.6522647907,1014925203228.8949,1007434.9622823773
351607.988732955,210787144220.13712,459115.6109523364,1099074.8225709246,2230574429780.265,1493510.7732387688,919762.3299410205,1659406306441.2876,1288179.4542847234
325075.22607700777,220515571022.96744,469590.85491837194,1355947.2139773455,4480013045443.73,2116604.1305458443,1166624.9441017315,3862259523256.0967,1965263.2198400542
450903.60944584664,424106282493.1286,651234.4297510142,811476.7431401244,1396313899249.66,1181657.2680983518,725105.0539041641,1157315412374.0332,1075785.9510023512
272404.9449571002,155585616566.30215,394443.42631903774,1193094.2468963647,2478308973204.925,1574264.581703128,1017574.0998232939,1845998559439.6582,1358675.2958082582
559513.7381979632,735947968869.1211,857874.0984952985,1460875.3200309842,3554217876397.0107,1885263.3440442772,1137244.7146362436,2091624843044.692,1446245.0840174677
332057.11657038,209742470501.68857,457976.4955777628,1116576.2352431645,2446622572417.7993,1564168.3325070224,971695.7134162885,1906655922013.3013,1380817.1211327375
288974.664514083,170206465298.74323,412560.8625387813,636635.7922397543,780661428537.7944,883550.4674537807,558559.4036686235,673187581214.8949,820480.0919064977
304224.34864621045,169010859997.11862,411109.304196729,876449.3762539491,2526276413583.6226,1589426.4417026737,794249.9070190665,2295530188268.921,1515100.7188530143
447718.3107265188,468509676453.3956,684477.6668770104,1213408.440960543,2267226210439.1143,1505731.1215615869,962497.766909792,1381786867397.0466,1175494.307683813
309937.7826032148,176085752118.32855,419625.7286181682,880896.4628500548,1720015127477.8293,1311493.4721445735,789561.2327567313,1430341825670.093,1195968.9902627463
312450.5441480233,214257413699.73508,462879.48075037316,994341.7201573701,1776024276616.2563,1332675.6081718672,812453.1647705754,1115726594012.5132,1056279.6003012238
393744.3244581936,347454489046.6544,589452.702976799,910462.6571920731,1615996097507.076,1271218.351624565,794405.6773794462,1268349188970.2883,1126210.0998349679
462330.9247854448,458325061122.73676,676997.0909263472,1062415.8958752474,2317213842461.926,1522239.7453955556,927272.8222376874,2029210517397.4163,1424503.6038555382
300434.3893106309,148322588000.63046,385126.7168097151,917261.0151772229,1534752593512.5679,1238851.3201803386,772043.5460854832,1079109532991.7484,1038801.9700557698
313337.2380641067,186077887410.1585,431367.4621597676,843164.273305268,1636035763001.64,1279076.136514805,775291.605849406,1433371441336.4702,1197234.9148502436
406808.0011993813,444324061909.499,666576.3736508361,1003193.6716890566,2362054996212.3047,1536897.848333553,856874.3294510609,2039458674542.6038,1428096.1713213169
323737.50552386756,244337080406.50607,494304.64331877977,1025119.2104044866,1873742585918.722,1368847.1740551323,907616.5462646404,1527459192015.9312,1235904.200177316
397089.78492549126,313831640796.39935,560206.783961422,1044860.7628985365,1803634674418.4731,1342994.6665636736,793884.0898474905,1071283817188.3342,1035028.4137106257
449456.7135042045,361312024867.68396,601092.3596816749,948502.5309789837,2590459723787.969,1609490.516836918,859389.552387224,2376909436418.6533,1541722.8792551057
221610.25643017932,98891941515.30473,314470.8913640573,577439.3915276877,622193193293.4585,788792.2370900074,505463.8534896624,505416660245.8647,710926.6208589075
497569.4506384369,552654126404.83,743407.1067758432,1224632.115440149,2677090641320.0195,1636181.726251708,996171.6732426165,1852589355156.2585,1361098.5839226558
341339.57252476254,234536970524.1671,484290.1718228103,822004.8312857666,1575108492571.7063,1255033.2635319696,747116.2733105047,1414972797376.4524,1189526.2911665519
338081.2433550986,218219432372.52835,467139.62834738,994389.2186638453,1964664119828.5647,1401664.7672780268,858968.1441304223,1487827829434.9475,1219765.4813262045
353519.68123655114,198994059515.41425,446087.50208385603,1010518.3274292616,1983886680646.48,1408505.1226908902,835843.1135572864,1377928691215.1384,1173852.0738215435
340496.78029845457,212775151036.26904,461275.56952029123,902696.6823899837,1444511477639.8696,1201878.3123261146,784035.5896195993,1101646104940.1287,1049593.3045423492
489281.7862655127,508860221283.2094,713344.3917794612,1143105.0356773997,2811210039759.4697,1676666.3471780752,965389.9283669704,2229817026282.712,1493257.1869181518
287864.4916487484,171761080074.8356,414440.6834214465,1021091.628542385,2637897635070.072,1624160.5939900377,889623.9812037855,2289997677009.083,1513273.8275041576
493012.3998027227,703477426873.4323,838735.6120217099,987155.0778741271,1576517204908.29,1255594.3632034552,863940.9948179978,1265271575767.7463,1124842.9115959909
434517.1556366462,310187982379.42114,556945.2238590624,903484.2443542816,1671217756516.6575,1292755.876612695,732525.4145142679,1238228462812.0364,1112757.1445791917
580157.518792143,789412808719.7462,888489.059426027,1091438.8475171616,2239717477323.05,1496568.567531421,836692.7993459861,1229975712177.4614,1109042.7007908493
271160.351147884,125403259640.97685,354123.2266330138,944294.5786174573,2517633608370.6255,1586705.2682746805,842431.8830913099,2261332665117.168,1503772.8103397693
333874.4072058136,194369441258.47693,440873.49802236573,719208.1773165645,975869872896.4402,987861.2619677118,642788.8410081099,763657715494.0219,873875.1143578937
439708.4240712153,637180484069.3776,798235.857418957,937297.7960476008,1471880661742.6377,1213210.8892285123,825729.074691759,1222576458193.552,1105701.7944244968
295365.3465638429,202811826769.5428,450346.34090835333,703449.2956972357,855963478431.616,925182.9432234557,588947.117785458,566951755687.4194,752961.9882088468
316805.28388468624,282918064776.45984,531900.4275016706,755860.6524901359,1974711176664.508,1405244.1697671292,673294.8805677237,1805672869833.2876,1343753.2771432737
559040.9495166112,1062420218801.862,1030737.7061124047,850496.2435477359,1323937964515.3726,1150625.0321087982,766873.1462644257,1077422195655.3817,1037989.4968906872
404842.96504556335,374038839606.2292,611587.1480060951,1177893.4247014732,2564323934388.3423,1601350.6594085952,963460.9208558032,1766322201250.575,1329030.5494045557
453641.55926927726,394587456506.9177,628161.9667784079,867704.77353653,1718346550409.162,1310857.1815454047,767037.9781287084,1410806319390.875,1187773.6818901466
314656.96133401693,180918492350.18362,425345.14497074444,862723.4997320828,1444316245713.7363,1201797.0900754156,782567.6438824291,1262266878100.3774,1123506.510039162
314701.611821228,211016193156.17615,459364.9890404972,1043650.5892335054,2707341949323.774,1645400.2398576993,892572.9337059265,2110871061946.2502,1452883.705582195
365574.77427424135,246226114405.94443,496211.7636714636,1127098.4773034877,2933131300514.4736,1712638.6952636782,961906.9457194043,2196461303094.9148,1482046.3228573238
392079.7834326698,293986577194.2321,542205.2906365191,830966.521244967,1774439069807.233,1332080.7294632082,751013.4191903684,1580953774356.575,1257359.8428280486
379757.13277155836,309787435941.8212,556585.5153898826,1353464.8535821843,2917464212514.775,1708058.609215379,991943.8003016667,1626341120036.5247,1275280.8004657344
387564.677375195,294774734597.23047,542931.6113445878,1145132.84784505,2600130868252.7705,1612492.1296715748,1003752.8483603651,2046292207149.872,1430486.702891667
409810.3747736862,405651435640.22327,636907.7135976792,825697.3884896501,1447055804990.7678,1202936.3262412387,757841.9792678142,1261896647017.7202,1123341.732073424
312783.5690635731,209017550449.45572,457184.3724904163,1070109.336303764,2622608111291.8564,1619446.853494074,930223.7187476814,2090785790694.267,1445954.9753343868
