source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
311156.9710697934,253666321439.63022,503652.9771972268,907364.285390924,3392192504539.739,1841790.570216858,779247.3873740179,2753794918815.883,1659456.2117801972
125124.79082870626,48415060650.643524,220034.2260891326,550250.499916334,1135148025951.9758,1065433.257389676,465330.21829094924,995005151546.3224,997499.4493965008
193208.06566156057,85911593432.50677,293106.7952683915,486877.77139106236,522408930180.5857,722778.6176835793,458098.84123466624,503606199141.31006,709652.1677140922
151196.17709627605,65574900347.674904,256075.96597040282,760875.755803929,1768659282469.8962,1329909.501608999,632320.8006587934,1396598262206.6204,1181777.585760798
283605.0381316189,209232381962.08606,457419.2627798769,920477.1220024118,1243633942542.7686,1115183.3672283534,838322.3509152804,1268388861752.3804,1126227.7130990785
171058.4587241901,82669408402.24323,287522.88326712925,631204.0824979972,2137039783088.5881,1461861.7523858363,632377.6511761316,2150125588373.704,1466330.6545161307
261269.58348631673,164265135523.5877,405296.355181721,706043.0398608,1335474454311.4402,1155627.299050797,676123.8943777931,1236753253684.8389,1112094.0849068656
127101.08663691986,35287053524.68981,187848.4855533571,658516.2276716339,1672989861708.944,1293441.0932504595,581589.6860753249,1596468721812.3486,1263514.432767726
223297.7302791901,128191485670.86647,358038.3857505595,655147.5514412998,795435389919.266,891871.8461299617,570137.2386047171,670842519236.6355,819049.7660317323
235637.08105434378,133248678592.13046,365032.4349864413,672950.3376231188,1644237878070.2976,1282278.3933570345,647454.4560463439,1685278239498.444,1298182.668001096
199109.23672247736,86788964054.84337,294599.66743844666,572066.7145674704,777290152399.2457,881640.6027397137,472560.7162418306,647628471883.5173,804753.671556407
250167.0145064303,133052554501.52466,364763.6967977003,893853.1645233723,1120667212634.094,1058615.7058319577,824772.0662120065,980537638018.1067,990221.0046338679
351629.60928417905,350717727473.17267,592214.258079939,865610.2845242765,1834906056803.3826,1354587.0429039923,712115.1519483122,1269073211196.8562,1126531.4958743302
194694.7771131376,91737665217.08186,302882.26296216465,772975.0884246432,1672277355832.1707,1293165.6335644599,593312.7737237047,1168130105806.762,1080800.6781117239
180974.8530232287,97745600726.97745,312642.92847748444,658945.7203856151,1108520730446.3362,1052863.1109723316,434969.2827420634,505411627638.80164,710923.0813799772
143342.40672449867,46207673329.95182,214959.70164184686,723195.1342628284,1744050694840.18,1320625.1151784824,620688.8534518125,1475417971516.8936,1214667.8441108472
363602.9392716751,363191772895.6481,602653.9412429392,696884.2728901342,2173542604919.344,1474293.9343697187,649151.8669202888,2008948453622.6904,1417373.7875460694
217970.66985728455,132879479033.87085,364526.37632120785,731789.3319491477,1388279302315.96,1178252.6479138334,588066.737196126,1107709646937.8088,1052477.8605452036
161313.7348802029,69434319521.07259,263503.9269556957,473252.47830592224,581735989007.1907,762716.191651384,468342.95177527756,657078800119.2511,810603.9724299721
176044.46506959162,84756236957.40326,291129.2444214481,735451.1089218084,1483418140954.6182,1217956.5431305906,708000.6327382942,1413171637562.3962,1188768.9588655974
207474.75810537892,128833065400.85153,358933.23251107795,701954.7626203618,1444690953921.6035,1201952.9749210672,582815.2355823074,1028012969561.5697,1013909.74428771
233859.34164771743,151364971150.5433,389056.51408316416,917465.6778997071,1690464053846.7437,1300178.4699981553,673229.0264356249,933608059979.2102,966233.9571652459
205158.36672950568,97138127863.54042,311669.902081578,574746.4846406253,600801489877.5703,775113.8560737837,504880.2110627182,505934864960.9277,711290.9847319364
179429.411069408,108981088234.92326,330122.83809958264,713537.6924418386,2227222011003.8184,1492388.0229363334,694823.9336626225,2008864569044.896,1417344.1956860358
90615.36715101596,29027568451.36005,170374.78819168068,838541.5181487941,4278641463636.0137,2068487.7238301449,838448.9718807245,4158158390235.6777,2039156.2937243623
165457.9756982157,88395477477.71614,297313.769404843,621011.6781775558,930870394677.5798,964816.2491778317,559435.5433237468,874385260293.45,935085.6967644462
253809.88396589234,219107816428.56015,468089.53890101,734920.4028484203,1699381041989.7793,1303603.099869657,645315.4359926245,1452103045572.8728,1205032.3836199893
231865.02628607585,147178754194.76477,383638.83301194204,702270.5880362046,1050610952676.2058,1024993.1476240248,575422.9431332652,851821807901.2656,922941.9309475898
104004.64795945151,27156396108.40075,164791.97828899545,744809.4146760546,1791636645363.3203,1338520.319368862,606288.4937465112,1437354308909.0945,1198897.1219037496
201813.68117046467,88650044358.37962,297741.57311060815,934833.5109933922,2282936388207.67,1510938.909488954,792273.5265441504,1752691167099.156,1323892.4303353184
228641.64576217023,179788910994.25183,424015.22495572234,741254.4592530025,2373477985068.754,1540609.6147527946,679640.1555991748,1940744358674.7195,1393106.011283678
145070.0149867091,53289251512.821754,230844.64800558353,568948.1474879317,1038579128536.2445,1019107.0250647105,512276.06096029823,885704958576.4691,941118.9927827773
150569.78904222418,53627953894.12719,231577.10140280967,846244.5888364592,3878080208370.2773,1969284.186797395,772944.9812920995,3358363416328.7715,1832583.8088144213
197080.51618972278,96403352772.17897,310488.8931542946,598886.4098005153,693373118691.7761,832690.2897787244,536879.0382248857,682920075407.3804,826389.78418624
265370.00708827615,131952100430.63011,363252.11689765844,926329.1799341938,1123524618396.3755,1059964.4420433997,882258.9904431122,1103335948310.3928,1050397.9951953415
190805.09658815345,107860626355.00137,328421.4157983632,780963.2641758865,2142780529340.8694,1463823.9406912532,684577.2757100663,1633954024351.0134,1278262.1109737288
167405.03626995118,77885289171.44,279079.3599882299,857030.4704314391,2999042411649.1626,1731774.3535602908,680836.227655889,2345231676907.0146,1531414.9264347055
162964.81512882674,87255954334.49518,295391.1886541221,604065.9540942024,1883560549819.155,1372428.7048219135,533239.6254285247,1445760497883.3516,1202397.81182575
172058.09600421233,91235526943.12085,302052.1924156831,828225.307201122,1778245539924.201,1333508.7326014033,669578.3177406227,1174915264975.5432,1083935.083377018
132874.24529065084,50728641506.6049,225230.1967024069,630991.4386940305,2325018334594.916,1524801.0803363551,496282.1737994249,1734216252308.081,1316896.447070946
248167.38181836953,121903155586.21422,349146.3240336553,678461.5908984274,1513444230075.7295,1230221.2118459546,629645.2775597572,1417440796510.3203,1190563.2265908099
173651.68521927614,91145058252.34293,301902.3985534778,568984.5731437801,1391034753915.728,1179421.364023786,568588.4521145388,1354940937752.0728,1164019.302998053
242332.128179171,156978527733.32422,396205.1586404753,568370.3664207252,1305579327072.849,1142619.5023159937,536173.90020784,1203571024489.4055,1097073.8464157304
241923.46067187836,166252067916.5577,407740.19659160136,819716.0783695221,1728628244268.955,1314773.0771007426,705101.3863394764,1310928214892.9468,1144957.7349810547
183337.20939656245,94647408717.8829,307648.18984983955,633842.3477529087,2284159025920.9023,1511343.4506825053,634647.6667125694,2235007246120.6387,1494994.0622359135
209195.84223384838,117503542449.3443,342787.8971745419,601393.5700452429,875007297531.0481,935418.247379774,531305.7355225264,753276886555.4664,867915.253095293
135461.50473130977,51744212747.105515,227473.54296072657,492563.2810786037,770649516923.207,877866.457340299,415199.1592920774,679244762458.6675,824163.067880785
188376.49481481407,103326861706.31857,321444.95906191866,484585.8110341941,708814898612.2238,841911.4553278295,475148.95427606715,725198971192.8951,851586.1501885145
378877.1239014532,371025576726.32263,609118.6885380571,1023531.5000467494,1835630187257.5293,1354854.3048082807,886934.7037740384,1398488671597.1848,1182577.1313521941
277119.8735153381,216364950668.46164,465150.4602475006,586568.5552190929,916399784787.1486,957287.7230943415,544619.3894853829,855267063038.3925,924806.5003223066
149746.31669611516,54736916149.55728,233959.21898817597,594117.7025962676,1126750512070.2717,1061485.0503282049,518781.62193622,966822531425.6161,983271.3417086945
215361.69887849802,134091083160.85605,366184.49333751976,798550.2293960467,2459472674756.162,1568270.599978257,649591.8573453698,1651955210330.3545,1285284.0971280842
175421.86526860998,67548421583.92689,259900.79181088865,660740.2728577863,971206156171.9447,985497.9229668344,583316.7475118208,833061672055.5428,912722.1220369006
221816.23623302305,112087177006.96107,334794.2308447998,840365.9887608237,2417785371394.226,1554922.9470923073,650909.0018842485,1684297515210.3943,1297804.8833358558
194316.60060091177,120157210978.08458,346637.00174402125,558226.9244002046,1428286694393.7056,1195109.4905462451,488690.3068828258,1308954953021.4568,1144095.6922484485
137730.41844760257,45141392529.786,212465.03837051874,782041.0482456706,3330841170660.7227,1825059.2238776041,698656.7499772862,2798505889321.0815,1672873.542537236
248209.82426399118,176119100410.12332,419665.462493786,704749.7319333821,2233760481752.606,1494577.0243626141,683765.5768111716,1766521649572.954,1329105.582552776
166749.33624794325,60861972736.68429,246702.1944302164,724429.9016299681,2962545554908.9404,1721204.6812941628,696314.1195360458,2803070539090.608,1674237.3007105677
252809.48853827154,170914863781.2362,413418.5092388054,721536.0785107564,1069032021482.7593,1033940.0473348342,625736.0916351698,988606014978.775,994286.6865138923
227005.95458979596,142490390835.84412,377478.9939001164,585124.2373461743,1468184214633.3135,1211686.5166507852,549132.5164867862,1363151613144.6792,1167540.8400328783
276741.46664537623,219124359211.84363,468107.20910048333,679661.3752494141,825793772632.7206,908731.9586284619,571977.03100948,678753563421.3964,823865.0152915806
241049.06702969148,138240615024.28003,371807.22831096227,800054.8788247432,1536994990294.7422,1239756.0204712627,738573.0758113312,1376634006790.421,1173300.4759184327
193363.39078991962,90576346846.50221,300959.04513156303,675023.657815036,2303338755597.4365,1517675.4447501074,573096.8500200679,1877119103849.479,1370079.9625749874
199146.60105164273,108224964120.29926,328975.62845946394,590730.3492210214,1091937001145.6072,1044957.8944367123,505287.9119863995,920900631508.7606,959635.676446411
264374.30725946906,177345367021.7471,421123.9330906605,817841.4364430367,1729428098529.7378,1315077.221508204,720228.6360093142,1474800972093.3784,1214413.838892401
257921.92412482674,182656043168.1269,427382.7829570664,733262.8555772958,1114641502615.068,1055765.8370183553,608354.8393632385,794811948524.5074,891522.2647385243
257234.52305927273,166203674713.917,407680.8490889865,691492.2945412393,1076465054707.4496,1037528.3392310061,683101.0752435698,1178381511776.6006,1085532.8239056617
159012.55658688938,65654894157.95679,256232.10992761384,575987.5314416558,1447555938816.9858,1203144.1887059861,561150.9287920714,1415266570375.567,1189649.7679466705
333411.6441556502,222479136934.85193,471676.94127957104,904768.3467808159,1739085921857.1296,1318744.0698851047,734822.9427531986,1245114584120.897,1115847.0254120396
180624.26084355125,78009344227.8781,279301.52922581375,725783.8222709504,1220334595715.4578,1104687.55569865,516580.7968726941,657341185931.9001,810765.802147513
153576.71813081822,61030758340.970604,247044.04129824828,517469.9866866058,885364524438.5409,940938.1087183901,488487.4868753117,772278721979.6936,878793.9018789864
128124.65363260377,41147662724.40298,202848.8667072187,561864.3058890519,1718878342056.917,1311060.0070389293,501719.29302026855,1390003272821.0884,1178984.0002396505
125107.98589913217,53647171124.157906,231618.5897637707,640352.3925555218,1412506288359.75,1188489.0779303568,593590.9732730928,1350459485582.2383,1162092.718152144
143043.67348646876,61668579679.317184,248331.59218938937,702880.4407294121,939349074000.3269,969200.2238961395,497552.30509700713,569092515529.9578,754382.2078561754
133131.2316101612,50858120252.72933,225517.44999606867,539193.8633376568,685983053628.8677,828240.9393581481,432443.8379623527,567576081890.5388,753376.4542979419
212756.6676367239,121316808195.80629,348305.6246973429,711209.1773007741,1119648400369.2693,1058134.3961753012,608375.2808461362,897557678874.374,947395.2073313302
151687.38687926132,89710643633.43904,299517.3511391937,678162.5764830979,1710654285064.3472,1307919.8312833807,621941.3166280339,1553794609675.1707,1246512.9801470863
227495.19541720906,139507290741.8388,373506.7479200862,795659.6460362305,1031035590151.0397,1015399.2269797332,685990.9947722572,937819391239.4465,968410.7554335849
198031.12815495624,107694670173.00415,328168.6611683147,710349.2585075657,2562531460812.6895,1600790.8860349904,713560.2777548538,2741394397745.9917,1655715.6753941758
182903.2489849609,98279106349.1792,313494.98616274423,800017.9286918343,1105716177690.2803,1051530.3978917017,652653.3829825809,902242428512.6581,949864.4263855016
229674.8313904274,115602104621.30515,340003.09501724417,654329.6258604126,1540773680074.1785,1241279.0500424062,632332.0440010342,1381529107505.4092,1175384.6636337438
169595.9398087704,96846127725.14981,311201.1049548986,702297.127923703,1719962202186.6777,1311473.2944999977,629270.2388862948,1420484757718.7246,1191840.9112455926
231558.62084109517,133572161982.2116,365475.25495197566,722271.0332871589,1244960705466.3774,1115778.0717805747,589137.792964112,931961264740.7975,965381.4089471567
