source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
419691.43189635675,632849284557.799,795518.2490413397,1014444.9268662252,2438447117007.3345,1561552.79033638,188172.86215807896,98459932274.38596,313783.25684202136,587439.2309418824,1290025984702.5781,1135793.108229918,,,,,
413743.79771221156,498340635915.62756,705932.4584658418,1039488.6886124201,1859963085777.8843,1363804.6362209963,214180.32723943173,90650631130.94408,301082.4324515532,680499.2088723328,1102649023031.796,1050070.9609506377,,,,,
391623.9912022833,496734062875.2897,704793.6314094287,905473.4672211142,1982621631182.3716,1408055.9758696994,234044.2605006857,117073625128.88182,342160.23312021786,626347.6690620055,1346309306973.7068,1160305.6954844731,,,,,
506168.1311445594,725175449235.5239,851572.3394025454,1227191.044335694,2962895838008.3633,1721306.4334999633,355685.65117070475,253046035565.04047,503036.8133298402,880801.6742996898,2023596131342.5232,1422531.5923882052,,,,,
407281.04068630247,371974679312.0452,609897.2694741675,997477.9373206391,2265904580377.0845,1505292.191030394,233807.84024204206,96228573698.32364,310207.30761592905,785878.3584448673,1805510450461.456,1343692.8408164778,,,,,
592805.6191232833,799558172878.3297,894180.168018912,1139676.8166501035,1908062661371.106,1381326.4137672551,239016.4230835629,177017440617.959,420734.4062683239,630351.2119884993,782465400565.9695,884570.7436751283,,,,,
292181.88867888093,179749202893.64102,423968.3984610658,1158839.0990578139,2680738876016.2114,1637296.2090031882,229361.19246682592,89921317651.46211,299868.8340782718,690917.8418821527,1586821510153.8083,1259691.0375777897,,,,,
507815.1495968478,672875004384.5844,820289.5856858018,1290778.1154410196,3611866044906.2783,1900491.001006392,307553.392935092,174986719290.23587,418314.1394816052,817724.9589197205,1405671999272.9375,1185610.3910108656,,,,,
474310.218180215,596833869208.1919,772550.2373361825,879788.0481724904,1431152872247.4595,1196308.017296323,245091.17792447918,113574366018.61821,337007.9613579154,661941.844250617,1061787629683.7561,1030430.7981052177,,,,,
404448.7750741472,429953192590.57367,655708.1611437924,851339.3723743851,1537163283086.3564,1239823.8919646437,229725.72440985526,135937422991.90002,368696.9256610367,685667.6204423003,1352650267081.8213,1163034.938031451,,,,,
470288.5978507304,495669055114.9541,704037.6801812202,915250.4246204335,1287976908462.775,1134890.7033114575,274477.8475162179,154771999841.98157,393410.7266483485,630787.6240022908,738440241258.5668,859325.457122368,,,,,
523236.49137504434,685193403768.4766,827764.0991058241,1064938.7023914563,1764892911904.814,1328492.7218110056,193956.80049518554,70645507947.98183,265792.2270270179,674464.1113029574,891121886285.9608,943992.5244862699,,,,,
621456.8061890587,932353844423.2792,965584.7163368315,1396252.773066376,2992197941735.3423,1729797.0810864903,264057.4357489554,113421888171.774,336781.66246364126,568088.7174473327,758364247115.4493,870841.1147364652,,,,,
503283.85269350535,465936239216.101,682595.2235520704,1242619.500341091,2725114449965.6074,1650792.0674529567,319379.469967695,174904193491.89813,418215.48691063334,765527.523865529,1188294468597.9844,1090089.2021288828,,,,,
512293.12014376384,640152562841.4684,800095.3460941192,1461096.5823093087,3987088476878.7515,1996769.5102036067,251807.78132284354,142784013900.64798,377867.7201093631,807928.7555155179,1441669606407.2803,1200695.467804922,,,,,
348412.1284842089,303103809885.33905,550548.6444314789,1411661.8301155271,4638154133409.66,2153637.419207249,431494.07612420095,462781296719.2505,680280.3074610131,924793.0945013895,3100394327353.197,1760793.6640484587,,,,,
