source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
436727.5773436258,674430502771.5272,821237.1781474139,981382.9448437266,2284837917257.409,1511568.0326261895,211412.12960174837,103632961039.32465,321920.73719989625,684359.7987370804,1164797939895.1995,1079258.050651094,95642643.52547815,28.801215536886797,0.31231496396124553,1.0,0.29568609184387623
422123.7936144767,521701898260.99725,722289.3452495318,1051273.8554999954,1848553458577.5747,1359615.1876827409,218611.56089412924,90740395171.97412,301231.46444548934,615576.6491259178,558419673817.9738,747274.8315164734,103522328.02212498,31.333394097097834,0.2907020209405431,1.0,0.27754529751770984
381416.58213395934,496057008721.21234,704313.1467757877,917154.9030053141,1984467105147.9187,1408711.15035976,236437.17675292335,117232299684.15382,342392.02631509077,720602.0505541845,1284824759198.5493,1133501.1068360496,87715595.43449509,30.65431312305952,0.29561685078338346,1.0,0.22321663324094104
515931.90626427985,753750208735.1882,868187.8879224175,1250198.2108190353,2908064525153.5864,1705304.8188384348,360070.67436388566,248767728285.5258,498766.2060379851,860967.2056842357,1817317282263.3328,1348079.1083105372,121458097.76936287,31.05563730102054,0.2821804010974246,1.0,0.3015121430764657
413674.1851957003,376790583588.5432,613832.6999993917,1007353.9564037378,2287391689142.512,1512412.5393365768,225784.8611847935,92554970374.2144,304228.48383117316,770340.7652909302,1560605828755.1016,1249242.1017381304,98961068.68569987,34.86906949660823,0.26706352429488617,1.0,0.3978308486277921
594313.4112557818,771087528725.196,878115.8970917199,1169625.187414156,2060193647283.5789,1435337.4680832305,271969.36857590394,196013688421.39343,442734.33164979814,727564.5939900926,762231555403.7212,873058.735368773,108032913.42685644,31.929936721876704,0.28087193661247606,1.0,0.27177915170983086
279093.33897845226,165018520660.2697,406224.71694896865,1158285.5110130217,2685924326151.9883,1638878.9845964797,244781.34853956744,98923681233.44083,314521.35258745286,646837.0590182279,1257827234819.1318,1121528.9719035937,110045845.61502399,31.064984850116318,0.2963976157004956,1.0,0.2503089541880272
473390.5528383584,647183326048.8726,804477.0512878988,1322184.0859642038,3471108105593.851,1863091.008403468,298313.10554293485,152755881489.76376,390839.969155873,856963.6068728879,887975188733.0975,942324.3543138942,126157215.2500636,32.96772730116844,0.2757033949557579,1.0,0.3595938432569515
475781.5997904305,582181283397.4321,763008.0493660811,845830.7456081866,1342463345337.6677,1158647.204863356,243627.01615650964,114470449226.63664,338334.8182298663,700714.9799775716,1174731705986.5513,1083850.4075685681,79721859.81301692,29.87264571388384,0.3024309203810034,1.0,0.3919220470278785
402200.61260189145,427034598611.6348,653478.8432777566,860745.7566078503,1577516750347.5725,1255992.3368984272,250751.06301871382,164673308650.16876,405799.59173238307,755907.8675753922,1210227153939.6648,1100103.2469453332,84476188.04171489,27.46319439596745,0.31364014552384767,1.0,0.24181138806838343
452444.50602551864,481602906526.47925,693976.1570302537,899544.3165920647,1252548810681.927,1119173.2710719672,276273.94721209793,156677972184.68307,395825.6840891999,639227.4272523135,663225075797.8413,814386.3185232432,83814874.79924804,33.41976741168655,0.26874736770819285,1.0,0.34660069643018065
568206.4546216809,726213417447.1747,852181.5636630346,1056884.4849857732,1731906814388.5466,1316019.3062370121,178810.92161474927,62422992300.17628,249845.9371296165,654601.9463836874,680038108244.624,824644.2313171324,103325628.77757744,32.561691965109745,0.2775129436210652,1.0,0.22751893772339188
621544.5363544276,1019267801462.1886,1009587.9364682349,1266627.1077185145,2706951334828.7563,1645281.5366461622,254429.1271785331,104711666531.11261,323591.820865597,757499.1592513481,781557060047.9711,884057.158812693,122238871.98054773,32.848975487041585,0.2720007728762717,1.0,0.3191942240420145
473931.5984414782,432682256045.93225,657785.8740091127,1352325.9499780713,3400406830096.369,1844019.2054575703,308379.2023483345,183467488288.77173,428331.04987704515,790493.946650774,1111888744289.335,1054461.352676965,135893352.19852403,31.02131423890917,0.2945279902758351,1.0,0.34280761965204015
512735.33233970887,631443159848.039,794633.9785385715,1434732.2838966504,3903119708873.853,1975631.4709160342,277573.18479553337,165056134013.08292,406271.0105497104,862831.3373500545,1412266710445.7297,1188388.2826945619,137572711.44777423,31.83022863054393,0.2914837164055302,1.0,0.39269159029431755
338810.50967105915,299000158341.9446,546809.0693669451,1352242.3152802351,4457391283126.809,2111253.4862320083,425163.9642187238,440964503723.63556,664051.5821256926,1016775.1979255953,2618929650045.254,1618310.7396434264,130943821.97773242,29.84526635679733,0.29965893967000934,1.0,0.4606712329457016
483283.2976168774,560904243500.1871,748935.4067609484,1219079.737303971,2559634023037.647,1599885.6281114744,285826.7845951041,179349191466.88257,423496.38896557613,754707.5446817465,929799978916.2328,964261.3644216141,118166953.12067166,28.53249108372628,0.3154647346194776,1.0,0.40146961169812595
331437.02638739755,213908621957.23575,462502.5642709841,865060.2903595701,1506776052656.1453,1227508.0662285464,181231.05633888178,66441919982.62126,257763.30224184602,661537.0021325037,780725032575.8693,883586.4601587494,82762681.45278613,30.334237816352143,0.29355201133956005,1.0,0.37211089642750556
345276.2829535738,221426536399.10782,470559.8117127172,814144.3218869835,1487659982448.45,1219696.6764111682,308337.2273749951,175912277384.04147,419418.97594653664,670598.6466065386,1344496801446.8904,1159524.3858784905,75376917.30290943,34.22567045290598,0.26931828038394595,1.0,0.2508206416200649
488892.96315817995,650875708858.2112,806768.6836127263,1148135.67552891,2052506115334.0205,1432657.0124541395,254346.885500356,131074384121.17197,362041.96458583634,721626.8491887632,906111359449.7423,951898.8178634021,110282059.61174951,30.057652522072054,0.29736407212248395,1.0,0.32853001372381024
572310.003261698,627203620306.4983,791961.8805892733,744007.6918766855,1058803321625.7577,1028981.6915891933,188530.92742246797,85256575046.58946,291987.28576187947,711220.5302881006,775996109951.8749,880906.4138442148,68717818.86461346,30.79953693927776,0.29408206605901294,1.0,0.3495292999212712
556695.280063323,1111710514441.9507,1054376.837018886,1196487.794608961,3010492733624.0137,1735077.1549484518,244646.7311076147,106527167571.56242,326384.9989989773,802362.4879555426,1247687762790.2432,1116999.4461906608,114563616.30825102,31.826201154716465,0.2904987531823872,1.0,0.5609607818320033
634446.3778700791,861448798503.6035,928142.6606419961,995236.160229795,1495475519987.331,1222896.3651868997,184050.12441863713,74172524187.87973,272346.33132810827,698393.680494618,601711615553.5911,775700.7255079701,96685176.64428714,34.16237574302945,0.26668339393331736,1.0,0.2921413080913041
400810.11834070337,336672782921.0847,580235.1100382367,1256119.853651625,2994224000786.767,1730382.6168760385,184054.5084589511,56885408862.50071,238506.62226131314,755896.6411250611,819081950691.3076,905031.4639233863,123058001.5182418,29.523332456898043,0.2936885740414792,1.0,0.4963442298267542
466640.61659350747,423519581822.31525,650783.8211129063,1083692.7812770454,2487431115675.5884,1577159.1916086304,223459.1287517188,93843917882.42285,306339.5467164219,709445.0147139375,1723303531837.7578,1312746.5603983726,106042290.26229048,33.371602411345584,0.2802781070749512,1.0,0.28957329338660925
675253.738645695,1043703807385.5768,1021618.2297637297,1383508.83253499,2938458674587.0176,1714193.3014065297,220107.606073656,95255776726.20918,308635.34587958193,932170.6340326761,1039038662572.6882,1019332.4592951449,137635626.37444842,29.585807539675553,0.29427052129426956,1.0,0.2967582385206596
433632.2069843512,475339730985.8176,689448.860312219,899471.2165344319,1619298862932.9338,1272516.7436748852,324033.4042797856,203398350794.2534,450997.0629552408,766368.031644281,1222796142036.95,1105801.1313237792,81495690.36156467,30.632627858728615,0.29554782019926795,1.0,0.3475992022921277
498445.53381400235,577957400441.3944,760235.0955075637,939979.0486417672,1675719409242.8335,1294495.8127560064,296783.1481778001,195152235178.41934,441760.3820833409,699322.9525063407,937680211529.6924,968338.892913887,91252304.63669789,30.282062541401935,0.2928627736769877,1.0,0.2915828394444204
397974.7837596744,364560829458.9414,603788.7291585869,937126.9917241951,1533660655446.314,1238410.5359073435,234350.28048770886,103330050238.75246,321449.9187101351,549219.6071628743,543606051747.076,737296.4476701864,88271034.87949568,31.85885721786364,0.28153250554771403,1.0,0.3280533833998244
726752.7168300956,1243108661599.689,1114947.8290932223,1087765.055887477,1854483446761.378,1361794.2013246268,196557.9692032989,80357626341.88977,283474.20754257304,803241.095572057,1208108327276.2603,1099139.8124334593,103881739.00123318,31.99071413780496,0.2749695858881194,1.0,0.27129047486208696
