source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
306262.4268871505,152828486962.7608,390932.84201095306,736571.4579675192,1470433134956.366,1212614.1739879036,210390.07775950912,104206732596.70082,322810.6760884789,829064.9668644118,1662781249202.4724,1289488.754973254,,,,,
343723.77965913975,241017546398.12115,490935.3790450645,715985.921124021,1283006276538.0244,1132698.6697873466,192997.95100301394,73842821502.77199,271740.35677972453,829751.1071303375,1454166690163.3037,1205888.3406697751,,,,,
285622.0650782877,153431804218.3995,391703.71994455135,904815.5419595469,1765398405262.2825,1328682.958896622,263894.53218232736,142787817637.3626,377872.7532349516,975654.6548977719,2013708876175.0737,1419052.104813306,,,,,
311295.8793840875,186647930648.94598,432027.6966225036,843648.4732965552,1931034267177.9255,1389616.589990896,278483.6437353941,171936327950.01846,414652.0564883508,800746.69508304,1575360758742.0679,1255133.7612948143,,,,,
387848.36649371585,419708124905.4922,647848.8441801005,833362.1077471861,1286546669835.693,1134260.4065362122,320970.9099445096,190407718169.29828,436357.32853854797,873231.0292474905,1525395525821.1375,1235069.0368643922,,,,,
327254.2462384673,185904100725.08817,431165.9781628047,684147.7962191562,880003590313.8098,938085.0656064246,195918.89929484963,98221295556.69922,313402.76890400826,725227.5592048046,973761947176.4381,986793.7713506497,,,,,
300153.2180916108,163523944158.21844,404380.93941012904,498549.00469254283,408331029576.19135,639007.8478205032,160742.01845308745,53138726028.19631,230518.38544505797,579486.758914949,514304237372.6076,717150.0800896613,,,,,
334559.20722598094,226736998165.14938,476169.0856882137,795548.2684257929,1030145108830.8539,1014960.6439812599,213209.75562427894,116925210978.69405,341943.28620210406,824201.1168024278,1154026989048.6323,1074256.4819672406,,,,,
309990.1832703075,201432429393.42096,448812.2429183733,977219.7726768557,2755353928993.5654,1659925.8805722517,292164.5458748317,200921475811.93237,448242.652825378,971547.0488882116,2818501196378.226,1678839.2407786476,,,,,
253680.97596932188,123365683686.15543,351234.5138026094,751353.4845419959,1679237128854.7832,1295853.8223328984,239510.3090996575,100288020065.86578,316682.83828756143,808360.8052826473,1905502870146.2793,1380399.5327970374,,,,,
323742.2608537346,195047790464.28555,441642.1520465246,788317.3071531601,1626295716519.8325,1275262.998961325,258160.56017239916,122912565520.92401,350588.8839095216,776523.7925510858,1637261059017.7185,1279555.0238335663,,,,,
337699.05152283784,238788660726.2716,488660.0666376081,722630.276032749,1107350382949.2017,1052307.1713854286,201643.4075888673,83343968513.04564,288693.55467873823,649833.9205110889,825510514475.0111,908576.091736411,,,,,
354720.1126524192,229495696594.11118,479057.0911635806,841470.5237797075,1317740155145.8435,1147928.6367827242,230759.3810893431,131756955568.88329,362983.40949536976,891467.8249097981,1625291090226.0906,1274869.048265778,,,,,
277565.32981841743,132301304630.5952,363732.4629870081,871859.3133501543,1947607160937.2256,1395566.967557353,215426.17809139122,106380586211.82089,326160.36885529314,962578.0926963988,2385648078254.0405,1544554.3299780816,,,,,
253232.1983905382,104446937125.4946,323182.5136443719,815919.8779755018,1511028673448.396,1229239.0627735502,176610.76486349668,58687279354.943146,242254.57550878817,730202.7180903096,1308898705165.8442,1144071.110187581,,,,,
250569.9244616434,104751308658.0723,323653.0683588096,708684.9892599576,1286488021574.0374,1134234.5531564613,215939.52153425393,95630309364.39334,309241.50653557706,659922.4541726109,1088556234805.936,1043338.9836510165,,,,,
317823.4846308379,169774659020.7177,412037.20586946723,704776.5321282562,1079139843701.3331,1038816.5592159827,296791.9955209308,168423416607.4418,410394.2209722766,775746.5500930202,1222640192454.8574,1105730.6147768802,,,,,
277660.34237652743,129414509770.54594,359742.2824336138,785239.6972749952,934917810652.5186,966911.4802568633,269739.6406950137,135820195026.8987,368537.91531794757,762812.7026627746,1165408250060.0005,1079540.758869252,,,,,
238065.7717159229,109526105805.90878,330947.2855394176,913625.7010912225,2903312504822.0786,1703910.943923443,285089.30797701486,142347546273.85718,377289.73783268634,786247.4707956456,2210362218755.044,1486728.6970913839,,,,,
273228.2034119375,123799351276.8138,351851.3198452065,1222960.1778521035,2851200193127.66,1688549.7307238718,400941.5244143703,355293819605.24365,596065.2813285167,1056738.2505842312,1866935901530.238,1366358.6284465138,,,,,
