source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
296699.1760677416,156369473515.89832,395435.8020158245,679187.7032378709,1442213030814.0803,1200921.7421689392,611668.489976847,1237028427059.4365,1112217.7965935613,65029818.87885938,
337263.6765279796,246828782811.4364,496818.6618993256,738079.4444742331,1287408167031.1064,1134640.1046283823,652815.9110281799,1281111244073.0566,1131861.8484925872,68134988.62937418,
293845.2036269956,160990986618.81915,401236.82111543446,878754.3886500321,1707349139546.483,1306655.7081138408,703780.8357039073,1760652439208.6653,1326895.7906364256,84445601.04356521,
316838.3624341613,203631980064.88965,451256.00280205655,865933.6823944954,2024803889070.7878,1422956.0390506757,762052.5540989122,1740261594970.979,1319189.7494185509,82597319.23740937,
403254.64363410283,428752719253.0257,654792.1191134066,864749.8861921744,1510613089787.1182,1229070.0101243698,695880.5357917184,1125990623139.9897,1061127.053250453,83159035.30885449,
328754.87714750407,187753650950.49988,433305.49379219726,679395.1985143289,934745055404.447,966822.1425911009,541230.9698710619,633783066520.0248,796104.9343648265,62572819.170596264,
297478.3328293847,161128430285.25058,401408.05956688337,496684.5407347542,423492313997.40173,650762.8707888932,501738.3961429227,460700153110.7145,678748.9617750546,44268109.77836097,
343904.3666740687,237946765436.07248,487797.8735460749,781044.431134971,973732697309.5118,986778.9505808846,578092.5031968427,877093852312.9872,936532.8890717011,71415508.13701548,
313111.19764024543,205112083477.78937,452893.015487973,965696.930462062,2727201212771.581,1651423.995457127,804549.6389053175,2756960581438.181,1660409.7631121606,94402928.43326168,
266736.84056310414,132157394297.9026,363534.58473424864,754040.1840689896,1672410296586.0168,1293217.0338292087,629127.9796595443,1491192207929.7043,1221143.8113218707,72808384.16799247,
326629.9175550186,196381694618.49283,443149.7428843808,800821.1379251367,1613633022354.2847,1270288.5586961275,641716.9003551628,1432796548501.8794,1196994.7988616657,72271271.62755632,
337583.1227957477,244182870233.19147,494148.6317224722,716213.4026578794,1078928988209.2744,1038715.0659392952,576655.1459091931,876657533880.4773,936299.9166295367,67984574.74561282,
349696.903959989,230270438162.43893,479865.0207740078,782415.244383186,1129154512856.0928,1062616.8231569142,566020.0061175239,789749905656.2917,888678.741535034,71935953.81161687,
283474.53331797285,138019719735.48697,371510.0533437648,879396.586177532,2002984258061.4326,1415268.2636381814,754641.4587275251,2018701056902.9048,1420810.0002825519,88106766.74419641,
246707.3768852112,104624903398.4954,323457.7304664327,779453.6735490367,1463403158813.5945,1209712.0148256752,576265.8460742926,1064796833772.3765,1031889.9329736561,74019224.65419345,
248475.75536200998,106262922267.77731,325979.9415114024,658459.2713329906,1235224976201.5383,1111406.755513722,617819.9308703424,1156853771652.5647,1075571.3698553736,62394903.057873935,
312960.9479026998,169291990971.5895,411451.0796821288,700679.7007682929,1101814312960.15,1049673.4315777216,569832.4453045756,1020850080289.2139,1010371.2586417004,65419892.54013246,
274942.2906187933,133597605596.36395,365510.0622368199,786902.1583380349,965756304510.9185,982729.008684957,516091.3503060051,694403579034.6056,833308.8137267034,72123797.73431204,
245148.3776356997,113905116577.97685,337498.3208520849,910736.0740267391,2963549184058.938,1721496.2050666676,679372.7061339202,2633230447023.2246,1622723.157850169,88373103.4679208,
