source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
255949.39928340178,136769991393.18773,369824.27096282865,605938.9325144487,1072698486150.6469,1035711.5844435877,350889.7886894385,805561418131.8287,897530.7338090595,606238.3516493206,1072045674757.7867,1035396.385331621,,,,,
308852.9745756183,228726483118.8996,478253.57616948313,641024.5680687025,1222981844768.696,1105885.0956445232,499884.8641803998,936885504256.0,967928.4602985905,637118.4602650445,1212262349935.5828,1101027.8606536633,,,,,
241737.0064279408,143821255204.02637,379237.72914100514,756812.6137479559,1597152206769.837,1263784.8736117382,476037.78185088397,640194438086.1548,800121.5145752267,747545.4195211236,1556520374848.0637,1247605.8571712717,,,,,
303919.95388784964,228040812458.2032,477536.1896843036,756444.4151309893,1673614766653.046,1293682.6375325,554218.1886310882,580169669036.87,761688.6956210326,756375.527425809,1667355607698.0737,1291261.2468815416,,,,,
401131.4716782114,558497094435.4928,747326.6316915869,712680.1308517256,981622080847.4683,990768.4294765696,482190.6929050039,505220366112.9746,710788.5523226823,709102.8129616742,975090304511.0184,987466.6093144711,,,,,
335684.28976557084,215519044208.92117,464240.2871454837,567787.4976133865,590871136633.2084,768681.4272721882,273285.5925137438,242176697326.1541,492114.5164757428,561702.0591253357,584003733083.211,764201.3694591309,,,,,
299478.3760100113,177720084908.6901,421568.60047765664,519717.1620558563,435959427092.6401,660272.2371057563,285395.4223301296,168671529849.86444,410696.396197805,517297.9875916213,432870608717.7924,657929.0301527912,,,,,
310218.2897713343,202308676635.19257,449787.3682477005,647490.8656895605,700390658242.6802,836893.456924285,324183.5856961619,254857680413.24716,504834.30986141105,633313.7364541221,672481456278.68,820049.6669584593,,,,,
282673.41972420923,247102588266.30533,497094.14426877466,877531.7623024465,2409782533096.382,1552347.426672387,664147.5984648081,807914289118.7983,898840.5248534349,877349.635287048,2403484154706.7314,1550317.4367550446,,,,,
244246.08833949,126231758072.40434,355291.08921052935,643788.3069674997,1414582408604.0244,1189362.1856289296,475257.66385291336,512666519827.0808,716007.3462102752,642967.7181877363,1399449105340.0073,1182983.1382314828,,,,,
322510.8596866681,203029783536.53424,450588.26386906067,633122.4839774813,1371034092589.9604,1170911.6502067782,417461.4455162196,410956686802.425,641059.0353488709,631863.0476019674,1380391396043.3545,1174900.5898557352,,,,,
281843.0722133947,266919874007.42606,516642.8882772181,590451.8868380241,805291443816.4647,897380.3228377948,356614.9972116393,472657830436.1757,687501.149407167,585029.0988417163,791114803780.1166,889446.3467686607,,,,,
346949.384322864,240343209079.07678,490248.109714945,623865.4178445587,804134535366.241,896735.4879596552,414359.14783467544,557612773657.2477,746734.7411613093,622526.9132953308,804466092369.278,896920.3378055813,,,,,
251525.6448124949,151543490246.45886,389285.87213827687,713518.608396145,1641793943293.165,1281325.0732320682,443070.6025655724,578739353518.1246,760749.2054009157,707335.7968719667,1626569231394.0935,1275370.233067282,,,,,
