source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
514600.495214313,612196040580.4109,782429.5754765478,1339042.7046601884,2940676063157.5693,1714839.9526362712,748134.4723495294,1216699673886.1587,1103041.1025370536,130457014.08299628,265.6016563484621
596772.3827312539,1006327503526.6669,1003158.762871893,1282010.2522901394,2686205935337.216,1638964.8975305164,617545.6608536273,500689394205.3769,707594.0885884907,122357961.04324767,239.75906393337834
388539.02736594615,321787936573.5973,567263.551247211,1254471.0511528035,4303781879694.79,2074555.8270855932,792610.8883673596,2615746895151.983,1617327.083539994,123633631.92768797,262.1728376371061
422853.29196443013,356201152356.5424,596825.8978601234,960927.563586447,1586621613408.9521,1259611.6915180457,685564.6725998851,833900873470.7,913181.7308020896,87773225.59418628,261.9928466789293
376774.4699188559,296054684954.3211,544109.0745009874,1001294.1993246664,2557241590643.8438,1599137.764748192,879934.9183121041,2414892819848.634,1553992.5417609422,98304559.70938464,266.5139159320092
286548.0150327207,195949945502.84747,442662.3380217109,825161.5660629555,1132403297376.651,1064144.3968638142,562049.5811411288,591495574721.5302,769087.4948414713,77909795.40502341,258.4524544606008
340086.43916102435,291833890031.4681,540216.5214351261,1190768.1172375097,2555000478593.3564,1598436.8860212644,731155.1758510121,960583593963.6428,980093.6659134385,115283467.63590041,263.137160821799
389085.2013649371,346460019954.4592,588608.5456009445,1421452.0983233086,4849084926861.38,2202063.788100013,884445.5869698067,2821061020001.475,1679601.446772857,141728331.1368248,268.4323510653077
331799.8995022521,206767456540.90228,454716.8971359018,1370180.8506788544,3407120294550.533,1845838.642609514,874744.7089914724,1915390874796.0725,1383976.4719084182,134017142.76597764,253.14305854470211
461356.6543899153,451556588851.4332,671979.604490667,933418.2028467577,1707048490064.7107,1306540.6576393675,622069.1021320821,869000952431.2842,932202.2057640093,89022443.68530607,264.54446455064976
349693.2740650173,220807162800.93622,469901.22664336197,1148020.443541389,2498763884418.3154,1580747.8876842808,775024.4163793752,1257927812656.6418,1121573.810614639,109749799.20221077,253.03327622447244
201776.74258086886,84103310591.15819,290005.7078596181,821677.1398732294,1522057052750.5671,1233716.7635849677,727986.9808622481,1347173569910.7698,1160678.0647150914,80035507.47595319,250.74161884990778
400535.2369925082,397566767811.94464,630528.9587417414,1288870.0107759633,3577565586997.103,1891445.369815661,745833.4890945362,1469921809206.4329,1212403.3195296163,125867073.29638769,262.94300821196043
445625.798543147,363461952589.7592,602878.0578108307,1006981.151454539,1982362982232.9968,1407964.1267564301,755594.6631360292,1449101360622.5576,1203786.26035628,93663691.846325,254.1351943636629
387520.72692676034,434816855512.96735,659406.4418194345,1046894.6052030331,2159061395467.1929,1469374.4912265195,756784.4790654388,1469798095444.133,1212352.2984034522,99496419.69096906,257.80506601162443
328270.425573553,189402709476.38196,435204.21583020303,1078472.7161522643,2073503580347.02,1439966.5205646346,683380.3548447761,1034837361112.537,1017269.5616760275,105593853.7580611,271.46011287418236
379588.1022875328,281218732987.0666,530300.6062480663,933179.3516457335,2177331566636.0078,1475578.383765501,761932.0343414698,1580118644563.8748,1257027.7023852237,94757155.10662338,255.6563948338057
312781.919686134,241818265736.41568,491750.2066460325,885432.2836432451,1464123722940.8213,1210009.802828399,684347.8302113484,1144309292733.285,1069723.9329533975,82772274.23539528,266.58358166107445
428391.8133489023,392656177964.3904,626622.835495476,1189374.560004497,2716305725296.736,1648121.8781682185,745438.8138703972,1091072917016.3267,1044544.3585680441,121085662.33998062,252.68803400063777
340770.70881145954,242394864226.6077,492336.129312696,1306654.6058728974,2946132406288.009,1716430.134403381,817619.5770146339,1328149222716.738,1152453.5664037566,129055430.05094868,259.07175420740134
312827.1841970737,167616765108.30872,409410.2650255715,1088090.0831664123,2753405683078.7744,1659338.9295375356,577801.6929335914,429511358526.90204,655371.1608904545,106372244.85289942,264.2383980066738
198590.35585736332,74452698719.87114,272860.2182801134,885875.670050561,1209217165529.1255,1099644.108577464,566069.3602065812,682231851052.1698,825973.2750229693,81027886.13755578,268.3966748492747
194211.77174777637,69310130752.31354,263268.1726914849,861400.9644530405,1324855949980.3274,1151023.8702912843,600626.3002454976,755141919993.6272,868989.0217912003,83403205.2267544,256.69433811104733
333958.9925470238,221004748609.9957,470111.4214843069,1006667.3632429087,2308500827964.4434,1519375.1439208302,776816.0409510939,1436783300974.0818,1198658.959410091,97491473.52939363,264.6699391618968
303810.3608593707,211136077688.38965,459495.4599214117,1162774.1519136643,3360029612350.4507,1833038.3553953394,803480.9061794963,1649106731386.8025,1284175.5064580552,113182245.86203179,271.0670623784884
441653.226056633,525302451382.17365,724777.5185408096,1064077.6294410888,2293929557277.4736,1514572.4008040929,572030.3866341774,527258962859.38446,726125.9965456302,100241520.8691195,263.8140956690185
275891.4262228034,157714799923.4968,397133.22691950214,1027763.9129339908,2406103666807.831,1551162.0375730677,659199.857284749,1375889258562.0862,1172983.0597933144,101176536.30908157,247.2092498768122
402585.47196591325,323521617831.5948,568789.607703582,1133535.9154845343,2065235937608.2236,1437092.8771684256,784275.9423574902,1309712493795.5952,1144426.7096654093,110615923.95913416,260.33455392001616
250804.65154947725,131178552381.89722,362185.79815047584,903968.4619356814,1541649777630.0046,1241631.9010197849,648161.2605062888,898564734167.125,947926.544710678,86614855.53305042,256.8607529472905
390825.269359781,292130222302.0712,540490.7236040885,1075366.129593791,1975621281864.5122,1405567.9570424592,723905.7081222382,756584247232.855,869818.5139630307,104093964.26975262,252.3770974924702
428980.1397568845,525500798248.18695,724914.3385588307,1304214.5954275539,3436200162041.957,1853699.04840078,760329.7899390998,1396033473858.781,1181538.6044724823,124292201.97928324,272.62522939640394
276590.9513835181,189829472044.2029,435694.24146321113,1386528.3520150539,4307724263068.2056,2075505.7848794847,1025797.1654276219,3652471874243.121,1911144.1270200217,135166085.25453156,254.31252780703662
262550.9556315029,143043252002.82187,378210.5921346226,904575.8778511983,1422919969216.4055,1192862.0914491354,512607.8594700428,534356688745.49396,730997.051119561,85071953.25613017,261.2539027171871
280485.42273368203,220720399601.84293,469808.8968951556,849256.9134413489,1437835085015.9587,1199097.6127972063,686340.5740253837,1125705408131.3574,1060992.6522513516,81653666.67702667,259.3554735979158
392222.1681144485,334522814846.3904,578379.473050687,1380973.8576868745,3618788126896.351,1902311.259204537,810707.922674664,1693747838371.1404,1301440.678006931,132763463.4083387,261.3236132067643
332352.69440730044,243962760967.20367,493925.8658616733,872335.6369286833,1489714201054.1875,1220538.4881494674,753874.2985166567,1612971584131.8743,1270028.182416388,84819712.39831051,257.4116948801644
339488.1047953527,275319886073.7784,524709.3348452821,770193.9673586562,1178563671167.6301,1085616.7238798554,567996.6603539712,718461141313.5835,847620.8712116423,70452607.55533077,254.15589403288527
280566.67213366885,143108749843.79404,378297.17133993225,908024.5543060899,1749284602574.7087,1322605.233081553,717057.9262355445,1436831910954.3237,1198679.2360570545,87309790.11034851,265.4156707783367
340601.5811539606,364895113360.4864,604065.4876422641,941175.7182613985,1439551472403.309,1199813.0989463772,528003.4490647246,407996516827.5153,638746.0503420082,91822068.91619556,254.12459838606256
275189.1175813538,187252846775.16464,432727.2198223318,970454.5037595583,2152435493357.0603,1467118.0911423117,826664.7110370968,2015502733463.3367,1419684.0259238451,92857305.48585987,259.49523190603946
375799.3417004875,312028610062.9831,558595.2112782414,1249267.398227516,3051456091245.687,1746841.7476250352,645725.784658219,719071225704.9489,847980.6753133875,122206943.87821671,260.5198246385371
448266.82405265624,470247334092.6851,685745.8232411519,1012598.088304895,1793191234079.181,1339100.9051147643,657013.6714728184,675525424909.2574,821903.5374721644,89398122.08745335,259.8144863336378
368214.2951759994,246686098735.2972,496675.043398898,961419.343244912,2278033318690.37,1509315.5133007711,747009.6972885361,1772114921131.0503,1331208.0683090268,90479178.69636045,263.63558614151447
279421.1097364236,166229966819.26553,407713.0937549903,746584.1872953575,1144217065726.111,1069680.8242303454,563718.9818052803,796589586457.1312,892518.6756909522,71282428.60332854,256.8058710487863
321703.4680566106,226418944342.73026,475834.99697135587,816068.9208116325,1458463896993.295,1207668.7861302432,632056.1856869042,1028697759672.9447,1014247.385834908,80246553.644647,262.9377396192399
343324.5566840629,442775971978.9544,665414.1356921676,723235.7297784601,1129865653775.6978,1062951.3882467523,587622.55746108,775258903745.5078,880487.8782501823,68821965.49709529,252.27347779527796
265371.315372882,122767520340.88199,350381.96349253197,960859.0064188512,1684359311387.488,1297828.691078868,724290.4172077513,1294126982861.3042,1137597.0212959,92346309.31813715,257.39929892446537
237197.23137084692,124013811427.04158,352155.947595723,1337222.2256310035,3993931236908.11,1998482.233323106,877078.6002026716,2017624039444.1135,1420430.9344153674,128802848.04651313,257.7152853333426
337285.87852620136,317318193000.3434,563310.0327531397,968943.8670306313,1851290773835.801,1360621.466035209,603601.8804702784,887234001273.9397,941930.9960256853,96804950.14325279,260.7520216479104
253052.09044676172,121888233812.79242,349124.95444008644,824729.5513050669,1252634472841.8936,1119211.5407026026,624543.6317267884,721377775244.5883,849339.6112537012,78165209.76022871,256.60660172502355
378422.7122395066,301160040517.8428,548780.5030409178,1308313.366694819,3698980627050.676,1923273.4145333252,762564.0501300619,1918962526224.1472,1385266.2293668129,129877697.28638873,247.86445477193917
409728.0942778831,364920622463.8104,604086.6017913412,1224275.3839961055,3279268127141.8066,1810874.9617634583,844649.7704721792,2316369511000.651,1521962.3881688572,121446966.78487052,253.58253921903702
363672.69460817875,400309060846.77527,632699.8189084419,1515867.3119722437,4407153971930.675,2099322.264906147,947891.3927676567,2239177843249.9272,1496388.2662096517,146094718.30640212,257.51379190471573
472522.8110298284,533680829813.983,730534.6191755617,971908.247004245,1585292257593.2322,1259083.896169446,677662.3716471014,908533281729.5325,953170.1221343084,92534900.79437567,263.4723048894285
437621.6040521799,483694658655.3497,695481.6019531715,1175795.0364357124,3092470694991.969,1758542.2073387858,843211.8488656408,2160344758401.133,1469811.1301800422,114076529.30672757,256.2169899079646
362078.76088597777,219013183248.80832,467988.4434992047,894917.1404718268,1335588867288.6204,1155676.8005323203,654526.1085291655,994955229032.6508,997474.4252524226,82181403.11885177,249.5176366834803
348239.44793437474,253757938781.38666,503743.9218307122,799456.6298788553,1042745611951.1317,1021149.1624396172,515159.7541639739,381845843480.3416,617936.7633345192,79310527.25948235,252.10132432006674
262693.26614676166,179857184882.9639,424095.7260842933,824958.6045281101,1507637130943.0154,1227858.7585479917,553177.3094081958,788365045222.875,887899.2314575315,76690808.83021043,256.1009267336724
348307.51090434415,240481399052.66574,490389.02827517025,761731.9359428764,1137670757593.9468,1066616.4997757848,565226.8610461948,672221188612.2252,819890.961416349,73260137.46066703,266.83077678679604
247813.90723586266,131370893731.40257,362451.2294521879,1167623.092109164,3100846543477.9033,1760922.0719492114,844699.7070702469,1233919130590.508,1110819.1259563854,113295194.1071318,252.09871127808862
295308.2633229435,206356428719.287,454264.712166031,892438.4254489598,1448415672399.3538,1203501.4218518205,656348.9161273914,1005191668974.8645,1002592.4740266429,84869060.10622351,253.83654595286856
381253.3618074605,286205418929.739,534981.6996213413,1364413.1665707058,2717451503251.998,1648469.4426200318,659411.55713108,633515771073.35,795937.0396415472,133406268.10033484,252.87124178458222
319837.54297197546,211140581654.4062,459500.3608860457,1443246.2668257896,3875342280501.978,1968588.9059176317,810892.8105453497,1931063173620.815,1389626.990821931,142327084.58341765,264.2775517952701
416276.9835926832,388972766967.9022,623676.8129150724,934559.4552008538,2285345416548.2437,1511735.8951047778,794539.9256159021,1564638033292.5054,1250854.9209610622,89236108.04046054,254.49651460176253
198572.6438255405,74122074335.57481,272253.69480610325,740465.1643297625,1324283820470.8157,1150775.3127656223,533718.3739876581,619751389662.0563,787242.9038499212,69232334.97916159,244.6829879981279
399791.18526349874,328244537129.81287,572926.2929293897,1190821.1997034126,2786730038836.1465,1669350.184603622,632950.8329468174,677330293881.8611,823000.7860760894,118209425.42579384,250.63026166348303
341250.2400511456,225608617671.09525,474982.7551302207,1177240.860712613,3144658053380.217,1773318.3733837015,737657.7576612079,1208594161591.1943,1099360.7968229512,112487894.0443497,258.05882880178297
388211.6724650794,316289951734.56226,562396.6142630682,1436615.632755348,3898009051178.803,1974337.6234015303,838015.4615813516,1544389177863.9006,1242734.5564777302,141697369.73284757,265.9629107186281
325555.1754693232,243047729530.652,492998.71148984967,1046283.8301390781,1840085012802.2559,1356497.3323977662,725941.8852380615,982744786241.4304,991334.8507146465,103369856.64602555,265.709358618035
462671.20440566534,442536124621.2893,665233.8871564567,1261985.8430103345,3709158899906.4907,1925917.6773440994,814838.3380036424,1589478638777.679,1260745.2711700643,122293246.42875996,266.5349475622622
235026.5316540678,98165628577.52324,313313.9457118423,842858.41694756,1784199504217.5635,1335739.3099768995,619371.5459979861,1137872954249.8213,1066711.279704973,84621220.90241344,263.8298228986808
259523.48623993658,119137399740.52448,345162.8597351176,988445.7671353269,2102780885504.5554,1450096.8538358242,633222.4549191506,872668953333.7872,934167.5188818049,95783135.17095369,261.0366552190354
254358.17447344502,169501203007.8605,411705.23801363097,1054012.785598263,2462108033717.1743,1569110.5868348395,721124.0269507166,1548131758315.0137,1244239.4296577382,103564599.54068527,262.8345831184479
276271.45856209024,179840155486.67963,424075.6483066195,804662.4272348438,1612254422539.6387,1269745.8102075544,699672.1189913665,1203152680497.007,1096883.1662930227,76021891.62686118,267.07842297935906
346042.8728219844,353193559192.5556,594300.89953874,1023957.6911715274,2546258085272.752,1595699.8731819063,747295.0388879918,1707059582002.308,1306544.9024056953,102723317.78576109,248.26145201354527
264004.15778445295,128277808575.5611,358158.9152534962,1013216.4812719529,2370960967182.0083,1539792.5078340939,768713.4642917854,1907934591291.772,1381280.0553442347,100571722.60037799,262.49195753078436
239264.44269352368,210052659203.77426,458315.0217958978,986234.3013756104,2830156311011.083,1682306.842110286,758011.5518350699,2412417547197.7124,1553195.913977922,96157897.64649354,266.83242042683344
369102.45106735977,273091544207.55905,522581.6148771013,1129644.4220560894,3142125045856.6143,1772604.0296289,816221.4083720945,2144545472542.8613,1464426.670251147,109078855.1545829,256.4272687583419
281400.6695895267,162678223657.47427,403333.88607638,955432.1619038365,1847957767038.3718,1359396.1038043222,643963.1548452727,922281703059.5164,960354.988043232,86896199.77149878,259.2130498501908
314614.3809283742,237741856440.19547,487587.7935717787,1218445.5120666476,2733243598636.3496,1653252.430403884,661539.4398376965,728854103533.6093,853729.5259820931,115193163.44160758,261.28799811789423
323213.633249513,239549438541.93652,489437.8801665606,939726.5602466512,2686206798397.7866,1638965.1608248989,844608.8431969518,2736581848543.1597,1654261.7231088798,91654391.30591632,261.6937932271394
319721.0489615932,201750920165.36368,449166.91793292575,1144409.1084907113,3527627838591.034,1878198.0296526332,770821.3018648179,1906681630026.0156,1380826.4300867128,113809135.90113111,273.16426094220236
319884.32895519387,196977765192.4421,443821.7718774532,857053.2331968303,1758263097402.8545,1325995.1347583649,674690.2626251958,1421040125007.2146,1192073.8756500012,81615569.17536482,250.04981635880569
417101.0149534948,440824690755.4745,663946.3011083611,1048044.0800666703,2058844518936.714,1434867.4220765883,693272.9951516357,881457088471.4598,938859.4615124565,102439257.15329912,264.9068472364313
214045.73414966854,88333448878.19388,297209.43605174095,1020423.7245475345,2314956121997.3687,1521497.9861956337,686118.7839302087,1143784017698.1155,1069478.3858022168,99244287.22603586,249.47375390605197
334576.1564543703,344989276132.2732,587357.8773901592,1359913.628211739,4702524853656.508,2168530.5747571345,795973.2980905935,2125044436685.2737,1457753.2152889506,135983883.22497928,263.18613048809436
384361.1779977594,284250105433.1029,533151.1093799795,1009053.3936137527,1878311739902.0837,1370515.1366920702,641073.8854181845,902442056324.3263,949969.5028390787,96807310.32952628,274.2019652256917
299213.6409837874,224860187048.40945,474194.2503325082,1000665.5887618676,2479075306993.7344,1574507.9571071512,687122.4265777417,1592920541762.124,1262109.560126269,98570278.08781095,247.66700995239262
258034.33571494365,138177535996.82025,371722.39103505755,801673.4960190054,1980538574494.722,1407316.0890484846,706453.4820022834,1536113729782.9478,1239400.5525990974,75772034.53483526,254.79734595954386
368931.71028464823,521174025363.97723,721923.8362625085,1107716.158162678,4320147162141.279,2078496.3704902828,787212.7946369604,2553725437446.5327,1598037.9962461884,107084880.83376782,266.7611691354291
321790.01427509374,223842464367.00482,473119.9259881207,1077166.1788946849,1904953005468.4656,1380200.3497566814,565693.23991324,603067164830.0671,776573.99185787,106222596.84518225,259.5760592683225
342447.510727675,223298599736.14395,472544.81241057336,962633.7358068594,1810914486078.0583,1345702.2278639723,661961.2461055043,1339815111450.4817,1157503.8278340516,93005355.9880156,247.708588655553
284139.6998406621,181154222435.8354,425622.1592396657,761953.7150516408,1224865262713.6921,1106736.3112836282,541179.6557333027,661802513288.6282,813512.4542922672,75279816.24751927,256.9270001593196
296322.70823242556,159514876361.9668,399393.13509619416,1083841.6024461943,2368134399882.6504,1538874.393796534,722235.2434315465,1330943939139.0479,1153665.4363978526,106889030.63786517,257.1619360358697
326601.4358329417,235616932359.77332,485403.8858103356,1162548.6370761264,2299503437047.9175,1516411.3680159212,804706.0803937794,1402402903055.861,1184230.933161206,110016181.13838764,254.5718077493955
220345.7077369863,125026170176.0934,353590.39887430967,784535.4035776458,1382690327178.8965,1175878.5341942834,665515.3042751394,1092618945886.4008,1045284.1460035644,73444562.24984568,264.458410762024
317761.95167171507,206698787408.33655,454641.3832993391,961198.2249952549,1874359026408.6553,1369072.3232936438,596303.6713068817,699716135608.3497,836490.3679112807,88496353.32519896,258.990469133339
252817.73635626616,115587100485.49399,339981.0295964967,982658.5674426445,1947312690708.981,1395461.4615635148,809948.766940062,1651823405979.363,1285232.8217017192,98351510.03039268,265.9933911598635
315434.04436072323,176946822766.87018,420650.47577159613,939265.3056689076,1686947452348.5415,1298825.4125742002,628913.0486569904,861124572566.7496,927967.9803564074,90076110.27162723,261.5024495557778
390610.6966789598,676523260733.0143,822510.3408061289,1544079.2764523346,4756660007878.119,2180976.847166911,778920.6576661154,2077074405418.3062,1441205.8858533385,150050761.64356455,262.89437011085124
