source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
310278.04742843256,209204812183.8627,457389.12556363066,617374.3000407382,812929117858.996,901625.8192060584,288969.4723665805,211972086362.81308,460404.2640580266,627082.0848978932,837887152433.2281,915361.7604167372,,,,,
239652.30249563436,124789070109.24799,353254.9647340402,574484.1197935084,513552041892.0583,716625.4543986407,201217.6599539432,86318155723.19467,293799.5162065361,542701.3045909165,431786686488.5571,657104.7758832355,,,,,
199307.6699553088,82568258771.85966,287346.9310291301,730030.5812572698,2348569391027.9443,1532504.2874419452,508557.9864417046,563366795358.582,750577.6411262075,720007.1508429445,2319452035989.858,1522974.7325513505,,,,,
350211.90859344765,346853471147.511,588942.6722080095,609758.0221894898,605087739279.4784,777873.8582054795,282821.0315164225,153562179136.8243,391870.1049286923,605169.2285098174,607167745070.0817,779209.6926181563,,,,,
283866.1089024537,219813912770.742,468843.1643638862,799303.1988790897,1989346275116.8865,1410441.8722928239,482226.7022227132,574218283698.2767,757771.920631978,798212.490313102,1995259779985.3596,1412536.647307021,,,,,
275040.5548825196,196003744686.10123,442723.101595231,494166.60838779534,474727340449.7405,689004.6011818358,281542.57779356954,161349503888.137,401683.3378273699,488392.3457810218,457970374887.0686,676735.084717106,,,,,
281430.1561833096,166596500796.61322,408162.3461278774,621887.8078999183,709441014914.2477,842283.2153820042,341696.9203364388,208977918677.5137,457141.0271212962,602639.6054484496,666732046363.7412,816536.6166705209,,,,,
326993.1764518545,244536912623.43112,494506.73668154527,800014.0462646318,2070229926156.1172,1438829.3596379375,499922.71997806075,438340286240.9057,662072.7197528272,782263.2754177266,2024772318760.4128,1422944.9457939027,,,,,
279274.59289321926,173146819702.5386,416109.1439785223,706331.3187326053,1196048471558.7974,1093640.010039317,337951.95110622456,194623899296.15845,441161.9875920391,702617.0087584496,1210363827532.039,1100165.3637213085,,,,,
285489.5283370416,222826587725.12305,472045.1119597819,549709.6514134358,686258543544.9109,828407.2329144108,280795.852574448,142495588188.13138,377485.878130734,554583.6342856508,684813636161.6129,827534.673691449,,,,,
293262.5432774181,309977287979.41766,556756.0399128308,664070.9021758017,1004390805687.4014,1002192.9982230974,308074.3453722478,163309522412.4671,404115.72898424417,646470.699965033,949258538478.4559,974298.9985001811,,,,,
153513.70734311026,64832916932.96428,254623.087980969,638555.0803707951,1070320592285.4966,1034562.9958032989,376662.96286746167,265716566989.29626,515477.02857576136,632659.7515664861,1056585620660.1077,1027903.5074656121,,,,,
257721.05276196988,155938272389.81314,394890.2029549646,648198.5104470307,974921311916.4155,987381.0368426242,373835.31668653793,234797649773.54712,484559.2324716836,620033.4885090494,918026022415.7827,958136.7451547731,,,,,
377396.08062011586,293434512470.5091,541695.9594371266,708822.7056919665,1298325229318.4187,1139440.7528776645,433905.1153849525,339986236860.739,583083.387570542,704558.0757202223,1295446522717.8687,1138176.8415838853,,,,,
300570.33175062423,180998713000.1779,425439.43517283147,674022.0514313212,1110937772073.4456,1054010.3282574823,364637.54255659477,277127979833.3579,526429.4633028796,663751.6722460978,1084133444721.3822,1041217.2898686336,,,,,
204037.45776275743,90640181718.6981,301065.07887614286,645662.8718120147,946152884892.8448,972703.904018507,429698.9871045727,347706988826.1407,589666.8456222892,614724.7509870206,866857759611.9767,931051.9639697758,,,,,
359960.7156743368,331903639833.0577,576110.7878117347,694572.7899402458,1347630894012.661,1160875.055297796,491540.20248881786,520906233800.03174,721738.341644693,672918.6836493197,1309955327913.7942,1144532.798968118,,,,,
222340.19403607954,143492025289.19397,378803.4124571662,599231.144763229,896082393838.5345,946616.2864849382,360554.5625306054,232155879375.7568,481825.5694499378,598857.9741335079,893600025734.9706,945304.1974597228,,,,,
211025.94657005844,114745971060.88614,338741.74685279955,684796.7964307143,960876580206.6936,980243.1230091306,282219.1664212922,150292569682.84174,387675.85646109266,660604.3577327823,879209678203.3453,937661.814410369,,,,,
368640.07025156764,263816095759.38223,513630.31039784075,745832.6022311756,1030916766393.0006,1015340.7144367849,321450.11941500125,206543423113.07153,454470.4865148798,736501.9022815282,1019223537685.7008,1009566.0145258956,,,,,
262484.4152642207,181111161164.72775,425571.56996764685,555617.3914321836,418796601175.9063,647144.9614853741,173821.72673386446,50785542709.359886,225356.4791821169,557707.7820334616,420094504414.6208,648146.9774785815,,,,,
205991.9223442801,109367166893.40758,330707.07112701354,528017.5843249029,606989057520.8425,779095.0247054865,331969.91178075597,244579186010.25922,494549.47781820496,533296.0743884303,595812125601.388,771888.674357506,,,,,
210775.61473136922,87708650380.5013,296156.4626688084,550197.7158330898,643908419634.2476,802439.0441860663,284677.6142168894,165403519378.22162,406698.31494391715,534709.406234082,605584899882.395,778193.3563597129,,,,,
272522.2511327445,245125370561.90494,495101.37402546656,583889.1847267485,736526104146.7144,858210.9904602214,355571.2463461417,255892379050.94434,505858.06215868925,563620.3194054634,695602291968.2917,834027.7525168402,,,,,
177701.02496082566,105775050887.89984,325230.76559252484,703212.6467874354,1333023988118.7102,1154566.5802017266,438865.76036769495,362724773698.99554,602266.3644094659,710417.9534114992,1366244156745.6453,1168864.473215627,,,,,
247311.4144533751,154234094485.38614,392726.48813822854,502354.5980905391,460848998425.041,678858.59972828,304271.74539812317,154653197560.98532,393259.70752288535,491887.82814425585,452923601378.1947,672995.9891248941,,,,,
356939.5376005001,282353892266.49994,531369.826266509,597022.4191391363,962092173157.3285,980862.9736906824,239581.54892584312,155509707060.94794,394347.19101440033,593474.2330747872,958468317540.3243,979013.9516576484,,,,,
360600.1590507064,260534064629.80215,510425.3761616894,731144.0143413199,1147593511116.4395,1071257.9106435757,295008.6528427934,150355347687.65073,387756.81514017354,728266.3469929785,1122375327907.1135,1059422.166988738,,,,,
213179.4043124657,83225611584.66533,288488.49471801356,598273.2840772626,803619881709.8699,896448.4824628072,297589.4587122063,174191438768.62308,417362.47887013404,589766.2711739015,774262433157.5116,879921.8335497259,,,,,
282341.3016173914,164175789123.23032,405186.11664669646,668647.7254425377,668542522513.4102,817644.4964123529,222325.44744953845,88455278408.39204,297414.3211218855,656676.2041524731,652517129209.8445,807785.3237153077,,,,,
387942.41253999213,416854952602.47107,645643.0535539518,657231.9558279999,988444278309.643,994205.3501715041,341670.5422835872,206278873947.6,454179.34117218497,612239.8578319242,773674255109.7963,879587.5482916958,,,,,
293749.8420017778,295799919146.9869,543874.9113049681,933666.5375640014,2945224813536.99,1716165.7302070188,605059.0048768844,888906571800.1976,942818.4193152983,889139.0725542617,2809487879725.0474,1676152.701792127,,,,,
208097.01720031758,91466756247.9763,302434.71402598,491106.91513355717,491049933172.7157,700749.5509614799,223556.032564483,118366138624.06445,344043.80335077166,481295.75857259566,453333491162.699,673300.4464298973,,,,,
292332.54008326243,272994618891.27798,522488.86963386886,660230.447124097,1082274460330.6049,1040324.2092398911,415276.9761092663,417260818856.2621,645957.2887244652,653516.8699470981,1064501584761.6517,1031746.8607956371,,,,,
316243.86745175975,363602634557.21326,602994.7218319686,782573.7670702362,1457640403533.222,1207327.7945666711,330883.44441893866,189948339254.6551,435830.6313863851,742866.2343743384,1322875998129.656,1150163.4658298166,,,,,
363930.08329228946,369125422948.51874,607556.9298004252,642515.3346402333,1228367894501.114,1108317.596405071,402241.32218832045,287184482502.90704,535895.9623872035,637694.0264334292,1231151997513.4204,1109572.889680268,,,,,
318948.97101625445,319844892306.85864,565548.3112050275,470905.67637959355,565546919900.1932,752028.5366262328,344110.6983199056,210713676400.21817,459035.5938271216,477707.37967408815,566989599983.1127,752987.1180724892,,,,,
259509.77278334362,147113893758.15305,383554.290496343,610305.0703606461,988565078216.1433,994266.1003052167,332561.27140784025,169422056302.52924,411609.1061948572,597656.8621342713,952191112061.4119,975802.8038806877,,,,,
303104.9377911288,278658498499.31036,527881.1405035326,499129.2118797162,389543402478.22925,624134.1221870738,239810.84984942933,85919786487.00745,293120.77116268553,499510.9313123272,387180952771.5977,622238.6622282465,,,,,
386418.3382468112,429069552944.6961,655034.0089985376,773649.1626121287,1729495148413.1096,1315102.7140163272,411228.4972331111,303939936793.5805,551307.4793557407,772135.184902494,1738952862163.2686,1318693.6195201934,,,,,
292657.7273218829,189564193273.5004,435389.70276466163,606513.844399324,581516286452.4567,762572.1516371134,309023.3371331486,159169178482.86374,398960.1214192513,611852.3988906022,573653475276.9823,757399.1518855711,,,,,
438708.6498724951,408398578175.2737,639060.6999145494,624064.5107425918,643388186744.3905,802114.8214217154,369398.789962995,266875208452.56827,516599.6597487926,623862.3349265507,638271151293.3455,798918.7388548008,,,,,
317433.28905758075,237772965238.8851,487619.6932435001,652788.9288810893,1258770479348.462,1121949.4103338448,285280.2005927157,166106912807.70636,407562.15821357403,651066.9461954585,1267943299814.273,1126029.8840680353,,,,,
231279.93975946127,106464650394.37083,326289.2128072438,456987.87919245014,555535686852.8732,745342.6640498135,234480.22592951288,105814728303.4495,325291.75873890426,462980.03132184775,569775849159.9729,754834.9814098263,,,,,
356110.71301010775,306836310012.89154,553928.0729597404,598718.8717707951,928827794036.3962,963757.1239873645,369188.4157192021,210407834434.07794,458702.3375066645,594720.4086875005,922502514332.9346,960469.9445234789,,,,,
331778.8258048491,389000222059.3783,623698.8231986479,501738.2704599652,569254832967.6785,754489.7832096062,215128.4563566896,99412876878.38687,315298.07623641926,496042.25535818434,550915576412.0106,742236.8735195056,,,,,
326081.7975480503,214764725650.8754,463427.15247477184,646889.8518447992,1007641603206.0876,1003813.5300971429,294345.19266726665,151145399606.48337,388774.2270347706,643272.8525658201,978607540738.8804,989245.9455256212,,,,,
213632.00157166398,140147066996.5126,374362.2136334176,807151.9998798881,1622297023641.7966,1273694.2426036936,349046.62990376574,222643638334.05917,471851.2883674889,762204.8606161864,1534249589862.5198,1238648.291430025,,,,,
331509.89663056924,319211693663.29395,564988.2243580781,565542.3783679256,713787537101.7087,844859.4777249699,396352.8240427152,272896841935.63867,522395.2927962107,562639.8187860495,709573333277.3019,842361.7591494179,,,,,
242201.40730065777,176282647176.72513,419860.27101492364,565514.9744002875,622151282317.4708,788765.670093134,328143.19521841075,196057120138.40475,442783.3783447666,556792.7148719673,606955768531.3545,779073.6605298336,,,,,
428558.7403738761,376048475141.4012,613227.9145158031,701358.1397778924,1760715148650.856,1326919.4205568235,435576.719490586,351062887774.5842,592505.6014710614,692327.7906714253,1717259266807.081,1310442.3935477214,,,,,
353372.80991607753,338828268318.65546,582089.5707008119,727053.9071218577,1837684461377.6135,1355612.2090692506,385117.0703979352,284212175578.039,533115.5368004566,723965.1599315539,1792518291552.2068,1338849.6149875112,,,,,
349213.69625002035,431032974126.79865,656531.0153578417,668171.17800003,931820402895.6669,965308.4496137319,351249.54988885013,307289135632.92474,554336.6627176347,679807.0194691229,951466562028.4376,975431.4747989413,,,,,
