source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
227876.79911044062,95102620893.36491,308387.1282874253,694114.3269862379,1154807195510.5615,1074619.5584999193,862953.9205570004,2082736754849.4724,1443168.997328266,65525162.9110068,
204665.97893368677,96181955198.66805,310132.1576339159,616586.7480935806,749944871627.2898,865993.5748187107,748535.4672705495,1049115302452.5277,1024263.2974252899,58925011.03808107,
273590.4579947321,144177207951.65793,379706.7394077407,958468.1669515733,2309001566251.983,1519539.9192689816,1019402.4906320068,2677295468189.3413,1636244.3180006284,92558151.61470515,
213023.4269348142,87349395017.46274,295549.31063608103,761870.4811660845,1066004560393.2183,1032474.968409994,721160.6153450523,998392182050.3545,999195.767630325,68994565.90737529,
252316.42149444102,113009482315.84508,336168.8300777529,1171421.9660171284,3501279416068.831,1871170.6004714887,989787.3222256086,2803308334840.133,1674308.315347007,111565198.52943972,
237803.18469384333,95280912557.27275,308676.0641145872,844124.5061078337,1804867111593.0344,1343453.4274000847,797327.524100329,1883280844549.7388,1372326.7994722463,79942567.85096425,
227563.00205642547,115216472515.13252,339435.5204087111,792059.3886633387,1850938204939.7122,1360491.8981529116,700477.0643549142,1604978950165.5088,1266877.6381977499,73568051.64704074,
276837.4436222663,263788410685.20157,513603.35930093133,800556.7270358249,1735451705233.8862,1317365.4410352074,734283.1236270751,1586293623337.571,1259481.489874929,80390351.8591452,
256842.5040950297,201003451465.64563,448334.0846574635,805878.1369548903,1419271369639.3635,1191331.7630447715,774615.4620187319,1207080112982.7012,1098671.976971608,79683741.73247212,
277051.1187816998,196099883774.02234,442831.6652792823,802894.2542718559,1815423483803.1572,1347376.518944559,818479.0934936616,1600699178283.2656,1265187.4083641781,81098544.32063268,
228547.7865354381,104531265185.56778,323312.952393757,631712.8141393069,839494731259.5295,916239.4508312385,554049.2621623722,762276723693.972,873084.6028272243,56980641.22441936,
220278.85959453092,98811706966.74815,314343.2947698235,1012980.8281691006,2991332502027.575,1729546.906570497,1051834.5741482743,2955931891907.5796,1719282.3770130314,101790294.6602819,
233568.41249816306,106641563713.4586,326560.19921824307,670670.7972618471,1276669565690.7654,1129898.0333157347,804989.008370952,1523492200493.3528,1234298.2623715196,69340707.25700635,
282092.19739808625,226730103791.90414,476161.84621607827,603581.5335025766,1004007396080.1425,1002001.6946493366,749961.9490577681,1254708264018.761,1120137.6094117905,59997023.448988646,
208225.149527391,89481878336.8916,299135.21748014155,732477.1254665665,1617059518583.9753,1271636.5512928509,816660.7580456323,1897005819747.0493,1377318.3436471939,69454440.77927175,
290009.72033055936,227979185366.7975,477471.65922889864,854615.9691279058,1560929793839.6294,1249371.7596614826,831115.6499738777,1463271310562.0527,1209657.5178793594,83746668.90015845,
169635.92770696493,53159712050.30114,230563.9001454936,1088183.5080944633,2871972440839.5215,1694689.4821292546,1060276.55215077,3073034901004.422,1753007.3876069153,108349843.66071044,
257377.56984681665,135852121599.23795,368581.2279528597,1067615.5757794478,3470006003967.154,1862795.2125682398,950003.7207601799,3045754800619.5176,1745209.0993974097,103058556.85478973,
170510.4811762521,66643672666.26857,258154.3582166851,840191.6995904815,2180198474046.8948,1476549.5162868379,853403.7916978537,2211733738960.264,1487189.8799280017,84168285.64269364,
286878.2737384926,147317150362.6412,383819.16362089216,840793.9413897218,1625269510952.8662,1274860.5849083522,814278.7859339486,1202650188713.9314,1096654.0879939906,79935740.99422511,
227683.08982690668,109137177751.10052,330359.16477540095,758456.9144975452,1296065005259.0518,1138448.5079524026,692368.6292343128,1179215296459.8389,1085916.799971268,74169498.98794417,
278843.52567031665,146753460702.6886,383084.14311047725,734130.8539987123,1406268558391.814,1185861.9474423716,663404.9648924174,1308792971183.403,1144024.8997217687,68940116.76895615,
325841.03686261823,248101389446.79733,498097.7709715206,726957.8923086033,1212177915907.6577,1100989.5167110618,747056.6932207723,1326183729718.8477,1151600.5078667027,70674571.29013653,
169158.43090505744,51777176427.54211,227545.9875004218,772148.6705957027,1798375785745.4731,1341035.3409755738,688546.1551466275,1431667693794.4885,1196523.1689334263,72178632.23670529,
315385.373853306,277630965065.63855,526906.9795188127,724430.0708488312,1122521126558.3257,1059490.975213251,702300.5454812434,1150265558840.7146,1072504.3397771006,71216958.5290189,
237151.1794455114,112290788016.1406,335098.1766828053,770283.0752916906,1747871908366.9255,1322071.0678200796,795498.6122334936,1780461405120.1653,1334339.3140877492,74374529.05770333,
305896.38175187784,203499283355.07465,451108.9484316119,881596.6594214344,1824996846792.7188,1350924.4415557515,882772.3189265495,1916366896124.9182,1384329.041855627,86647408.34731172,
291762.49171425326,247474495787.8285,497468.08519525,730841.1646291093,1156216465192.281,1075275.0648984106,742922.5574703872,1268891723742.3213,1126450.9415604041,68516389.95665114,
284751.64297416405,240056002875.8763,489955.10291849833,766971.5365334381,1092512006333.4956,1045232.9914107646,797778.916383257,1287608850988.3262,1134728.536253639,71175962.52494258,
270610.2655251499,141583451459.61066,376275.7651770981,858793.0079499964,1616278704871.314,1271329.5028714286,823457.6332718101,1490264644338.5872,1220763.9593052324,84472442.18530545,
331242.9799003483,195915657337.05084,442623.6068456481,971506.9713822919,1786785476623.2747,1336706.9524107648,851838.5461361961,1299676736415.9126,1140033.655825964,88343930.61378884,
282604.55885316397,126697534317.89804,355945.97106569144,775254.124270895,1403686235415.5217,1184772.6513620752,861848.536521903,1428498571417.1963,1195198.1306114884,76045273.45469068,
270365.01918157446,212204539513.3321,460656.6394977197,733524.8253564722,1287348359283.3328,1134613.7489398464,729259.390507589,1316703440166.342,1147476.9889485114,67564411.00745489,
254974.4139184863,120152214275.76935,346629.7942701541,766806.639229857,1557253852917.005,1247899.7767917921,782940.225731731,1889507983637.3682,1374593.752218221,71402120.53940864,
284295.97371658834,162899852918.55536,403608.5392042088,593869.0712003873,758736329843.5669,871054.7226458088,783253.7217675203,1233849925282.9712,1110787.974945251,53929272.76402625,
