source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
222256.90310288712,88261474610.8616,297088.3279613348,666738.2119726156,1132777317762.6648,1064320.1199651659,199616.84517431288,102641413889.68863,320376.98714122496,556756.9967990918,1217331311009.7397,1103327.3816097104,62824546.739759974,0.3315100344333865,0.29035226621619314,1.0,0.30787595951683594
206523.98221377985,95813134660.76762,309536.96816497965,617380.9614325366,751741063986.0609,867030.0248469259,225597.7332074208,99353405683.53831,315203.7526482486,498064.3449848034,591704613270.4806,769223.3832057373,57928907.77629187,0.35252569188059596,0.27255476499398007,1.0,0.34906349760703126
276335.25155402045,152224507360.14975,390159.5921672947,961784.2941180216,2313255404959.7695,1520938.9879149557,221329.4775723353,116080422836.72092,340705.77165161277,690296.6955003951,1890159454384.8193,1374830.7002626976,92318954.0564565,0.2754211632288519,0.3337528424951173,1.0,0.3011581094093557
212042.35939252606,86989720629.63899,294940.19839560526,786622.5138135173,1083446127360.0264,1040887.1828205141,245688.8020552706,131250650634.07478,362285.3166139566,600909.2123476852,861138883748.5839,927975.6913565053,71676793.8526118,0.3314413310778869,0.2960435391262896,1.0,0.20537862740121207
261046.16819230485,117741614561.0446,343134.98008953355,1175394.9830403312,3504777356766.9395,1872105.0602909387,311033.25428096467,228245211697.898,477750.15614638786,801797.0269213243,2508486274125.798,1583820.1520771852,111064196.07082063,0.34191267188643626,0.28662849018929304,1.0,0.30424621699209164
229128.4787038075,95483127961.97685,309003.44328498485,849798.5169241494,1811430294572.5037,1345893.8645274015,304640.1897325685,181768764679.56442,426343.4820418443,649811.4659553426,1659203363030.1514,1288100.6804711157,82432458.57510687,0.3010659323609964,0.3111256513370071,1.0,0.29100478414744524
223386.99384823078,113059442630.24347,336243.13023501827,768982.2031843337,1839012482921.2534,1356101.9441477302,193343.1915918974,99179862771.5623,314928.34545585496,570739.4250077636,1622957041247.397,1273953.312035962,71714721.86948484,0.2999800540374918,0.3184043864663089,1.0,0.22475214253835507
277844.54399509984,262530252609.35788,512377.06097107613,802938.4265775658,1829092549431.7322,1352439.4808758476,281429.0817861821,148507724229.9415,385366.9994043879,605512.2505604676,1522951507171.7664,1234079.2143018073,80522238.09868598,0.34058793929174735,0.28246418670344364,1.0,0.2512682788656568
259716.78953418537,203828446319.53268,451473.6385654568,824583.3716700826,1421673662742.6228,1192339.5752647913,263323.6119228674,149489387596.5906,386638.574894682,670870.6239169996,1225212710920.3613,1106893.2698866506,81430641.55481218,0.3405490053873764,0.2846379060668054,1.0,0.279070200196411
287611.74915473885,195629737685.7155,442300.5060880165,802722.0839053296,1751457252282.4368,1323426.3305082142,294400.0101640559,166686150487.8615,408272.1524765821,585088.941414152,1017845930137.5863,1008883.5067229449,80190248.72976905,0.3253866797209519,0.29615709923604827,1.0,0.42527848879686575
232499.76821419757,106057916566.11949,325665.34443523386,601913.2350364153,793745522601.1552,890923.971279904,277009.6937321352,197030290712.27698,443880.94204671256,490559.8320673646,705863780927.64,840156.9977853188,53760941.8089901,0.3437894190303741,0.28489016116859234,1.0,0.3677051148276297
236368.44287557926,107460557049.7331,327811.77076141286,1011888.6203465934,2970468326027.319,1723504.6637672086,375916.0416581694,279762239570.26556,528925.5520111177,806167.6032159419,2472154522172.968,1572308.6599561067,99041628.30950813,0.3468313223282516,0.28320097448022236,1.0,0.4504209541630161
231891.57485181012,105124195699.01364,324228.61640980066,667085.1071782185,1285120083117.5579,1133631.3700306453,282992.68470963574,148831273120.2797,385786.56420393864,586690.6712777159,1053987100226.1117,1026638.738907758,68034249.37483722,0.31771172445187845,0.29846054169463554,1.0,0.25970762309329565
288898.0678785515,239428558151.8251,489314.37558263616,620665.5544610918,1039282425256.3539,1019452.0220473123,263776.2316853259,130000786073.9521,360556.21763318975,547770.4018857824,874984351563.1288,935405.9822147434,63001982.51233042,0.3500484149625248,0.27723612951441867,1.0,0.28866377481258054
228526.56798434944,103708785198.56326,322038.484033451,712180.0948176162,1670724830200.8647,1292565.2131327318,207091.70686719104,123829938363.00476,351894.7830858036,544715.0617536119,1262218446783.4321,1123484.9561891926,69007429.08269323,0.36152210232002996,0.2695019757275903,1.0,0.29370624506738835
287643.2854814175,237805083322.23978,487652.6256693793,853064.7904246657,1508247979309.556,1228107.478728778,284145.3697198338,222604218208.9985,471809.51475039,569507.5923405589,1038412375258.795,1019025.2083529608,78829490.58597814,0.33567512638183866,0.2938470909619078,1.0,0.3852054592555273
168968.05026191505,52430191554.69549,228976.3995583289,1079279.6315262595,2810131008209.4194,1676344.5374413398,312354.5399102507,168279831341.17883,410219.2478921227,1002115.1090667796,2946061955758.8374,1716409.611881394,107885387.74012923,0.33658328725983805,0.28702113531344475,1.0,0.31425906659281366
254929.9621523386,130518982819.81691,361274.11036471586,1083171.347113817,3530802695314.402,1879043.026467037,239048.80936503652,132460547106.0669,363951.29771175,768639.2411118161,2635568313564.5537,1623443.3508948053,106301561.94998193,0.34842076355500773,0.2825266571770223,1.0,0.22083048899736707
170605.48438901355,68307677474.94048,261357.3750154001,812896.5935876562,2057700126616.403,1434468.5868350004,300874.34242291277,160206274221.6791,400257.7597270028,684159.7178474669,1724546294141.9194,1313219.8194292986,80768314.53970626,0.3562705764456089,0.27468293667781235,1.0,0.3277342277449358
269925.33809099585,134927088094.40689,367324.22748085496,869278.3418768859,1666195838078.6953,1290812.0847275546,223569.3705309471,86941093697.24979,294857.75163161266,570574.1434143251,838442761889.3148,915665.2018556318,83581395.94260757,0.36718286183378374,0.26910234889349366,1.0,0.19459979309389078
236620.18749862417,111870213097.81264,334470.0481325834,775956.9849490012,1327697381275.625,1152257.5151742883,312823.4409597945,156966218647.38885,396189.62460845546,611357.5469825832,1025144140156.5242,1012494.0198127218,73658109.2452319,0.3054969156302262,0.31183792920280723,1.0,0.4460717409194141
283866.18114908546,153553903967.08853,391859.5462242671,743751.0822221747,1428929500194.0906,1195378.3920558756,196997.11146783692,81082525341.94772,284749.9347531931,536854.405341592,938302322068.05,968660.0652798947,69390000.16902548,0.34224481389148625,0.28499692275277166,1.0,0.2357361903348386
316247.8901266796,248336172204.03986,498333.3946305825,737611.5492564111,1181373812014.1912,1086910.2134096408,259872.80866278324,166283070922.25665,407778.2129077725,525565.4222103572,786706652870.5162,886964.8543603722,69674631.2912718,0.3622621620553371,0.27063860184330896,1.0,0.3313906221309809
172834.48822637476,54500891334.76212,233454.25962008515,797498.5199564398,1807682317927.0825,1344500.7690317929,276154.78236733744,140415927682.39908,374721.1332209582,586615.944723875,1343269376486.4998,1158994.9855312144,76016073.2966121,0.31943054998229137,0.2993000217968005,1.0,0.2840126816085487
295495.27370689035,281955028386.9302,530994.3769824029,715708.3623068049,1028619613810.5184,1014208.8610392429,258699.5194490722,134840738675.36821,367206.67024901416,640306.7615290328,1050579030441.827,1024977.5755799866,70491942.17530555,0.3063302738725027,0.30712312262273656,1.0,0.27128258204354005
260083.3029203182,122661307983.20853,350230.36416508566,736219.8999107769,1586729277601.801,1259654.427849877,322209.677852402,200896081529.184,448214.3254394977,678926.0593169742,1497719873745.011,1223813.659731338,73876037.26988447,0.3325574281582323,0.2875780141117776,1.0,0.21339316851099333
303866.2974966372,202423362143.64948,449914.8387680156,851252.7396798545,1751772294881.3127,1323545.3505193212,387048.8783621612,336013746773.7414,579666.927445185,695119.2951152102,1394566971004.917,1180917.8510823338,82397608.73356247,0.3314475740632956,0.29671679109591437,1.0,0.3925537995386801
288051.7805897639,242541628055.51254,492485.15516258206,731027.2953160553,1166775145586.7444,1080173.6645497077,229737.76576565515,103903176722.91196,322340.15685749106,606649.6754084781,972884202210.5847,986348.9251834691,69635058.74750595,0.3165095231439203,0.3031712573377748,1.0,0.2943497149552598
281809.0075741328,244008430027.3143,493972.0943811647,756245.5284912854,1117920374359.2622,1057317.5371473143,352927.33908676537,231353284862.1052,480991.980039278,574332.9819598228,906682195482.788,952198.6113636104,72793867.78716706,0.33780953231744826,0.2891758146632405,1.0,0.28874677363513734
267669.73511382454,139862802058.2308,373982.35527659697,868106.0606937248,1676945923426.4524,1294969.4681445013,166359.11796448915,58000664972.68008,240833.2721462715,546865.8096357393,1059959005590.6157,1029543.1052610744,85145179.40759659,0.3257268400520469,0.2972241596067885,1.0,0.32918232756495386
325763.17420728185,191673908550.31686,437805.7886212982,908365.8244319023,1651316114248.6672,1285035.4525259866,284444.29502861435,148572168505.11182,385450.60449441744,559836.8513610708,708272673782.066,841589.3736152246,86614595.40071237,0.3218066125291595,0.3008083901179409,1.0,0.29919849001283266
279921.04830576864,129218108264.3375,359469.20349918364,728930.7224021591,1233199620235.3008,1110495.2139632574,264475.792721031,161813894569.70203,402260.9781841908,528405.4688899744,884038910238.2404,940233.4339078994,71773307.7405509,0.34653391790987653,0.2791668552759495,1.0,0.28219497469790644
275210.92923855514,219990537253.7295,469031.48855245265,713588.6814298335,1255967470422.6628,1120699.545115756,284618.9436514318,145794741057.33563,381830.7754193415,585826.7949373684,970254335521.4907,985014.8910151008,66586912.26576938,0.3331264439863107,0.2917179642930126,1.0,0.2643561962265031
255812.41634322522,123536811784.96706,351478.03883737465,756243.4868878982,1608751226496.055,1268365.5728913706,304261.76308124175,189048153763.66165,434796.6809483044,590780.0559160227,1327782254551.8726,1152294.3437125224,70183791.32645369,0.3273398472228875,0.2948151784818384,1.0,0.28505920769037174
273739.7047997664,160604098474.8538,400754.411672353,625161.4002137659,811389406566.5591,900771.5618105176,205984.18703824983,83483137689.9967,288934.4868477917,525401.1133797447,557761578918.7524,746834.3718112821,56186967.82958388,0.28482858819336404,0.32788356251412787,1.0,0.24739964441623233
230094.26802137922,101641808309.13297,318813.1244304929,678051.287187247,1318870291442.6086,1148420.7815267923,200216.63175213244,105553463012.919,324889.9244558363,537906.8240677731,826654610477.8042,909205.4830882864,66045842.284028016,0.3659362307641476,0.2642306314739569,1.0,0.32198757346891244
312284.1743547398,181954769405.7794,426561.5657859711,1055804.7958620158,2545636949732.473,1595505.2333767111,178377.74268816397,82118699136.7106,286563.60399867705,644791.353080504,1246109590966.55,1116292.7890865146,105896194.7500819,0.3397666948271741,0.2835639363461188,1.0,0.29705793497950317
316625.36174245004,168553538920.12662,410552.7236788554,659183.6673444757,1431121596933.2375,1196294.9456272218,196777.5559985,75867027605.87265,275439.6986744515,592300.6728834749,1191545946184.882,1091579.5647523282,66285667.229772314,0.2889426557467016,0.3231932632573007,1.0,0.2688663548741752
192364.230488634,68263675180.2416,261273.18113469204,865772.644248792,2303359429374.3643,1517682.2557354898,260772.11456904857,125471925810.0586,354220.16573038104,734978.6399084434,2255217805648.2583,1501738.261365228,83283853.71061856,0.3268441520381517,0.29498365077066163,1.0,0.31256117882297696
293145.03852886066,158927635129.21094,398657.2903249242,810309.7963203044,1147658366795.083,1071288.1810209067,198340.69414382105,80238347466.31842,283263.74188434076,572946.0242940106,919659806237.9905,958988.9500082837,74542086.95678104,0.34483166783627045,0.28605702431601443,1.0,0.30327818250316413
275617.7094671137,138659114118.31757,372369.5934395256,980176.5418634787,2422801838307.1484,1556535.2030414052,253970.58690938647,112076557971.21225,334778.3714208734,816788.9274036875,2364023613218.503,1537538.1664266104,94956343.42383054,0.33263685414503624,0.2905251765069095,1.0,0.2846871728989854
200438.9438872194,70079009464.97792,264724.402851301,836118.5078059761,2906811296796.938,1704937.3292871905,355797.8459556771,283839418945.96014,532765.819986568,734968.5365331897,2506595917677.574,1583223.268423495,81361080.17646742,0.315488516387367,0.30352793619390345,1.0,0.33231809605035156
198508.73694304118,80630194396.44624,283954.5639648115,924156.0586609984,2100393501349.0913,1449273.4391235807,227658.3928125176,118626819730.62408,344422.4437092102,679271.0775025731,1791808022804.8103,1338584.3353352116,91174779.9212008,0.3112721306609874,0.31064933187165816,1.0,0.22221973200426606
206388.87782725337,94008012771.46297,306607.2614460769,613838.7125714095,794505785986.5206,891350.5404645922,191386.74689518366,67397209719.148346,259609.72577919406,485303.3181011926,624801584861.2684,790443.9163288363,57010936.38416684,0.3683499106714175,0.26828707281009206,1.0,0.2675157799090624
192479.81039610383,66976508269.20065,258798.19989559558,806121.9846577956,1653053447222.453,1285711.2612178726,234452.0454055442,94409692413.8755,307261.60256998515,661785.2416467221,1530469664873.2732,1237121.5238905486,76917781.52420485,0.307507201998329,0.30493743545496627,1.0,0.2653135037541892
228368.21807195016,101794007968.96286,319051.73243372753,821162.7595244294,1664315858146.497,1290083.663235256,239649.7210119307,112357073576.92871,335197.06677852763,617497.7126380821,1139745542772.1443,1067588.6580383591,81671933.31318672,0.3512156022513077,0.2775406446267845,1.0,0.40826425892539814
270520.83724832477,133072088294.7512,364790.47177078406,737073.6609400553,2255016947106.658,1501671.3845268073,181695.41330409658,58636185303.61534,242149.0972595507,631934.4015398886,2166576326012.232,1471929.4568736071,71406732.27654657,0.3370418900429532,0.28590607399097295,1.0,0.2900819063599237
239468.69723773593,102985754001.95744,320913.93550601293,765312.6116957713,1863135719101.8616,1364967.2959825308,276985.5488683437,152467364852.7753,390470.6965353166,675145.5231496873,1765177981965.6045,1328600.0082664476,68055804.65861863,0.3188801123015119,0.3037762094940599,1.0,0.2207450375923123
255169.74871634974,127511488245.10721,357087.50782561296,1063742.4260969982,2953290721757.5093,1718514.1028683789,327957.0671184012,264492423368.5442,514288.26874482,691432.3770693092,1889403422953.577,1374555.718388155,106984361.66873774,0.30883713716612593,0.3116462229545334,1.0,0.3401152584031848
237482.8153349181,120566898718.39536,347227.44522631756,857419.4308545953,2310835478935.3105,1520143.2429002572,208793.1441453699,100165186277.51274,316488.84068401647,756308.6323173157,2074650308990.4333,1440364.644453075,84406439.43278085,0.2683516128500338,0.3375378351839293,1.0,0.28740185173817867
202130.63522348026,82390788738.87907,287037.9569654144,717073.4977389622,1128145753879.0708,1062142.059179972,221886.0575919718,95675810311.81793,309315.0664158116,553179.5031176383,824660070444.3579,908107.9618879893,68314556.8080085,0.3198888894468728,0.30076552758771524,1.0,0.32447182124676055
262786.42796381586,132047856098.84761,363383.89631194115,777944.9673295511,1298405772334.4277,1139476.0955519988,261549.2516450044,130984372351.58142,361917.63199874834,553734.5731787453,804374423801.5117,896869.2345049593,72252932.16590993,0.3164826234199978,0.3027350961130403,1.0,0.3726490780151082
333162.1197556405,310057014789.4798,556827.6347214457,698938.0444017621,1460128049169.9666,1208357.583321248,215277.97180644624,93399029989.37366,305612.54880873865,538353.019639758,959976367804.0725,979783.8372845679,66604811.790118836,0.35614773901595287,0.27500882526244336,1.0,0.23872754550986383
246783.13890088428,106793776168.46855,326793.1703210282,653065.1689626217,1136176785074.322,1065915.9371518572,215265.94293803687,127930129769.10281,357673.21645477286,474908.2644773627,581450981753.3215,762529.3317330957,62714706.74525894,0.33306563845823434,0.2914770737942001,1.0,0.3688504902470228
202099.47806078903,81361102772.2696,285238.67685198237,810092.4073583618,1616116351802.8865,1271265.6495803252,320337.9248073054,217287517876.64932,466141.09224209073,653624.9653879422,1247468656794.6274,1116901.3639505627,82648805.59921724,0.3274844039737938,0.2954455330238276,1.0,0.2600761548635484
213046.20980045048,93066712897.71085,305068.3741355548,795131.1572180524,1740940828704.0334,1319447.1678335716,293731.0583130597,168858115351.229,410923.49087297136,692824.5087817027,1535106570673.1328,1238994.1770134082,75340721.54572293,0.3394370601395481,0.2882111304871195,1.0,0.282371001319658
282594.65323245176,140034071787.25717,374211.2662484351,720164.296503045,1030697602762.3773,1015232.7825490946,189333.11346892256,84362857149.45032,290452.8484099447,421101.4962616783,347337454617.4065,589353.4208074189,66837495.38788041,0.33365173703740447,0.286562235378619,1.0,0.30556982631918383
244192.70434411295,129323671536.4464,359616.0056733382,707402.5171268198,1413286360047.9282,1188817.2105281486,266100.0996084277,143570830106.35706,378907.4162725732,628652.0262248814,1277818349083.2703,1130406.2761163663,65276122.55191775,0.3289609714855175,0.29298731223507873,1.0,0.28482037554433437
299054.7915971313,160089422553.24316,400111.76257796166,959182.4073948832,2504812301660.963,1582659.881863745,211603.77489847594,96784279338.00613,311101.71863557125,653406.2381282131,1604268467979.7568,1266597.2003678821,94054133.9900248,0.33752477046266965,0.28699156653104024,1.0,0.3124921381323532
176347.37382159737,52979100433.08635,230171.8932300083,678385.1675179708,1235185202208.8848,1111388.8618340949,265427.19274809817,148248966326.37332,385031.12384114263,554735.3536696373,1085282927047.2662,1041769.1332763062,67307090.78491446,0.3228036510240236,0.2986018317005886,1.0,0.2703258209585138
270491.2972208203,248815194994.90683,498813.78789575055,852755.1190830077,1646366846474.941,1283108.2754292176,231542.26626822673,107534267903.636,327924.1801143002,626680.5262949284,1361065635381.89,1166647.1769056357,80787248.69118825,0.3503291350847773,0.2774767051042703,1.0,0.2871179280746029
279600.8755348561,186100278406.2697,431393.41488514835,841859.3858112277,2156452786009.489,1468486.5631014432,215380.79585163418,106183404317.16367,325857.9511338701,628141.1873624122,1645275062758.0137,1282682.7599831587,80057668.20213783,0.3346011431838523,0.2915403141712384,1.0,0.2429369061262549
234534.20623740993,109698395316.37177,331207.480767527,613294.4859627949,927609912701.0664,963125.0763535681,198930.62833205872,77102932081.94257,277674.147305691,497730.4931786412,707882029555.0325,841357.2544139811,56349154.38739846,0.31159593584734163,0.3038984343387409,1.0,0.287741242560667
211255.03126424243,104683900807.49547,323548.9156333173,698545.5598631896,1490108895333.348,1220700.1660249531,203825.01880706247,79063010073.8202,281181.45400047314,666186.3667127608,1538217963502.7266,1240249.1538004477,68632696.60145265,0.3346363585603943,0.29001116693488566,1.0,0.4361057241006705
263999.4082695565,146889672805.44922,383261.88540663576,776673.4326282577,1328309275085.3618,1152523.0041458444,251864.86443853902,117351132917.63148,342565.51624124614,554710.4061498609,890902002361.6985,943876.052435752,72859630.2633953,0.3146625612151268,0.3027898919707206,1.0,0.2659401655685649
247735.67527793124,110532070003.07224,332463.6371140042,712688.0005924458,1220287583629.142,1104666.277039877,252719.81076323084,113288306012.17015,336583.28243121365,539249.0298048465,1167204377512.0085,1080372.332814946,68504130.15741163,0.33961610390781344,0.28199817501790947,1.0,0.30018629384667184
243317.01961458736,109914193861.09796,331533.0961775882,721950.9998422797,1138207447739.742,1066868.0554500364,275934.8265655506,171713148762.925,414382.8528823617,503322.19187246,929078801197.8704,963887.338436329,67508516.52060574,0.3524140680813412,0.28031298277990757,1.0,0.23854693905174315
215537.19829475775,83032587934.45312,288153.75745329633,766836.1004822636,1195986967583.9033,1093611.8907473087,193345.6505202245,92792190995.80092,304618.1068088385,486836.3281253453,722267617286.6499,849863.2932928978,75073317.11591734,0.3358429162384043,0.2931454612384159,1.0,0.32094340702439594
215030.20966682766,99415485998.54398,315302.2137545881,562905.9708941216,692774961186.7336,832331.0406243021,186430.98838117262,89444772556.61826,299073.18929756683,462046.30752399826,546135692115.39825,739009.9404713026,54515223.00589731,0.31259597740045414,0.3038928146291768,1.0,0.2816688001408249
315074.0352388672,263084656917.50235,512917.78767898306,793723.7014416014,1389358564874.3901,1178710.5517786758,219249.2801676415,78211474337.07072,279663.14440245915,537668.9772559837,943587637856.5852,971384.3924299922,75723540.84482309,0.3410949739228701,0.2843038449105335,1.0,0.23946464288964164
216557.07353468487,91508157286.05801,302503.1525225118,716756.940891335,1388151668839.7866,1178198.4844837422,375636.40909978957,281878328378.09076,530922.1490746932,600099.4236951533,1097270181172.7245,1047506.6497033441,73210007.81124537,0.32887434015956357,0.29284916119253684,1.0,0.30194425284646287
234622.01286612492,120393399551.16805,346977.5202389458,704105.9721717511,1135548383532.248,1065621.1256972377,289494.63990350516,196497590214.17386,443280.4870667937,501227.2522956607,835597129816.7646,914110.0206303203,67874901.06378932,0.3238464160330666,0.3013750022421556,1.0,0.27855821801001196
208930.260968735,82842254025.62682,287823.3034791082,811128.0788211715,1751437668764.3335,1323418.931693337,240813.7327721195,106280393900.28578,326006.73904121335,660000.6596948319,1458110408053.8794,1207522.425486947,77727587.51221316,0.34498626590170767,0.2836717383469126,1.0,0.28794077070796353
233376.0517861501,93192143947.0774,305273.88349984575,769289.4278409161,1117665543852.4126,1057197.0222491228,158962.60252321893,54019844926.03056,232421.69633240043,449189.4860983304,565170754737.4508,751778.3946998282,74806527.41601914,0.33257557766597157,0.29382606150234303,1.0,0.2827465820175601
198137.50607630907,71836989537.73016,268024.2331165788,831355.3788802281,1807746339184.2334,1344524.5773819955,263352.7911536893,149713901370.33017,386928.80659151,711891.1227449081,1601162681966.2312,1265370.571005281,77642317.17745882,0.34138145905363904,0.28513685159305663,1.0,0.44720627252968725
178718.24181392268,68311924209.106155,261365.49927086045,721965.2913338274,1273867802731.4673,1128657.5223385822,238630.0454702139,103220615567.519,321279.6532112157,594043.2585297361,1005672552512.4719,1002832.2653926088,68914087.0907715,0.31517411571310205,0.3020035806323808,1.0,0.3784051758823262
220275.72555401002,88477132847.46205,297451.0595836936,625010.0956507173,872311539778.761,933976.1987217667,164102.04540444916,56125415019.37737,236908.03071947006,435841.74937155517,516418232880.90485,718622.4550352604,59514058.38332133,0.3430429918747961,0.2836734400296488,1.0,0.32002695118114066
333069.48278807127,227390720744.57852,476855.03116206976,965816.4894063334,2096633470938.875,1447975.6458376208,308194.7953832323,163946044514.0221,404902.51235824917,546941.3767464873,1070851197842.1412,1034819.4034913247,89882791.5744217,0.2983086685825176,0.3153490923455823,1.0,0.26900004720190407
193290.97866991805,67784862394.65412,260355.26189162018,652305.7448451906,996284119200.7384,998140.3304148864,302806.1485642815,196123627416.03574,442858.47334790346,533244.956579455,980491543955.336,990197.7297264098,63579752.85020081,0.36829812265792305,0.2665261839518524,1.0,0.25932623300375546
270838.6841548019,254957648899.33978,504933.31133857643,664528.4531855814,1437904106128.247,1199126.3928911944,227106.5228645202,91276558365.31342,302120.1058607543,567435.4543026799,1420595627378.2402,1191887.4222753758,62620691.795919515,0.3198377255596775,0.29766470319558813,1.0,0.4689391129051521
288208.9797003142,163899914129.28055,404845.5435462771,972597.8731985019,2674423187450.409,1635366.37713095,420243.6577916055,599480694129.7905,774261.3861802683,754865.7942089448,2325925571152.1343,1525098.544734777,89759976.53699297,0.3125455937042003,0.30230412660976774,1.0,0.3783152849462204
236405.59442735283,108160402545.35101,328877.4886570241,951457.9568181676,2020016059825.965,1421272.690171019,219589.90741809635,84866556758.8644,291318.6515808152,767391.9030908401,1926959631071.114,1388149.7149339167,90374153.36244033,0.3124095430474091,0.309275545809342,1.0,0.318866176331888
272805.94312202546,135069992847.36235,367518.6972758833,623935.0034302315,710990321525.5359,843202.4202559761,239462.48319350366,114205230829.15652,337942.64428917004,454727.7237780212,457279643018.8645,676224.5507365615,59347577.00930426,0.34468162562990523,0.28567348535807463,1.0,0.2553627110323449
252463.77433637585,109261797193.88153,330547.72302026453,541181.4711425513,567146971492.1555,753091.6089641124,216439.18037960463,89883325696.83044,299805.4797645141,391084.3860293526,330227125964.5625,574653.91842792,47282284.22313128,0.36797194426175384,0.2653028499037418,1.0,0.25699987606165764
192002.51419551994,67116216117.366974,259067.975862257,588169.1043822104,1045967961985.7211,1022725.7511110791,231371.05434787789,143624386279.9295,378978.08152969676,497305.182224131,924168083072.3608,961336.6127805394,60873441.04012096,0.3355475944981715,0.2911164272617454,1.0,0.4090101552725137
215449.89077207577,72548508591.03831,269348.3034864677,858732.260599837,2948157400925.006,1717019.918616265,379141.17148187844,265354284094.15237,515125.5032457162,824863.5089079632,2924526835443.043,1710124.8011309125,95449793.38325605,0.34638114896750843,0.28347399594306566,1.0,0.3813852956858385
207493.25810787932,83916202621.39073,289682.9346395654,845870.8799686353,1614108123002.451,1270475.5499427964,264407.40987074206,185879451568.4276,431137.39291370637,635849.4118991207,1356272920642.2703,1164591.3105644702,76712451.03147441,0.3161430764326095,0.30675265364654036,1.0,0.26981954227211846
241596.21749141286,116310800657.54118,341043.69317954144,911465.354473955,1992868690028.777,1411690.0120170778,199483.38277065608,68514136043.78714,261752.0506964313,542198.4577315919,911184121547.0842,954559.6479775815,89839823.93099359,0.32504013788124436,0.3003845796335735,1.0,0.3557313950060405
243666.19956697914,116087144256.4999,340715.6354740708,803539.7058824073,1885814288621.261,1373249.5361809742,347147.410673175,201844116337.64917,449270.6493169225,700008.274964586,1779461838885.1887,1333964.7067614603,75280634.25906684,0.29729816667935804,0.3162284084193056,1.0,0.26434967808849025
273856.903716663,157947464250.68494,397426.0487822671,736461.8529537645,1653296742173.808,1285805.872662669,272417.68006095727,125724113923.14201,354575.96354398027,667469.5395176029,1406570213197.5034,1185989.1286169125,68513377.044916,0.303119984010723,0.31017787122851703,1.0,0.31095322717116397
298808.3534244828,259547494928.4321,509458.0404002199,766693.5044438204,1100472179694.0024,1049033.926855563,300649.57472156256,175819057817.8048,419307.83181071735,596200.4113327505,766533931647.3896,875519.2354525339,64450391.79384354,0.3223359879473407,0.3003667743087646,1.0,0.3308718821242257
190149.66306567242,70969330555.53497,266400.6954862073,814741.402205472,1525361746894.6555,1235055.36187438,228651.6241038798,113417090262.68861,336774.5392138316,611883.340872718,1437846161653.3303,1199102.2315271248,80469993.25584792,0.31437025201776725,0.3039779948266917,1.0,0.2989324256321844
229475.9040576643,102290176215.87437,319828.3543025452,686175.6014343128,1090086727833.4994,1044072.185164177,304431.5914505521,179309066319.16592,423449.012655793,576774.9442090262,787624802280.4086,887482.2827980334,63939059.21651652,0.32537184599551555,0.29799558649255375,1.0,0.24028194716582912
