source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
186387.25672071008,85137178223.20529,291782.75861195993,535467.9137894949,1188190090864.0857,1090041.3253010574,373166.5627306295,267926489639.03543,517616.16052731144,529869.7107366906,1189718965784.322,1090742.3920359574,,,,,
190904.55103195246,102674790855.22377,320429.07304928463,461311.8756123481,562667748797.7657,750111.82419541,300824.28194689035,237924839580.09448,487775.3987032295,462117.10257271724,568979316952.2631,754307.1767869261,,,,,
168764.8220619945,63208704599.63999,251413.41372257765,671850.5576257899,1781056963211.3389,1334562.4613375496,468665.0170147691,801392110408.8282,895205.0661210694,674721.3837241194,1818594444824.3582,1348552.7223005996,,,,,
203647.84838636467,99949431962.78224,316147.80081914575,556108.0203772913,794890900601.0258,891566.543002274,425309.9267015785,331158420192.848,575463.6567089602,555140.4476909338,804062846505.1271,896695.5149353247,,,,,
210220.1594945086,109307553917.65591,330616.92926656967,744252.8115973811,2349057432897.8203,1532663.5093515539,538086.1081739985,584375776941.6965,764444.7507450728,742655.7858447902,2379877295662.273,1542685.0928372494,,,,,
206472.26632443143,87839833768.30675,296377.8564068287,624872.0348544583,1543213475975.709,1242261.436242673,433242.4806690782,328356183638.42126,573023.7199614177,624691.297046852,1516611169885.392,1231507.681618508,,,,,
188262.52367754534,95587228599.99864,309171.84315522434,542960.1676842505,1546882720759.4424,1243737.4002414828,469708.70131152053,651157334899.8367,806943.2042590338,537848.0255824478,1565435903685.2144,1251173.8103417982,,,,,
233463.391949074,263827819979.69287,513641.72336337017,571268.9875634327,1497887091257.73,1223881.9760327097,404110.88404083543,382958845015.27344,618836.6868692203,565282.7059641801,1495727668548.1047,1222999.4556614098,,,,,
218657.06153531763,234536976256.32758,484290.17774091556,612211.0762622725,1065849114781.8883,1032399.6875153965,314464.96994765993,174099487906.7612,417252.30725157313,617600.5173917685,1066750174069.9058,1032835.9860451735,,,,,
261809.08814561236,255301999778.93927,505274.1827749952,595098.5423680207,1046652157948.5983,1023060.1927299284,532554.7279175502,597094835694.2736,772719.1182404339,585339.5121513798,1039623858288.8378,1019619.4673940067,,,,,
222657.33626579505,113998381902.1656,337636.464118089,455713.65218134865,629280832495.7488,793272.2310126259,284997.58594781876,158311401940.57486,397883.65377403336,459727.39550184,639553326784.2909,799720.7805129807,,,,,
221204.12629893713,122126487441.14537,349466.00326948165,795708.6489584565,2354678614778.198,1534496.2087858666,456290.2306573377,467894460216.3466,684028.1136154761,782509.9555168055,2370731205659.831,1539717.898077382,,,,,
193782.142158896,92131652736.50275,303531.9632864103,560061.3017108034,1029182746681.1992,1014486.4447991403,385042.9417273264,244442664528.33524,494411.4324409734,557085.6466418137,1026665631946.822,1013245.099641159,,,,,
249020.8169797057,261643146104.5699,511510.6510177182,546341.386625256,839476061084.7489,916229.2622945138,325372.16430733376,211389606216.47278,459771.25423026696,546661.1528835498,835666597691.3439,914148.0173863224,,,,,
172993.3877960643,60461329152.299835,245888.85528282862,527593.0226201824,1223406834491.7546,1106077.2280866082,404735.36677228066,332996179688.7649,577058.2116985815,516593.5625446668,1196285017826.001,1093748.151004609,,,,,
248394.55225020522,247765918392.8673,497760.9048457576,543672.8234812133,1023327832072.0906,1011596.674605097,421564.91889955406,443182179469.1716,665719.2948001219,542848.1598258713,1024322776225.3196,1012088.3243202243,,,,,
179551.4944076795,72374534827.55254,269025.156495731,968476.4662277651,2691449239362.4375,1640563.6956127116,591254.0612576302,567926696280.3243,753609.1137189919,973310.1211718092,2746585734264.6313,1657282.6356010104,,,,,
193345.485556827,101668193053.24893,318854.50138464244,743024.610595394,2317435755219.8486,1522312.63386331,577064.0561765502,859150497318.9626,926903.7152363575,734185.4834527671,2338686350966.077,1529276.41417962,,,,,
181007.3364993195,87719410836.74495,296174.6289551908,659211.9243757789,1696679988678.0566,1302566.692602746,485098.2471748076,444829383522.3678,666955.3084895328,660854.2047405924,1706054914695.7107,1306160.3709712336,,,,,
212406.48245547918,112693702991.02165,335698.8278070414,531991.9317359369,774835886527.0194,880247.6279587577,313529.392852895,163632477746.87103,404515.11436146736,527124.9103968788,763114011039.4888,873563.970776891,,,,,
250505.45681285157,125074738232.58307,353659.07062110404,538052.6959191615,901165283326.2778,949297.2576207507,272804.0984963768,127909996351.22412,357645.0703577838,536401.2406109142,892630373537.3734,944791.179857948,,,,,
263750.54317941674,142383036839.3132,377336.76846990833,517065.735143182,850003820364.9832,921956.5176107727,242445.22932008677,105019823178.83629,324067.6213058569,514036.1607127709,838216517160.7543,915541.652335247,,,,,
260271.65000759866,278903682326.2157,528113.3233750268,487881.7965367787,727310996955.6947,852825.3027177927,324778.73783090344,316761666903.2461,562815.837466614,475491.85047094594,715164736499.1306,845674.1313881669,,,,,
