source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
379499.95996000164,254129577783.158,504112.6637797924,1040045.0875628617,2144691777115.5383,1464476.6222495798,306840.50989531324,176942904310.18454,420645.8181299138,738244.1880602428,1481068632435.8728,1216991.6320319844,,,,,
297263.9097288488,157615787738.03098,397008.54869641154,1317573.6501310598,3026597324668.294,1739711.8510455384,315738.66467311484,230654337224.21622,480264.8615339417,794607.6201767093,1789410661202.0066,1337688.551644966,,,,,
336492.0843456126,238469162184.3416,488333.0443297296,1003097.4556309464,3049556027079.3643,1746297.8059538885,595870.4549441453,1022113702645.9393,1010996.3910152891,726556.6350967552,2781135658231.786,1667673.7265519854,,,,,
252636.10857332256,119633857251.24217,345881.2762368645,1152943.7998486503,3770924731002.07,1941886.899642219,471020.0657772789,487262061595.7537,698041.5901618998,966961.1887197004,3234960705435.5566,1798599.6512385842,,,,,
162460.15678008256,52532877406.79195,229200.51790253868,688672.0529657459,842080015327.0809,917649.178786251,218411.4874686002,82626996717.77217,287449.12022438366,515138.04133232555,687643844295.4589,829242.9344260093,,,,,
261429.75788340755,174208630227.52246,417383.0737194819,1203011.6067084612,3463797626770.8774,1861128.0522228656,554659.7368060959,1030816311878.9548,1015291.2448548716,867692.6519106749,2533899163685.668,1591822.5917751223,,,,,
267517.0540647532,124529587237.43303,352887.4994065857,856706.4373963737,1301414053142.7937,1140795.3598883515,300213.89431277086,232162336473.91785,481832.2700628486,652054.7471436978,1055948450615.3455,1027593.5240236508,,,,,
252723.36325237466,188136942230.00177,433747.5558778421,1075363.6809199566,2956987892901.2075,1719589.454754014,401916.0475153785,421724254206.01117,649402.9983038354,722012.5742741807,1929028551985.781,1388894.7231470717,,,,,
322522.29233722633,184241466810.27655,429233.5807113378,1165219.8223138037,2504543791409.522,1582575.0507983884,200434.0302048482,71994760018.71083,268318.39299367985,606574.9886168336,1175225337002.3467,1084078.104659598,,,,,
326245.0886586702,219868773399.0422,468901.667089212,769786.1687681387,1326578214938.2458,1151771.7720704244,305584.25622725615,236198203504.70203,486002.2669748589,539097.6745551783,1012764360716.6445,1006361.9431976969,,,,,
