source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
379881.59997315606,279529660449.57764,528705.6463189869,1020143.049347225,2079583893675.7456,1442076.2440577634,733382.0158537689,1243905945865.7595,1115305.3150889936,98357792.14461456,1.372318385428352
279918.5211452352,140510327511.3812,374847.072165945,1313419.8480108234,3054236045956.5654,1747637.2752824211,762094.1157568591,1294936451730.8567,1137952.7458250877,121453867.6827,1.3846118601401676
316896.2337830474,224589397941.16132,473908.6388125472,984654.2296139221,2912064376645.6113,1706477.1831599774,826758.6557464938,2705721549951.4785,1644907.7633568025,95706893.33470814,1.4016909357674703
238213.376409844,108298861912.97906,329087.9242892073,1202777.4286620913,3865287491381.072,1966033.441063776,947141.1320745854,2927787615380.3794,1711077.9103770757,119879637.57412077,1.4001662198368974
171347.2781068632,60134265469.33287,245222.8893666594,635725.6336875389,822924456297.2007,907151.8375096865,481765.1073357398,571984138373.3939,756296.329736826,59536631.34773255,1.4520516755143913
263177.86926683347,169785207002.21912,412050.0054631951,1229828.0758585506,3418870007197.3105,1849018.6605865585,804597.0514743385,2171260081283.393,1473519.6236505955,108376825.51926765,1.4006398483329519
279045.1151881399,134411384571.98334,366621.582250668,831055.3148412104,1339457720758.9216,1157349.4376198235,536488.8787518832,658649079267.4415,811571.980336582,71072118.9734679,1.3870443747120407
251665.45531140076,186481803253.21964,431835.38906997844,1110082.2364044427,3040736449011.011,1743770.755865292,748008.9535195627,1897123713215.3816,1377361.1411737234,103298974.56376025,1.4043955733652682
329941.808679758,194470270992.639,440987.83542478696,1170868.9006131422,2414906477075.6055,1553996.9359929913,588442.0567933357,1149362118176.656,1072083.0742888614,114071093.26219675,1.4325202008924665
326887.4942748034,225828534903.95047,475214.19897131703,799639.4293529722,1359253766727.68,1165870.390192529,622128.1286868337,1005382136070.5319,1002687.4568231778,74708368.56374604,1.4628004532881884
230487.29927785048,96116407032.71335,310026.46182658884,1228437.4996735314,3890652945791.821,1972473.8137151075,761752.1286133867,2312315460654.233,1520629.9552008808,124546782.7890686,1.4351210096087206
221471.14309573793,99882375245.16377,316041.7302274555,972741.6861769827,2423592461588.7515,1556789.1512946612,817215.0180432888,2107475985637.6682,1451714.8430865023,95481036.16462728,1.3502021358097966
355854.8536824157,254277821094.7088,504259.676252929,1168980.1247136623,2326911325029.63,1525421.6876095703,631074.9236015829,691262087487.7126,831421.7266151472,112118371.8867733,1.427178932859149
348706.99532273907,297367109527.1694,545313.7716280136,1264660.2687955669,3404769573183.71,1845201.7703177368,858265.7437791649,2199029286524.495,1482912.4338694094,125106516.93030943,1.4310050129041731
252224.00095766207,126862869354.16472,356178.14272378467,809431.6071593272,1290125376160.6475,1135836.8615961745,615749.4473626363,961424309059.451,980522.4673914673,75979140.22706814,1.405604464630711
289923.8650647463,149542016786.91815,386706.62883757,1122364.6909580762,2616367957400.878,1617519.074818247,755531.3639534421,1367314602317.887,1169322.283341033,109283245.65168214,1.409523610604609
234543.10347738423,111345154462.49977,333684.21368488466,957038.1546818152,1726321691814.9634,1313895.616788093,600277.2529346236,715051742610.1714,845607.3217576651,90704947.09490295,1.307895288965152
302041.51076845516,174182814473.24655,417352.146841545,1000897.3757599693,2472068668077.4424,1572281.3577974658,725009.3315380182,1373932862760.0264,1172148.8227866061,91053531.1209746,1.4013279695045564
263946.54984848766,144233681171.34433,379781.09638493636,1213663.4677746037,3647514437516.254,1909846.7052400447,817501.83259177,1852076501221.2725,1360910.1738253236,116742717.43130171,1.3815847108096615
279485.2524529382,163123115528.97076,403885.02761178307,1113443.0922890916,4602746104332.555,2145401.1523098787,945366.3845738277,4324644025821.1426,2079577.8479828888,103859391.7815619,1.395108972734775
173924.52469123434,53496260497.90594,231292.58634445234,1197151.516393233,3141550380978.687,1772441.9259819733,795290.441992254,1475029215295.9812,1214507.8078365661,107533319.20668015,1.4312671878236323
