source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
279503.4601919175,163277576951.69876,404076.2019120883,651319.2259501498,993344423380.8616,996666.6560996518,644796.9844116174,986790001309.3871,993373.0423709851,61068972.99160081,
253949.53082225175,143679646085.981,379050.98085347435,551587.8086156258,654193329887.8883,808822.1868172808,547267.9241006211,639190584141.3175,799493.9550373834,43987478.98760304,
266192.5449358831,159141037903.05524,398924.8524510039,706821.4944639176,2199957410546.592,1483225.3404478335,699401.044335238,2203120212930.792,1484291.1483030517,70985949.34273265,
244950.36465921506,119681713735.94536,345950.4498276384,878369.9141232652,2739169444351.569,1655043.6382015941,874744.9988525301,2728630970636.5454,1651856.8251021472,82628443.0434869,
167616.3604985383,62217035029.266846,249433.42805098687,444932.9464133763,499384299902.60095,706671.281362559,432305.6463772653,473801534097.15765,688332.4299327743,40776021.07798815,
219772.515793063,141447150683.95078,376094.60336988454,687105.303852302,1906470286101.3906,1380749.8999099694,673362.7413636846,1898638806393.8882,1377911.0299267832,70380669.12084238,
261490.31089500556,157814810497.9828,397259.12261140434,480119.7822855374,546256699842.389,739091.8074518138,478698.5427331616,536026931424.19415,732138.6012389964,40608164.23604925,
182246.72692687716,76508518688.82455,276601.73298232345,676344.0489741466,1615863927450.6038,1271166.364977694,684369.1231188764,1633248220573.6428,1277986.0017127115,69428519.12343921,
302304.08623103873,197071081263.26248,443926.887294814,547941.7552460745,1033004419866.5529,1016368.2501271637,539363.2760727502,1009827298158.6003,1004901.6360612616,49426905.38070633,
274765.0305228935,164085254164.16833,405074.3810267052,564085.4060220135,811508330016.3701,900837.5713836375,555678.2405221204,782885725232.3302,884808.2985779068,48986025.55514473,
252110.727057897,127259313241.20323,356734.2333463432,690357.7635183265,2103102805868.666,1450207.8491956475,693758.9998531076,2099900595105.6875,1449103.3762660576,73886521.20674749,
210992.64880510312,91305085031.57283,302167.31297672295,678138.0165150656,1558850323517.5793,1248539.275921098,666470.3086107183,1522252057891.7922,1233795.7926220174,63031257.42666914,
290265.3058404078,184753702010.0539,429829.8523951703,555132.5944402869,500296985885.95416,707316.7507460531,558949.0681010908,506302888241.13617,711549.6386346747,46264250.97011098,
307344.4327802143,247315910886.39212,497308.66761639307,703743.9928078882,1278467768533.9788,1130693.490090917,691534.1164811611,1267945480202.5393,1126030.8522427524,62591661.803601526,
219866.28056040735,115662151944.6271,340091.38763665734,510080.6307760023,622938922973.1598,789264.7990206834,504496.36786628654,617523253501.821,785826.4779846891,41712641.50860719,
260594.98953526802,144030044792.29388,379512.9046452754,689537.9905917265,1063307518422.4102,1031168.035977847,666150.8958017637,1026049739887.7462,1012941.1334760506,61489211.60246713,
212714.76365321645,104299059266.94954,322953.64879027073,545637.3148939437,617643295843.3342,785902.8539478236,546448.4105656276,624577365201.4222,790302.072122693,43256834.624125205,
231949.1515499739,116777813988.63359,341727.689818419,611525.4731359656,1084460925348.7048,1041374.5365375057,604066.6286791314,1060865922158.9543,1029983.4572258694,57357710.89184455,
293974.18057396833,259557785663.58008,509468.1399887338,746951.9890154328,1666402443731.0515,1290892.1115767388,748255.9896881043,1662898885598.532,1289534.367746177,63251540.64879389,
213634.84809021122,94408933351.62445,307260.3673623145,906655.9168153373,3995358599816.287,1998839.313155584,906616.8616639047,3991514706318.9736,1997877.550381648,101386928.06778155,
166823.57213730487,56133930284.008125,236926.0017051909,709951.0588477149,1288228402910.7566,1135001.4990786384,703152.4812840607,1276701825257.5654,1129912.308658316,56469083.63697315,
299566.35518703586,169966045940.92947,412269.38516087935,868526.6812401931,3710349141652.8594,1926226.6589508255,858227.4760463827,3698339186378.618,1923106.6497671464,88229593.29661542,
263496.40218223736,161068951717.8635,401333.9653179924,815596.4323088446,2214245219102.483,1488034.0114064876,812772.0751814893,2207107589297.5464,1485633.7332255035,68768909.9164361,
228512.6400172241,97605162756.3439,312418.24971717625,900516.0353152833,2223984784549.995,1491303.0491989197,873372.1412487399,2210004926944.3286,1486608.5318416306,85366176.707474,
237436.13963890504,106718055798.02438,326677.29611655656,717500.2535773091,1552220481534.4507,1245881.4074920819,720644.1257201815,1542015520750.499,1241779.1755181348,60031077.13696463,
307313.23778274906,207480531822.3665,455500.30935485265,628122.076937828,1512337658389.848,1229771.384603597,609079.7517916156,1442380802381.5706,1200991.5913034405,60903071.392795995,
288796.90280540095,202669103322.072,450187.85337020364,520037.86065265466,618844926372.7244,786666.9729769544,500628.9524699891,574862092885.7861,758196.605693923,48317341.16826693,
206144.8523356069,108996935839.90714,330146.8398151149,916322.4343558799,2732677716631.1343,1653081.2794993278,916542.4649843652,2663092084944.458,1631898.3071700449,84243879.97905391,
194333.39600667448,84134319150.41327,290059.16491366597,980834.1547293714,3964027488447.53,1990986.5615939074,985871.2222315222,4019021993259.2495,2004749.8580269932,107158874.30526331,
282614.28069050476,206669878471.86713,454609.5890672205,765817.9777676836,1838268466824.539,1355827.5948012487,763805.338837228,1848854319889.1548,1359725.8252637386,58389754.64025551,
325677.8886763636,340821555274.79,583799.2422697977,572107.0755975732,774440119741.8843,880022.7950126544,576948.4101228152,782957649972.7036,884848.9418950015,50613878.2817209,
299077.8963913181,223695382337.71124,472964.46202406293,748504.2376944323,1588138774772.2288,1260213.7813768855,743085.1973339339,1582908803902.587,1258137.0370124977,66369240.325501144,
242059.04142300828,124878973156.07848,353382.1913397426,678507.4987240866,1079355269625.69,1038920.2421869014,671495.0718084695,1047139650348.3491,1023298.4170555279,58508401.95233489,
321600.09225729876,224222042098.4356,473520.89932592795,873682.5229385186,2196182793272.9082,1481952.3586380596,841806.9761067198,2161668501151.5059,1470261.3717130385,87951688.07327524,
223102.45496800027,127789220527.33412,357476.18176227366,750919.3465418811,1922856915788.117,1386671.1635381032,744117.4797929939,1907209087159.8538,1381017.4101581245,73164717.48243587,
255792.3916858234,131988174539.7559,363301.76787314966,659408.8606319414,1336432597397.4333,1156041.7801262345,658047.6002080266,1336716720557.3467,1156164.6597943334,60329239.67078704,
266677.42402249615,142152746461.3127,377031.4926651522,658716.7010751306,1469957867347.0093,1212418.1899604646,663465.3794475023,1528022402096.4148,1236132.0326309868,63053080.80738002,
222307.6754460038,163870003238.67816,404808.60074691864,662004.0711114211,1533012557444.6174,1238148.8430090372,661238.9108677428,1523587444530.1008,1234336.844030065,64697160.56342122,
293307.9709511136,174609516070.68445,417863.0350613517,674893.4316277277,1314918889774.829,1146699.1278338137,668096.3830867243,1317406779929.626,1147783.4203061247,67167900.47920857,
203915.0716774465,100332132543.55414,316752.47835424135,757415.2105835793,2967969469832.1157,1722779.5766818563,757314.7606116928,3006568319923.3843,1733945.8814863237,70205434.51678348,
245650.3434090285,138537217605.79797,372205.8806706283,607982.7638489797,1487645732008.3274,1219690.834600444,600710.4982690862,1462795859175.4033,1209460.9787733555,55742655.85897581,
344335.71960072033,447165894665.9994,668704.6393333902,637174.2087836687,1320853986276.1343,1149284.1190393846,611528.6813374254,1279095648023.7363,1130971.1083947883,60723910.39431016,
312830.0169209649,196164987174.73523,442905.16724772495,581510.0689222636,803538235062.4469,896402.942354858,586865.5574073067,813459382914.8528,901919.8317560451,51782719.758593105,
231305.45651016026,128411143062.96439,358345.00563418545,777551.9397774814,1912176846818.13,1382814.827378608,774513.7831490732,1907169814714.0137,1381003.1914206475,79376790.50100806,
194212.01457009185,93355946130.9544,305542.0529664524,610818.4759821988,993743111095.3654,996866.6465959052,599317.4874576246,982680559171.2003,991302.4559493436,54763229.16699199,
376355.6279015664,307915964956.05,554901.761536265,846274.0527994358,2381552721937.8223,1543228.0200728024,848628.1307416748,2394606492857.0386,1547451.6124444855,77022864.89309834,
339586.594485236,247189295817.80267,497181.3510358194,539187.966152551,682718944584.4137,826268.0827578987,527169.5910631052,667356690392.0581,816919.0231547176,46432732.28669077,
271812.9763825193,170001100175.76062,412311.8967186863,623363.9886706658,1083514721852.1562,1040920.1323118678,616632.4809046516,1075341751928.7712,1036986.8619846499,49959472.8462894,
