source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
371370.0618295192,218069115517.97903,466978.7099193913,754630.2359685539,1232556706375.435,1110205.7045320182,873821.6057474962,1477000280510.8506,1215319.0035998165,71794933.99392019,
325971.3651786866,199025684788.7712,446122.94806339114,729040.4459768614,1782963514761.7302,1335276.5686410177,773042.2557675525,1803444752490.4585,1342923.956332025,56546219.63524381,
263576.7772834844,116144872610.34079,340800.341270869,767063.1624255887,2164776952085.7566,1471318.1002372522,812254.2288124248,2311690610584.8413,1520424.4836836986,73891781.77914742,
409148.6225926798,476584683725.98724,690351.1307486845,1034567.3494200708,5028847131862.987,2242509.115224058,1201427.9738782477,5043899322735.949,2245862.712352638,101625104.72771583,
259870.83880252528,129908810581.19121,360428.6483913164,607752.6541986779,895616526505.8298,946370.1847088325,654916.2545446353,921255744964.6808,959820.6837553985,50780330.06954292,
271577.0671069959,125035167343.27568,353603.1212295441,784482.7371593453,2400447483104.631,1549337.7563025535,932169.8284752985,2820489781052.0005,1679431.38622928,84878869.42792284,
355949.69484432123,277377470893.6788,526666.3753209225,819749.1254929459,2255712831527.9478,1501903.0699509033,961542.1087242633,2753701121326.0796,1659427.9500255743,80742795.98663038,
460349.18057777645,562148376026.8668,749765.5473725549,1030912.3659816384,3704578311950.7393,1924728.1137736673,1140913.1057520038,3909442579267.6846,1977231.038413995,110700417.4090015,
360079.03408879816,272394658401.17484,521914.4167401154,897817.2665257566,2012681082142.1084,1418689.91754439,1059948.4800733496,2311921486809.0957,1520500.4067112564,81571776.85518435,
299779.23018906673,207168508550.37668,455157.67438369826,664872.5475675716,1275014689781.2874,1129165.4837893723,936147.7132813637,1905592027078.368,1380431.8263059454,61422816.42354715,
289971.64328135387,147016266578.10635,383427.00293290033,534399.3746512638,984651092911.7228,992295.869643587,623338.3597366776,1068923905768.2524,1033887.7626552373,49273295.5246701,
311930.42932492535,203946826571.2127,451604.7238141035,701050.5217058767,1053880275898.5776,1026586.7113393674,881258.318695561,1563610154843.8352,1250443.9830891406,64612114.431245886,
422760.546859328,323627039247.0333,568882.2718691744,715317.7750312168,1085098868946.5642,1041680.7903319347,998634.149586998,1817809887264.7625,1348261.8021974673,64026355.76005432,
368991.43709132413,290055316094.06757,538567.8379685029,691410.4563216502,1557801123948.7793,1248119.0343668265,839715.8060246349,1911844799462.6443,1382694.7600474388,66249873.54659768,
278607.8567530686,139813983755.88654,373917.0813908968,920900.4296573304,4187994664696.1577,2046459.0552210317,1020202.1379697843,4266151478906.533,2065466.4071116077,83371631.2402496,
349524.628077054,214096337306.35544,462705.4541566972,719821.2350639612,1833183498728.8025,1353951.069547494,870162.467720614,2144820633579.4065,1464520.6156211686,68346216.55312492,
214745.17995455573,77834399100.01291,278988.17017933377,1096061.6373224063,4689618642500.94,2165552.7337150993,1315338.1341479712,5670749503507.607,2381333.5557010085,104540357.02352372,
275157.1552294281,138997535790.16525,372823.7328687181,623991.4701975231,888509533113.9052,942607.8363316874,750485.8718218361,1196717408690.6584,1093945.7978760458,59802292.64750495,
336684.0529899278,196975233283.04602,443818.9194739742,613340.6544947884,728457856087.2778,853497.425940628,749433.8374801029,1078212894631.0251,1038370.3070827022,57303497.7039658,
329666.0897108274,196908343684.23746,443743.5562171438,780624.3693902986,1785604231713.7588,1336265.0304912415,832642.3417284254,1802727508414.1763,1342656.8840974139,70731724.86600587,
348340.3605560835,250813540955.67215,500812.8801814827,905501.0897222953,3082658484507.2036,1755750.12017861,993468.2190300555,3310199852169.1914,1819395.4633804031,86639150.97146596,
257350.27062328506,106131015985.88333,325777.55598856614,700207.4815108712,1155469852934.6086,1074927.8361520872,807453.2437086612,1518577697381.9844,1232305.8457144413,62792342.211294614,
403597.0164694703,308820397029.5931,555716.1119039047,1101375.0248194847,5053130418276.95,2247916.9064440415,1280833.8429678057,5292215616794.749,2300481.605402388,119227953.27996725,
279932.52196668,142946912414.06033,378083.20832068217,844660.469609518,2012300559958.5781,1418555.800791276,869111.5359075643,2007786617576.4072,1416963.873066779,73835435.62590991,
629009.2813856862,1482642200549.7756,1217637.95955521,890120.4521392402,2080733714223.8918,1442474.8573974841,1247546.900702391,3109124219526.56,1763270.8865986983,82156467.42298801,
308843.1224630477,193375870771.93964,439745.2339388565,712641.6745531089,2274015977838.091,1507984.0774484626,800539.5580650509,2246613231496.4873,1498870.6520232116,68495737.73249651,
361628.13146343926,295557685933.00183,543652.173667136,800829.0689432116,1868328281757.182,1366868.0557234418,875245.420337465,1874416307437.1553,1369093.2427841267,77149452.99435371,
324354.25211929285,214742589245.66953,463403.26848833245,763066.4181908775,2072399975939.8406,1439583.2646776082,803515.4492818941,2210193838840.8535,1486672.0683596814,71142815.56974141,
347387.4407427726,237049981386.80487,486877.78896434046,864610.9265280059,2502091976170.181,1581800.2327001286,1044749.2246899072,2933687458307.417,1712801.0562547587,81704982.53361319,
351969.4630631329,201684699634.929,449093.1970481506,788269.758820801,2029520578125.3303,1424612.4308475377,965723.4559269627,2650414548773.449,1628009.3822743925,71130488.59633537,
329821.7311465789,241611053416.93817,491539.47289809614,749005.9966739047,1739383404811.3296,1318856.8553149845,889462.2537087372,1971044779411.9778,1403939.0226829576,68984350.17295335,
509368.673492385,472313090903.7785,687250.3844333435,936283.0736773191,2402508900387.072,1550002.8710899446,1905722.8524540323,7740383961143.318,2782154.553784408,84319152.17745166,
289885.00545676873,146731192125.12115,383055.0771431194,755469.4554357311,1236491913269.238,1111976.5794607538,931433.3488943123,1609189524037.7822,1268538.3415718195,65260714.54361418,
374686.17571487365,271587982632.36942,521141.0390982171,1012321.6761391222,3290011759305.862,1813838.9562764005,1160698.7016862088,3802585543998.43,1950021.93423521,93382347.74082701,
292751.3184914538,159550288072.76862,399437.4645332716,746111.215053172,1634578550848.2993,1278506.374973664,891704.7719541016,2103832150646.3425,1450459.2895515347,68902730.93487,
354544.12773347215,293000809968.9548,541295.492285826,815393.7160047083,2096616616538.0334,1447969.8258382436,882970.4689224843,2376497380578.699,1541589.2386036883,80097238.06732212,
296336.599511036,165993401716.80762,407422.87824422383,1047827.9980946126,4519508086775.409,2125913.471140208,1157716.524133739,4524297841908.054,2127039.6897820346,96212418.39808449,
228345.33266059528,96239706507.03207,310225.2512401788,822764.4870624259,3142794089206.0312,1772792.7372386293,909008.6087512984,3338919646003.4863,1827271.0926415615,82439979.0408962,
291231.11768275494,160133534948.9577,400166.88387341314,686633.4021798901,1073075176244.2104,1035893.4193459337,783894.609743642,1506250980632.19,1227294.1703732605,61414024.6060085,
342117.04415561404,232829815580.69815,482524.41967293026,846685.1125416049,1757792867027.4622,1325817.810646494,1004512.076989697,2133238142676.6006,1460560.900023207,74546428.22800884,
308011.00746667373,202202053731.09537,449668.8267281771,769435.2630499206,1970253353079.31,1403657.135157767,881902.0086929948,2440345055626.962,1562160.3808914633,66420327.689891405,
302233.4706650062,152932148523.8592,391065.4018496896,1041469.9380398056,5289681484319.126,2299930.756418359,1058224.8017898418,5251820256004.408,2291685.0254789395,110861182.42395516,
333170.08383866237,205575231236.83514,453404.0485448218,1028268.1399401098,3203853354831.695,1789931.1033756842,1257519.466159711,3774890122016.0996,1942907.646291017,87032148.31741166,
306402.1040327532,167558889604.13928,409339.5773732846,851449.9849056336,3161943514629.1846,1778185.4556342498,870652.5074425405,3162758989831.5576,1778414.740669779,83953755.3490581,
296617.3534306828,138915306543.04074,372713.43756704126,704118.35454029,1359926808884.43,1166158.9981149354,809996.0188131871,1618441561945.5515,1272179.8465411845,65624308.48881705,
