source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
317528.55466540233,197537069677.0065,444451.4255540267,726502.988868319,1134314117429.4211,1065041.838346936,414953.12478579226,399541891453.368,632093.2616737565,721465.3277053951,1123688153683.5386,1060041.5811106367,,,,,
263728.6241154541,130330457618.19438,361013.0989565259,677121.5152572549,1649024064948.4553,1284143.3194735139,504828.96577293496,464183906047.5185,681310.4329507353,675024.6721048563,1641661701161.0444,1281273.4685308381,,,,,
247762.71440029462,125806422915.60808,354692.0113501403,751375.5023391298,2072869819038.3472,1439746.442620487,646549.1612910029,877311061743.8817,936648.8465502328,750050.9958638459,2075397483548.3816,1440623.9910359613,,,,,
321875.3895239076,202337411577.6164,449819.3099207907,1049868.8248488232,5101584668719.506,2258668.782429045,993141.062913026,2371926027826.9043,1540105.8495528495,1036440.7010644857,5043295656002.021,2245728.3130427916,,,,,
217930.05898497798,126190924356.68752,355233.6194065639,612377.9665986035,923042404868.8491,960750.9588175539,533505.681926795,509651966777.1023,713899.1292732485,610679.8003969115,922051172410.561,960234.9568780346,,,,,
253986.93910701602,138284955397.6327,371866.8517058662,770370.6788270515,2289233465801.133,1513021.3038160212,608565.3428489248,1199947354344.9841,1095421.0854027707,770428.8749212783,2291089438421.9395,1513634.5128273005,,,,,
279254.87197547813,172100333265.03516,414849.7719235665,774323.8846681975,2111633882483.6987,1453146.2013451017,717529.6935759087,1454831415932.7024,1206163.9258130307,770333.8615261603,2105399873612.1475,1450999.6118580278,,,,,
450457.2916532021,445570738828.393,667510.8529667462,1082075.3361913438,3878568274357.293,1969408.1025418,1011314.1869559773,2906970399971.277,1704983.9881861873,1065731.490422343,3870909016728.3975,1967462.5833108993,,,,,
284331.7691842479,190519081436.30136,436484.9154739501,861386.4969807391,1913143602234.3625,1383164.3438992933,612188.527860345,1144843173470.7048,1069973.445217546,853198.7903444191,1890531663032.453,1374966.0588656191,,,,,
216187.49799534213,114540036210.21088,338437.6400612244,640867.1850701534,1325706539911.2078,1151393.3037460344,453992.83225275157,809956891830.2985,899976.050698183,630732.4397673414,1312539520121.3635,1145661.171604137,,,,,
276338.00874397426,147489486657.333,384043.5999432005,558436.3832289649,1016017088248.1306,1007976.7300132135,478196.7797623972,564489963834.0017,751325.4713065448,560528.806541784,1018221064791.939,1009069.4053393647,,,,,
276347.52039769536,197606781159.0221,444529.8428216289,721572.8259434621,1103698989908.29,1050570.7924306148,397748.50253323495,445043023953.0546,667115.4502431004,709516.7455618446,1076261862244.784,1037430.4132060058,,,,,
352280.5409894542,239536491221.32953,489424.6532627157,745439.3499033895,1073729017181.0408,1036208.9640516727,541696.0242823871,745373455184.0094,863350.1347564668,734213.5752887708,1061608981689.6077,1030344.1083878762,,,,,
337677.20936260244,245901234402.20276,495884.29537766444,668278.3123092946,1507233334441.9468,1227694.31636786,496928.7809771108,774280800835.1229,879932.2705953697,670867.6791314856,1508074757174.0344,1228036.9526907708,,,,,
237911.5675740123,121944802894.08833,349205.96056494844,916065.454761142,4298997087432.502,2073402.2975371908,954093.0100979018,2368762819352.741,1539078.5617871303,909334.5631801863,4263044043979.7217,2064714.0344318198,,,,,
307991.13544400834,199073310609.48816,446176.3223317528,690192.3194164183,1717108959108.0625,1310385.0423093445,400398.70277310046,631197378047.267,794479.3125357431,682419.5586912956,1682834688324.0415,1297241.1835599584,,,,,
184041.33219043587,61596540806.54506,248186.50407817317,1013357.3643259985,4449090399840.295,2109286.7040400873,1119634.6779334336,3169164565042.925,1780214.7525068219,1010432.9113378696,4453250765458.965,2110272.675617766,,,,,
280551.94603234914,173801931760.6341,416895.58855981444,586527.471490059,753398824878.6019,867985.4980808158,375855.8583333146,299876521143.9265,547609.825645894,586281.6304555489,748191170840.3611,864980.4453514317,,,,,
277167.35500201565,167915167879.59033,409774.5329807482,584576.0132573956,656519126678.7296,810258.6788666503,370265.0291678161,283575112154.67426,532517.7106488331,567341.0957669517,635897228567.4281,797431.6450752554,,,,,
298292.54250039224,229864881491.65964,479442.260852816,793570.7971477206,1872267587658.7625,1368308.294083889,557964.4747219249,767957039217.3551,876331.5806344965,787012.8741108952,1830708938546.6838,1353036.9317009363,,,,,
302431.0334061075,177701993931.48776,421547.14318980713,866453.9707089626,2922601446936.111,1709561.7704359533,778716.9531675423,1899672398567.3289,1378286.0365567552,864186.2237273969,2910977614485.168,1706158.7307414184,,,,,
237643.84168280897,106422846256.75145,326225.1465732699,659615.89750507,1076226345058.9231,1037413.2952005788,370528.98077234946,320474898688.2043,566105.0244329264,657959.9605567757,1073034899060.5386,1035873.9783682852,,,,,
391493.4531615053,366170409040.89075,605120.160828319,1143768.7901204263,5439834936729.428,2332345.372522995,1058048.1443018424,3287034560539.9805,1813018.0805882716,1135660.224128163,5404452189364.622,2324747.7689772327,,,,,
235449.52946132937,129425613189.90144,359757.71456620836,812893.147928339,2026795156847.897,1423655.5611691675,709918.5937002833,1527219559741.1438,1235807.2502381364,814329.2668408069,2030723611102.9485,1425034.5999669442,,,,,
561858.2950297386,1948060699126.5024,1395729.450547814,804617.4185463007,1839039869476.633,1356112.0416383864,537134.9522013572,621652923240.1187,788449.6960745933,805782.8780699155,1829793839041.8394,1352698.7244179095,,,,,
299528.2797074096,186984872817.31906,432417.4751525649,697948.9169434862,2370919483065.1133,1539779.0370910733,563069.117263103,1931237383114.7139,1389689.6715147283,693915.6803102717,2368259972074.2944,1538915.1932690425,,,,,
343074.63137228624,349175583114.4785,590910.8080873784,797114.7193823224,1960698563707.6562,1400249.464812487,592667.6569585482,1018252702951.8336,1009085.0821173771,797238.7799662708,1965509742917.7634,1401966.3843750902,,,,,
309212.25173683563,256904799948.42532,506857.77092634706,755976.8656176497,2033409584638.8574,1425976.712516322,607461.6248507672,1559136665008.9956,1248653.9412539392,753497.4736593968,2028297941536.7122,1424183.254197546,,,,,
295534.06298097124,194624615585.99295,441162.7994130885,849453.4351308058,2632422150797.512,1622474.0832437084,835152.9144687811,1678261339353.8083,1295477.2631558643,846947.126295485,2630508394771.544,1621884.2112714285,,,,,
232257.17316571175,120050187934.13281,346482.59398436284,761425.4164891939,1939180098592.0957,1392544.4691614325,660348.2217856747,1019791288320.3394,1009847.1608715545,753984.4808100596,1931083478427.2178,1389634.2966504598,,,,,
317784.99920923426,238783612281.2751,488654.9010101864,693222.8276960579,1641759633643.295,1281311.6848149379,587501.8434404993,832024401650.9792,912153.716021033,690306.6782013269,1636173672941.009,1279130.0453593486,,,,,
328904.3502750261,289420869635.6314,537978.502949357,772454.7326339057,1775935483843.294,1332642.2940321586,651117.0612936275,1175021259161.5437,1083983.9755095753,754651.9301078339,1785717129576.962,1336307.2736376773,,,,,
280971.92022989626,173768729100.51407,416855.7653439785,696684.3654501993,1150958440551.9534,1072827.3116172766,520473.0799128932,437672662087.57086,661568.3351609044,699860.4174683056,1159983396540.522,1077025.2534367624,,,,,
314922.1075949787,260681087087.48093,510569.37539131835,946358.8770281135,3094339249718.594,1759073.406574778,803438.8446569638,2039291654971.532,1428037.6938202758,950411.6455239854,3097162775876.611,1759875.784217912,,,,,
282635.16205688444,175811095540.03912,419298.33715391613,700383.8301457855,1499378429712.8516,1224491.0900912476,471463.94376523816,395427902573.52423,628830.5833636944,695731.3134403543,1494307166324.4092,1222418.57247197,,,,,
344714.19594197074,331855938748.5476,576069.3870954675,802880.6245307534,2079928468507.9622,1442195.7108894626,634211.0705398829,1452020925210.1086,1204998.3092146264,798664.5989672109,2072870757488.6978,1439746.7685286526,,,,,
279626.1485527599,177828964529.80637,421697.7170080559,1043325.2122013958,4598371901847.972,2144381.473023858,959560.720391637,2510623776267.754,1584494.8015906375,1040584.410518482,4588563990450.007,2142093.3664175346,,,,,
214037.94751677767,93031938114.5888,305011.3737462733,793322.1983442795,3087578093234.9067,1757150.5607758565,748383.2781649177,2483765742943.699,1575996.745854413,793908.1369204362,3088714753685.794,1757473.9695613685,,,,,
241769.3669952101,164538225840.84186,405633.1172880758,653471.0725754279,935520228229.917,967222.9464967821,328804.39386873576,293431957868.3471,541693.6014652075,642353.1396761071,926107375425.7551,962344.7279565443,,,,,
315665.6895518381,236421546724.7627,486231.98858647986,813332.8111712165,1772897960928.3884,1331502.1445451707,597075.887022927,639776095663.823,799860.0475482089,818625.5946607835,1787337220240.416,1336913.3181475962,,,,,
264563.37774840003,205431079688.33673,453245.054786411,778035.6084869393,1862785344307.0032,1364838.944457185,625948.0386302195,1011671717483.8022,1005818.9287758518,774511.3906089785,1870363366435.2622,1367612.2865912188,,,,,
300156.5413334195,170766280656.79987,413238.7695470984,1043293.7120430572,5357665298060.747,2314663.1068172203,1025071.1271699623,1964524292315.475,1401614.8873051666,1045234.7863166064,5362458751154.673,2315698.329047778,,,,,
249111.06108425462,120232762640.29593,346745.9626878097,906497.7281254649,2864381737926.4727,1692448.4446878943,780195.2243757881,2007788781113.6157,1416964.6365077768,895013.43250635,2857605181182.7725,1690445.2612204787,,,,,
294843.4842930101,222855784289.09314,472076.0365545927,842270.5211389737,3086542427985.101,1756855.8358570861,712448.6906544105,1673846299920.5635,1293772.120553138,844610.957046703,3099713344528.635,1760600.2796002943,,,,,
303104.43326097244,163170080891.96887,403943.1654230195,662374.7461221964,1290341474446.1682,1135931.9849560396,552687.7586668837,805687997046.869,897601.246125956,656908.5919045235,1283998054754.0237,1133136.3795916287,,,,,
260416.3308012743,133495662370.9766,365370.5822462676,836805.60834398,2165840873040.378,1471679.6095075782,574713.8091718187,881113177929.6351,938676.2902777693,833473.6932915471,2151588214884.8752,1466829.3066628017,,,,,
323177.83305637963,230750730342.92996,480365.2051751146,740070.452530694,1416757146000.2878,1190276.0797396072,603954.166482338,899631170454.9934,948488.8878922059,735919.5468226707,1407418378607.1165,1186346.6519559603,,,,,
388397.37041262066,355562734344.11523,596290.8135667656,729946.030899837,1360724029624.8108,1166500.7628050703,543650.000482387,898688210996.3757,947991.6724298667,732961.9116787941,1364932713860.8442,1168303.348390667,,,,,
255119.77943009778,155417830784.55215,394230.6821957826,699294.1304832831,1371641366222.782,1171170.9380883654,429599.3290383995,390195570551.68134,624656.3619716695,694886.878370476,1355023881757.6223,1164054.9307303424,,,,,
304474.59607401275,182791051221.71143,427540.70124575443,678310.6152905666,1230032807915.0295,1109068.4414926923,430891.61097517685,663110137169.826,814315.7478336189,673911.8635078978,1217795967385.8525,1103537.9320104283,,,,,
263476.88500393316,136986851157.30392,370117.34781999065,635758.34834475,835202037029.2705,913893.8871823525,370397.3286071176,385238540224.98883,620675.8737255612,630398.9038769428,822538173686.2744,906938.9029511715,,,,,
277490.56146804075,166263549862.00754,407754.2763258376,965490.1125659039,4698670526590.018,2167641.6970039164,1057887.1787263835,3275678365484.6133,1809883.5226291812,953330.0391877758,4665777825029.26,2160041.162809001,,,,,
263345.35856661265,131281041669.10686,362327.25769545254,846665.5323888975,1845856412996.8674,1358622.9841265264,712885.4387257723,1234713436930.7463,1111176.6002444194,845634.0337723093,1845525841692.7927,1358501.321932663,,,,,
286136.1910976525,169176933966.11395,411311.23734480434,850398.8644091876,2581070153498.024,1606570.930117318,801294.638249589,1794311949081.8335,1339519.2977638782,861131.639591793,2632089650612.865,1622371.6129829397,,,,,
317633.9775964351,492238780672.7672,701597.3066316369,818058.7924918166,1858251203654.3035,1363176.8790785382,622434.0393674523,1122807926776.378,1059626.314686634,813028.9242213847,1864095329075.7065,1365318.764639125,,,,,
