source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
254807.32008905668,112341002214.66823,335173.0929156877,959088.688243625,2075764473083.4775,1440751.357134005,939014.9745044976,1874410549068.625,1369091.139796261,90490956.90416566,
314724.89301216736,267474604995.2825,517179.4707790348,1468168.6077451888,4042702337139.5186,2010647.243337209,1435331.0472251514,4574221251187.0625,2138742.9137666505,146752976.54138184,
327616.5701738915,311336055802.34155,557974.9598345265,1382927.9487090514,4422614629763.327,2103001.33850726,1590434.4054330909,4607593893403.083,2146530.6644450906,137164458.26150924,
290245.21127626376,205686615672.00818,453526.86323084345,1136502.2332389066,3015415875567.1445,1736495.2852130479,1015245.2932615029,3150846876045.3887,1775062.499194152,104608422.56424302,
302843.67428395996,216834712368.50665,465655.14317841124,1174763.858686456,4030461821881.2373,2007601.0116258753,1283249.749998237,4520820638887.331,2126222.151819356,117749410.16590726,
347659.0529986362,304882998157.6902,552162.1122077195,1346377.8064046889,3451122122744.8213,1857719.6028316063,1499922.9399964444,4067875595988.906,2016897.5174730385,127192308.00857152,
353243.900785377,268451751354.18268,518123.2974439411,1289879.346967261,3050751148214.9976,1746639.9595265756,990616.8468718064,2123702946167.3516,1457293.0200091372,119889247.21310054,
294984.3704296275,188451881807.56894,434110.4488578557,1048937.860462091,2629420272375.8936,1621548.7264883204,1185898.0946500546,4090822169909.9575,2022578.0998295115,98812650.51183566,
399103.42486372404,476348316715.8139,690179.9161927373,1118327.4265359177,4035611124351.5273,2008883.0539261182,1205711.4108574782,4238297697353.457,2058712.6310763862,119799850.42753857,
297814.61638301075,233292091774.0993,483003.20058370143,997772.9796140863,2398878621383.937,1548831.37280465,1133097.7966808947,2768653414751.863,1663927.1062014294,102295820.88362448,
388561.7283214758,364301285505.6212,603573.7614456258,916633.6608587672,1737131093442.7007,1318002.6909846205,1024581.0096367699,2338190848123.9014,1529114.3999465513,87215031.78970131,
343231.072224108,244379994107.16556,494348.0495634281,1110886.0838651878,3909920515772.0225,1977351.89477544,1140189.821692456,3930788435356.74,1982621.6067007694,107217560.59718116,
353197.2068046715,345229103997.4343,587562.0001305686,1240823.7219191308,2861742678995.083,1691668.607912047,1057077.4249431873,2292565115752.804,1514121.8959359925,125796059.13811986,
374764.04019603354,408249753146.29456,638944.2488561068,1347268.9754338549,5087203318905.351,2255482.945824541,1349809.440074824,5363795679213.176,2315986.977341016,133055864.31977776,
271785.452825183,167176790894.1573,408872.5851584541,1360364.7655779722,5950123226437.269,2439287.4423563266,1441386.2518723637,5892352018087.688,2427416.7376220524,145777830.21242753,
