source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
260351.15146738777,122079264378.58919,349398.43213527615,757029.7951075828,1236698776238.6418,1112069.5914548882,303998.2919638535,179431548167.55817,423593.61204763013,987700.7778083184,2148516753288.7815,1465781.9596682112,,,,,
325049.2898737171,289312450066.4789,537877.7278029635,806260.9632012717,1504932197963.2175,1226756.780280108,347244.49036142766,413992842514.8543,643422.7556706822,1447670.9123009979,3916362969895.0757,1978980.285373019,,,,,
330123.2778909075,315728042259.8972,561896.8252801374,933359.1783716732,2709868847488.754,1646167.9280950513,333430.6554327452,303716091139.3671,551104.4285245467,1449821.1463323534,4424391491194.389,2103423.7545474255,,,,,
299329.08099266526,216913181060.03806,465739.3917847599,793555.5189492055,2392873384490.6646,1546891.5231814622,391251.1278358177,369958987775.73474,608242.5402549009,1150536.078955189,3077604460746.2793,1754310.252135089,,,,,
304239.9092764441,203013403352.68652,450570.0870593681,924681.4640293703,3221243461934.36,1794782.2881715654,512416.39327462873,972203576591.919,986003.842077666,1210119.3161533063,3967006307197.838,1991734.4971651814,,,,,
377943.8686902301,356077230217.877,596722.0711670358,781346.1354014897,1336255400463.039,1155965.1380829092,368682.903926947,313820241368.0266,560196.6095649158,1341062.948851613,3497260409530.344,1870096.3637017063,,,,,
350387.27763548616,271021596095.92102,520597.34545608377,820993.6234452793,1572903488315.9077,1254154.4914068233,372241.73824792565,303484997127.457,550894.7241782744,1203676.1778364237,2788324206112.815,1669827.5977216375,,,,,
276530.19440066564,163080015608.9011,403831.667417132,870470.1036557533,2418480696714.456,1555146.5193718744,316657.74868201336,189768497508.06113,435624.2618450689,1090989.7310591561,2792807938830.7803,1671169.6319736007,,,,,
387823.4987110141,466977491665.33527,683357.5137988426,848652.3920603356,2769909708606.9854,1664304.5720681613,508794.6010769239,466838357400.85034,683255.7042578205,1089483.4135871127,3952478061750.9067,1988084.0177796579,,,,,
312443.08383255167,244483791670.82968,494453.02271381626,760228.6336509353,1515477836001.0242,1231047.4548127803,379851.3497086617,268980023517.4527,518632.84076256945,1052131.3355046376,2355020403989.805,1534607.5732869967,,,,,
386747.55579795514,367337402752.1065,606083.6598623217,628582.3175320486,1156821173472.1423,1075556.215858633,314445.5945412062,203353737303.19324,450947.5992875372,993223.103934384,2071626366192.4778,1439314.5473427544,,,,,
344937.59606804163,244967464868.8148,494941.88029385306,920398.6194578186,3148985767122.912,1774538.1841828346,472683.67616965814,1014871453265.7866,1007408.2852874432,1133007.2420076951,3952074074542.4746,1987982.4130365124,,,,,
354077.3184183516,330404660901.4714,574808.3688512819,824158.7367132659,1417636948289.425,1190645.6014656187,329154.15294685954,281242124420.1193,530322.6606700107,1235143.9376551574,2713699756684.012,1647331.1011099173,,,,,
379482.61918292264,409869013036.6104,640210.1319384209,938129.7289156568,3713064218196.9883,1926931.2956607945,721518.9806935227,1304502689597.541,1142148.2782885684,1395644.276785745,5072139329663.602,2252141.0545664323,,,,,
271608.3594156079,171228968212.55228,413798.22161598556,1078717.1355957761,5241451947172.923,2289421.749519499,657742.5338560565,852523850165.92,923322.181129599,1357328.5274786404,5652796137424.841,2377560.963976495,,,,,
252406.81874196592,135232116665.60855,367739.1965314665,860581.9482703902,3446339626130.54,1856431.961083018,547518.411476456,543803704057.1248,737430.4740496726,1338903.5276813677,4615283197223.243,2148321.018196127,,,,,
306698.1387944732,210836110056.16467,459168.934114847,645362.5996054837,784072954144.0366,885478.9405423691,230178.95331100363,120959132915.66896,347791.7953541586,870118.6954619478,1366338910177.88,1168905.0047706529,,,,,
313078.31222017383,205034150275.9131,452806.96800724376,948691.783469113,3377293441784.712,1837741.3968740846,297412.92988966266,214806301133.1803,463472.0068495834,1577594.3295625162,6127207184186.836,2475319.6125322557,,,,,
437229.7014762044,412519215795.5712,642276.5882356068,1009694.4502103918,2429543422657.4346,1558699.2726813708,407767.0438637448,319511924576.7046,565253.8585243842,1230262.39027283,3399315981110.709,1843723.4014652818,,,,,
347617.70703562145,251743774967.56754,501740.74477519514,846887.5002330128,1940759361981.3347,1393111.3961135107,496605.0938933221,575627602861.0336,758701.2606164785,1182277.1051624902,2853770569981.6265,1689310.678940267,,,,,
464871.0521747677,442172381466.1783,664960.4360156913,854923.5266058646,1555539959618.3997,1247212.8766246762,400314.5274817232,346788286688.8187,588887.3293668482,1272061.3492746726,3470271016986.17,1862866.3443699256,,,,,
331065.3683897124,184595723141.6776,429646.0440195832,845206.9909386471,2529879535656.0195,1590559.5039658276,373939.95688305446,313398718188.1814,559820.2552500056,1367288.447286605,4392243938093.8726,2095768.1021749217,,,,,
556012.3116223456,999589502644.8066,999794.7302545691,747311.2755392039,1581034835061.0483,1257392.0769040373,288753.53998959,145675392775.16144,381674.45916010864,1140253.1916990203,2617839085736.0127,1617973.7592853638,,,,,
381590.06410279113,257467314208.12793,507412.370964808,785481.1306186109,1258716651392.9287,1121925.4214933044,422258.48316560395,402096460564.2366,634110.7636401046,1317763.4419820989,3986761900406.919,1996687.7323224377,,,,,
374868.8897733974,251242896958.82318,501241.355994119,859107.6656555445,2199906334322.57,1483208.1223896295,410624.3752502038,394347903314.1051,627971.259942766,1130411.3062963428,3037043177011.826,1742711.4439894592,,,,,
328237.5796784175,319045015919.99207,564840.6995959056,656869.683190764,1138883078427.7988,1067184.6505773023,302429.7686248048,175061813199.16968,418403.8876482503,1079498.704400266,2608457947243.959,1615072.1182795395,,,,,
288567.6236738266,191263412011.35513,437336.726117708,754471.8232828492,2065200341839.9395,1437080.4924707382,516240.2420687905,649176761943.9374,805715.0625028289,975371.8786186087,2677038028903.4355,1636165.6483692094,,,,,
315321.56960420334,174079815021.2871,417228.73225760367,839618.0263966407,2585673221010.6074,1608002.8672271103,449971.7370522371,568564495784.9742,754032.1583228227,1368717.2472763425,4108274815306.109,2026887.9631854615,,,,,
374050.05494883447,353649686188.5569,594684.526609325,805147.1257537853,1629086433221.7927,1276356.7029720934,392706.6651235636,370764295067.07764,608904.1756032534,1395743.168920624,3988643334149.609,1997158.8154549976,,,,,
321591.07711689494,228547367105.94272,478066.2789885339,725872.0605779374,1155701322591.8496,1075035.4982938236,362976.94707731495,368736534855.42834,607236.8029487577,1301049.5364202925,2825763167122.4277,1681000.644593103,,,,,
317167.70028986275,280455339688.44305,529580.342996644,708252.7062880656,951881812424.8762,975644.3063047497,294745.91079563706,160830162109.58984,401036.36008420715,1313448.9747643762,3185115465554.91,1784689.1789762469,,,,,
300005.68148273777,190516929144.36765,436482.449984381,797229.9547006531,1952585839303.378,1397349.5766283318,326569.7352618869,191996263574.20676,438173.7823902826,1230211.5725923325,3352116458694.81,1830878.6029376197,,,,,
362138.43051157024,216620182729.78738,465424.7336893339,676481.1802185295,906087126449.386,951886.0890092816,277839.54106804123,149872142292.20688,387133.235840333,1128078.4337463605,2103199485047.5513,1450241.1816823957,,,,,
322462.4488386972,270958012641.33722,520536.27408792294,722759.8566659656,1811263526494.5793,1345831.9087072425,489392.91957356746,422595048732.1236,650073.1102976984,1136673.5224252804,2972890171972.247,1724207.114001171,,,,,
348339.9403048447,278422112500.9496,527657.1922194841,805931.2833783282,1665696193951.4412,1290618.531538828,398868.9683854148,344876572150.10693,587261.9280611565,1175049.6736074793,2737895256597.534,1654658.6525919882,,,,,
