source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
253412.09382363112,116841280727.51816,341820.53877366433,1044799.3203960231,2189296766000.8335,1479627.2388682337,302245.7995129317,182049185100.19186,426672.22208645346,776243.181430689,1673466579839.4753,1293625.363016463,,,,,
308719.5152060696,254472047529.1065,504452.22521969955,1441066.9543033612,4125373360357.1377,2031101.5140453067,348016.6244179801,419099232965.2343,647378.739970069,809249.4443959637,2231849791104.6704,1493937.6797927918,,,,,
331527.2397897949,313495533747.416,559906.7187911001,1379691.4854718521,4443255599884.931,2107903.1286766785,312083.5578654702,295492254348.3645,543591.9925351775,871178.714282359,2899962367264.5005,1702927.587205193,,,,,
291592.43461509346,211257003522.73575,459627.026536447,1140184.3890583871,3056899690925.283,1748399.1795140156,422086.0847068656,420108999051.73047,648158.1589795275,748697.2835404895,2284318205972.615,1511396.1115381417,,,,,
311217.6285895141,217090177600.54218,465929.36975526897,1205842.619395782,4041451060893.554,2010336.0567063293,479724.0879285512,937119518964.8008,968049.3370509588,947989.0326017152,3399257542375.105,1843707.5533758344,,,,,
374306.4232241889,348562090445.12775,590391.4721988519,1335016.6811832138,3482911133549.4146,1866255.9131987805,372567.0588375658,305062655633.3893,552324.7736915204,717564.5897470586,1511985924482.4907,1229628.3684440965,,,,,
356220.7353756761,279729071113.1033,528894.196520536,1255825.7207307136,3015658225808.785,1736565.0652390728,378243.8023907444,315776688739.6596,561940.1113460932,793959.1705903795,1797922344462.584,1340866.2664347193,,,,,
295819.1678371138,187311559910.43704,432795.0553211497,1070155.691816025,2688302057563.8457,1639604.2380903526,301235.66351450013,180040782054.55035,424312.12810212054,874802.174248939,2909665246610.6636,1705774.0901451937,,,,,
365614.96265566815,434672062522.14636,659296.642280352,1089270.9647227565,3734376059718.6455,1932453.378407522,520171.6850320587,496499545651.4406,704627.2387946981,844742.3410505514,3204553790588.946,1790126.7526599746,,,,,
311706.1239093234,246816690056.58017,496806.49156042654,1046166.2561196875,2388923359851.226,1545614.2338407815,392860.66477638687,266780079204.2762,516507.57903856185,827927.8182938547,1904594239160.672,1380070.3747130695,,,,,
388898.41353760456,376053894372.6088,613232.3331108764,979528.2947794477,2057923564674.196,1434546.4665441117,317503.8816789605,203132258392.75836,450701.9618248387,705408.0276527416,1279090303551.077,1130968.745611954,,,,,
304049.4916617299,202688876632.02252,450209.81401122577,1158260.1439463466,3977130007466.3623,1994274.3059735694,460962.87416243524,985582144686.6289,992764.899000075,897203.9917558363,3467108560557.598,1862017.3362666627,,,,,
354395.87352144095,335861832180.3673,579535.8765256619,1236847.175741229,2823634091600.4014,1680367.2490263553,376650.04035668634,355977420885.40564,596638.4339660039,695681.8219894529,1530503425118.6335,1237135.1684915572,,,,,
373205.74360075936,404377446949.5394,635906.7910861933,1372159.7672520564,4961854605086.536,2227522.0773510947,724541.5718304609,1348834077296.5203,1161393.1622394375,907454.9563228976,4324912502232.2983,2079642.3976809806,,,,,
277942.04689838196,171155796915.7614,413709.797945083,1353415.1461059772,5624391161353.049,2371579.887196096,644078.0779362096,819841532972.5298,905451.010807614,1063504.321561366,5854963569472.787,2419703.19863259,,,,,
246399.06765033994,132958131426.62842,364634.24335438985,1376773.2098436088,4689291299225.996,2165477.1527831913,543239.1642430403,526734478327.31995,725764.7541230698,948983.9186705666,4542989067064.631,2131428.8791945726,,,,,
286421.6091123493,191810434393.6743,437961.6814216448,856197.029326021,1293742743022.0298,1137428.1265302128,220902.58793936812,116666265270.9868,341564.43794837134,563096.0700691426,797758960779.5546,893173.533407453,,,,,
313661.538932388,218225973206.5248,467146.6292359657,1554771.0832701148,6156456569637.789,2481220.7821227415,303770.40167892305,206715144562.2538,454659.3720162973,851579.0718250296,4071476666578.3486,2017790.045217378,,,,,
417925.09053254774,383349185858.07745,619151.9893031738,1269797.018080381,3656874898266.8423,1912295.7141265685,414207.83551881014,351878288535.8711,593193.2977840116,879131.327906906,2809029927890.91,1676016.088195728,,,,,
319290.53121826745,220605772041.85858,469686.8872364424,1176214.1653922177,2864846884657.965,1692585.857396299,499364.77511461487,572256323931.7325,756476.2547044901,928343.0437367836,2352055304995.501,1533641.1917379831,,,,,
508891.0420568082,536242615725.3487,732285.8838768837,1267103.053477909,3475383156595.14,1864237.9560010948,396908.522153343,343420364700.2957,586020.7886246833,816373.1132826703,2198825659282.5925,1482843.7744019404,,,,,
292869.07385712577,150428941020.05872,387851.6997771941,1427561.5938607855,4406795266203.312,2099236.829470013,346554.7194742382,300497212688.13666,548176.2606024969,811793.4747756703,2700107135015.0273,1643200.2723390195,,,,,
531319.9244343019,976233952143.9563,988045.5212913807,1112936.5265028165,2714208897228.67,1647485.628838282,280867.5887151408,136445372932.01941,369385.1281955182,711449.1921592733,1653451540358.9268,1285866.0662599844,,,,,
364125.7308024588,253767581481.66666,503753.4927736647,1300186.3435923883,3900697426741.7983,1975018.3357988852,421615.21002587286,390731425457.0009,625085.1345672851,737165.4794760991,1505628125567.7512,1227040.3928020264,,,,,
364724.8363074606,241242531249.53564,491164.46456307854,1198932.6684538133,2994618188922.308,1730496.5151430697,413044.48671645374,399722648864.5525,632236.2286871518,944620.8129397437,2753319429506.418,1659312.938992045,,,,,
322825.4598209577,324076344346.0779,569277.0365525716,1055628.0189379845,2573010358674.392,1604060.584477529,295342.3661981017,162071662632.47424,402581.2497278956,693883.9854495854,1559542878833.6184,1248816.5913510353,,,,,
279569.9663199799,191912459133.2618,438078.1427248589,977727.6450237989,2590381877850.61,1609466.3332454674,501443.97509674355,653406508156.9282,808335.6407810608,726521.8482240944,2146041533495.281,1464937.382107263,,,,,
335709.98469222774,193542533584.26764,439934.692408166,1327725.1549443607,3961269632755.203,1990293.8558803832,429254.86332598946,526354231775.1836,725502.7441541373,830715.9216894378,3201585573998.6504,1789297.5085207743,,,,,
346055.90673999826,337608050977.97455,581040.4899643179,1269339.0065670984,3373598965023.6763,1836735.9540836774,421604.92315317504,412415168792.68024,642195.5845322204,815556.5359674575,2150945222524.7832,1466610.1126491604,,,,,
340572.13060849695,240110058227.747,490010.2633902141,1254675.4223588216,2700846872328.5015,1643425.347354878,375627.9890232452,368539995040.96735,607074.9501016883,701412.5240774046,1294446267193.4014,1137737.3454332072,,,,,
313168.80192122,262519067361.8832,512366.1457999379,1294911.6302496558,3323774501205.7417,1823122.18493598,275924.39346006495,146140552734.2571,382283.34090600535,728732.3707505316,1741887569491.2195,1319805.88326133,,,,,
293192.2347355307,188967851617.03598,434704.32666012883,1144713.7355387819,3150251884065.4673,1774894.893807931,363658.83369876095,229309834634.7578,478863.06459650636,805586.6140208355,2290658751236.6914,1513492.2369264704,,,,,
350792.96655970335,204005555834.21698,451669.7419954285,1152457.3712577529,2101998197676.0945,1449826.9543901074,271897.54122035566,138923766743.87753,372724.7868654264,670453.9518491316,1065790913352.1451,1032371.4996802969,,,,,
313692.0641678346,269778770579.39056,519402.3205371637,1144057.5256706984,2923144029791.551,1709720.4536974898,496834.8469402756,460193312293.7947,678375.4950569741,771459.3010361221,1934556851707.6816,1390883.4788391448,,,,,
374629.83462255646,302441041714.71735,549946.3989469495,1169599.3481035272,2693795284589.101,1641278.5517970743,401217.79402890196,358731000072.18665,598941.5664922469,857468.4947137805,2015291203278.3289,1419609.524932236,,,,,
262211.005921144,129233400727.76398,359490.47376497195,755862.14291617,1087846975809.1134,1042999.029629996,340512.6036493013,237693325133.37784,487538.02429490344,543149.1379501277,624519649553.9675,790265.5563505014,,,,,
312750.5242558776,173664264533.1435,416730.4458917581,865892.2250888497,1351149375494.538,1162389.5110910705,184563.02108612488,79012686193.16245,281091.95327003306,613343.3290863613,1161005072010.2104,1077499.4533688684,,,,,
334446.4674327745,242071233962.16736,492007.35153264465,1384324.79837211,3613592230586.54,1900945.0887878218,302363.2889832436,211422130991.66965,459806.6234752058,858045.1325123918,2932653944388.736,1712499.3268286956,,,,,
311460.5265649881,163476329097.94052,404322.06110715814,1278809.005442279,3198822995274.6074,1788525.36892117,439929.4581616519,532629998296.6979,729815.0438958475,771634.3491404809,1893925264489.0378,1376199.5729141315,,,,,
338010.77459430933,234493901135.17645,484245.7032697104,1249740.7630887406,4060203548075.3813,2014994.676934751,514784.0743232966,519740959616.65717,720930.6205292277,877126.765607821,3240124463373.882,1800034.5728273892,,,,,
265739.1349837431,124123321416.90576,352311.3983635865,1316415.7910468085,3677402539609.061,1917655.4799048398,357429.69817133946,300946657599.69507,548586.0530488312,754624.5703499046,1878448684003.1487,1370565.096594521,,,,,
334665.97050175106,205168826777.4185,452955.65652436495,1368197.248035838,3574048930818.382,1890515.5198565237,401054.7979423335,329219089541.3241,573776.1667595858,702667.7078732922,1537310353911.8494,1239883.2017217788,,,,,
387015.44544370833,436317249106.5979,660543.1470438535,1530487.259789356,5398329473840.617,2323430.5399216516,412890.6127479063,599792752005.7535,774462.8796822695,1014300.1832617626,4606742717862.287,2146332.3875537748,,,,,
274518.44280772243,166531416192.8571,408082.6095202503,1025748.8852054277,2339649255953.4927,1529591.2055034484,383058.11572621425,305612663516.19946,552822.4520731764,920536.6810342288,2431680329093.465,1559384.5994793796,,,,,
421264.97545693134,428959075150.1784,654949.6737537766,1425148.774845109,4552483020891.279,2133654.850459952,320486.1964510721,277518651232.0562,526800.3903112224,782999.7533795206,2458771890696.514,1568047.1583139692,,,,,
