source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
235909.0313041155,115470029985.49934,339808.81387259415,618580.8288423074,928835027351.5369,963760.8766449989,328493.8812493084,181111223259.83118,425571.6429225885,622856.5349440542,924616177533.859,961569.6425812636,,,,,
339363.3972839985,492867823512.80054,702045.4568707076,582895.27816861,849477531976.825,921671.0541059782,345050.17436958203,207490781363.37222,455511.56007654977,583601.613881369,813239167384.5029,901797.7419491041,,,,,
350286.80040530185,504749939173.4777,710457.5562083056,692824.7960164899,1445476022955.2603,1202279.5111600547,384801.07058041135,359710544902.99255,599758.7389134006,670833.6366651582,1368045998944.2908,1169634.9853455524,,,,,
247977.21961351242,160410002120.00168,400512.1747462887,696118.5747802509,1956554515011.347,1398768.9283835792,490941.6290962853,509978931509.0248,714128.0918077826,688113.8467681303,1910558832201.9375,1382229.659717204,,,,,
256212.6176590773,169983865830.3495,412290.9965429144,838402.5076402926,2931667838745.9907,1712211.3884523695,586592.2856601169,787170603192.8453,887226.3539778591,834771.2282155843,2904416555366.524,1704234.8885545454,,,,,
362538.6546766388,321376506709.8375,566900.7908883507,689342.8385716577,1092851530485.3914,1045395.3943295289,459290.3999157942,402233050140.0592,634218.4561647975,674693.453598088,1035035620727.1128,1017367.0039504489,,,,,
315366.0387438313,240380420714.16095,490286.0600854984,696710.5188238834,1099037490768.9653,1048349.8894782054,387187.6346154253,273674126651.8524,523138.726010465,706324.1263388151,1114391283845.7954,1055647.329294114,,,,,
261902.4168221753,179053297588.68527,423146.8983564517,761512.2039253877,1754102073918.1887,1324425.1862291764,460867.26302169706,391339518660.75494,625571.3537724973,743737.4147194424,1729199559838.9238,1314990.3268993746,,,,,
335469.15021458454,288090356896.14984,536740.493065457,759962.3520140678,2484996860992.18,1576387.2814103076,617985.7355166491,635326313273.3163,797073.5933860288,743588.6548360494,2437718090220.863,1561319.3428062252,,,,,
323649.16784077353,279978359719.94244,529129.8136751911,676457.4786335779,1225639830481.6392,1107086.1892741863,504961.35656651884,568344730815.6716,753886.4177153424,671208.4727760664,1209981161768.161,1099991.4371340175,,,,,
353411.80929716455,407090170074.7952,638036.1824182037,570310.6056355569,1162665051854.2944,1078269.4708904144,409795.55088564404,325567458594.6852,570585.189603345,556108.0282981121,1097798308554.7238,1047758.7072197128,,,,,
327229.8128755466,249214353736.16525,499213.73552433954,861696.8557621386,2730049195352.444,1652286.0513096526,505014.5194751902,727936958856.8208,853192.2168285531,855003.6326610344,2714371637401.283,1647535.018566004,,,,,
386459.0006349805,357165748947.4957,597633.4570181757,694204.5474461305,1169673947532.778,1081514.654331035,332121.84515360725,209360184439.31766,457558.940945664,704945.280517618,1171275914008.6191,1082255.0133903835,,,,,
290217.62688476953,329986656890.9565,574444.6508506773,744271.3106122857,2397606994849.022,1548420.8067734758,628545.4620060633,1353113137849.7969,1163233.913643252,748859.2681547623,2397461381158.1836,1548373.785995547,,,,,
