source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
250311.1308911014,110377962291.38112,332231.79000718927,850346.0539751031,1637321795363.5938,1279578.7569991907,919784.2868709323,1860556032469.5684,1364022.005859718,79766852.90054175,
249221.1154463627,111602748514.68607,334069.9754762257,845485.4706823037,1540305972407.4907,1241090.6382724394,926589.4519517081,1751455081436.2468,1323425.5103466334,81553394.73463556,
295397.9744713492,257690510054.1041,507632.25868152245,805599.5748070324,2302011038700.762,1517237.9637686247,901821.1660679947,3036509955948.261,1742558.4512286126,77962469.89946775,
230367.42229687158,105724833324.85721,325153.55345568224,992186.7350522892,2060687971263.0938,1435509.6555798897,1027094.4274250717,2329687465659.39,1526331.374787071,98251072.77957521,
265351.0943145529,139609298486.53345,373643.2770525029,982946.3884950582,2313931467898.6343,1521161.2235061193,915696.1106938075,1920671393649.5327,1385882.8931946352,96093168.03101905,
254224.54353487547,141004464559.63528,375505.61188833823,879567.9844768345,2187279911854.4326,1478945.5405302902,891075.4323832,2156710250521.2625,1468574.223701772,89101466.77494276,
248839.99951833443,126300968419.41318,355388.47536099586,955711.4387353559,3267468694951.252,1807614.0890553084,1087760.160864899,3873312463354.5215,1968073.28708931,94634255.80018173,
223067.80665420034,100283951121.14456,316676.41390091646,1066260.3034931307,3699695831186.589,1923459.3396239467,1126651.1577336816,3538586138151.213,1881113.0051517938,107974546.9615701,
228219.8999183505,98368027073.15875,313636.77570265695,892327.5174514328,2561740693881.061,1600543.8744005305,786056.0870553888,2159300451864.2686,1469455.8352887877,84982666.25967537,
333280.38523444894,261592361769.72208,511461.0070862901,914254.9968704021,2066984708822.349,1437701.1889896833,893007.1609144299,1945353190998.5562,1394759.18745802,89705837.70924751,
289253.05091070215,133874090224.17508,365888.0842883177,910586.2287633453,1821720802912.2742,1349711.3776331125,881275.164152607,1695395958117.1436,1302073.7145481217,84548143.29285659,
198731.21400551617,78901047657.85469,280893.3029779362,928235.461768838,2382125947373.173,1543413.7317560618,944002.1346277434,2389273803062.3687,1545727.5966554936,89286148.58536488,
373120.2127025746,335413813367.8803,579149.2151146199,1080189.4055268879,3542775489404.5225,1882226.205694874,1151006.607185751,3997167064935.1855,1999291.640790604,111404115.40681456,
193812.05957226682,69363324556.25233,263369.17920715845,832396.6634689556,2820335858543.279,1679385.5598233775,857709.1528862683,2689174390066.562,1639870.2357401827,93705148.25977924,
188208.40056357867,69875840019.56616,264340.38666001486,851035.6223885284,2358413632918.142,1535712.7442715783,921009.8179374695,2255532397117.9556,1501843.0001561267,83655556.47421117,
229460.70029615398,109425632759.25813,330795.45456257125,1058002.9470311068,2565906955607.447,1601844.8600309105,923353.9970169354,2101837933357.012,1449771.6831822216,97687579.24865282,
198793.34717037578,88324878185.34717,297195.0170937379,810176.0549980822,2594710747318.418,1610810.5870394625,862678.7929330793,2658520950444.9297,1630497.1482480213,82324262.8554857,
272267.5946735111,150271491077.15027,387648.66964449943,1029344.6835331484,2234809715877.844,1494927.9968874233,1087073.6781143593,2233901195218.2827,1494624.0982997306,100318905.18020816,
218199.2003300167,90653436680.12663,301087.0915202554,807036.3855223603,1594220771679.3853,1262624.5568970158,766529.7739104853,1445347051886.5527,1202225.8739049633,80598810.76816398,
239791.40465412015,109627800466.51273,331100.8916727841,954508.7331090943,2691567875828.4507,1640599.8524407013,938548.3090757261,2822300773190.547,1679970.4679519061,95602429.55078885,
222410.92710305192,103771083914.41722,322135.19508805184,954916.573733158,3398979125898.332,1843632.047318101,954901.5142511488,3306731396284.514,1818442.0244496425,98516129.82145059,
297605.8263436417,231104288657.17368,480733.0742284887,1005165.1475469344,3582884982176.092,1892851.0195406536,978001.3104265333,4011330343812.174,2002830.5829031505,101599435.28633976,
254679.3436433203,122992822152.89857,350703.3249812419,814712.9895107732,2390766591377.3223,1546210.3968662617,814830.4820960248,1892099581234.5068,1375536.1068450755,81570035.32651494,
323985.513779332,259916309668.276,509819.87963228347,794779.0364088215,1289854028967.9849,1135717.4071783812,840520.5579989678,1325060180039.3682,1151112.5835639918,71253039.70756918,
247254.9785842341,122341734678.95099,349773.8336110221,925135.4690170093,2475574760900.6577,1573395.9326567035,907925.8398861967,2245282770007.7983,1498426.7649797897,94556902.28155857,
210766.1634254019,75802771789.59886,275323.03170929756,1029155.2481870108,2546254140019.649,1595698.6369674096,1126976.9525079369,3004695117142.9014,1733405.6412573778,101966057.61369143,
192996.62997252963,65763820033.3562,256444.57497353342,775717.5174203356,1565550892439.0483,1251219.761848033,765145.0952786285,1592056490732.9707,1261767.2094063035,74993134.31702523,
299485.55252933566,257172908637.04813,507122.18314430706,793653.9333758338,1367783823551.3423,1169522.9042440094,843101.3646291834,1534533994647.1274,1238763.0906057572,79913905.66383368,
335048.6320327801,240325543175.69022,490230.0920748238,966525.7106943993,2277739234051.8267,1509218.086974784,1206602.5931116242,3674299336671.0967,1916846.1953613015,93281505.90382716,
295425.7968850045,166628003047.6644,408200.9346482004,943072.1397444633,2650808200762.118,1628130.2775767418,962017.2428679961,2396606690500.729,1548097.7651623716,93413918.23264384,
341085.4154120165,249260501065.67987,499259.9533967048,806513.9128397334,2274695558188.7817,1508209.3880455664,881891.5600151136,2567809673265.3735,1602438.6644316136,79786453.93901578,
289520.4133496945,277795253613.8385,527062.8554677691,899579.0823685642,1827312080061.5928,1351781.0769727444,795692.6399077385,1745254819363.8196,1321080.9283930412,88832456.55541687,
162650.1443731001,45839399787.22734,214101.37735948208,921047.1962407704,2337388788866.356,1528852.1147796984,960440.6522740595,2425049903601.767,1557257.17323818,96882227.18942587,
263490.16928415984,127631801817.9584,357255.9332158927,828303.1587209384,1222020770601.9316,1105450.4831071955,805317.4002185457,1108890223654.7344,1053038.5670310154,75134132.08624902,
259424.68715114112,138691756255.84372,372413.42115429154,664509.2461313028,1292990655342.9412,1137097.469587784,741840.8736143549,1419554162004.8608,1191450.4446282526,62953189.90785967,
258658.0801877359,124112341380.42719,352295.8151616723,1172936.1326989678,3165063707555.6157,1779062.5923658828,1076434.057509173,3098346041421.1333,1760211.9308256984,112994966.07016069,
277984.8988214856,150555687992.7089,388015.06155394134,1013101.2161134593,2795900335918.418,1672094.5953858048,1042173.5710394974,3478767414430.08,1865145.4137493088,95226791.53733265,
205898.35396120095,96983531286.55824,311421.7899996053,937203.732565976,3833608269675.871,1957960.2318933527,1119903.4071759696,4060621219500.3975,2015098.3150954193,104183177.97356209,
235383.5036024271,99556705801.58447,315526.0778471163,753022.2573116444,1901020375134.821,1378774.9544921466,772039.276882938,2035661153020.455,1426765.9769634455,77068629.43585664,
282484.4899856925,156160027703.0612,395170.8841793145,999263.1520711306,2169423025068.1409,1472896.1351935652,1004014.3799622015,2375210985254.791,1541171.951877788,94857845.61073706,
