source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
252715.41753342195,107198501595.6564,327411.8226265759,708345.8970318564,1441389161718.5657,1200578.6778543778,297569.6375524307,168549945619.33514,410548.34748094546,836582.0783196277,1667186015277.983,1291195.5759210077,,,,,
235173.56760937732,107390949695.27293,327705.5838634321,681168.6010313788,1178211345301.0046,1085454.4418357708,265483.66508968914,130412425769.10493,361126.60628802323,891960.7521465265,1623743023303.6384,1274261.7561959703,,,,,
290388.6898254295,256281166301.86636,506242.20122572395,666748.397568475,1905717377333.7463,1380477.2281112594,243394.82199437893,104351877137.03236,323035.411583672,811355.0350639552,2276191879046.1045,1508705.3652208254,,,,,
229050.55811207494,103699270531.39203,322023.7111322581,684603.8873604548,1648928786354.7703,1284106.2208223937,345005.29404961935,267929936739.06693,517619.4903006135,964849.3959177813,2197503935180.9092,1482398.0353403431,,,,,
266263.0078169766,138481760067.97372,372131.37474281003,744536.8869452078,1837001754283.8938,1355360.3780116541,453878.88594805606,510820594035.7685,714717.1426765756,999681.7903047319,2384579285883.928,1544208.3039162587,,,,,
260990.33833810137,137235765854.35332,370453.4597683673,683723.153679585,1598421841809.4172,1264287.0883661737,370466.1772566782,261082691390.916,510962.5146631756,876370.463857311,2171575384800.6426,1473626.6096948178,,,,,
241982.4771595863,119831165810.45079,346166.38457604573,768920.6531916017,2856250533051.6846,1690044.5358190075,477024.1958978118,978638521298.3254,989261.6040756487,973440.5870658461,3089382665880.845,1757663.979798427,,,,,
223081.74337343796,96926017126.91841,311329.43504737614,894435.4028665586,3448175693253.2183,1856926.4102955773,453366.26730008,424261781177.00507,651353.8064500776,1064756.7991123947,3969246368388.8394,1992296.757109452,,,,,
220056.28555581215,92205137889.48958,303652.9892648672,635692.8428890208,1912408088552.3784,1382898.4375406527,411220.0339662663,922149858855.167,960286.3421163331,930726.6028364397,2589332815223.9995,1609140.3963681974,,,,,
343551.8863578513,273226333306.94333,522710.56360756984,668548.7020550021,1565902298884.387,1251360.1795184258,466496.5177301854,444401583057.36115,666634.5198512909,943248.3379921349,2083346470188.788,1443380.2237071104,,,,,
271248.27270453743,121098846155.14635,347992.5949717125,813451.4349160189,1664311958562.422,1290082.151865695,374400.3942282511,339256337087.58417,582457.154722632,971524.1526880093,1847778147086.306,1359330.0361156983,,,,,
204010.3386083408,84134712921.47705,290059.84369001695,854787.7014092102,2209763049472.7373,1486527.177508954,373619.39424288156,242514321187.50232,492457.4308379378,947889.6367619634,2394488310966.0767,1547413.4260003294,,,,,
360738.23055263946,335134451944.19446,578907.9822771443,922672.3257753776,3271268548923.1514,1808664.8525703019,558189.2969544636,698827773735.0685,835959.1938217251,1065487.045601034,3485437479152.855,1866932.6391578394,,,,,
182608.81947767522,64515813705.0869,253999.6332774654,674666.5539772562,2333903037750.5127,1527711.699814632,473197.83879708766,576100677047.3514,759012.962371099,849255.2268233037,2716195938390.5073,1648088.571160697,,,,,
192456.2325247104,71683636879.37645,267738.0004395649,755124.4780696776,2025457870912.925,1423185.817422632,340914.44046938774,292008511199.75903,540378.1187277655,872913.3411353535,2372384253422.681,1540254.6066877,,,,,
218419.27780075197,100139574653.68492,316448.3759694224,833526.2367518219,2068530853775.5725,1438238.802763843,374120.5005150095,433871690325.69653,658689.3731689441,1036812.9686302685,2595812263428.945,1611152.4643648549,,,,,
200460.34840683782,87454035896.34418,295726.2854335816,740424.4794168605,2653395073431.647,1628924.514344249,319082.9578821491,317985842819.5574,563902.3344689729,824275.906537012,2586996510818.887,1608414.284573128,,,,,
280623.9899395789,152297190068.79037,390252.7258954002,708353.9548916109,1467587489290.5923,1211440.2541151554,408847.58629502525,301975896102.33923,549523.3353574162,1071689.0876059572,2257953285686.412,1502648.7565916434,,,,,
231188.98790289147,98945520144.54935,314556.06836389174,549389.1193554968,1102680652886.6934,1050086.0216604606,290961.2380639588,171102198231.48907,413645.01475478837,771300.9766532513,1519614538157.8616,1232726.4652622095,,,,,
239425.4517473728,109452703241.95049,330836.3692854074,764504.8419933165,2321568932163.0317,1523669.5613429546,316508.15107053076,227798801953.70734,477282.72748310026,949343.0486307618,2658364433958.582,1630449.1509883348,,,,,
231943.07130564173,104633164766.0128,323470.5006117448,787682.8232544228,2929582255034.0786,1711602.2479051838,414859.8226995149,393631257835.2057,627400.3967445396,960064.0810986114,3381728172396.304,1838947.5719542154,,,,,
300930.40683074837,237470578762.2628,487309.53075254214,809880.5773389247,3393143835360.497,1842048.81459762,648127.2038565231,1479039899333.8772,1216157.8431000959,996334.7544742995,3573962647328.304,1890492.699623118,,,,,
