source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
251644.70976035687,103867946208.07497,322285.5041854582,838989.5137521379,1679678805883.2085,1296024.230438308,703458.0096149184,1500891367404.0168,1225108.716565194,78714738.62546147,
243447.11310025494,115296269347.36163,339553.0434959487,856806.0791396516,1519340587139.5627,1232615.344355068,726856.3688597218,1350481539292.6052,1162102.2069046274,81562878.12001368,
289710.65545955586,248341766105.86816,498339.0072088158,837143.5416677126,2345910563441.8213,1531636.5637584594,689090.7856306857,1845755497485.951,1358585.8447245618,81449961.83270422,
209767.8083097577,93796519679.59746,306262.17474509886,984667.6916966815,2018160508751.2893,1420619.762199333,727681.0782960677,1964941312684.0737,1401763.6436589707,95252044.71286401,
268237.7185462599,143649805289.64777,379011.61629908887,970390.821906003,2307515329899.5977,1519050.798985866,759590.5567894683,1969826138250.1187,1403504.947711307,93414455.45980316,
250662.68329430706,137408716231.24805,370686.8169105128,858648.3380954206,2048655583932.009,1431312.5388719295,701696.9688497117,1548792179801.575,1244504.7930006436,83383753.50978778,
241005.5556868771,121002475919.22047,347854.10148397053,991584.5736907305,3214168909252.6543,1792810.33833829,746538.4588134136,2939747058309.194,1714569.0590667948,95807810.61426498,
235940.18199555477,105325198054.04837,324538.43848463986,1048893.9360897846,3817404791920.102,1953818.0037864586,908488.1274800273,3664808609414.448,1914368.984656419,108675853.76295544,
218505.02729133292,90978317005.70793,301626.12122577836,902972.4917817998,2571985773270.877,1603741.1802628494,688552.6724607492,2001260018961.0803,1414658.9762063082,86247312.6935616,
340120.18169506016,275108093377.8272,524507.4769513083,899929.9184750493,1888102907179.2437,1374082.5692727652,672789.7821202093,1601567633961.6704,1265530.574092017,82870220.66263926,
268511.3192941441,120578321602.73122,347243.89354275365,951763.7820710433,1905864891817.521,1380530.6558774859,836775.2372798254,1975038745601.995,1405360.717254469,89142888.37620811,
200610.9820560016,80533726221.53424,283784.64761423273,907239.1077459092,2283190342278.5767,1511022.9456492634,845672.1853337159,2139552022584.5732,1462720.7602904162,91155717.92733556,
369551.5142284235,339523911761.0422,582686.8041761733,1051659.4433887082,3460766150556.8486,1860313.454920124,910328.3968382489,3170125929425.746,1780484.7456312976,107731638.22545406,
189660.50589238462,69173639464.20786,263008.82012626086,837633.2404591176,2804268994008.9277,1674595.173171393,686923.952266966,2317316091881.5293,1522273.3302142324,93601147.9947698,
188861.71174653646,68386149579.61893,261507.4560688833,873738.70715985,2334566506476.217,1527928.828995715,755266.1376149516,2046965177662.0037,1430721.9078709893,86578501.19039103,
230971.3999764656,108121005052.06883,328817.5862876997,1052455.8362462677,2634754125077.1616,1623192.5717785803,818549.9504572131,2133043712381.311,1460494.3383598963,98025386.44073102,
197873.56920714703,86300940405.71918,293770.21701615566,818830.6602849868,2586381814362.184,1608223.1854945333,766040.5182994491,2821587063080.6406,1679758.0370638627,82211640.86056867,
281027.3597602457,149810483119.4537,387053.5920508344,1099061.993655006,2233357954421.4785,1494442.3556703278,751948.4103763875,1652695220866.4026,1285571.943092413,101909459.54787324,
218154.31133106054,86466697495.2461,294052.2019901332,831162.4182917977,1687199598529.569,1298922.4759505738,602047.0397653778,1280751022135.8936,1131702.7092553475,81670958.78808178,
246721.0327612135,112217277187.04802,334988.4732151959,937564.9832768621,2635785271134.7017,1623510.1697047362,752229.6336328742,2423812998899.832,1556859.9805055792,93145797.97199304,
227223.6404084313,103860675112.6569,322274.22346917057,961907.1352567396,3363474465628.83,1833977.7713017217,835935.8973718572,2968842417602.497,1723032.912512845,98583240.45890537,
309062.66646920156,234856723084.41464,484620.1843551449,1006588.105289358,3637671582881.589,1907268.0941287696,779118.6450172361,3545755969290.616,1883017.7825210828,102801714.75167416,
230223.2254567644,93588162285.13707,305921.823813106,868637.8203610745,2402471385565.487,1549990.7695097693,685027.2912389216,2264394371586.306,1504790.4743140507,89138303.87979436,
318334.2691876724,258227368597.0948,508160.7704231947,745847.5122126137,1309846763256.958,1144485.3704862103,546755.2378951429,920483928303.5374,959418.5365644846,68255137.01747152,
254936.03204187038,123873431921.08545,351956.5767549819,902590.2258885849,2299947661324.748,1516557.83316191,818531.8831959661,2246178028771.868,1498725.4681134461,88892101.27370729,
210546.20272721525,76717893522.46571,276979.9514810877,1037416.7874767614,2445102148627.9043,1563682.240299449,730120.4258316978,1587727457926.8157,1260050.5775272737,101806576.51777425,
192901.1659366905,64990433501.89022,254932.21354291463,767077.7046967339,1594111882625.5347,1262581.4360371116,672654.7909485444,1424476172515.8508,1193514.211275195,76963503.7252324,
309822.9557821526,263889849163.8361,513702.1015762307,755407.4961208776,1337676242102.195,1156579.5442174287,644149.8763646833,1209489628283.2002,1099767.9883880964,76477470.6044738,
329799.99006907264,240555925953.91617,490465.00991805334,995756.0958139384,2277431889711.447,1509116.2611646084,807512.1946272244,1962376094573.8362,1400848.348171149,94167188.95798446,
283125.5778046047,153713908056.76172,392063.6530676641,963067.4253697279,2692972386786.3574,1641027.8446103092,744690.075907882,2398708576514.0317,1548776.477260044,94451255.45604043,
338881.4642196739,249737872613.79562,499737.80386698345,805597.7292300297,2330939280869.061,1526741.392924506,634291.1675201054,1917764676555.704,1384833.8082801504,78588535.2563029,
267395.9126278593,256656145437.08817,506612.421321357,906826.3585034348,1822457061038.215,1349984.0965871469,686825.1094341062,1503935064709.5767,1226350.3026091594,87272911.20527184,
160706.9270303533,45835619887.9743,214092.54981893764,908199.3222019417,2406444518272.8027,1551271.9033982414,877317.080295095,2291832998710.681,1513880.1137179525,96178094.56780717,
269767.04273040075,128808891419.886,358899.55617120233,756081.065275963,1097134745102.2303,1047442.0008297502,585290.7025504326,714300594798.085,845163.058112507,69772570.7207484,
253858.44496607294,128918467467.43466,359052.1793102427,677923.0425819785,1362909248797.351,1167437.0427553474,610399.6620635806,1318022478805.2468,1148051.6011073922,67490477.69639921,
242138.19555099582,106850344213.90167,326879.70908868243,1189901.7025786657,3185964488616.3457,1784927.0261319776,835662.4216507393,2648892975966.593,1627542.0043632032,116468794.73351936,
286522.16212193796,155336018361.81927,394126.90641698043,961530.1208742103,2934917527147.142,1713160.0996833723,846589.5545949684,2780679615582.2236,1667536.9907687877,87877131.79151243,
199522.8786032157,90390762115.47028,300650.5648015155,963632.3149254626,3849871985741.1743,1962109.0657099504,898230.453194654,3424065182290.4526,1850422.973887444,105732139.98673214,
221909.0574648178,94127952877.27461,306802.7915082824,786848.8519101916,1987542641548.2815,1409802.341304724,746239.9148490392,2140699203520.1895,1463112.8471584786,79041061.40461281,
269427.5450641149,147981988449.90042,384684.27112360654,1036027.9370471797,2265149054757.381,1505041.2136408028,720201.3684451167,1927407915447.7078,1388311.173853941,103099046.23509726,
216675.32295409497,90259002415.75052,300431.3605730109,723364.5507112895,1314700263602.3447,1146603.795389822,672287.4458511106,1236304089621.6904,1111892.1213956373,70901625.23307428,
208433.12608710534,90907601119.3818,301508.8740309011,937349.5115630125,1820237731445.9004,1349161.8625820626,652742.0383256559,1500236991440.8853,1224841.6189209465,88872620.0000097,
221444.5012186455,97011842325.66278,311467.2411757981,863285.014441437,2124628442141.2847,1457610.5248458125,602103.5709833055,1741565561478.5906,1319683.886951186,83568804.67959936,
184071.76653559014,58925584534.28866,242745.92588607673,802168.6214373453,2906479883885.4907,1704840.1344071797,688887.006029723,2687089665803.757,1639234.4755414817,91819741.37680364,
332545.90909481136,259144788728.012,509062.6569765376,1080418.950699408,2577008764894.5215,1605306.439560535,785105.7380574107,1822561305227.3909,1350022.7054488347,102301558.49182402,
342379.3351383622,233817733891.66855,483547.03379471635,932569.3531994362,2547401579691.7603,1596058.1379422743,905929.2387017868,2619822845053.4937,1618586.6813530542,92067856.0677196,
