source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
254725.6331130469,114183918126.12479,337911.1097997886,850316.0966430865,1700053497319.791,1303860.9961647717,301153.87556904764,185626702182.8234,430844.17389912956,705173.3466360394,1465897792035.2737,1210742.6613592475,79351483.11915332,0.2981638463496109,0.3163368914790178,1.0,0.246354630304052
243311.0822306219,109812979202.6169,331380.4146334193,859816.109798213,1514924602506.5728,1230822.7339899815,280229.8807525009,151909225713.59677,389755.3408403749,679036.58620155,1150345926036.393,1072541.8061951678,80836360.10819387,0.32950744451755004,0.29897862080142384,1.0,0.3016110129139133
301808.24167000566,265669350856.34598,515431.22805699887,800469.365570328,2304243394149.5566,1517973.4497511992,221064.9883009366,95741321811.32364,309420.94598026754,672640.9818492319,1941549391538.288,1393394.915857772,78490821.20891973,0.3168856593881755,0.301373795215322,1.0,0.3811198086678978
226602.1115801744,104599206618.60019,323418.0060210009,944587.6099343621,2176722705505.1956,1475372.0566369677,337532.33387487865,275820720549.1177,525186.367444089,692677.997379594,1723792329919.5654,1312932.7210179376,95982181.53795509,0.3533580949614051,0.2777848049997821,1.0,0.3612214897673681
270839.02001513133,146487920681.1698,382737.4043403255,948420.763925318,2239999652906.475,1496662.8387537638,458891.4314060424,515138883839.5516,717731.7631535834,736376.6867991639,1839798350605.2246,1356391.6656354184,92827574.84266497,0.32993007982947137,0.2962822403214699,1.0,0.2622090183716088
256919.50638106358,142077063211.34796,376931.1120236004,880070.0122390353,2147021148697.827,1465271.6979106048,300138.08436703944,187759503445.84027,433312.2470526771,684247.6018380406,1564794908922.9956,1250917.6267536546,87820450.91484782,0.3395952014597292,0.2851789830152555,1.0,0.2817591480369053
241232.9600962812,121267979206.5447,348235.52260868606,938266.6201049812,3163231575146.004,1778547.60272139,485905.34066189773,1057767117191.816,1028478.0586827393,742318.9247657341,2911019128634.765,1706170.8966673783,91500192.90427035,0.3377942330818588,0.29394700637278964,1.0,0.3164173765418844
226679.88427083576,95830506323.40619,309565.0276168259,1042131.8791465957,3743196728331.1587,1934734.2784814555,439910.65799288347,403259243463.53436,635026.9627846793,880437.0962996043,3426558333167.8574,1851096.521839922,106585129.14485464,0.35873105916082293,0.27316303039019907,1.0,0.3178170860901974
217297.82232568724,91085039575.71889,301802.9813897121,863341.8758590891,2591668006252.927,1609865.834861069,409402.74701593677,939473199730.244,969264.256913585,611654.5230221997,1862223533676.218,1364633.1132125652,82807422.78838527,0.33831060161365434,0.28770800746210007,1.0,0.271004140848433
332676.7422557595,272541876589.5555,522055.4344028568,886156.7131988463,1971174798948.1616,1403985.3271840706,471838.92121815385,506484061764.4278,711676.936372416,682387.635319681,1564002695285.8403,1250600.9336658278,85166839.57211657,0.33186459772471805,0.28992600490893106,1.0,0.29583565301199244
