source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
201605.16203819678,89287155802.38461,298809.56444261386,678522.7060258917,1411475265318.8115,1188055.2450617822,487463.0736552608,426098578290.4035,652762.2678206848,683090.2882053958,1418875788879.32,1191165.7268740232,,,,,
195567.3389719724,81390200335.27658,285289.67793328344,641401.0332088275,1017111363064.0485,1008519.3915161218,370993.93733815156,252790628865.57605,502782.8844198816,655520.0426366504,1065509029082.144,1032234.9679613378,,,,,
279736.29133538186,259236086714.98367,509152.32172207924,658816.1220946502,1792269865323.3237,1338756.835770904,448008.0995090139,480490246863.6987,693174.0379325374,654427.3667415895,1789852408205.6956,1337853.6572457002,,,,,
169487.64301195226,62288330999.765366,249576.3029611693,611905.5365821563,1380336945076.063,1174877.4170423325,502268.8521534825,621717123964.2362,788490.4082893059,618125.5709763523,1396608961768.5544,1181782.1126453702,,,,,
272041.69260705804,183158848397.26447,427970.6162778754,718476.4431208898,1791741381406.36,1338559.4426122287,543077.7764876783,898378350503.8768,947828.228374676,722708.1263277567,1823894300077.5835,1350516.3087047795,,,,,
230420.72973773038,130286423037.60677,360952.1062933513,638850.6686616123,1423156390462.5537,1192961.1856479463,457312.89788012695,702145833624.9993,837941.4261301319,643129.4825791178,1440041118781.9434,1200017.1327035057,,,,,
214586.38225690133,117325124129.3357,342527.5523652597,707338.4818315424,2817466194228.5767,1678530.9631426453,663089.9926862947,1032643016328.1642,1016190.442942741,701591.2331250514,2798779057315.3013,1672955.186881974,,,,,
204546.35574577065,96837811117.9416,311187.74255735334,841843.6478636967,3332482723410.772,1825508.8943663824,726247.6650705049,1978221538747.0276,1406492.637288595,834868.4460111259,3328389813928.167,1824387.517477624,,,,,
221524.67385223912,110778909044.35442,332834.65721639385,571897.6150371918,1767137931304.4814,1329337.403108963,549294.0353702356,686352895938.2778,828464.1790314642,577567.6793681382,1790946893637.5146,1338262.64000663,,,,,
291841.6212404364,307499300662.6307,554526.194748842,650996.9484210431,1502701701850.5515,1225847.3403530114,476174.6834122273,461363564462.1654,679237.4875271281,643775.54643036,1504161310831.751,1226442.5428171314,,,,,
222392.0798979023,89606965446.55873,299344.2256776615,761340.1698382131,1568309276468.5425,1252321.554740851,546719.5546929201,604862583165.8237,777729.1194020086,757176.6162612211,1562687172770.2632,1250074.8668660861,,,,,
193985.82331202092,85048905690.93623,291631.4552494916,823603.3246260728,2133100574589.9941,1460513.8049980884,547298.2785567772,543567090893.7207,737270.0257664899,813075.2833698087,2111354628394.4094,1453050.1121414944,,,,,
361704.6028765992,382353447594.27606,618347.3518939626,913933.0490736292,3304073093176.02,1817710.9487418565,699569.7159929457,969953437530.7485,984862.1413836296,912336.3152616845,3310970639367.689,1819607.2761361692,,,,,
162082.73922198775,67589880609.70237,259980.53890570803,632436.8088232421,2143212763900.7559,1463971.5720944707,564390.2095368255,862782882461.0659,928861.0673621034,629981.7543437616,2133677478297.1248,1460711.2919044355,,,,,
166496.1171428927,71787579176.19212,267932.04208566045,693893.7501533903,1857094263873.596,1362752.4587663,558696.265738751,710316993591.9691,842803.0574173122,684508.7940827791,1862064331537.2302,1364574.7804855658,,,,,
205602.0091286249,106365616837.73943,326137.42017398035,713565.6375866581,1841006687343.9722,1356837.0157627526,473511.3291221033,695504250999.4042,833968.9748422324,722292.8044135296,1862086032266.9885,1364582.7319246673,,,,,
192413.38119268356,92567799132.16054,304249.56718483684,735023.1617446557,2756997065463.51,1660420.7495281158,607934.3225761176,867217780340.6072,931245.2847346972,741873.9140825146,2806245359778.747,1675185.1717881062,,,,,
235248.76310026814,136777668843.47821,369834.65067983855,660910.1955764807,1455029806306.419,1206246.1632297195,498356.4216975338,435180551002.21826,659682.1590752763,658146.8183234739,1446841878637.542,1202847.4045520246,,,,,
194366.20748113972,98032159194.1349,313100.8770254962,539062.6954950797,1069793657496.5995,1034308.2990562337,427638.87963249837,392691435069.9693,626650.9675010239,542657.305839715,1083484260376.6774,1040905.5002144418,,,,,
246219.71262930488,160368960744.76257,400460.9353542023,726750.8639048924,2217078358723.656,1488985.6811681085,454446.68641117925,446475803342.7278,668188.4489743352,723884.3297806247,2224457736962.1543,1491461.6109582419,,,,,
